DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-09-29,2.5,2.5417,2.4583,2.5417,323.0,2.499,YA-H
2005-09-30,2.5,2.5,2.4583,2.5,210.0,2.458,YA-H
2005-10-03,2.5,2.5,2.4583,2.5,195.0,2.458,YA-H
2005-10-04,2.4583,2.5,2.4167,2.4583,306.0,2.417,YA-H
2005-10-05,2.4583,2.5417,2.375,2.5417,134.0,2.499,YA-H
2005-10-06,2.4167,2.5,2.4167,2.5,94.0,2.458,YA-H
2005-10-07,2.4583,2.5,2.375,2.4583,95.0,2.417,YA-H
2005-10-10,2.4583,2.4583,2.375,2.4583,76.0,2.417,YA-H
2005-10-12,2.375,2.5,2.375,2.5,834.0,2.458,YA-H
2005-10-13,2.4583,2.4583,2.375,2.4167,127.0,2.3761,YA-H
2005-10-14,2.4167,2.4583,2.375,2.4583,217.0,2.417,YA-H
2005-10-17,2.2917,2.4583,2.2917,2.2917,101.0,2.2532,YA-H
2005-10-18,2.375,2.375,2.0417,2.0417,306.0,2.0074,YA-H
2005-10-19,2.125,2.125,2.0417,2.0417,166.0,2.0074,YA-H
2005-10-20,2.0833,2.2083,2.0,2.0833,134.0,2.0483,YA-H
2005-10-21,2.0833,2.125,2.0833,2.0833,42.0,2.0483,YA-H
2005-10-24,2.125,2.125,1.9583,2.0,74.0,1.9664,YA-H
2005-10-25,2.0,2.0,1.8333,1.9167,105.0,1.8845,YA-H
2005-10-26,1.7917,1.9167,1.7917,1.8333,167.0,1.8025,YA-H
2005-10-27,1.8333,1.9583,1.7917,1.9583,60.0,1.9254,YA-H
2005-10-28,1.875,1.9583,1.875,1.9583,26.0,1.9254,YA-H
2005-10-31,1.8333,2.0833,1.8333,1.9583,84.0,1.9254,YA-H
2005-11-01,1.9167,2.0,1.9167,1.9583,24.0,1.9254,YA-H
2005-11-02,1.9583,2.0,1.9583,2.0,101.0,1.9664,YA-H
2005-11-03,1.9583,2.0833,1.9583,1.9583,22.0,1.9254,YA-H
2005-11-04,1.9583,2.0,1.9167,2.0,38.0,1.9664,YA-H
2005-11-07,2.125,2.1667,1.9167,2.0417,79.0,2.0074,YA-H
2005-11-08,2.0,2.0,1.9583,1.9583,66.0,1.9254,YA-H
2005-11-09,1.9167,1.9583,1.875,1.9583,66.0,1.9254,YA-H
2005-11-10,1.9167,1.9583,1.8333,1.9583,88.0,1.9254,YA-H
2005-11-11,2.0,2.0,1.9583,1.9583,132.0,1.9254,YA-H
2005-11-14,1.9167,2.0,1.9167,1.9167,39.0,1.8845,YA-H
2005-11-15,1.9167,1.9167,1.8333,1.875,103.0,1.8435,YA-H
2005-11-16,1.875,2.2083,1.875,2.125,733.0,2.0893,YA-H
2005-11-17,2.1667,2.1667,2.0,2.0833,179.0,2.0483,YA-H
2005-11-18,2.0833,2.125,2.0417,2.0833,50.0,2.0483,YA-H
2005-11-21,2.0417,2.0417,1.9583,1.9583,87.0,1.9254,YA-H
2005-11-22,2.0,2.0833,1.9583,2.0833,64.0,2.0483,YA-H
2005-11-23,2.0417,2.0417,2.0,2.0,112.0,1.9664,YA-H
2005-11-24,1.9583,2.0,1.875,2.0,190.0,1.9664,YA-H
2005-11-25,1.9583,2.0,1.875,1.9583,194.0,1.9254,YA-H
2005-11-28,1.9583,1.9583,1.875,1.875,181.0,1.8435,YA-H
2005-11-29,1.875,2.125,1.875,1.9167,861.0,1.8845,YA-H
2005-11-30,1.875,2.125,1.875,1.9167,861.0,1.8845,YA-H
2005-12-01,1.875,2.125,1.875,1.9167,861.0,1.8845,YA-H
2005-12-02,1.875,2.125,1.875,1.9167,861.0,1.8845,YA-H
2005-12-05,1.875,2.125,1.875,1.9167,861.0,1.8845,YA-H
2005-12-06,1.9583,2.0417,1.8333,1.9167,282.0,1.8845,YA-H
2005-12-07,1.875,1.9167,1.875,1.9167,69.0,1.8845,YA-H
2005-12-08,1.7917,1.8333,1.75,1.7917,216.0,1.7616,YA-H
2005-12-09,1.7917,1.7917,1.6667,1.75,179.0,1.7206,YA-H
2005-12-12,1.6667,1.75,1.6667,1.6667,59.0,1.6387,YA-H
2005-12-13,1.6667,1.6667,1.5417,1.6667,62.0,1.6387,YA-H
2005-12-14,1.5833,1.7083,1.5833,1.6667,107.0,1.6387,YA-H
2005-12-15,1.625,1.625,1.4167,1.5833,222.0,1.5567,YA-H
2005-12-16,1.5,1.5417,1.4167,1.5417,110.0,1.5158,YA-H
2005-12-19,1.5833,1.7083,1.5417,1.7083,304.0,1.6796,YA-H
2005-12-20,1.6667,1.7083,1.5833,1.625,220.0,1.5977,YA-H
2005-12-21,1.5833,1.5833,1.4583,1.5,99.0,1.4748,YA-H
2005-12-22,1.5833,1.5833,1.4583,1.5,99.0,1.4748,YA-H
2005-12-23,1.4583,1.5417,1.4583,1.5417,71.0,1.5158,YA-H
2005-12-28,1.5,1.5417,1.4583,1.5417,121.0,1.5158,YA-H
2005-12-29,1.5417,1.7083,1.5417,1.7083,688.0,1.6796,YA-H
2005-12-30,1.7083,1.75,1.625,1.75,364.0,1.7206,YA-H
2006-01-03,1.75,1.75,1.5833,1.5833,473.0,1.5567,YA-H
2006-01-04,1.6667,1.6667,1.5833,1.5833,99.0,1.5567,YA-H
2006-01-05,1.625,1.6667,1.5833,1.6667,100.0,1.6387,YA-H
2006-01-06,1.6667,1.6667,1.625,1.625,80.0,1.5977,YA-H
2006-01-09,1.625,1.6667,1.625,1.625,59.0,1.5977,YA-H
2006-01-10,1.6667,1.6667,1.625,1.625,183.0,1.5977,YA-H
2006-01-11,1.625,1.6667,1.5833,1.5833,108.0,1.5567,YA-H
2006-01-12,1.5833,1.625,1.5833,1.5833,110.0,1.5567,YA-H
2006-01-13,1.5833,1.625,1.5833,1.625,24.0,1.5977,YA-H
2006-01-16,1.625,1.6667,1.625,1.6667,214.0,1.6387,YA-H
2006-01-17,1.7083,1.75,1.625,1.6667,301.0,1.6387,YA-H
2006-01-18,1.625,1.6667,1.625,1.6667,76.0,1.6387,YA-H
2006-01-19,1.7083,1.8333,1.6667,1.7917,580.0,1.7616,YA-H
2006-01-20,1.8333,1.875,1.625,1.6667,673.0,1.6387,YA-H
2006-01-23,1.6667,1.6667,1.5417,1.625,321.0,1.5977,YA-H
2006-01-24,1.625,1.625,1.4583,1.4583,892.0,1.4338,YA-H
2006-01-25,1.4583,1.5833,1.4583,1.5,1217.0,1.4748,YA-H
2006-01-26,1.5417,1.5417,1.4583,1.5,706.0,1.4748,YA-H
2006-01-27,1.5,1.5833,1.5,1.5833,842.0,1.5567,YA-H
2006-02-01,1.5833,1.6667,1.5833,1.5833,632.0,1.5567,YA-H
2006-02-02,1.625,1.625,1.5,1.5,1058.0,1.4748,YA-H
2006-02-03,1.4583,1.5,1.4167,1.5,494.0,1.4748,YA-H
2006-02-06,1.4583,1.5,1.4167,1.4583,246.0,1.4338,YA-H
2006-02-07,1.4167,1.4583,1.4167,1.4167,573.0,1.3929,YA-H
2006-02-08,1.375,1.375,1.25,1.2917,1471.0,1.27,YA-H
2006-02-09,1.2917,1.2917,1.25,1.2917,671.0,1.27,YA-H
2006-02-10,1.25,1.25,1.1667,1.2083,447.0,1.188,YA-H
2006-02-13,1.1667,1.25,1.0417,1.1667,528.0,1.1471,YA-H
2006-02-14,1.1667,1.2083,1.1667,1.2083,134.0,1.188,YA-H
2006-02-15,1.25,1.25,1.1667,1.1667,191.0,1.1471,YA-H
2006-02-16,1.2083,1.2083,1.0,1.0417,1843.0,1.0242,YA-H
2006-02-17,1.0417,1.1667,1.0417,1.125,910.0,1.1061,YA-H
2006-02-20,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-02-21,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-02-22,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-02-23,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-02-24,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-02-27,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-02-28,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-01,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-02,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-03,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-06,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-07,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-08,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-09,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-10,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-13,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-14,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-15,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
2006-03-16,1.125,1.2917,1.0833,1.2917,1225.0,1.27,YA-H
