DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,3.67,4.02,3.63,4.0,4750700.0,4.0,GOOG-H
2000-01-04,3.95,3.95,3.61,3.66,4519300.0,3.66,GOOG-H
2000-01-05,3.68,3.95,3.59,3.63,6940600.0,3.63,GOOG-H
2000-01-06,3.75,3.82,3.34,3.39,6856500.0,3.39,GOOG-H
2000-01-07,3.41,3.61,3.41,3.5,4108800.0,3.5,GOOG-H
2000-01-10,3.65,3.65,3.38,3.49,4506900.0,3.49,GOOG-H
2000-01-11,3.52,3.55,3.23,3.31,3923000.0,3.31,GOOG-H
2000-01-12,3.31,3.41,3.09,3.12,8714300.0,3.12,GOOG-H
2000-01-13,3.3,3.53,3.3,3.46,9220000.0,3.46,GOOG-H
2000-01-14,3.45,3.65,3.45,3.59,3485500.0,3.59,GOOG-H
2000-01-18,3.63,3.79,3.59,3.77,4043300.0,3.77,GOOG-H
2000-01-19,3.71,3.88,3.69,3.82,5109800.0,3.82,GOOG-H
2000-01-20,4.14,4.34,4.05,4.1,16344200.0,4.1,GOOG-H
2000-01-21,4.05,4.08,3.94,3.97,4414700.0,3.97,GOOG-H
2000-01-24,4.0,4.02,3.75,3.82,3936100.0,3.82,GOOG-H
2000-01-25,3.79,4.04,3.66,3.99,4416200.0,3.99,GOOG-H
2000-01-26,4.0,4.06,3.83,3.83,3272400.0,3.83,GOOG-H
2000-01-27,3.91,4.04,3.82,3.93,3036600.0,3.93,GOOG-H
2000-01-28,3.89,3.96,3.59,3.63,3780000.0,3.63,GOOG-H
2000-01-31,3.63,3.73,3.38,3.7,6284400.0,3.7,GOOG-H
2000-02-01,3.67,3.75,3.57,3.58,2797000.0,3.58,GOOG-H
2000-02-02,3.61,3.64,3.46,3.53,4089800.0,3.53,GOOG-H
2000-02-03,3.58,3.72,3.58,3.69,4242700.0,3.69,GOOG-H
