DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,15.78,16.11,15.55,15.61,4058700.0,15.61,GOOG-H
2000-01-04,15.41,15.55,15.1,15.3,4168900.0,15.3,GOOG-H
2000-01-05,15.02,15.36,15.02,15.19,4651000.0,15.19,GOOG-H
2000-01-06,15.13,15.78,15.13,15.44,5992500.0,15.44,GOOG-H
2000-01-07,15.44,16.22,15.44,16.06,6406600.0,16.06,GOOG-H
2000-01-10,16.11,16.11,15.61,15.69,3884300.0,15.69,GOOG-H
2000-01-11,15.38,15.75,15.38,15.55,3405700.0,15.55,GOOG-H
2000-01-12,15.58,15.66,15.22,15.24,3070900.0,15.24,GOOG-H
2000-01-13,15.24,15.33,15.08,15.08,3931500.0,15.08,GOOG-H
2000-01-14,15.44,15.5,15.27,15.44,3870500.0,15.44,GOOG-H
2000-01-18,15.38,15.38,14.83,15.1,3980600.0,15.1,GOOG-H
2000-01-19,14.71,14.94,14.71,14.8,6526000.0,14.8,GOOG-H
2000-01-20,14.66,14.66,14.21,14.27,5455900.0,14.27,GOOG-H
2000-01-21,14.1,14.13,13.76,13.96,7415700.0,13.96,GOOG-H
2000-01-24,13.71,13.76,13.43,13.43,6533200.0,13.43,GOOG-H
2000-01-25,13.43,13.65,13.15,13.26,8946200.0,13.26,GOOG-H
2000-01-26,13.34,13.4,13.17,13.34,5361800.0,13.34,GOOG-H
2000-01-27,13.31,13.96,13.26,13.87,6093500.0,13.87,GOOG-H
2000-01-28,13.96,14.41,13.96,14.27,5338500.0,14.27,GOOG-H
2000-01-31,14.27,14.71,13.85,14.6,4352800.0,14.6,GOOG-H
2000-02-01,14.29,14.69,14.29,14.66,3112800.0,14.66,GOOG-H
2000-02-02,14.29,14.8,14.29,14.77,3941200.0,14.77,GOOG-H
2000-02-03,14.77,14.96,14.74,14.91,3162300.0,14.91,GOOG-H
2000-02-04,15.13,15.94,15.13,15.44,4567000.0,15.44,GOOG-H
2000-02-07,15.44,15.47,14.94,15.13,2094900.0,15.13,GOOG-H
2000-02-08,15.3,15.41,14.99,15.22,3952700.0,15.22,GOOG-H
2000-02-09,15.52,16.34,15.47,16.11,5440600.0,16.11,GOOG-H
2000-02-10,16.11,16.11,15.52,15.72,5393900.0,15.72,GOOG-H
2000-02-11,15.75,15.75,15.3,15.55,2723700.0,15.55,GOOG-H
2000-02-14,15.75,15.75,15.38,15.69,2365500.0,15.69,GOOG-H
2000-02-15,15.75,15.8,15.5,15.72,3031800.0,15.72,GOOG-H
2000-02-16,15.55,15.72,15.47,15.52,1866100.0,15.52,GOOG-H
2000-02-17,15.64,15.78,15.27,15.44,3942600.0,15.44,GOOG-H
2000-02-18,15.22,15.41,14.49,14.6,3915000.0,14.6,GOOG-H
2000-02-22,14.96,14.96,14.69,14.88,3478600.0,14.88,GOOG-H
2000-02-23,14.49,14.66,14.24,14.46,3206200.0,14.46,GOOG-H
2000-02-24,14.43,14.55,13.9,14.41,2952100.0,14.41,GOOG-H
2000-02-25,14.43,14.66,14.24,14.35,3854000.0,14.35,GOOG-H
2000-02-28,14.99,15.08,14.6,14.83,3525600.0,14.83,GOOG-H
2000-02-29,14.83,15.02,14.6,14.66,3674000.0,14.66,GOOG-H
2000-03-01,14.83,15.22,14.69,15.13,3007300.0,15.13,GOOG-H
2000-03-02,15.13,15.19,14.74,14.99,2368800.0,14.99,GOOG-H
2000-03-03,14.66,14.83,14.27,14.52,4347900.0,14.52,GOOG-H
2000-03-06,14.41,14.41,13.87,14.04,3631700.0,14.04,GOOG-H
2000-03-07,13.96,13.99,13.2,13.26,5633200.0,13.26,GOOG-H
2000-03-08,13.48,13.82,13.45,13.62,6059500.0,13.62,GOOG-H
2000-03-09,13.54,14.07,13.48,14.07,4432600.0,14.07,GOOG-H
2000-03-10,13.65,14.29,13.65,13.85,3064400.0,13.85,GOOG-H
2000-03-13,13.43,13.73,13.43,13.68,2472100.0,13.68,GOOG-H
2000-03-14,13.82,14.07,13.79,13.96,2495400.0,13.96,GOOG-H
2000-03-15,13.85,14.71,13.73,14.55,3213300.0,14.55,GOOG-H
2000-03-16,14.88,15.58,14.88,15.44,4671600.0,15.44,GOOG-H
2000-03-17,15.44,15.61,14.94,14.99,3141400.0,14.99,GOOG-H
2000-03-20,15.33,15.38,15.02,15.19,1961400.0,15.19,GOOG-H
2000-03-21,15.38,15.38,14.74,15.08,3378900.0,15.08,GOOG-H
2000-03-22,15.38,15.41,14.74,15.41,2097300.0,15.41,GOOG-H
2000-03-23,15.33,15.36,15.05,15.13,2318900.0,15.13,GOOG-H
2000-03-24,15.16,15.27,14.99,15.05,2163000.0,15.05,GOOG-H
2000-03-27,14.99,15.16,14.83,14.88,2654900.0,14.88,GOOG-H
2000-03-28,14.8,15.22,14.57,15.08,3757600.0,15.08,GOOG-H
2000-03-29,15.27,15.89,15.19,15.61,4239400.0,15.61,GOOG-H
2000-03-30,15.83,16.11,15.55,15.89,3676200.0,15.89,GOOG-H
2000-03-31,15.89,16.08,15.41,15.86,2024000.0,15.86,GOOG-H
2000-04-03,15.89,16.73,15.83,16.67,3432800.0,16.67,GOOG-H
2000-04-04,16.64,17.79,16.53,17.65,5499100.0,17.65,GOOG-H
2000-04-05,17.29,17.29,16.56,16.59,2989000.0,16.59,GOOG-H
2000-04-06,17.23,17.23,16.56,16.92,2416400.0,16.92,GOOG-H
2000-04-07,16.92,16.98,16.31,16.45,2408400.0,16.45,GOOG-H
2000-04-10,16.22,17.01,15.94,16.48,4288900.0,16.48,GOOG-H
2000-04-11,16.22,17.23,15.94,17.15,3136200.0,17.15,GOOG-H
2000-04-12,17.34,17.93,17.12,17.73,5995600.0,17.73,GOOG-H
2000-04-13,17.57,17.85,17.26,17.59,3460700.0,17.59,GOOG-H
2000-04-14,17.45,17.45,16.36,16.53,3832200.0,16.53,GOOG-H
2000-04-17,16.87,16.95,16.5,16.87,2862600.0,16.87,GOOG-H
2000-04-18,16.87,17.26,16.64,17.2,2402100.0,17.2,GOOG-H
2000-04-19,16.87,17.37,16.87,17.23,2297400.0,17.23,GOOG-H
2000-04-20,17.26,17.62,17.15,17.57,2293500.0,17.57,GOOG-H
2000-04-24,17.34,18.01,17.34,17.93,3358800.0,17.93,GOOG-H
2000-04-25,17.9,17.93,17.45,17.79,2074800.0,17.79,GOOG-H
2000-04-26,17.26,17.45,17.23,17.45,1603900.0,17.45,GOOG-H
2000-04-27,17.26,17.48,17.15,17.45,3573300.0,17.45,GOOG-H
2000-04-28,17.34,17.34,16.87,17.17,1058900.0,17.17,GOOG-H
2000-05-01,17.06,17.06,16.7,17.03,3502700.0,17.03,GOOG-H
2000-05-02,17.06,17.17,16.45,17.09,3371100.0,17.09,GOOG-H
2000-05-03,16.98,17.12,16.64,16.84,3101400.0,16.84,GOOG-H
2000-05-04,16.73,16.87,16.48,16.67,1913300.0,16.67,GOOG-H
2000-05-05,16.56,16.98,16.48,16.98,2344800.0,16.98,GOOG-H
2000-05-08,17.01,17.37,16.81,17.37,1597100.0,17.37,GOOG-H
2000-05-09,17.09,17.43,17.09,17.34,1610400.0,17.34,GOOG-H
2000-05-10,17.09,17.4,17.01,17.26,2215600.0,17.26,GOOG-H
2000-05-11,17.09,17.4,16.87,16.95,1920400.0,16.95,GOOG-H
2000-05-12,16.76,16.78,16.45,16.56,1839500.0,16.56,GOOG-H
2000-05-15,16.76,17.54,16.76,17.43,3863300.0,17.43,GOOG-H
2000-05-16,17.43,17.43,17.15,17.4,2052600.0,17.4,GOOG-H
2000-05-17,17.17,17.54,17.15,17.26,2064500.0,17.26,GOOG-H
2000-05-18,17.45,18.21,17.45,18.15,5488000.0,18.15,GOOG-H
2000-05-19,18.04,18.74,17.99,18.6,4713000.0,18.6,GOOG-H
2000-05-22,18.63,19.16,18.6,19.13,4550000.0,19.13,GOOG-H
2000-05-23,19.13,19.22,18.96,19.22,2790100.0,19.22,GOOG-H
2000-05-24,19.22,19.69,19.16,19.36,4038100.0,19.36,GOOG-H
2000-05-25,19.22,19.36,19.02,19.13,2101000.0,19.13,GOOG-H
2000-05-26,19.13,19.24,18.52,18.66,1767600.0,18.66,GOOG-H
2000-05-30,18.66,18.66,18.18,18.41,1539200.0,18.41,GOOG-H
2000-05-31,18.55,18.55,18.1,18.21,1678300.0,18.21,GOOG-H
2000-06-01,18.24,18.66,18.07,18.29,1565300.0,18.29,GOOG-H
2000-06-02,18.24,18.66,17.43,17.51,2577000.0,17.51,GOOG-H
2000-06-05,17.4,17.99,17.4,17.79,2042300.0,17.79,GOOG-H
2000-06-06,17.54,18.13,17.4,17.99,1477700.0,17.99,GOOG-H
2000-06-07,17.93,18.21,17.93,17.99,1198500.0,17.99,GOOG-H
2000-06-08,18.32,18.35,17.9,18.27,1456200.0,18.27,GOOG-H
2000-06-09,18.32,18.69,18.13,18.27,1196100.0,18.27,GOOG-H
2000-06-12,18.29,18.57,18.04,18.04,1033500.0,18.04,GOOG-H
2000-06-13,17.99,18.57,17.99,18.38,1382900.0,18.38,GOOG-H
2000-06-14,18.52,18.85,18.49,18.8,1725200.0,18.8,GOOG-H
2000-06-15,18.82,19.27,18.77,19.19,2037000.0,19.19,GOOG-H
2000-06-16,18.96,19.27,18.96,18.99,2559900.0,18.99,GOOG-H
2000-06-19,19.05,19.24,18.82,19.16,1605400.0,19.16,GOOG-H
