DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2001-12-11,4.59,4.65,4.49,4.57,3798100.0,4.57,GOOG-H
2001-12-12,4.49,4.5,4.43,4.46,901400.0,4.46,GOOG-H
2001-12-13,4.4,4.44,4.36,4.36,480400.0,4.36,GOOG-H
2001-12-14,4.29,4.29,4.25,4.28,296500.0,4.28,GOOG-H
2001-12-17,4.39,4.45,4.36,4.45,165100.0,4.45,GOOG-H
2001-12-18,4.43,4.5,4.43,4.49,86200.0,4.49,GOOG-H
2001-12-19,4.36,4.45,4.32,4.41,262600.0,4.41,GOOG-H
2001-12-20,4.38,4.38,4.31,4.33,36300.0,4.33,GOOG-H
2001-12-21,4.35,4.36,4.3,4.35,64700.0,4.35,GOOG-H
2001-12-24,4.18,4.31,4.17,4.26,45800.0,4.26,GOOG-H
2001-12-26,4.25,4.28,4.25,4.28,37300.0,4.28,GOOG-H
2001-12-27,4.28,4.34,4.28,4.29,178100.0,4.29,GOOG-H
2001-12-28,4.3,4.33,4.3,4.3,107200.0,4.3,GOOG-H
2001-12-31,4.3,4.37,4.3,4.37,137400.0,4.37,GOOG-H
2002-01-02,4.38,4.4,4.36,4.39,207200.0,4.39,GOOG-H
2002-01-03,4.43,4.49,4.41,4.46,228600.0,4.46,GOOG-H
2002-01-04,4.6,4.69,4.56,4.69,469200.0,4.69,GOOG-H
2002-01-07,5.03,5.03,4.84,4.99,269900.0,4.99,GOOG-H
2002-01-08,4.95,4.96,4.89,4.94,56500.0,4.94,GOOG-H
2002-01-09,4.91,4.92,4.85,4.85,20800.0,4.85,GOOG-H
2002-01-10,4.88,4.88,4.8,4.84,40900.0,4.84,GOOG-H
2002-01-11,4.83,4.84,4.8,4.8,23000.0,4.8,GOOG-H
2002-01-14,4.76,4.76,4.7,4.71,166500.0,4.71,GOOG-H
2002-01-15,4.66,4.66,4.58,4.61,57400.0,4.61,GOOG-H
2002-01-16,4.65,4.74,4.65,4.65,33000.0,4.65,GOOG-H
2002-01-17,4.71,4.75,4.71,4.74,138500.0,4.74,GOOG-H
2002-01-18,4.71,4.71,4.6,4.68,16000.0,4.68,GOOG-H
2002-01-22,4.75,4.75,4.71,4.73,26500.0,4.73,GOOG-H
2002-01-23,4.8,4.81,4.74,4.81,77500.0,4.81,GOOG-H
2002-01-24,4.95,4.97,4.93,4.94,75200.0,4.94,GOOG-H
2002-01-25,5.26,5.33,5.23,5.29,318400.0,5.29,GOOG-H
2002-01-28,5.38,5.45,5.38,5.4,183800.0,5.4,GOOG-H
2002-01-29,5.31,5.31,5.23,5.23,35000.0,5.23,GOOG-H
2002-01-30,5.29,5.31,5.26,5.29,100300.0,5.29,GOOG-H
2002-01-31,5.26,5.26,5.25,5.25,29000.0,5.25,GOOG-H
2002-02-01,5.0,5.01,4.97,4.97,77000.0,4.97,GOOG-H
2002-02-04,5.25,5.25,5.19,5.19,59100.0,5.19,GOOG-H
2002-02-05,5.21,5.24,5.2,5.22,98200.0,5.22,GOOG-H
2002-02-06,5.2,5.2,5.18,5.18,5200.0,5.18,GOOG-H
2002-02-07,5.18,5.18,5.09,5.11,39600.0,5.11,GOOG-H
2002-02-08,5.1,5.1,5.09,5.09,4400.0,5.09,GOOG-H
2002-02-11,5.1,5.13,5.09,5.13,24500.0,5.13,GOOG-H
2002-02-12,5.1,5.12,5.1,5.11,9800.0,5.11,GOOG-H
2002-02-13,5.13,5.13,5.09,5.12,19900.0,5.12,GOOG-H
2002-02-14,5.13,5.15,5.13,5.15,7400.0,5.15,GOOG-H
2002-02-15,5.31,5.39,5.31,5.37,25900.0,5.37,GOOG-H
2002-02-19,5.43,5.56,5.43,5.51,227000.0,5.51,GOOG-H
2002-02-20,5.52,5.53,5.49,5.51,249400.0,5.51,GOOG-H
2002-02-21,5.53,5.53,5.5,5.5,190400.0,5.5,GOOG-H
2002-02-22,5.5,5.52,5.43,5.52,7400.0,5.52,GOOG-H
