DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,32.15,32.49,30.85,31.7,507000.0,31.7,GOOG-H
2000-01-04,31.19,31.25,30.52,30.63,453400.0,30.63,GOOG-H
2000-01-05,30.57,31.31,30.57,31.25,349200.0,31.25,GOOG-H
2000-01-06,31.02,31.98,30.97,31.65,476900.0,31.65,GOOG-H
2000-01-07,32.55,34.92,32.55,33.85,374000.0,33.85,GOOG-H
2000-01-10,34.08,35.15,34.02,35.09,411400.0,35.09,GOOG-H
2000-01-11,34.87,35.21,34.47,34.87,422500.0,34.87,GOOG-H
2000-01-12,35.38,37.97,35.38,37.01,1196600.0,37.01,GOOG-H
2000-01-13,37.52,38.65,35.94,37.75,493500.0,37.75,GOOG-H
2000-01-14,38.54,40.63,38.54,40.35,1050000.0,40.35,GOOG-H
2000-01-18,39.56,40.12,38.43,38.71,662200.0,38.71,GOOG-H
2000-01-19,39.56,39.73,37.47,39.39,457200.0,39.39,GOOG-H
2000-01-20,38.6,38.88,37.58,38.2,530600.0,38.2,GOOG-H
2000-01-21,38.2,38.2,36.28,36.62,784600.0,36.62,GOOG-H
2000-01-24,36.17,36.56,35.26,35.38,690200.0,35.38,GOOG-H
2000-01-25,35.26,35.49,33.68,34.47,481500.0,34.47,GOOG-H
2000-01-26,34.47,35.15,33.96,34.92,283600.0,34.92,GOOG-H
2000-01-27,34.87,36.56,34.87,35.88,641200.0,35.88,GOOG-H
2000-01-28,35.71,37.35,35.71,36.39,360700.0,36.39,GOOG-H
2000-01-31,36.39,36.56,36.05,36.45,424000.0,36.45,GOOG-H
2000-02-01,36.67,37.75,36.56,37.41,357600.0,37.41,GOOG-H
2000-02-02,37.64,38.88,37.47,38.71,504800.0,38.71,GOOG-H
2000-02-03,37.64,40.18,37.47,39.67,589000.0,39.67,GOOG-H
2000-02-04,39.67,39.78,38.14,38.31,312300.0,38.31,GOOG-H
2000-02-07,38.77,39.44,38.37,39.33,182000.0,39.33,GOOG-H
2000-02-08,39.33,39.84,38.43,39.22,270900.0,39.22,GOOG-H
2000-02-09,39.33,39.33,38.14,38.37,301400.0,38.37,GOOG-H
2000-02-10,39.44,39.73,37.92,38.31,542300.0,38.31,GOOG-H
2000-02-11,38.31,38.31,36.22,37.13,377600.0,37.13,GOOG-H
2000-02-14,37.18,39.22,37.13,38.99,358800.0,38.99,GOOG-H
2000-02-15,40.46,41.37,36.28,36.84,1643200.0,36.84,GOOG-H
2000-02-16,36.84,37.69,35.43,36.28,799500.0,36.28,GOOG-H
2000-02-17,36.51,36.73,35.43,35.6,381600.0,35.6,GOOG-H
2000-02-18,36.05,37.24,36.05,36.96,665800.0,36.96,GOOG-H
2000-02-22,37.07,37.86,36.39,36.62,434500.0,36.62,GOOG-H
2000-02-23,36.22,37.01,35.94,36.67,281500.0,36.67,GOOG-H
2000-02-24,36.45,36.56,35.32,35.71,303500.0,35.71,GOOG-H
2000-02-25,35.71,36.62,35.6,36.05,349400.0,36.05,GOOG-H
2000-02-28,36.05,36.05,34.53,36.0,150100.0,36.0,GOOG-H
2000-02-29,35.77,36.28,35.26,36.17,481900.0,36.17,GOOG-H
2000-03-01,36.17,36.22,34.75,34.87,365100.0,34.87,GOOG-H
2000-03-02,34.53,34.81,33.34,34.13,443300.0,34.13,GOOG-H
2000-03-03,33.91,34.19,33.28,33.51,382800.0,33.51,GOOG-H
2000-03-06,33.91,34.19,31.7,33.06,697700.0,33.06,GOOG-H
2000-03-07,32.89,33.62,32.44,32.78,457100.0,32.78,GOOG-H
2000-03-08,32.89,32.95,31.87,32.04,398000.0,32.04,GOOG-H
2000-03-09,32.44,34.92,32.32,34.75,671400.0,34.75,GOOG-H
2000-03-10,34.3,35.04,33.23,33.96,310100.0,33.96,GOOG-H
2000-03-13,33.45,34.7,32.95,34.47,320600.0,34.47,GOOG-H
2000-03-14,34.24,34.24,31.7,32.04,444700.0,32.04,GOOG-H
2000-03-15,32.55,32.55,30.74,31.93,1179200.0,31.93,GOOG-H
2000-03-16,32.1,36.73,31.98,36.73,1057100.0,36.73,GOOG-H
