DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,1196.53,1200.02,1150.46,1160.93,2022898.0,1160.93,GOOG-H
2000-01-04,1133.7,1140.68,1098.1,1101.59,4523298.0,1101.59,GOOG-H
2000-01-05,1101.59,1116.25,1080.65,1103.68,3300198.0,1103.68,GOOG-H
2000-01-06,1105.78,1157.44,1100.19,1139.29,3486098.0,1139.29,GOOG-H
2000-01-07,1157.44,1227.94,1153.25,1223.06,4159798.0,1223.06,GOOG-H
2000-01-10,1223.06,1225.15,1195.83,1200.72,1925398.0,1200.72,GOOG-H
2000-01-11,1203.51,1216.78,1161.63,1181.87,2388998.0,1181.87,GOOG-H
2000-01-12,1203.51,1235.62,1161.63,1217.47,2972198.0,1217.47,GOOG-H
2000-01-13,1217.47,1262.85,1217.47,1250.98,2786398.0,1250.98,GOOG-H
2000-01-14,1246.79,1278.9,1246.79,1274.02,3566798.0,1274.02,GOOG-H
2000-01-18,1253.77,1254.47,1204.91,1210.49,2618098.0,1210.49,GOOG-H
2000-01-19,1213.28,1227.94,1181.87,1186.76,2873198.0,1186.76,GOOG-H
2000-01-20,1195.13,1197.23,1150.46,1165.12,2694498.0,1165.12,GOOG-H
2000-01-21,1175.59,1175.59,1139.99,1160.93,2829098.0,1160.93,GOOG-H
2000-01-24,1155.34,1155.34,1121.14,1133.0,1616998.0,1133.0,GOOG-H
2000-01-25,1133.0,1158.14,1129.51,1149.76,2121998.0,1149.76,GOOG-H
2000-01-26,1152.55,1180.47,1147.66,1178.38,2676398.0,1178.38,GOOG-H
2000-01-27,1179.78,1183.27,1153.25,1175.59,2569598.0,1175.59,GOOG-H
2000-01-28,1168.61,1168.61,1128.12,1139.29,2902298.0,1139.29,GOOG-H
2000-01-31,1144.87,1163.02,1119.74,1163.02,2644398.0,1163.02,GOOG-H
2000-02-01,1157.44,1160.93,1128.12,1143.48,2553598.0,1143.48,GOOG-H
2000-02-02,1149.06,1153.95,1130.91,1142.78,1894098.0,1142.78,GOOG-H
2000-02-03,1133.7,1142.08,1096.01,1131.61,4715297.0,1131.61,GOOG-H
2000-02-04,1138.59,1143.48,1115.55,1123.23,1639198.0,1123.23,GOOG-H
2000-02-07,1115.55,1116.25,1086.93,1087.63,3102898.0,1087.63,GOOG-H
2000-02-08,1076.46,1092.51,1039.46,1071.57,6978196.0,1071.57,GOOG-H
2000-02-09,1080.65,1090.42,1066.68,1086.93,4381898.0,1086.93,GOOG-H
2000-02-10,1100.19,1100.89,1042.25,1053.42,3983598.0,1053.42,GOOG-H
2000-02-11,1064.59,1069.48,1047.84,1059.01,2906798.0,1059.01,GOOG-H
2000-02-14,1065.29,1074.36,1042.95,1047.84,2221898.0,1047.84,GOOG-H
2000-02-15,1049.93,1086.23,1044.35,1077.16,3875798.0,1077.16,GOOG-H
2000-02-16,1049.93,1065.99,1041.55,1053.42,3106798.0,1053.42,GOOG-H
2000-02-17,1065.29,1065.99,1026.2,1034.57,2795098.0,1034.57,GOOG-H
2000-02-18,1024.8,1028.99,988.5,998.97,5128597.0,998.97,GOOG-H
2000-02-22,991.99,995.48,954.99,968.95,5435497.0,968.95,GOOG-H
2000-02-23,957.78,966.86,944.52,954.99,5855697.0,954.99,GOOG-H
2000-02-24,952.2,953.59,924.27,928.46,4861897.0,928.46,GOOG-H
2000-02-25,931.26,951.5,928.46,934.05,3516198.0,934.05,GOOG-H
2000-02-28,949.41,992.69,949.41,973.84,4541898.0,973.84,GOOG-H
2000-02-29,982.91,1004.56,958.48,987.8,4958397.0,987.8,GOOG-H
2000-03-01,996.88,1006.65,978.73,1000.37,2939698.0,1000.37,GOOG-H
2000-03-02,997.57,1001.06,967.56,971.74,2502298.0,971.74,GOOG-H
2000-03-03,992.69,993.39,956.39,964.76,2876698.0,964.76,GOOG-H
2000-03-06,973.14,973.14,936.14,944.52,3498298.0,944.52,GOOG-H
2000-03-07,949.41,950.1,887.97,909.61,4614097.0,909.61,GOOG-H
2000-03-08,898.45,949.41,877.5,927.07,5917797.0,927.07,GOOG-H
2000-03-09,917.29,929.16,902.63,926.37,4486198.0,926.37,GOOG-H
2000-03-10,928.46,937.54,913.11,927.77,3639498.0,927.77,GOOG-H
2000-03-13,915.9,965.46,911.71,965.46,3979898.0,965.46,GOOG-H
2000-03-14,968.95,968.95,952.9,963.37,2489698.0,963.37,GOOG-H
2000-03-15,968.95,1021.31,952.9,1021.31,6805496.0,1021.31,GOOG-H
2000-03-16,1035.97,1119.74,1030.38,1116.25,6867296.0,1116.25,GOOG-H
2000-03-17,1115.55,1130.21,1079.95,1087.63,4559997.0,1087.63,GOOG-H
2000-03-20,1100.19,1110.67,1087.63,1105.78,2118398.0,1105.78,GOOG-H
2000-03-21,1102.99,1132.31,1098.8,1122.53,3815698.0,1122.53,GOOG-H
2000-03-22,1115.55,1117.65,1096.7,1113.46,2738998.0,1113.46,GOOG-H
2000-03-23,1113.46,1178.38,1113.46,1165.12,3961398.0,1165.12,GOOG-H
2000-03-24,1172.79,1210.49,1170.0,1202.12,3259798.0,1202.12,GOOG-H
2000-03-27,1193.74,1200.02,1158.83,1163.02,2353798.0,1163.02,GOOG-H
2000-03-28,1183.27,1183.27,1136.49,1165.12,2978598.0,1165.12,GOOG-H
2000-03-29,1193.74,1196.53,1154.65,1188.85,3025698.0,1188.85,GOOG-H
2000-03-30,1187.46,1241.21,1180.47,1215.38,4626297.0,1215.38,GOOG-H
2000-03-31,1216.78,1233.53,1207.0,1223.06,3461598.0,1223.06,GOOG-H
2000-04-03,1225.85,1322.89,1225.85,1313.81,4185098.0,1313.81,GOOG-H
2000-04-04,1235.62,1327.77,1235.62,1283.09,5958297.0,1283.09,GOOG-H
2000-04-05,1274.72,1278.9,1222.36,1227.25,2736198.0,1227.25,GOOG-H
2000-04-06,1227.25,1241.91,1203.51,1241.91,2572198.0,1241.91,GOOG-H
2000-04-07,1238.42,1271.92,1200.72,1214.68,2837298.0,1214.68,GOOG-H
2000-04-10,1238.42,1272.62,1212.59,1266.34,2161498.0,1266.34,GOOG-H
