DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,33.18,33.6,32.19,32.57,0.0,32.57,GOOG-Q
2018-09-26,32.4,32.6,31.72,32.19,3907.0,32.19,GOOG-Q
2018-10-01,30.69,31.91,30.25,31.42,3166.0,31.42,GOOG-Q
2018-10-02,30.73,30.82,28.65,29.02,37434.0,29.02,GOOG-Q
2018-10-03,29.04,29.22,26.54,28.43,190137198.0,28.43,GOOG-Q
2018-10-04,27.99,28.83,27.37,27.78,111155.0,27.78,GOOG-Q
2018-10-05,28.07,28.47,26.93,27.35,157420.0,27.35,GOOG-Q
2018-10-08,26.73,27.54,25.96,26.46,103789499.0,26.46,GOOG-Q
2018-10-09,26.15,27.71,26.0,27.24,38235.0,27.24,GOOG-Q
2018-10-10,27.38,27.4,24.91,25.0,229399.0,25.0,GOOG-Q
2018-10-11,24.74,26.2,24.55,25.3,120450.0,25.3,GOOG-Q
2018-10-12,26.77,26.97,25.67,26.34,19623.0,26.34,GOOG-Q
2018-10-15,26.38,26.77,25.75,26.26,70523486.0,26.26,GOOG-Q
2018-10-16,26.63,28.23,26.17,28.18,92528973.0,28.18,GOOG-Q
