DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2018-09-25,146.29,146.64,145.48,145.7,0.0,145.7,GOOG-Q
2018-09-26,145.51,145.93,143.69,143.95,0.0,143.95,GOOG-Q
2018-10-01,146.09,146.09,143.96,144.03,0.0,144.03,GOOG-Q
2018-10-02,144.04,144.6,143.11,144.13,0.0,144.13,GOOG-Q
2018-10-03,144.15,145.75,142.75,143.91,1909981.0,143.91,GOOG-Q
2018-10-04,143.73,144.81,142.36,144.44,0.0,144.44,GOOG-Q
2018-10-05,144.81,146.3,144.32,144.75,0.0,144.75,GOOG-Q
2018-10-08,145.05,146.92,145.0,145.79,1760835.0,145.79,GOOG-Q
2018-10-09,146.04,147.89,145.37,147.65,0.0,147.65,GOOG-Q
2018-10-10,146.58,147.75,145.5,145.5,0.0,145.5,GOOG-Q
2018-10-11,145.85,146.25,140.4,140.68,0.0,140.68,GOOG-Q
2018-10-12,142.09,143.78,140.82,142.05,0.0,142.05,GOOG-Q
2018-10-15,141.78,144.25,141.51,142.73,1289637.0,142.73,GOOG-Q
2018-10-16,143.15,146.36,142.69,145.69,1303074.0,145.69,GOOG-Q
