DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-03,89.38,89.56,79.5,89.38,16120900.0,89.38,GOOG-H
2000-01-04,87.47,91.5,81.75,82.38,17467200.0,82.38,GOOG-H
2000-01-05,70.5,75.13,68.0,70.5,38426700.0,70.5,GOOG-H
2000-01-06,71.13,72.69,63.0,63.0,18724400.0,63.0,GOOG-H
2000-01-07,69.0,70.5,66.19,69.69,10425700.0,69.69,GOOG-H
2000-01-10,71.25,72.63,65.56,69.19,14756000.0,69.19,GOOG-H
2000-01-11,68.75,69.94,65.0,66.63,10477000.0,66.63,GOOG-H
2000-01-12,65.06,68.0,63.0,63.38,10804900.0,63.38,GOOG-H
2000-01-13,64.41,67.19,63.13,65.94,10448100.0,65.94,GOOG-H
2000-01-14,65.91,68.63,64.0,64.25,6854100.0,64.25,GOOG-H
2000-01-18,64.25,65.25,63.0,64.38,5380300.0,64.38,GOOG-H
2000-01-19,64.0,67.5,63.0,67.0,8198400.0,67.0,GOOG-H
2000-01-20,67.0,67.0,63.94,64.75,5967300.0,64.75,GOOG-H
2000-01-21,64.75,64.78,60.0,63.69,11454700.0,63.69,GOOG-H
2000-01-24,70.13,73.38,67.5,70.13,29143700.0,70.13,GOOG-H
2000-01-25,70.5,71.25,66.0,70.23,9427700.0,70.23,GOOG-H
2000-01-26,69.31,70.0,64.69,64.81,6556400.0,64.81,GOOG-H
2000-01-27,65.75,67.75,64.63,66.94,6770600.0,66.94,GOOG-H
2000-01-28,66.44,66.44,60.0,62.06,13744900.0,62.06,GOOG-H
2000-01-31,62.0,64.81,58.44,64.63,10697300.0,64.63,GOOG-H
2000-02-01,66.25,70.63,64.38,67.5,13403400.0,67.5,GOOG-H
2000-02-02,67.75,76.5,67.75,75.69,13027800.0,75.69,GOOG-H
2000-02-03,80.38,85.94,77.38,83.38,43735200.0,83.38,GOOG-H
2000-02-04,82.75,82.75,77.88,78.75,11022600.0,78.75,GOOG-H
2000-02-07,76.81,76.81,73.13,75.25,10124900.0,75.25,GOOG-H
2000-02-08,74.0,84.13,73.44,83.81,19455900.0,83.81,GOOG-H
2000-02-09,83.03,83.73,79.75,79.75,9577000.0,79.75,GOOG-H
2000-02-10,79.5,79.88,75.5,75.88,9970600.0,75.88,GOOG-H
2000-02-11,76.75,79.13,75.5,76.19,8307700.0,76.19,GOOG-H
2000-02-14,75.75,75.75,73.56,75.0,5161300.0,75.0,GOOG-H
2000-02-15,74.78,76.19,70.63,74.0,6341100.0,74.0,GOOG-H
2000-02-16,73.44,73.44,70.56,70.69,4085200.0,70.69,GOOG-H
2000-02-17,70.94,72.13,68.0,69.0,6129300.0,69.0,GOOG-H
2000-02-18,68.5,69.0,63.88,64.94,8715900.0,64.94,GOOG-H
2000-02-22,66.0,66.13,63.06,63.63,5683900.0,63.63,GOOG-H
2000-02-23,64.69,71.75,64.69,67.25,8440200.0,67.25,GOOG-H
2000-02-24,71.38,71.38,65.63,68.44,5868300.0,68.44,GOOG-H
2000-02-25,67.0,69.38,65.19,68.5,4868600.0,68.5,GOOG-H
2000-02-28,67.19,67.19,64.13,65.5,4977900.0,65.5,GOOG-H
2000-02-29,66.0,68.97,65.88,68.88,7146300.0,68.88,GOOG-H
2000-03-01,68.0,68.5,65.0,65.88,5575800.0,65.88,GOOG-H
2000-03-02,65.0,65.0,62.19,62.56,7979000.0,62.56,GOOG-H
2000-03-03,62.88,64.75,62.06,62.5,6059500.0,62.5,GOOG-H
2000-03-06,63.0,67.13,62.75,63.56,7502000.0,63.56,GOOG-H
2000-03-07,64.0,65.81,62.13,64.0,4070400.0,64.0,GOOG-H
2000-03-08,64.0,64.75,60.56,63.63,5936700.0,63.63,GOOG-H
