DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2015-03-31,0.56,0.6,0.53,0.56,4816294.0,0.56,GOOG-H
2015-04-01,0.57,0.58,0.56,0.56,4376660.0,0.56,GOOG-H
2015-04-02,0.56,0.56,0.54,0.56,2779640.0,0.56,GOOG-H
2015-04-07,0.55,0.55,0.54,0.55,392179.0,0.55,GOOG-H
2015-04-08,0.55,0.55,0.53,0.54,668446.0,0.54,GOOG-H
2015-04-09,0.54,0.54,0.53,0.54,706846.0,0.54,GOOG-H
2015-04-10,0.53,0.54,0.53,0.54,175104.0,0.54,GOOG-H
2015-04-13,0.54,0.54,0.53,0.54,565808.0,0.54,GOOG-H
2015-04-14,0.54,0.54,0.54,0.54,371393.0,0.54,GOOG-H
2015-04-15,0.54,0.55,0.54,0.54,925749.0,0.54,GOOG-H
2015-04-16,0.55,0.55,0.53,0.53,592613.0,0.53,GOOG-H
2015-04-17,0.53,0.54,0.52,0.54,547790.0,0.54,GOOG-H
2015-04-20,0.54,0.54,0.52,0.52,374120.0,0.52,GOOG-H
2015-04-21,0.53,0.53,0.52,0.52,651198.0,0.52,GOOG-H
2015-04-22,0.52,0.53,0.52,0.52,392390.0,0.52,GOOG-H
2015-04-23,0.52,0.52,0.51,0.51,1425194.0,0.51,GOOG-H
2015-04-24,0.51,0.51,0.49,0.51,1066155.0,0.51,GOOG-H
2015-04-27,0.51,0.51,0.5,0.51,220868.0,0.51,GOOG-H
2015-04-28,0.5,0.5,0.48,0.48,486072.0,0.48,GOOG-H
2015-04-29,0.49,0.49,0.48,0.48,216411.0,0.48,GOOG-H
2015-04-30,0.48,0.5,0.48,0.5,531816.0,0.5,GOOG-H
2015-05-01,0.5,0.5,0.5,0.5,797093.0,0.5,GOOG-H
2015-05-04,0.51,0.51,0.5,0.51,130986.0,0.51,GOOG-H
2015-05-06,0.5,0.51,0.5,0.51,2235391.0,0.51,GOOG-H
2015-05-07,0.51,0.51,0.49,0.5,804209.0,0.5,GOOG-H
2015-05-08,0.5,0.51,0.5,0.5,146993.0,0.5,GOOG-H
2015-05-11,0.5,0.5,0.49,0.5,164626.0,0.5,GOOG-H
2015-05-12,0.5,0.51,0.48,0.49,197408.0,0.49,GOOG-H
2015-05-13,0.48,0.5,0.47,0.47,420992.0,0.47,GOOG-H
2015-05-14,0.48,0.49,0.47,0.48,828299.0,0.48,GOOG-H
2015-05-15,0.48,0.49,0.47,0.47,313746.0,0.47,GOOG-H
2015-05-18,0.48,0.48,0.47,0.47,200098.0,0.47,GOOG-H
2015-05-19,0.48,0.49,0.48,0.49,357477.0,0.49,GOOG-H
2015-05-20,0.49,0.49,0.48,0.48,340551.0,0.48,GOOG-H
2015-05-21,0.48,0.48,0.47,0.48,305175.0,0.48,GOOG-H
2015-05-22,0.48,0.49,0.47,0.47,124190.0,0.47,GOOG-H
2015-05-25,0.48,0.49,0.47,0.47,555332.0,0.47,GOOG-H
2015-05-26,0.49,0.5,0.48,0.48,967695.0,0.48,GOOG-H
2015-05-27,0.48,0.49,0.48,0.48,3361058.0,0.48,GOOG-H
2015-05-28,0.47,0.49,0.47,0.47,357783.0,0.47,GOOG-H
2015-05-29,0.48,0.48,0.46,0.47,5665854.0,0.47,GOOG-H
2015-06-01,0.47,0.48,0.46,0.48,206190.0,0.48,GOOG-H
2015-06-02,0.48,0.48,0.47,0.47,2718234.0,0.47,GOOG-H
2015-06-03,0.47,0.51,0.47,0.51,3168563.0,0.51,GOOG-H
2015-06-04,0.52,0.53,0.52,0.53,3896511.0,0.53,GOOG-H
2015-06-05,0.54,0.54,0.52,0.52,913648.0,0.52,GOOG-H
2015-06-09,0.52,0.53,0.52,0.52,749933.0,0.52,GOOG-H
2015-06-10,0.53,0.53,0.53,0.53,827837.0,0.53,GOOG-H
2015-06-11,0.54,0.54,0.53,0.53,799466.0,0.53,GOOG-H
2015-06-12,0.52,0.54,0.52,0.53,1096602.0,0.53,GOOG-H
2015-06-15,0.53,0.54,0.53,0.53,916435.0,0.53,GOOG-H
2015-06-16,0.53,0.53,0.52,0.52,297945.0,0.52,GOOG-H
2015-06-17,0.53,0.53,0.52,0.52,789115.0,0.52,GOOG-H
2015-06-18,0.52,0.52,0.5,0.5,886911.0,0.5,GOOG-H
2015-06-19,0.51,0.51,0.51,0.51,175718.0,0.51,GOOG-H
2015-06-22,0.62,0.63,0.56,0.61,5399363.0,0.61,GOOG-H
2015-06-23,0.62,0.72,0.62,0.69,6889072.0,0.69,GOOG-H
2015-06-24,0.68,0.68,0.65,0.67,3592761.0,0.67,GOOG-H
2015-06-25,0.66,0.66,0.62,0.64,1464128.0,0.64,GOOG-H
2015-06-26,0.65,0.66,0.65,0.65,840001.0,0.65,GOOG-H
2015-06-29,0.64,0.66,0.63,0.65,645800.0,0.65,GOOG-H
2015-06-30,0.64,0.65,0.63,0.64,1691918.0,0.64,GOOG-H
