DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2013-01-02,1.44,1.49,1.44,1.46,850095.0,1.46,GOOG-H
2013-01-03,1.46,1.5,1.46,1.48,1168066.0,1.48,GOOG-H
2013-01-04,1.47,1.49,1.46,1.48,930155.0,1.48,GOOG-H
2013-01-07,1.5,1.52,1.47,1.48,2175333.0,1.48,GOOG-H
2013-01-08,1.48,1.49,1.44,1.44,962789.0,1.44,GOOG-H
2013-01-09,1.45,1.47,1.44,1.45,1467585.0,1.45,GOOG-H
2013-01-10,1.48,1.48,1.46,1.47,1954752.0,1.47,GOOG-H
2013-01-11,1.47,1.48,1.47,1.47,921738.0,1.47,GOOG-H
2013-01-14,1.48,1.48,1.46,1.48,865716.0,1.48,GOOG-H
2013-01-15,1.49,1.51,1.47,1.47,1285216.0,1.47,GOOG-H
2013-01-16,1.47,1.5,1.46,1.49,2262191.0,1.49,GOOG-H
2013-01-17,1.48,1.55,1.48,1.53,2466326.0,1.53,GOOG-H
2013-01-18,1.54,1.55,1.52,1.53,1278981.0,1.53,GOOG-H
2013-01-21,1.52,1.54,1.5,1.53,845691.0,1.53,GOOG-H
2013-01-22,1.53,1.53,1.49,1.49,1258733.0,1.49,GOOG-H
2013-01-23,1.5,1.52,1.47,1.47,2023313.0,1.47,GOOG-H
2013-01-24,1.49,1.53,1.47,1.53,1202236.0,1.53,GOOG-H
2013-01-25,1.53,1.61,1.52,1.56,1597071.0,1.56,GOOG-H
2013-01-29,1.57,1.57,1.5,1.51,2412809.0,1.51,GOOG-H
2013-01-30,1.51,1.53,1.5,1.52,481578.0,1.52,GOOG-H
2013-01-31,1.53,1.55,1.52,1.55,1039429.0,1.55,GOOG-H
2013-02-01,1.56,1.6,1.55,1.59,1355551.0,1.59,GOOG-H
2013-02-04,1.6,1.6,1.56,1.57,776892.0,1.57,GOOG-H
2013-02-05,1.58,1.63,1.57,1.57,1901547.0,1.57,GOOG-H
2013-02-06,1.58,1.58,1.55,1.56,1460904.0,1.56,GOOG-H
2013-02-07,1.55,1.55,1.53,1.54,1853633.0,1.54,GOOG-H
2013-02-08,1.54,1.55,1.52,1.54,978461.0,1.54,GOOG-H
2013-02-11,1.54,1.55,1.53,1.54,1336476.0,1.54,GOOG-H
2013-02-12,1.54,1.57,1.53,1.55,1273325.0,1.55,GOOG-H
2013-02-13,1.57,1.57,1.53,1.54,473660.0,1.54,GOOG-H
2013-02-14,1.53,1.55,1.52,1.53,1282414.0,1.53,GOOG-H
2013-02-15,1.55,1.55,1.53,1.54,1315600.0,1.54,GOOG-H
2013-02-18,1.54,1.58,1.53,1.57,630326.0,1.57,GOOG-H
2013-02-19,1.55,1.58,1.54,1.58,950376.0,1.58,GOOG-H
2013-02-20,1.58,1.61,1.58,1.59,1697784.0,1.59,GOOG-H
2013-02-21,1.57,1.57,1.41,1.48,4312168.0,1.48,GOOG-H
2013-02-22,1.49,1.54,1.49,1.53,1867283.0,1.53,GOOG-H
2013-02-25,1.53,1.55,1.5,1.5,934361.0,1.5,GOOG-H
2013-02-26,1.49,1.5,1.46,1.47,1103170.0,1.47,GOOG-H
2013-02-27,1.48,1.5,1.48,1.49,946721.0,1.49,GOOG-H
2013-02-28,1.49,1.53,1.49,1.52,1538318.0,1.52,GOOG-H
2013-03-01,1.53,1.53,1.47,1.48,923068.0,1.48,GOOG-H
2013-03-04,1.49,1.51,1.45,1.46,784803.0,1.46,GOOG-H
2013-03-05,1.48,1.49,1.44,1.45,1216378.0,1.45,GOOG-H
2013-03-06,1.45,1.5,1.41,1.49,2013302.0,1.49,GOOG-H
2013-03-07,1.48,1.5,1.47,1.47,508222.0,1.47,GOOG-H
2013-03-08,1.48,1.51,1.47,1.5,1774173.0,1.5,GOOG-H
2013-03-11,1.49,1.5,1.47,1.47,825358.0,1.47,GOOG-H
2013-03-12,1.49,1.49,1.45,1.46,747438.0,1.46,GOOG-H
2013-03-13,1.46,1.47,1.43,1.46,616376.0,1.46,GOOG-H
2013-03-14,1.47,1.47,1.45,1.45,1018302.0,1.45,GOOG-H
2013-03-15,1.45,1.52,1.45,1.51,1420670.0,1.51,GOOG-H
2013-03-18,1.48,1.51,1.48,1.5,1262444.0,1.5,GOOG-H
2013-03-19,1.51,1.52,1.47,1.47,952691.0,1.47,GOOG-H
