DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,0.72,0.72,0.69,0.69,119838.0,0.69,GOOG-H
2000-01-05,0.69,0.71,0.69,0.71,148262.0,0.71,GOOG-H
2000-01-06,0.69,0.7,0.68,0.69,299140.0,0.69,GOOG-H
2000-01-07,0.69,0.69,0.68,0.68,353947.0,0.68,GOOG-H
2000-01-10,0.67,0.68,0.67,0.68,261789.0,0.68,GOOG-H
2000-01-11,0.7,0.7,0.68,0.68,75289.0,0.68,GOOG-H
2000-01-12,0.68,0.69,0.68,0.68,164012.0,0.68,GOOG-H
2000-01-13,0.68,0.68,0.68,0.68,27091.0,0.68,GOOG-H
2000-01-14,0.68,0.7,0.68,0.7,67747.0,0.7,GOOG-H
2000-01-17,0.68,0.69,0.68,0.69,405120.0,0.69,GOOG-H
2000-01-18,0.69,0.7,0.68,0.7,187123.0,0.7,GOOG-H
2000-01-19,0.7,0.7,0.68,0.68,67176.0,0.68,GOOG-H
2000-01-20,0.68,0.69,0.68,0.68,435079.0,0.68,GOOG-H
2000-01-21,0.69,0.7,0.68,0.7,407503.0,0.7,GOOG-H
2000-01-24,0.68,0.68,0.68,0.68,44600.0,0.68,GOOG-H
2000-01-25,0.68,0.68,0.68,0.68,53093.0,0.68,GOOG-H
2000-01-27,0.68,0.68,0.68,0.68,23937.0,0.68,GOOG-H
2000-01-28,0.68,0.7,0.68,0.7,91824.0,0.7,GOOG-H
2000-01-31,0.68,0.7,0.68,0.69,83492.0,0.69,GOOG-H
2000-02-01,0.69,0.7,0.69,0.69,63490.0,0.69,GOOG-H
2000-02-02,0.69,0.69,0.69,0.69,168697.0,0.69,GOOG-H
2000-02-03,0.69,0.7,0.69,0.69,200678.0,0.69,GOOG-H
2000-02-04,0.68,0.69,0.68,0.69,181180.0,0.69,GOOG-H
2000-02-07,0.69,0.7,0.68,0.7,141616.0,0.7,GOOG-H
2000-02-08,0.69,0.69,0.66,0.66,45992.0,0.66,GOOG-H
2000-02-09,0.65,0.65,0.6,0.61,258477.0,0.61,GOOG-H
2000-02-10,0.61,0.61,0.61,0.61,37934.0,0.61,GOOG-H
2000-02-11,0.6,0.6,0.55,0.59,242369.0,0.59,GOOG-H
2000-02-14,0.57,0.61,0.57,0.61,41714.0,0.61,GOOG-H
2000-02-15,0.61,0.62,0.6,0.6,279130.0,0.6,GOOG-H
2000-02-16,0.6,0.6,0.55,0.58,927536.0,0.58,GOOG-H
