DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-11-14,5.98,5.98,5.58,5.68,1717700.0,5.68,GOOG-H
2002-11-15,5.48,5.53,5.23,5.48,1185944.0,5.48,GOOG-H
2002-11-18,5.48,5.58,5.48,5.48,340480.0,5.48,GOOG-H
2002-11-19,5.53,5.53,5.48,5.48,429643.0,5.48,GOOG-H
2002-11-20,5.53,5.53,5.48,5.48,685297.0,5.48,GOOG-H
2002-11-21,5.53,5.53,5.48,5.48,99506.0,5.48,GOOG-H
2002-11-22,5.43,5.48,5.38,5.48,126614.0,5.48,GOOG-H
2002-11-25,5.48,5.48,5.48,5.48,25441.0,5.48,GOOG-H
2002-11-26,5.58,5.68,5.58,5.63,162373.0,5.63,GOOG-H
2002-11-27,5.68,5.68,5.58,5.63,103146.0,5.63,GOOG-H
2002-11-28,5.58,5.58,5.58,5.58,90915.0,5.58,GOOG-H
2002-11-29,5.58,5.58,5.58,5.58,343955.0,5.58,GOOG-H
2002-12-02,5.58,5.58,5.53,5.58,130064.0,5.58,GOOG-H
2002-12-03,5.58,5.58,5.53,5.58,406972.0,5.58,GOOG-H
2002-12-04,5.53,5.58,5.53,5.53,130974.0,5.53,GOOG-H
2002-12-05,5.58,5.58,5.53,5.53,279437.0,5.53,GOOG-H
2002-12-06,5.53,5.58,5.53,5.53,1949244.0,5.53,GOOG-H
2002-12-09,5.53,5.53,5.53,5.53,398650.0,5.53,GOOG-H
2002-12-10,5.53,5.58,5.53,5.53,364948.0,5.53,GOOG-H
2002-12-11,5.58,5.68,5.53,5.53,422041.0,5.53,GOOG-H
2002-12-12,5.53,5.58,5.48,5.53,283102.0,5.53,GOOG-H
2002-12-13,5.58,5.63,5.53,5.58,314773.0,5.58,GOOG-H
2002-12-16,5.58,5.58,5.48,5.58,326562.0,5.58,GOOG-H
2002-12-17,5.58,5.58,5.48,5.48,165013.0,5.48,GOOG-H
2002-12-18,5.53,5.53,5.48,5.48,150489.0,5.48,GOOG-H
2002-12-19,5.53,5.53,5.48,5.48,210833.0,5.48,GOOG-H
2002-12-20,5.53,5.53,5.48,5.53,128322.0,5.53,GOOG-H
2002-12-23,5.48,5.53,5.48,5.53,127782.0,5.53,GOOG-H
2002-12-24,5.48,5.48,5.48,5.48,8594.0,5.48,GOOG-H
2002-12-27,5.53,5.53,5.53,5.53,28300.0,5.53,GOOG-H
