DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-11-03,1.1,1.15,1.07,1.1,6909198.0,1.1,GOOG-H
2005-11-04,1.09,1.09,1.06,1.07,1879201.0,1.07,GOOG-H
2005-11-07,1.09,1.09,1.05,1.06,644835.0,1.06,GOOG-H
2005-11-08,1.05,1.06,1.05,1.05,653300.0,1.05,GOOG-H
2005-11-09,1.05,1.05,1.03,1.04,342365.0,1.04,GOOG-H
2005-11-10,1.03,1.03,1.02,1.03,289591.0,1.03,GOOG-H
2005-11-11,1.03,1.05,1.03,1.03,997209.0,1.03,GOOG-H
2005-11-14,1.03,1.06,1.03,1.06,270900.0,1.06,GOOG-H
2005-11-15,1.07,1.08,1.07,1.08,282100.0,1.08,GOOG-H
2005-11-16,1.08,1.11,1.08,1.11,315000.0,1.11,GOOG-H
2005-11-17,1.11,1.12,1.1,1.11,816500.0,1.11,GOOG-H
2005-11-18,1.1,1.1,1.09,1.09,128640.0,1.09,GOOG-H
2005-11-21,1.08,1.08,1.07,1.07,56785.0,1.07,GOOG-H
2005-11-22,1.07,1.08,1.07,1.07,80375.0,1.07,GOOG-H
2005-11-23,1.07,1.07,1.06,1.06,996840.0,1.06,GOOG-H
2005-11-24,1.07,1.07,1.05,1.06,217663.0,1.06,GOOG-H
2005-11-25,1.06,1.06,1.05,1.05,184191.0,1.05,GOOG-H
2005-11-28,1.05,1.06,1.04,1.05,113000.0,1.05,GOOG-H
2005-11-29,1.05,1.07,1.05,1.07,105000.0,1.07,GOOG-H
2005-11-30,1.07,1.08,1.07,1.07,32850.0,1.07,GOOG-H
2005-12-01,1.06,1.07,1.06,1.07,30000.0,1.07,GOOG-H
2005-12-02,1.06,1.07,1.06,1.06,113988.0,1.06,GOOG-H
2005-12-05,1.04,1.06,1.04,1.06,142850.0,1.06,GOOG-H
2005-12-06,1.06,1.06,1.05,1.05,127000.0,1.05,GOOG-H
2005-12-07,1.05,1.06,1.05,1.05,202377.0,1.05,GOOG-H
2005-12-08,1.05,1.06,1.05,1.06,137500.0,1.06,GOOG-H
2005-12-09,1.05,1.06,1.05,1.06,401680.0,1.06,GOOG-H
2005-12-12,1.06,1.07,1.06,1.06,235360.0,1.06,GOOG-H
2005-12-13,1.06,1.06,1.06,1.06,289746.0,1.06,GOOG-H
2005-12-14,1.07,1.07,1.06,1.06,37500.0,1.06,GOOG-H
2005-12-15,1.06,1.07,1.06,1.06,272500.0,1.06,GOOG-H
2005-12-16,1.06,1.07,1.06,1.07,205000.0,1.07,GOOG-H
2005-12-19,1.06,1.07,1.06,1.06,49000.0,1.06,GOOG-H
2005-12-20,1.07,1.07,1.06,1.07,39500.0,1.07,GOOG-H
2005-12-21,1.06,1.09,1.06,1.09,21000.0,1.09,GOOG-H
2005-12-22,1.09,1.09,1.09,1.09,40000.0,1.09,GOOG-H
2005-12-23,1.09,1.09,1.09,1.09,1090500.0,1.09,GOOG-H
2005-12-28,1.09,1.09,1.09,1.09,27000.0,1.09,GOOG-H
