DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,5.5,5.5,5.13,5.15,108131.0,5.15,GOOG-H
2000-01-05,5.13,5.13,4.78,4.87,229376.0,4.87,GOOG-H
2000-01-06,4.88,4.88,4.72,4.74,263067.0,4.74,GOOG-H
2000-01-07,4.76,4.85,4.76,4.8,198395.0,4.8,GOOG-H
2000-01-10,4.88,5.15,4.88,5.13,96413.0,5.13,GOOG-H
2000-01-11,5.25,5.25,4.97,5.02,448316.0,5.02,GOOG-H
2000-01-12,5.0,5.1,5.0,5.03,37862.0,5.03,GOOG-H
2000-01-13,5.0,5.0,4.91,4.95,161857.0,4.95,GOOG-H
2000-01-14,5.0,5.06,4.95,4.95,72872.0,4.95,GOOG-H
2000-01-17,4.95,5.01,4.93,5.01,144088.0,5.01,GOOG-H
2000-01-18,5.0,5.15,5.0,5.11,127373.0,5.11,GOOG-H
2000-01-19,5.16,5.31,5.16,5.31,106724.0,5.31,GOOG-H
2000-01-20,5.32,5.75,5.32,5.63,117520.0,5.63,GOOG-H
2000-01-21,5.63,5.69,5.56,5.56,73542.0,5.56,GOOG-H
2000-01-24,5.56,5.61,5.56,5.6,209511.0,5.6,GOOG-H
2000-01-25,5.53,5.6,5.53,5.6,152352.0,5.6,GOOG-H
2000-01-27,5.63,5.88,5.63,5.83,159494.0,5.83,GOOG-H
2000-01-28,5.89,6.06,5.89,6.06,388318.0,6.06,GOOG-H
2000-01-31,5.93,6.04,5.88,6.02,57065.0,6.02,GOOG-H
2000-02-01,6.01,6.08,5.93,6.03,138995.0,6.03,GOOG-H
2000-02-02,5.99,6.06,5.99,6.05,70638.0,6.05,GOOG-H
2000-02-03,6.1,6.2,6.09,6.15,178266.0,6.15,GOOG-H
2000-02-04,6.15,6.29,6.12,6.25,121820.0,6.25,GOOG-H
2000-02-07,6.26,6.27,6.1,6.13,46651.0,6.13,GOOG-H
2000-02-08,6.23,6.23,5.75,5.75,151375.0,5.75,GOOG-H
2000-02-09,5.66,5.66,4.97,5.12,467763.0,5.12,GOOG-H
2000-02-10,5.1,5.38,5.08,5.25,545468.0,5.25,GOOG-H
2000-02-11,5.27,5.46,5.25,5.25,282957.0,5.25,GOOG-H
2000-02-14,5.3,5.3,5.07,5.13,222709.0,5.13,GOOG-H
2000-02-15,5.13,5.13,5.04,5.08,147794.0,5.08,GOOG-H
2000-02-16,5.08,5.11,4.95,5.04,218136.0,5.04,GOOG-H
2000-02-17,5.04,5.25,5.01,5.22,76279.0,5.22,GOOG-H
2000-02-18,5.21,5.23,5.18,5.19,73838.0,5.19,GOOG-H
2000-02-21,5.19,5.23,5.19,5.2,262039.0,5.2,GOOG-H
2000-02-22,5.21,5.68,5.17,5.17,572444.0,5.17,GOOG-H
2000-02-23,5.13,5.13,4.55,4.7,586792.0,4.7,GOOG-H
2000-02-24,4.88,4.88,4.33,4.33,318736.0,4.33,GOOG-H
2000-02-25,4.43,4.45,4.29,4.43,956680.0,4.43,GOOG-H
2000-02-28,4.45,4.56,4.45,4.49,313795.0,4.49,GOOG-H
2000-02-29,4.5,4.53,4.45,4.46,244791.0,4.46,GOOG-H
2000-03-01,4.45,4.48,4.33,4.41,143797.0,4.41,GOOG-H
2000-03-02,4.42,4.42,4.09,4.13,326793.0,4.13,GOOG-H
