DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,0.92,0.92,0.92,0.92,2341.0,0.92,GOOG-H
2000-01-05,0.91,0.91,0.9,0.9,34651.0,0.9,GOOG-H
2000-01-06,0.9,0.9,0.88,0.88,3652.0,0.88,GOOG-H
2000-01-07,0.9,0.9,0.88,0.9,6112.0,0.9,GOOG-H
2000-01-10,0.9,0.9,0.9,0.9,4214.0,0.9,GOOG-H
2000-01-11,0.9,0.9,0.9,0.9,5057.0,0.9,GOOG-H
2000-01-12,0.9,0.9,0.88,0.9,4089.0,0.9,GOOG-H
2000-01-13,0.9,0.9,0.9,0.9,2406.0,0.9,GOOG-H
2000-01-14,0.9,0.91,0.9,0.91,11954.0,0.91,GOOG-H
2000-01-17,0.91,0.92,0.91,0.91,5662.0,0.91,GOOG-H
2000-01-18,0.91,0.91,0.9,0.9,7445.0,0.9,GOOG-H
2000-01-19,0.91,0.91,0.9,0.9,7281.0,0.9,GOOG-H
2000-01-20,0.9,0.91,0.9,0.91,8288.0,0.91,GOOG-H
2000-01-21,0.91,0.92,0.91,0.92,5027.0,0.92,GOOG-H
2000-01-24,0.92,0.92,0.91,0.91,11583.0,0.91,GOOG-H
2000-01-25,0.92,0.92,0.92,0.92,27159.0,0.92,GOOG-H
2000-01-27,0.92,0.92,0.92,0.92,1873.0,0.92,GOOG-H
2000-01-28,0.92,0.92,0.92,0.92,2669.0,0.92,GOOG-H
2000-01-31,0.93,0.93,0.92,0.92,6106.0,0.92,GOOG-H
2000-02-01,0.92,0.92,0.92,0.92,1404.0,0.92,GOOG-H
2000-02-02,0.92,0.93,0.92,0.93,2341.0,0.93,GOOG-H
2000-02-03,0.93,0.94,0.93,0.93,10443.0,0.93,GOOG-H
2000-02-04,0.93,0.94,0.92,0.92,9972.0,0.92,GOOG-H
2000-02-07,0.93,0.93,0.92,0.93,7708.0,0.93,GOOG-H
2000-02-08,0.92,0.92,0.91,0.91,1873.0,0.91,GOOG-H
2000-02-09,0.92,0.92,0.92,0.92,2824.0,0.92,GOOG-H
2000-02-10,0.92,0.93,0.92,0.92,5393.0,0.92,GOOG-H
2000-02-11,0.92,0.93,0.92,0.93,7539.0,0.93,GOOG-H
2000-02-14,0.93,0.93,0.93,0.93,1404.0,0.93,GOOG-H
2000-02-15,0.92,0.92,0.92,0.92,3277.0,0.92,GOOG-H
2000-02-16,0.92,0.93,0.92,0.92,4420.0,0.92,GOOG-H
2000-02-17,0.92,0.92,0.91,0.92,4682.0,0.92,GOOG-H
2000-02-18,0.92,0.92,0.91,0.91,3056.0,0.91,GOOG-H
2000-02-21,0.9,0.9,0.9,0.9,5619.0,0.9,GOOG-H
2000-02-22,0.89,0.89,0.89,0.89,1217.0,0.89,GOOG-H
2000-02-23,0.89,0.89,0.89,0.89,2575.0,0.89,GOOG-H
2000-02-24,0.89,0.89,0.89,0.89,1030.0,0.89,GOOG-H
2000-02-25,0.89,0.89,0.89,0.89,1379.0,0.89,GOOG-H
2000-02-28,0.89,0.89,0.89,0.89,3346.0,0.89,GOOG-H
2000-02-29,0.9,0.9,0.9,0.9,461.0,0.9,GOOG-H
2000-03-01,0.9,0.91,0.89,0.89,2809.0,0.89,GOOG-H
2000-03-02,0.88,0.88,0.88,0.88,1319.0,0.88,GOOG-H
2000-03-03,0.88,0.88,0.88,0.88,1958.0,0.88,GOOG-H
2000-03-06,0.88,0.88,0.88,0.88,840.0,0.88,GOOG-H
2000-03-07,0.88,0.88,0.86,0.86,5208.0,0.86,GOOG-H
2000-03-08,0.86,0.86,0.86,0.86,3886.0,0.86,GOOG-H
2000-03-09,0.86,0.86,0.86,0.86,3277.0,0.86,GOOG-H
