DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,5.6,5.65,5.6,5.6,89568.0,5.6,GOOG-H
2000-01-05,5.43,5.43,5.2,5.25,45302.0,5.25,GOOG-H
2000-01-06,5.24,5.35,5.24,5.31,37160.0,5.31,GOOG-H
2000-01-07,5.35,5.35,5.2,5.2,29105.0,5.2,GOOG-H
2000-01-10,5.25,5.3,5.12,5.12,93119.0,5.12,GOOG-H
2000-01-11,5.12,5.12,4.9,4.95,93158.0,4.95,GOOG-H
2000-01-12,4.89,5.07,4.5,5.01,106067.0,5.01,GOOG-H
2000-01-13,5.05,5.15,4.8,4.8,166911.0,4.8,GOOG-H
2000-01-14,5.0,5.02,4.86,4.9,153451.0,4.9,GOOG-H
2000-01-17,5.12,5.6,5.12,5.4,249165.0,5.4,GOOG-H
2000-01-18,5.5,5.59,5.15,5.25,163990.0,5.25,GOOG-H
2000-01-19,5.25,5.28,5.2,5.25,519595.0,5.25,GOOG-H
2000-01-20,5.3,5.35,5.26,5.28,118743.0,5.28,GOOG-H
2000-01-21,5.31,5.58,5.3,5.58,79870.0,5.58,GOOG-H
2000-01-24,5.6,5.63,5.6,5.61,57750.0,5.61,GOOG-H
2000-01-25,5.43,5.54,5.35,5.54,36579.0,5.54,GOOG-H
2000-01-27,5.54,5.55,5.5,5.55,365739.0,5.55,GOOG-H
2000-01-28,5.51,5.55,5.5,5.51,35333.0,5.51,GOOG-H
2000-01-31,5.48,5.5,5.45,5.48,72100.0,5.48,GOOG-H
2000-02-01,5.56,5.56,5.48,5.56,50340.0,5.56,GOOG-H
2000-02-02,5.6,5.75,5.58,5.74,128531.0,5.74,GOOG-H
2000-02-03,5.77,5.9,5.77,5.85,115930.0,5.85,GOOG-H
2000-02-04,5.85,6.21,5.85,6.05,154748.0,6.05,GOOG-H
2000-02-07,6.1,6.4,6.1,6.39,194302.0,6.39,GOOG-H
2000-02-08,6.41,6.85,6.41,6.42,125280.0,6.42,GOOG-H
2000-02-09,6.4,6.5,6.38,6.4,459580.0,6.4,GOOG-H
2000-02-10,6.4,6.4,6.11,6.25,31005.0,6.25,GOOG-H
2000-02-11,6.3,6.4,6.2,6.35,25285.0,6.35,GOOG-H
2000-02-14,6.3,6.3,6.2,6.3,15200.0,6.3,GOOG-H
2000-02-15,6.3,6.4,6.3,6.4,28927.0,6.4,GOOG-H
2000-02-16,6.4,6.48,6.3,6.4,450452.0,6.4,GOOG-H
2000-02-17,6.33,6.55,6.33,6.5,56734.0,6.5,GOOG-H
2000-02-18,6.6,6.74,6.6,6.6,17825.0,6.6,GOOG-H
2000-02-21,6.55,6.55,6.4,6.5,272493.0,6.5,GOOG-H
2000-02-22,6.6,6.6,6.3,6.3,227422.0,6.3,GOOG-H
2000-02-23,6.3,6.59,6.25,6.59,287645.0,6.59,GOOG-H
2000-02-24,6.59,6.6,6.27,6.3,11258.0,6.3,GOOG-H
2000-02-25,6.3,6.3,6.25,6.3,30915.0,6.3,GOOG-H
2000-02-28,6.3,6.36,6.3,6.36,72185.0,6.36,GOOG-H
2000-02-29,6.45,6.55,6.45,6.55,41257.0,6.55,GOOG-H
2000-03-01,6.53,6.72,6.53,6.72,21771.0,6.72,GOOG-H
2000-03-02,6.53,6.53,6.35,6.35,235757.0,6.35,GOOG-H
2000-03-03,6.45,6.45,6.3,6.4,124104.0,6.4,GOOG-H
2000-03-06,6.5,6.5,6.4,6.4,312617.0,6.4,GOOG-H
2000-03-07,6.35,6.43,6.3,6.3,120424.0,6.3,GOOG-H
2000-03-08,6.4,6.4,6.25,6.25,55800.0,6.25,GOOG-H
2000-03-09,6.22,6.22,6.0,6.1,39360.0,6.1,GOOG-H
2000-03-10,6.05,6.05,5.95,5.95,85395.0,5.95,GOOG-H
2000-03-13,5.92,5.92,5.55,5.75,25900.0,5.75,GOOG-H
2000-03-14,5.75,5.75,5.5,5.75,59981.0,5.75,GOOG-H
2000-03-15,5.67,5.95,5.67,5.95,21690.0,5.95,GOOG-H
2000-03-16,6.06,6.1,6.06,6.1,212719.0,6.1,GOOG-H
2000-03-17,6.12,6.12,5.6,5.75,3912986.0,5.75,GOOG-H
2000-03-20,5.75,5.75,5.2,5.4,354443.0,5.4,GOOG-H
2000-03-21,5.5,5.7,5.45,5.65,193808.0,5.65,GOOG-H
2000-03-22,5.65,5.65,5.5,5.5,77621.0,5.5,GOOG-H
2000-03-23,5.5,5.61,5.5,5.58,28430.0,5.58,GOOG-H
2000-03-24,5.6,5.6,5.45,5.45,77474.0,5.45,GOOG-H
2000-03-27,5.51,5.55,5.5,5.55,92030.0,5.55,GOOG-H
2000-03-28,5.54,5.64,5.49,5.61,127466.0,5.61,GOOG-H
2000-03-29,5.63,5.65,5.56,5.65,72776.0,5.65,GOOG-H
2000-03-30,5.65,5.75,5.6,5.65,316234.0,5.65,GOOG-H
2000-03-31,5.49,5.5,5.3,5.48,180971.0,5.48,GOOG-H
2000-04-03,5.3,5.45,5.3,5.35,66967.0,5.35,GOOG-H
2000-04-04,5.26,5.26,4.6,4.92,98678.0,4.92,GOOG-H
2000-04-05,4.65,4.65,4.35,4.39,251415.0,4.39,GOOG-H
2000-04-06,4.7,4.7,4.5,4.65,121690.0,4.65,GOOG-H
2000-04-07,4.7,5.25,4.7,5.15,72387.0,5.15,GOOG-H
2000-04-10,5.15,5.15,4.88,4.99,24765.0,4.99,GOOG-H
2000-04-11,4.85,4.85,4.45,4.46,243156.0,4.46,GOOG-H
2000-04-12,4.4,4.5,4.35,4.4,78723.0,4.4,GOOG-H
2000-04-13,4.3,4.35,4.3,4.32,123003.0,4.32,GOOG-H
2000-04-14,4.19,4.6,4.15,4.3,240713.0,4.3,GOOG-H
2000-04-17,3.93,3.93,3.5,3.7,295456.0,3.7,GOOG-H
2000-04-18,4.01,4.1,3.9,3.9,143072.0,3.9,GOOG-H
2000-04-19,4.0,4.05,3.96,4.0,400088.0,4.0,GOOG-H
2000-04-20,4.0,4.0,3.93,4.0,91655.0,4.0,GOOG-H
2000-04-26,4.15,4.2,3.95,3.95,212345.0,3.95,GOOG-H
2000-04-27,3.9,3.9,3.5,3.5,56261.0,3.5,GOOG-H
2000-04-28,3.71,3.71,3.3,3.6,126330.0,3.6,GOOG-H
2000-05-01,3.55,3.6,3.5,3.5,72630.0,3.5,GOOG-H
2000-05-02,3.52,3.55,3.52,3.53,137740.0,3.53,GOOG-H
2000-05-03,3.53,3.53,3.23,3.23,105350.0,3.23,GOOG-H
2000-05-04,3.23,3.25,3.2,3.21,355358.0,3.21,GOOG-H
