DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-09-29,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-09-30,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-03,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-04,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-05,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-06,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-07,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-10,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-11,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-12,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-13,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-14,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-17,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-18,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-19,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-20,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-21,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-24,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-25,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-26,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-27,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-28,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-10-31,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-01,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-02,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-03,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-04,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-07,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-09,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-10,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-11,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-14,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-15,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-16,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-17,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-18,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-21,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-22,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-23,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-24,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-25,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-28,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-29,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-11-30,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-01,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-02,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-05,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-06,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-07,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-08,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-09,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-12,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-13,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-14,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
2005-12-15,0.13,0.13,0.13,0.13,0,0.13,GOOG-H
