DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,4.78,4.81,4.7,4.73,791530.0,4.73,GOOG-H
2000-01-05,4.66,4.7,4.63,4.66,693094.0,4.66,GOOG-H
2000-01-06,4.66,4.7,4.6,4.62,660219.0,4.62,GOOG-H
2000-01-07,4.64,4.73,4.63,4.7,534443.0,4.7,GOOG-H
2000-01-10,4.77,4.86,4.77,4.83,861354.0,4.83,GOOG-H
2000-01-11,4.87,4.9,4.75,4.75,1017431.0,4.75,GOOG-H
2000-01-12,4.72,4.73,4.67,4.7,2410757.0,4.7,GOOG-H
2000-01-13,4.66,4.76,4.66,4.7,997696.0,4.7,GOOG-H
2000-01-14,4.7,4.7,4.63,4.68,993503.0,4.68,GOOG-H
2000-01-17,4.66,4.7,4.64,4.68,688292.0,4.68,GOOG-H
2000-01-18,4.64,4.7,4.64,4.67,1226336.0,4.67,GOOG-H
2000-01-19,4.66,4.66,4.58,4.6,503699.0,4.6,GOOG-H
2000-01-20,4.58,4.58,4.53,4.57,1836348.0,4.57,GOOG-H
2000-01-21,4.52,4.53,4.49,4.51,683379.0,4.51,GOOG-H
2000-01-24,4.52,4.52,4.48,4.48,1100964.0,4.48,GOOG-H
2000-01-25,4.45,4.48,4.42,4.48,1344163.0,4.48,GOOG-H
2000-01-27,4.48,4.48,4.3,4.34,2945676.0,4.34,GOOG-H
2000-01-28,4.33,4.34,4.27,4.32,3252280.0,4.32,GOOG-H
2000-01-31,4.3,4.4,4.26,4.36,735856.0,4.36,GOOG-H
2000-02-01,4.38,4.43,4.33,4.4,1021321.0,4.4,GOOG-H
2000-02-02,4.41,4.43,4.33,4.34,1410335.0,4.34,GOOG-H
2000-02-03,4.33,4.36,4.28,4.36,2565199.0,4.36,GOOG-H
2000-02-04,4.34,4.36,4.27,4.32,2960928.0,4.32,GOOG-H
2000-02-07,4.33,4.4,4.31,4.38,1699173.0,4.38,GOOG-H
2000-02-08,4.35,4.35,4.23,4.23,1167251.0,4.23,GOOG-H
