DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,6.45,6.45,6.26,6.26,1390111.0,6.26,GOOG-H
2000-01-05,6.13,6.13,5.94,5.99,2657419.0,5.99,GOOG-H
2000-01-06,5.99,5.99,5.8,5.82,1832882.0,5.82,GOOG-H
2000-01-07,5.82,6.08,5.82,6.08,1548538.0,6.08,GOOG-H
2000-01-10,6.15,6.32,6.15,6.32,1426016.0,6.32,GOOG-H
2000-01-11,6.32,6.34,6.22,6.29,1752774.0,6.29,GOOG-H
2000-01-12,6.15,6.32,6.12,6.22,2020565.0,6.22,GOOG-H
2000-01-13,6.15,6.19,6.03,6.05,1360320.0,6.05,GOOG-H
2000-01-14,6.05,6.31,6.04,6.31,3687837.0,6.31,GOOG-H
2000-01-17,6.34,6.45,6.32,6.42,2892729.0,6.42,GOOG-H
2000-01-18,6.38,6.49,6.38,6.41,3524154.0,6.41,GOOG-H
2000-01-19,6.27,6.34,6.26,6.34,1211942.0,6.34,GOOG-H
2000-01-20,6.29,6.36,6.22,6.25,1376118.0,6.25,GOOG-H
2000-01-21,6.15,6.2,6.07,6.2,1204370.0,6.2,GOOG-H
2000-01-24,6.1,6.19,6.09,6.11,1072651.0,6.11,GOOG-H
2000-01-25,6.03,6.11,5.96,6.07,1625989.0,6.07,GOOG-H
2000-01-26,7.68,7.69,7.68,7.68,179574.0,7.68,GOOG-H
2000-01-27,6.03,6.19,6.02,6.17,1347124.0,6.17,GOOG-H
2000-01-28,6.11,6.11,5.88,5.91,2699644.0,5.91,GOOG-H
2000-01-31,5.84,5.87,5.71,5.84,3151197.0,5.84,GOOG-H
2000-02-01,5.87,5.9,5.73,5.79,1481855.0,5.79,GOOG-H
2000-02-02,5.76,5.78,5.67,5.67,1831429.0,5.67,GOOG-H
2000-02-03,5.68,5.87,5.63,5.87,2050816.0,5.87,GOOG-H
2000-02-04,5.88,6.0,5.74,5.86,2782513.0,5.86,GOOG-H
2000-02-07,5.84,5.84,5.74,5.76,1401077.0,5.76,GOOG-H
2000-02-08,5.76,5.82,5.71,5.76,1178544.0,5.76,GOOG-H
2000-02-09,5.74,5.78,5.69,5.71,1112401.0,5.71,GOOG-H
2000-02-10,5.64,5.84,5.61,5.82,4589298.0,5.82,GOOG-H
2000-02-11,5.71,5.77,5.67,5.72,1189664.0,5.72,GOOG-H
2000-02-14,5.67,5.67,5.52,5.57,2165071.0,5.57,GOOG-H
2000-02-15,5.57,5.62,5.52,5.57,1391239.0,5.57,GOOG-H
2000-02-16,5.57,5.59,5.51,5.53,2241625.0,5.53,GOOG-H
2000-02-17,5.49,5.51,5.36,5.38,3839138.0,5.38,GOOG-H
2000-02-18,5.38,5.51,5.38,5.45,2146795.0,5.45,GOOG-H
2000-02-21,5.38,5.46,5.36,5.36,2012931.0,5.36,GOOG-H
2000-02-22,5.38,5.4,5.22,5.26,3050904.0,5.26,GOOG-H
2000-02-23,5.28,5.59,5.28,5.55,2792398.0,5.55,GOOG-H
2000-02-24,5.61,5.98,5.51,5.79,3661807.0,5.79,GOOG-H
2000-02-25,5.76,5.92,5.72,5.76,2528846.0,5.76,GOOG-H
2000-02-28,5.69,5.69,5.48,5.48,1106402.0,5.48,GOOG-H
2000-02-29,5.55,5.68,5.52,5.68,1616145.0,5.68,GOOG-H
2000-03-01,5.69,5.8,5.69,5.76,1499612.0,5.76,GOOG-H
2000-03-02,5.76,5.78,5.63,5.76,1767948.0,5.76,GOOG-H
2000-03-03,5.76,5.76,5.53,5.64,1711173.0,5.64,GOOG-H
2000-03-06,5.63,5.69,5.5,5.5,885845.0,5.5,GOOG-H
2000-03-07,5.49,5.62,5.4,5.61,3079124.0,5.61,GOOG-H
2000-03-08,5.96,6.17,5.88,6.06,5695235.0,6.06,GOOG-H
2000-03-09,6.05,6.36,6.05,6.28,7199462.0,6.28,GOOG-H
2000-03-10,6.15,6.2,5.8,6.14,6247456.0,6.14,GOOG-H
2000-03-13,6.34,6.42,6.26,6.28,3362983.0,6.28,GOOG-H
2000-03-14,6.29,6.38,6.26,6.33,2633691.0,6.33,GOOG-H
2000-03-15,6.21,6.21,6.02,6.13,3246711.0,6.13,GOOG-H
2000-03-16,6.13,6.18,6.02,6.07,1376917.0,6.07,GOOG-H
2000-03-17,6.15,6.19,5.92,6.03,1906317.0,6.03,GOOG-H
2000-03-20,5.99,6.5,5.99,6.5,2808199.0,6.5,GOOG-H
2000-03-21,6.53,6.61,6.22,6.24,2688804.0,6.24,GOOG-H
2000-03-22,6.24,6.36,6.24,6.34,1121603.0,6.34,GOOG-H
2000-03-23,6.38,6.51,6.28,6.48,4000006.0,6.48,GOOG-H
2000-03-24,6.44,6.5,6.34,6.43,1949124.0,6.43,GOOG-H
2000-03-27,6.28,6.42,6.11,6.15,1422804.0,6.15,GOOG-H
2000-03-28,6.14,6.2,5.98,6.07,1942512.0,6.07,GOOG-H
2000-03-29,6.01,6.22,5.98,6.15,1983595.0,6.15,GOOG-H
2000-03-30,6.13,6.13,6.01,6.09,1588393.0,6.09,GOOG-H
2000-03-31,5.99,6.06,5.92,5.98,9153217.0,5.98,GOOG-H
2000-04-03,6.0,6.23,6.0,6.23,1437768.0,6.23,GOOG-H
2000-04-04,6.53,6.67,6.4,6.45,4262286.0,6.45,GOOG-H
2000-04-05,6.44,6.53,6.38,6.45,1542442.0,6.45,GOOG-H
2000-04-06,6.38,6.39,6.12,6.13,1851805.0,6.13,GOOG-H
2000-04-07,6.11,6.11,5.98,6.02,3114791.0,6.02,GOOG-H
2000-04-10,5.96,6.03,5.94,5.96,1639012.0,5.96,GOOG-H
2000-04-11,5.99,6.22,5.99,6.21,1888295.0,6.21,GOOG-H
2000-04-12,6.15,6.2,6.04,6.07,706970.0,6.07,GOOG-H
2000-04-13,5.99,6.13,5.99,6.13,1199801.0,6.13,GOOG-H
2000-04-14,6.03,6.15,6.03,6.15,608416.0,6.15,GOOG-H
2000-04-17,5.77,5.88,5.76,5.76,1875084.0,5.76,GOOG-H
2000-04-18,5.82,5.93,5.72,5.74,1985195.0,5.74,GOOG-H
2000-04-19,5.8,5.81,5.68,5.81,1587377.0,5.81,GOOG-H
2000-04-20,5.75,5.9,5.71,5.84,727010.0,5.84,GOOG-H
2000-04-26,5.88,5.94,5.8,5.8,1133875.0,5.8,GOOG-H
2000-04-27,5.77,5.84,5.77,5.81,1068700.0,5.81,GOOG-H
2000-04-28,5.77,5.82,5.74,5.76,2848989.0,5.76,GOOG-H
2000-05-01,5.74,5.75,5.7,5.73,1148326.0,5.73,GOOG-H
2000-05-02,5.72,5.81,5.7,5.81,632380.0,5.81,GOOG-H
2000-05-03,5.75,5.77,5.72,5.73,809321.0,5.73,GOOG-H
2000-05-04,5.65,5.73,5.65,5.65,958776.0,5.65,GOOG-H
2000-05-05,5.67,5.89,5.67,5.88,686976.0,5.88,GOOG-H
2000-05-08,5.89,6.03,5.85,5.92,1132161.0,5.92,GOOG-H
2000-05-09,5.82,5.88,5.77,5.82,652802.0,5.82,GOOG-H
2000-05-10,5.76,5.8,5.74,5.77,951878.0,5.77,GOOG-H
2000-05-11,5.71,5.75,5.67,5.72,728159.0,5.72,GOOG-H
2000-05-12,5.71,5.74,5.67,5.71,1675551.0,5.71,GOOG-H
