DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,10.88,11.05,10.68,10.68,3162969.0,10.68,GOOG-H
2000-01-05,10.45,10.48,10.25,10.39,5932660.0,10.39,GOOG-H
2000-01-06,10.45,10.45,10.08,10.13,6385760.0,10.13,GOOG-H
2000-01-07,10.2,10.4,10.16,10.27,3324701.0,10.27,GOOG-H
2000-01-10,10.4,10.47,10.34,10.39,4625364.0,10.39,GOOG-H
2000-01-11,10.43,10.43,10.1,10.1,7844502.0,10.1,GOOG-H
2000-01-12,10.13,10.46,10.12,10.45,3803121.0,10.45,GOOG-H
2000-01-13,10.46,10.65,10.46,10.51,2971485.0,10.51,GOOG-H
2000-01-14,10.6,10.72,10.6,10.67,2770055.0,10.67,GOOG-H
2000-01-17,10.73,10.92,10.7,10.9,3451853.0,10.9,GOOG-H
2000-01-18,10.92,11.15,10.83,11.08,3585969.0,11.08,GOOG-H
2000-01-19,10.98,10.99,10.85,10.87,3423974.0,10.87,GOOG-H
2000-01-20,10.88,10.96,10.7,10.92,5561961.0,10.92,GOOG-H
2000-01-21,10.88,10.88,10.7,10.75,2252021.0,10.75,GOOG-H
2000-01-24,10.76,10.85,10.72,10.73,1914970.0,10.73,GOOG-H
2000-01-25,10.55,10.59,10.42,10.52,5035960.0,10.52,GOOG-H
2000-01-26,13.45,13.45,13.45,13.45,144700.0,13.45,GOOG-H
2000-01-27,10.53,10.61,10.47,10.51,3680517.0,10.51,GOOG-H
2000-01-28,10.55,10.87,10.55,10.82,7182836.0,10.82,GOOG-H
2000-01-31,10.67,10.7,10.49,10.55,3294459.0,10.55,GOOG-H
2000-02-01,10.55,10.58,10.32,10.45,5040431.0,10.45,GOOG-H
2000-02-02,10.39,10.68,10.38,10.4,4708762.0,10.4,GOOG-H
2000-02-03,10.44,10.5,10.28,10.31,5068570.0,10.31,GOOG-H
2000-02-04,10.35,10.49,10.35,10.4,3412303.0,10.4,GOOG-H
2000-02-07,10.42,10.54,10.42,10.49,2226799.0,10.49,GOOG-H
2000-02-08,10.49,10.65,10.49,10.58,1976797.0,10.58,GOOG-H
2000-02-09,10.6,10.75,10.59,10.71,3480775.0,10.71,GOOG-H
2000-02-10,10.65,10.69,10.55,10.69,6090223.0,10.69,GOOG-H
2000-02-11,10.58,10.6,10.36,10.4,2811946.0,10.4,GOOG-H
2000-02-14,10.3,10.34,10.22,10.3,5141006.0,10.3,GOOG-H
2000-02-15,10.3,10.32,10.2,10.25,5957291.0,10.25,GOOG-H
2000-02-16,10.3,10.36,10.22,10.3,6177320.0,10.3,GOOG-H
2000-02-17,10.28,10.29,10.23,10.23,2626351.0,10.23,GOOG-H
2000-02-18,10.2,10.25,10.08,10.11,3895900.0,10.11,GOOG-H
2000-02-21,10.01,10.1,10.01,10.09,3275081.0,10.09,GOOG-H
2000-02-22,10.08,10.09,9.89,9.96,10777647.0,9.96,GOOG-H
2000-02-23,9.99,10.0,9.88,9.9,11112796.0,9.9,GOOG-H
2000-02-24,9.99,9.99,9.73,9.77,6210955.0,9.77,GOOG-H
2000-02-25,9.78,10.15,9.74,10.13,7816260.0,10.13,GOOG-H
2000-02-28,10.07,10.1,9.88,9.89,4856493.0,9.89,GOOG-H
2000-02-29,9.98,10.04,9.92,10.01,5877853.0,10.01,GOOG-H
2000-03-01,10.09,10.3,10.07,10.28,8246493.0,10.28,GOOG-H
2000-03-02,10.4,10.49,10.11,10.18,3415103.0,10.18,GOOG-H
2000-03-03,10.21,10.25,10.05,10.24,3524452.0,10.24,GOOG-H
2000-03-06,10.3,10.33,10.11,10.18,2198451.0,10.18,GOOG-H
2000-03-07,10.05,10.25,9.99,10.18,4313499.0,10.18,GOOG-H
2000-03-08,10.15,10.36,10.11,10.27,2578372.0,10.27,GOOG-H
2000-03-09,10.3,10.5,10.23,10.45,3452471.0,10.45,GOOG-H
2000-03-10,10.45,10.67,10.32,10.35,3178889.0,10.35,GOOG-H
2000-03-13,10.29,10.48,10.28,10.36,2668735.0,10.36,GOOG-H
2000-03-14,10.3,10.48,10.3,10.48,3538256.0,10.48,GOOG-H
2000-03-15,10.47,10.73,10.4,10.71,4597202.0,10.71,GOOG-H
2000-03-16,10.83,11.05,10.81,10.81,3480428.0,10.81,GOOG-H
2000-03-17,11.0,11.11,10.74,10.74,3561777.0,10.74,GOOG-H
2000-03-20,10.8,10.88,10.6,10.67,1565192.0,10.67,GOOG-H
2000-03-21,10.65,10.71,10.5,10.65,1336063.0,10.65,GOOG-H
2000-03-22,10.8,10.97,10.72,10.8,2388886.0,10.8,GOOG-H
2000-03-23,10.85,10.89,10.7,10.78,2516819.0,10.78,GOOG-H
2000-03-24,10.8,10.85,10.73,10.79,1819570.0,10.79,GOOG-H
2000-03-27,10.71,10.91,10.71,10.82,2797157.0,10.82,GOOG-H
2000-03-28,10.81,10.96,10.76,10.83,2794759.0,10.83,GOOG-H
2000-03-29,10.82,10.83,10.52,10.71,2454661.0,10.71,GOOG-H
2000-03-30,10.7,10.7,10.52,10.58,2731668.0,10.58,GOOG-H
2000-03-31,10.48,10.58,10.4,10.4,6264194.0,10.4,GOOG-H
2000-04-03,10.4,10.52,10.35,10.49,2739009.0,10.49,GOOG-H
2000-04-04,10.71,10.98,10.66,10.95,2513838.0,10.95,GOOG-H
2000-04-05,10.71,11.27,10.71,11.15,3836623.0,11.15,GOOG-H
2000-04-06,11.0,11.13,10.85,10.95,3409364.0,10.95,GOOG-H
