DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-09-29,2.74,2.82,2.62,2.74,515777.0,2.74,GOOG-H
2005-09-30,2.78,2.78,2.7,2.71,274899.0,2.71,GOOG-H
2005-10-03,2.71,2.75,2.7,2.72,78272.0,2.72,GOOG-H
2005-10-04,2.73,2.77,2.71,2.73,155649.0,2.73,GOOG-H
2005-10-05,2.73,2.77,2.73,2.76,135587.0,2.76,GOOG-H
2005-10-06,2.76,2.77,2.71,2.71,248133.0,2.71,GOOG-H
2005-10-07,2.71,2.75,2.69,2.71,157445.0,2.71,GOOG-H
2005-10-10,2.71,2.76,2.71,2.71,275792.0,2.71,GOOG-H
2005-10-11,2.71,2.77,2.71,2.75,130566.0,2.75,GOOG-H
2005-10-12,2.75,2.76,2.72,2.75,130613.0,2.75,GOOG-H
2005-10-13,2.75,2.79,2.75,2.76,114430.0,2.76,GOOG-H
2005-10-14,2.78,2.84,2.78,2.81,173352.0,2.81,GOOG-H
2005-10-17,2.87,2.89,2.85,2.87,368473.0,2.87,GOOG-H
2005-10-18,2.89,2.91,2.89,2.9,601130.0,2.9,GOOG-H
2005-10-19,2.83,2.85,2.75,2.8,200324.0,2.8,GOOG-H
2005-10-20,2.87,2.87,2.8,2.81,100389.0,2.81,GOOG-H
2005-10-21,2.81,2.87,2.79,2.84,120454.0,2.84,GOOG-H
2005-10-24,2.84,2.88,2.81,2.84,90360.0,2.84,GOOG-H
2005-10-25,2.9,2.91,2.87,2.89,195664.0,2.89,GOOG-H
2005-10-26,2.9,2.91,2.87,2.88,114773.0,2.88,GOOG-H
2005-10-27,2.88,2.91,2.83,2.89,130178.0,2.89,GOOG-H
2005-10-28,2.85,2.9,2.81,2.83,102346.0,2.83,GOOG-H
2005-10-31,2.83,2.9,2.83,2.88,93945.0,2.88,GOOG-H
2005-11-01,2.88,2.91,2.87,2.89,137519.0,2.89,GOOG-H
2005-11-02,2.91,2.91,2.87,2.91,220236.0,2.91,GOOG-H
2005-11-03,2.91,2.91,2.83,2.87,200205.0,2.87,GOOG-H
2005-11-04,2.87,2.88,2.84,2.87,155520.0,2.87,GOOG-H
2005-11-07,2.88,2.89,2.83,2.83,121722.0,2.83,GOOG-H
2005-11-09,2.86,2.9,2.84,2.85,86009.0,2.85,GOOG-H
2005-11-10,2.87,2.9,2.87,2.9,337578.0,2.9,GOOG-H
2005-11-11,2.9,2.95,2.87,2.89,127035.0,2.89,GOOG-H
2005-11-14,2.88,2.91,2.85,2.87,189059.0,2.87,GOOG-H
2005-11-15,2.87,2.87,2.87,2.87,222496.0,2.87,GOOG-H
2005-11-16,2.87,2.9,2.87,2.88,269475.0,2.88,GOOG-H
2005-11-17,2.88,2.89,2.87,2.89,69168.0,2.89,GOOG-H
2005-11-18,2.89,2.89,2.86,2.89,106865.0,2.89,GOOG-H
2005-11-21,2.89,2.92,2.88,2.92,277940.0,2.92,GOOG-H
2005-11-22,2.92,2.95,2.92,2.95,112280.0,2.95,GOOG-H
2005-11-23,2.95,2.96,2.93,2.96,181333.0,2.96,GOOG-H
2005-11-24,2.96,3.01,2.96,2.98,364688.0,2.98,GOOG-H
2005-11-25,2.99,3.02,2.99,3.0,96496.0,3.0,GOOG-H
2005-11-28,3.02,3.09,3.02,3.09,415017.0,3.09,GOOG-H
2005-11-29,3.04,3.06,3.04,3.06,170782.0,3.06,GOOG-H
2005-11-30,3.02,3.09,3.02,3.06,380644.0,3.06,GOOG-H
2005-12-01,3.07,3.08,3.04,3.04,243558.0,3.04,GOOG-H
2005-12-02,3.04,3.07,3.04,3.06,94038.0,3.06,GOOG-H
2005-12-05,3.06,3.13,3.06,3.13,261692.0,3.13,GOOG-H
2005-12-06,3.07,3.07,3.01,3.04,138406.0,3.04,GOOG-H
2005-12-07,3.02,3.06,3.02,3.02,118088.0,3.02,GOOG-H
2005-12-08,3.02,3.07,3.01,3.02,157523.0,3.02,GOOG-H
2005-12-09,3.02,3.08,3.02,3.06,300859.0,3.06,GOOG-H
2005-12-12,3.06,3.09,3.06,3.07,92323.0,3.07,GOOG-H
2005-12-13,3.07,3.07,3.05,3.07,114099.0,3.07,GOOG-H
2005-12-14,3.07,3.1,3.06,3.09,111658.0,3.09,GOOG-H
2005-12-15,3.1,3.1,3.06,3.06,236100.0,3.06,GOOG-H
2005-12-16,3.06,3.14,3.06,3.14,153287.0,3.14,GOOG-H
2005-12-20,3.04,3.13,3.03,3.06,120059.0,3.06,GOOG-H
2005-12-28,3.22,3.3,3.22,3.27,35761.0,3.27,GOOG-H
2005-12-29,3.26,3.28,3.16,3.19,28042.0,3.19,GOOG-H
2005-12-30,3.19,3.2,3.14,3.14,53866.0,3.14,GOOG-H
2006-01-04,3.17,3.19,3.14,3.16,55562.0,3.16,GOOG-H
2006-01-05,3.18,3.22,3.15,3.22,66266.0,3.22,GOOG-H
2006-01-06,3.2,3.21,3.16,3.16,60730.0,3.16,GOOG-H
2006-01-09,3.17,3.17,3.13,3.14,59592.0,3.14,GOOG-H
2006-01-10,3.16,3.18,3.13,3.13,77472.0,3.13,GOOG-H
2006-01-11,3.17,3.21,3.14,3.16,25740.0,3.16,GOOG-H
2006-01-12,3.17,3.18,3.13,3.13,56703.0,3.13,GOOG-H
2006-01-13,3.14,3.16,3.11,3.11,72763.0,3.11,GOOG-H
2006-01-16,3.11,3.15,3.11,3.13,143517.0,3.13,GOOG-H
2006-01-17,3.15,3.22,3.13,3.13,104395.0,3.13,GOOG-H
2006-01-18,3.14,3.17,3.13,3.15,77847.0,3.15,GOOG-H
2006-01-19,3.15,3.19,3.13,3.14,433691.0,3.14,GOOG-H
2006-01-20,3.16,3.17,3.14,3.15,82592.0,3.15,GOOG-H
2006-01-23,3.14,3.17,3.14,3.16,141509.0,3.16,GOOG-H
2006-01-24,3.16,3.17,3.14,3.16,70506.0,3.16,GOOG-H
2006-01-25,3.17,3.22,3.16,3.2,232828.0,3.2,GOOG-H
2006-01-27,3.22,3.26,3.2,3.26,115567.0,3.26,GOOG-H
2006-01-30,3.26,3.31,3.2,3.28,251204.0,3.28,GOOG-H
2006-01-31,3.3,3.3,3.21,3.29,110168.0,3.29,GOOG-H
2006-02-01,3.28,3.3,3.25,3.3,137099.0,3.3,GOOG-H
2006-02-02,3.29,3.3,3.24,3.27,98506.0,3.27,GOOG-H
2006-02-03,3.25,3.29,3.18,3.27,83659.0,3.27,GOOG-H
2006-02-06,3.23,3.29,3.22,3.29,54904.0,3.29,GOOG-H
2006-02-07,3.29,3.29,3.23,3.25,98879.0,3.25,GOOG-H
2006-02-08,3.26,3.29,3.22,3.29,141556.0,3.29,GOOG-H
2006-02-09,3.28,3.28,3.2,3.27,151175.0,3.27,GOOG-H
2006-02-10,3.26,3.26,3.22,3.22,93728.0,3.22,GOOG-H
2006-02-13,3.22,3.25,3.22,3.22,53198.0,3.22,GOOG-H
2006-02-14,3.24,3.29,3.22,3.29,188546.0,3.29,GOOG-H
2006-02-15,3.29,3.29,3.22,3.22,148382.0,3.22,GOOG-H
2006-02-16,3.26,3.28,3.22,3.28,54442.0,3.28,GOOG-H
2006-02-17,3.27,3.27,3.21,3.22,144610.0,3.22,GOOG-H
2006-02-20,3.27,3.27,3.19,3.19,58323.0,3.19,GOOG-H
2006-02-21,3.24,3.35,3.24,3.35,307732.0,3.35,GOOG-H
2006-02-22,3.35,3.46,3.31,3.42,210491.0,3.42,GOOG-H
2006-02-24,3.44,3.45,3.31,3.42,130620.0,3.42,GOOG-H
2006-02-27,3.41,3.42,3.38,3.42,318338.0,3.42,GOOG-H
2006-02-28,3.43,3.44,3.39,3.42,190452.0,3.42,GOOG-H
2006-03-01,3.41,3.43,3.39,3.4,284666.0,3.4,GOOG-H
2006-03-02,3.41,3.42,3.4,3.42,293590.0,3.42,GOOG-H
2006-03-03,3.42,3.42,3.36,3.36,311523.0,3.36,GOOG-H
2006-03-06,3.36,3.42,3.31,3.39,341568.0,3.39,GOOG-H
2006-03-07,3.42,3.42,3.4,3.42,119476.0,3.42,GOOG-H
2006-03-08,3.41,3.41,3.3,3.31,117809.0,3.31,GOOG-H
2006-03-09,3.32,3.54,3.32,3.53,352138.0,3.53,GOOG-H
2006-03-10,3.55,3.59,3.39,3.5,165290.0,3.5,GOOG-H
2006-03-13,3.52,3.53,3.42,3.53,84820.0,3.53,GOOG-H
2006-03-14,3.53,3.53,3.42,3.5,92365.0,3.5,GOOG-H
2006-03-15,3.46,3.47,3.42,3.42,92798.0,3.42,GOOG-H
2006-03-16,3.46,3.47,3.42,3.47,694007.0,3.47,GOOG-H
2006-03-17,3.47,3.6,3.47,3.58,194838.0,3.58,GOOG-H
2006-03-20,3.61,3.64,3.58,3.62,91446.0,3.62,GOOG-H
2006-03-21,3.64,3.64,3.6,3.64,138240.0,3.64,GOOG-H
2006-03-22,3.61,3.61,3.51,3.58,378875.0,3.58,GOOG-H
2006-03-23,3.58,3.58,3.53,3.54,135681.0,3.54,GOOG-H
2006-03-24,3.55,3.59,3.5,3.54,299143.0,3.54,GOOG-H
2006-03-27,3.55,3.61,3.55,3.61,365275.0,3.61,GOOG-H
2006-03-28,3.57,3.64,3.57,3.64,409559.0,3.64,GOOG-H
2006-03-29,3.64,3.68,3.62,3.64,253506.0,3.64,GOOG-H
2006-03-30,3.55,3.61,3.53,3.6,258162.0,3.6,GOOG-H
2006-03-31,3.59,3.59,3.34,3.4,731587.0,3.4,GOOG-H
2006-04-03,3.39,3.46,3.37,3.42,323041.0,3.42,GOOG-H
2006-04-04,3.39,3.41,3.2,3.24,225348.0,3.24,GOOG-H
2006-04-05,3.28,3.43,3.28,3.39,305778.0,3.39,GOOG-H
2006-04-06,3.39,3.5,3.39,3.5,204555.0,3.5,GOOG-H
2006-04-07,3.5,3.5,3.44,3.5,131201.0,3.5,GOOG-H
2006-04-10,3.46,3.46,3.35,3.35,232177.0,3.35,GOOG-H
2006-04-11,3.44,3.44,3.3,3.32,180088.0,3.32,GOOG-H
2006-04-12,3.3,3.32,3.27,3.29,147880.0,3.29,GOOG-H
2006-04-13,3.3,3.35,3.29,3.31,73804.0,3.31,GOOG-H
2006-04-18,3.32,3.46,3.32,3.46,159428.0,3.46,GOOG-H
2006-04-19,3.48,3.53,3.42,3.5,273804.0,3.5,GOOG-H
2006-04-20,3.47,3.47,3.35,3.35,407326.0,3.35,GOOG-H
2006-04-24,3.42,3.43,3.35,3.35,62717.0,3.35,GOOG-H
2006-04-26,3.35,3.43,3.35,3.41,169514.0,3.41,GOOG-H
2006-04-27,3.46,3.5,3.42,3.47,261543.0,3.47,GOOG-H
2006-04-28,3.48,3.55,3.47,3.51,166417.0,3.51,GOOG-H
2006-05-01,3.5,3.5,3.47,3.48,179244.0,3.48,GOOG-H
2006-05-02,3.49,3.59,3.49,3.59,142416.0,3.59,GOOG-H
2006-05-03,3.57,3.59,3.52,3.53,378647.0,3.53,GOOG-H
2006-05-04,3.53,3.53,3.5,3.5,76374.0,3.5,GOOG-H
2006-05-05,3.49,3.5,3.46,3.46,133336.0,3.46,GOOG-H
2006-05-08,3.46,3.57,3.46,3.55,95407.0,3.55,GOOG-H
2006-05-09,3.58,3.58,3.5,3.55,56641.0,3.55,GOOG-H
2006-05-10,3.53,3.53,3.46,3.5,118454.0,3.5,GOOG-H
2006-05-11,3.47,3.56,3.46,3.55,108101.0,3.55,GOOG-H
2006-05-12,3.55,3.55,3.46,3.46,55946.0,3.46,GOOG-H
2006-05-15,3.46,3.46,3.36,3.37,81923.0,3.37,GOOG-H
2006-05-16,3.36,3.44,3.35,3.42,74210.0,3.42,GOOG-H
2006-05-17,3.42,3.43,3.38,3.43,100280.0,3.43,GOOG-H
2006-05-22,3.34,3.4,3.34,3.35,60713.0,3.35,GOOG-H
2006-05-23,3.35,3.42,3.35,3.35,182244.0,3.35,GOOG-H
2006-05-24,3.39,3.39,3.22,3.32,112423.0,3.32,GOOG-H
2006-05-25,3.28,3.29,3.22,3.22,206066.0,3.22,GOOG-H
2006-05-26,3.22,3.26,3.15,3.26,166329.0,3.26,GOOG-H
2006-05-30,3.22,3.25,3.22,3.22,133390.0,3.22,GOOG-H
2006-05-31,3.24,3.24,3.19,3.2,105159.0,3.2,GOOG-H
2006-06-02,3.34,3.34,3.23,3.31,68148.0,3.31,GOOG-H
2006-06-05,3.31,3.31,3.26,3.31,46087.0,3.31,GOOG-H
2006-06-06,3.31,3.31,3.26,3.26,128653.0,3.26,GOOG-H
2006-06-07,3.27,3.3,3.23,3.24,61955.0,3.24,GOOG-H
2006-06-08,3.24,3.31,3.23,3.24,95079.0,3.24,GOOG-H
2006-06-09,3.27,3.31,3.22,3.3,104121.0,3.3,GOOG-H
2006-06-13,3.3,3.3,3.24,3.24,98661.0,3.24,GOOG-H
2006-06-14,3.21,3.24,3.18,3.2,132553.0,3.2,GOOG-H
2006-06-15,3.33,3.33,3.2,3.3,509007.0,3.3,GOOG-H
2006-06-16,3.34,3.35,3.25,3.33,70286.0,3.33,GOOG-H
2006-06-19,3.36,3.46,3.34,3.4,70845.0,3.4,GOOG-H
2006-06-20,3.42,3.44,3.36,3.44,106317.0,3.44,GOOG-H
2006-06-21,3.43,3.5,3.43,3.47,128668.0,3.47,GOOG-H
2006-06-22,3.47,3.53,3.44,3.47,82023.0,3.47,GOOG-H
2006-06-23,3.47,3.47,3.42,3.44,88793.0,3.44,GOOG-H
2006-06-26,3.42,3.44,3.4,3.42,124973.0,3.42,GOOG-H
2006-06-27,3.42,3.43,3.4,3.41,243968.0,3.41,GOOG-H
2006-06-28,3.4,3.41,3.34,3.35,176286.0,3.35,GOOG-H
2006-06-29,3.4,3.46,3.38,3.46,69384.0,3.46,GOOG-H
2006-06-30,3.54,3.57,3.35,3.35,135357.0,3.35,GOOG-H
2006-07-03,3.46,3.46,3.38,3.41,238184.0,3.41,GOOG-H
2006-07-04,3.38,3.41,3.34,3.36,175986.0,3.36,GOOG-H
2006-07-05,3.33,3.4,3.31,3.36,88803.0,3.36,GOOG-H
2006-07-06,3.34,3.38,3.3,3.38,132145.0,3.38,GOOG-H
2006-07-07,3.38,3.4,3.33,3.37,156975.0,3.37,GOOG-H
2006-07-10,3.38,3.39,3.33,3.38,38245.0,3.38,GOOG-H
2006-07-11,3.37,3.38,3.34,3.36,63718.0,3.36,GOOG-H
2006-07-12,3.35,3.38,3.33,3.34,45011.0,3.34,GOOG-H
2006-07-13,3.34,3.4,3.34,3.38,289601.0,3.38,GOOG-H
2006-07-14,3.34,3.38,3.34,3.35,75459.0,3.35,GOOG-H
2006-07-17,3.33,3.34,3.24,3.31,225829.0,3.31,GOOG-H
2006-07-18,3.31,3.34,3.3,3.31,134958.0,3.31,GOOG-H
2006-07-19,3.34,3.4,3.31,3.33,43583.0,3.33,GOOG-H
2006-07-20,3.38,3.42,3.35,3.38,46172.0,3.38,GOOG-H
2006-07-21,3.38,3.39,3.34,3.35,83093.0,3.35,GOOG-H
2006-07-24,3.35,3.35,3.29,3.3,44338.0,3.3,GOOG-H
2006-07-25,3.31,3.35,3.27,3.34,91319.0,3.34,GOOG-H
2006-07-28,3.29,3.29,3.23,3.26,94502.0,3.26,GOOG-H
2006-07-31,3.26,3.31,3.26,3.3,68924.0,3.3,GOOG-H
2006-08-01,3.3,3.3,3.26,3.26,125813.0,3.26,GOOG-H
2006-08-02,3.24,3.27,3.24,3.26,134027.0,3.26,GOOG-H
2006-08-03,3.28,3.32,3.23,3.32,71797.0,3.32,GOOG-H
2006-08-04,3.31,3.34,3.24,3.28,58942.0,3.28,GOOG-H
2006-08-07,3.33,3.33,3.22,3.26,50868.0,3.26,GOOG-H
2006-08-08,3.25,3.38,3.24,3.28,98829.0,3.28,GOOG-H
2006-08-09,3.29,3.36,3.25,3.28,116272.0,3.28,GOOG-H
2006-08-10,3.26,3.36,3.25,3.36,48446.0,3.36,GOOG-H
2006-08-11,3.3,3.35,3.3,3.35,45439.0,3.35,GOOG-H
2006-08-14,3.36,3.36,3.26,3.34,79977.0,3.34,GOOG-H
2006-08-15,3.34,3.36,3.24,3.26,128477.0,3.26,GOOG-H
2006-08-16,3.3,3.33,3.26,3.26,11339782.0,3.26,GOOG-H
2006-08-17,3.93,3.99,3.69,3.81,11930460.0,3.81,GOOG-H
2006-08-18,3.81,3.94,3.81,3.94,4230856.0,3.94,GOOG-H
2006-08-21,3.93,3.97,3.8,3.97,2763043.0,3.97,GOOG-H
2006-08-22,3.93,3.96,3.82,3.96,1134454.0,3.96,GOOG-H
2006-08-23,3.77,3.9,3.7,3.82,615910.0,3.82,GOOG-H
2006-08-24,3.73,3.87,3.73,3.79,651142.0,3.79,GOOG-H
2006-08-25,3.79,3.93,3.79,3.93,594683.0,3.93,GOOG-H
2006-08-28,3.85,3.9,3.79,3.89,277138.0,3.89,GOOG-H
2006-08-29,3.87,3.88,3.77,3.85,276203.0,3.85,GOOG-H
