DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,1.88,1.88,1.86,1.86,31868.0,1.86,GOOG-H
2000-01-05,1.86,1.86,1.85,1.86,10820.0,1.86,GOOG-H
2000-01-06,1.86,1.88,1.83,1.83,26100.0,1.83,GOOG-H
2000-01-07,1.86,1.86,1.85,1.86,28494.0,1.86,GOOG-H
2000-01-10,1.81,1.81,1.81,1.81,12500.0,1.81,GOOG-H
2000-01-11,1.81,1.83,1.8,1.81,28453.0,1.81,GOOG-H
2000-01-12,1.83,1.83,1.82,1.83,23316.0,1.83,GOOG-H
2000-01-13,1.82,1.83,1.81,1.81,12600.0,1.81,GOOG-H
2000-01-14,1.82,1.82,1.81,1.82,7500.0,1.82,GOOG-H
2000-01-17,1.83,1.83,1.8,1.83,52392.0,1.83,GOOG-H
2000-01-18,1.83,1.85,1.83,1.83,13829.0,1.83,GOOG-H
2000-01-19,1.83,1.83,1.8,1.8,28266.0,1.8,GOOG-H
2000-01-20,1.8,1.8,1.8,1.8,19137.0,1.8,GOOG-H
2000-01-21,1.8,1.8,1.8,1.8,13145.0,1.8,GOOG-H
2000-01-24,1.82,1.82,1.8,1.8,31400.0,1.8,GOOG-H
2000-01-25,1.78,1.78,1.78,1.78,400.0,1.78,GOOG-H
2000-01-27,1.78,1.78,1.78,1.78,29800.0,1.78,GOOG-H
2000-01-28,1.78,1.78,1.78,1.78,7122.0,1.78,GOOG-H
2000-01-31,1.79,1.79,1.78,1.78,2000.0,1.78,GOOG-H
2000-02-01,1.79,1.81,1.79,1.81,17826.0,1.81,GOOG-H
2000-02-02,1.81,1.82,1.79,1.82,27700.0,1.82,GOOG-H
2000-02-03,1.8,1.81,1.79,1.79,13692.0,1.79,GOOG-H
2000-02-04,1.79,1.82,1.79,1.82,15900.0,1.82,GOOG-H
2000-02-07,1.82,1.82,1.82,1.82,8000.0,1.82,GOOG-H
2000-02-08,1.79,1.82,1.79,1.79,11047.0,1.79,GOOG-H
2000-02-09,1.79,1.82,1.79,1.82,6200.0,1.82,GOOG-H
2000-02-10,1.79,1.79,1.79,1.79,12487.0,1.79,GOOG-H
2000-02-11,1.79,1.79,1.79,1.79,10803.0,1.79,GOOG-H
2000-02-14,1.79,1.79,1.7,1.7,27000.0,1.7,GOOG-H
2000-02-15,1.71,1.74,1.71,1.74,15924.0,1.74,GOOG-H
2000-02-17,1.78,1.79,1.78,1.79,16145.0,1.79,GOOG-H
2000-02-18,1.78,1.79,1.71,1.71,22755.0,1.71,GOOG-H
2000-02-21,1.71,1.71,1.71,1.71,478.0,1.71,GOOG-H
2000-02-22,1.74,1.78,1.71,1.71,11000.0,1.71,GOOG-H
2000-02-23,1.74,1.74,1.71,1.71,14562.0,1.71,GOOG-H
2000-02-24,1.72,1.72,1.71,1.71,25692.0,1.71,GOOG-H
2000-02-25,1.71,1.78,1.71,1.78,18418.0,1.78,GOOG-H
2000-02-28,1.73,1.74,1.69,1.69,101637.0,1.69,GOOG-H
2000-02-29,1.52,1.54,1.52,1.54,12853.0,1.54,GOOG-H
2000-03-01,1.66,1.68,1.66,1.68,4500.0,1.68,GOOG-H
2000-03-02,1.68,1.68,1.65,1.65,12932.0,1.65,GOOG-H
2000-03-03,1.65,1.67,1.65,1.67,2500.0,1.67,GOOG-H
2000-03-06,1.65,1.66,1.64,1.66,17673.0,1.66,GOOG-H
2000-03-07,1.65,1.66,1.64,1.66,15032.0,1.66,GOOG-H
2000-03-08,1.64,1.64,1.61,1.61,23406.0,1.61,GOOG-H
2000-03-09,1.61,1.61,1.59,1.6,15600.0,1.6,GOOG-H
2000-03-10,1.59,1.61,1.57,1.61,34415.0,1.61,GOOG-H
2000-03-13,1.65,1.65,1.61,1.61,35705.0,1.61,GOOG-H
2000-03-14,1.59,1.59,1.58,1.58,43973.0,1.58,GOOG-H
2000-03-15,1.59,1.59,1.58,1.58,33304.0,1.58,GOOG-H
2000-03-16,1.61,1.61,1.58,1.58,48277.0,1.58,GOOG-H
2000-03-17,1.65,1.68,1.65,1.68,81361.0,1.68,GOOG-H
2000-03-20,1.7,1.85,1.7,1.8,116039.0,1.8,GOOG-H
2000-03-21,1.76,1.8,1.74,1.79,121982.0,1.79,GOOG-H
2000-03-22,1.79,1.82,1.79,1.82,17000.0,1.82,GOOG-H
2000-03-23,1.79,1.82,1.77,1.77,122498.0,1.77,GOOG-H
2000-03-24,1.77,1.82,1.77,1.78,31571.0,1.78,GOOG-H
2000-03-27,1.78,1.78,1.75,1.77,52991.0,1.77,GOOG-H
2000-03-28,1.76,1.77,1.76,1.77,45000.0,1.77,GOOG-H
2000-03-29,1.76,1.77,1.76,1.77,63200.0,1.77,GOOG-H
2000-03-30,1.77,1.78,1.76,1.78,23710.0,1.78,GOOG-H
2000-03-31,1.77,1.79,1.77,1.79,33000.0,1.79,GOOG-H
2000-04-03,1.77,1.77,1.74,1.74,23370.0,1.74,GOOG-H
2000-04-04,1.74,1.74,1.74,1.74,5000.0,1.74,GOOG-H
2000-04-05,1.78,1.79,1.77,1.79,17800.0,1.79,GOOG-H
2000-04-06,1.78,1.78,1.77,1.78,11450.0,1.78,GOOG-H
2000-04-07,1.78,1.79,1.78,1.78,17500.0,1.78,GOOG-H
2000-04-10,1.78,1.85,1.74,1.85,256909.0,1.85,GOOG-H
2000-04-11,1.9,1.93,1.86,1.93,269747.0,1.93,GOOG-H
2000-04-12,1.95,1.99,1.92,1.99,133945.0,1.99,GOOG-H
2000-04-13,1.96,1.99,1.95,1.95,168539.0,1.95,GOOG-H
2000-04-14,1.94,1.99,1.93,1.99,108145.0,1.99,GOOG-H
2000-04-17,1.9,1.97,1.9,1.9,48500.0,1.9,GOOG-H
2000-04-18,1.97,2.05,1.97,2.03,115016.0,2.03,GOOG-H
2000-04-19,2.06,2.07,2.03,2.03,23533.0,2.03,GOOG-H
2000-04-20,2.03,2.05,2.01,2.05,20500.0,2.05,GOOG-H
2000-04-26,2.03,2.03,2.01,2.02,39761.0,2.02,GOOG-H
2000-04-27,2.01,2.02,2.01,2.01,263100.0,2.01,GOOG-H
2000-04-28,2.01,2.03,2.01,2.03,17523.0,2.03,GOOG-H
2000-05-01,2.03,2.03,2.01,2.03,63711.0,2.03,GOOG-H
2000-05-02,2.04,2.13,2.03,2.13,104800.0,2.13,GOOG-H
2000-05-03,2.08,2.08,2.02,2.02,35563.0,2.02,GOOG-H
2000-05-04,2.03,2.03,2.01,2.02,33007.0,2.02,GOOG-H
2000-05-05,2.01,2.01,2.01,2.01,97045.0,2.01,GOOG-H
2000-05-08,2.01,2.01,1.97,2.01,16804.0,2.01,GOOG-H
2000-05-09,2.01,2.07,2.01,2.07,10169.0,2.07,GOOG-H
2000-05-10,2.05,2.05,1.97,1.97,77353.0,1.97,GOOG-H
2000-05-11,2.0,2.01,1.97,1.97,190494.0,1.97,GOOG-H
2000-05-12,2.01,2.01,1.99,2.01,12650.0,2.01,GOOG-H
2000-05-15,2.01,2.03,1.99,1.99,9490.0,1.99,GOOG-H
2000-05-16,2.01,2.01,1.97,1.97,86410.0,1.97,GOOG-H
2000-05-17,1.97,1.98,1.96,1.98,53169.0,1.98,GOOG-H
2000-05-18,1.97,1.97,1.96,1.97,54590.0,1.97,GOOG-H
2000-05-19,1.98,1.98,1.96,1.96,464383.0,1.96,GOOG-H
2000-05-22,1.74,1.85,1.74,1.85,9000.0,1.85,GOOG-H
2000-05-23,1.74,1.85,1.74,1.78,17004.0,1.78,GOOG-H
2000-05-24,1.78,1.78,1.78,1.78,11000.0,1.78,GOOG-H
2000-05-25,1.78,1.79,1.78,1.78,8400.0,1.78,GOOG-H
2000-05-26,1.79,1.79,1.78,1.78,6600.0,1.78,GOOG-H
2000-05-29,1.74,1.75,1.74,1.75,140121.0,1.75,GOOG-H
2000-05-30,1.76,1.76,1.74,1.74,117312.0,1.74,GOOG-H
2000-05-31,1.76,1.78,1.76,1.78,29880.0,1.78,GOOG-H
2000-06-01,1.78,1.79,1.78,1.79,4945.0,1.79,GOOG-H
2000-06-02,1.78,1.78,1.78,1.78,17000.0,1.78,GOOG-H
2000-06-05,1.78,1.79,1.75,1.79,43492.0,1.79,GOOG-H
2000-06-06,1.8,1.8,1.78,1.79,11895.0,1.79,GOOG-H
2000-06-07,1.78,1.79,1.78,1.78,23430.0,1.78,GOOG-H
2000-06-08,1.78,1.78,1.78,1.78,97000.0,1.78,GOOG-H
2000-06-09,1.78,1.78,1.78,1.78,161926.0,1.78,GOOG-H
2000-06-13,1.78,1.79,1.78,1.78,105775.0,1.78,GOOG-H
2000-06-14,1.79,1.83,1.79,1.83,83760.0,1.83,GOOG-H
2000-06-15,1.82,1.83,1.81,1.83,43400.0,1.83,GOOG-H
2000-06-16,1.83,1.83,1.82,1.83,20358.0,1.83,GOOG-H
2000-06-19,1.82,1.86,1.82,1.86,20080.0,1.86,GOOG-H
2000-06-20,1.84,1.85,1.82,1.85,73178.0,1.85,GOOG-H
2000-06-21,1.83,1.85,1.82,1.85,341440.0,1.85,GOOG-H
2000-06-22,1.84,1.84,1.82,1.83,57335.0,1.83,GOOG-H
2000-06-23,1.84,1.84,1.83,1.83,122940.0,1.83,GOOG-H
2000-06-26,1.83,1.84,1.82,1.84,84467.0,1.84,GOOG-H
2000-06-27,1.84,1.85,1.82,1.83,202956.0,1.83,GOOG-H
2000-06-28,1.84,1.85,1.83,1.83,19200.0,1.83,GOOG-H
2000-06-29,1.84,1.85,1.83,1.83,92000.0,1.83,GOOG-H
2000-06-30,1.83,1.85,1.83,1.85,95587.0,1.85,GOOG-H
2000-07-03,1.84,1.87,1.83,1.86,117798.0,1.86,GOOG-H
2000-07-04,1.87,1.89,1.86,1.88,132510.0,1.88,GOOG-H
2000-07-05,1.89,1.89,1.85,1.85,17700.0,1.85,GOOG-H
2000-07-06,1.86,1.87,1.86,1.86,7678.0,1.86,GOOG-H
2000-07-07,1.86,1.88,1.85,1.86,12072.0,1.86,GOOG-H
2000-07-10,1.87,1.87,1.83,1.83,25450.0,1.83,GOOG-H
2000-07-11,1.85,1.89,1.85,1.86,102627.0,1.86,GOOG-H
2000-07-12,1.88,1.88,1.87,1.87,44530.0,1.87,GOOG-H
2000-07-13,1.86,1.88,1.86,1.86,62225.0,1.86,GOOG-H
2000-07-14,1.88,1.89,1.88,1.89,42500.0,1.89,GOOG-H
2000-07-17,1.89,1.9,1.88,1.9,48941.0,1.9,GOOG-H
2000-07-18,1.9,1.92,1.9,1.92,313308.0,1.92,GOOG-H
2000-07-19,1.93,1.95,1.93,1.95,182483.0,1.95,GOOG-H
2000-07-20,1.95,1.95,1.94,1.95,469249.0,1.95,GOOG-H
2000-07-21,1.95,1.96,1.95,1.95,134864.0,1.95,GOOG-H
2000-07-24,1.96,1.99,1.96,1.97,31253.0,1.97,GOOG-H
2000-07-25,1.97,1.99,1.96,1.98,28985.0,1.98,GOOG-H
2000-07-26,1.98,1.99,1.98,1.99,31618.0,1.99,GOOG-H
2000-07-27,2.0,2.01,2.0,2.0,63600.0,2.0,GOOG-H
2000-07-28,2.01,2.02,2.0,2.0,10050.0,2.0,GOOG-H
2000-07-31,2.01,2.01,1.99,2.0,57847.0,2.0,GOOG-H
2000-08-01,2.0,2.01,1.97,2.01,87808.0,2.01,GOOG-H
2000-08-02,2.03,2.03,2.01,2.01,62157.0,2.01,GOOG-H
2000-08-03,2.02,2.07,2.02,2.07,77000.0,2.07,GOOG-H
2000-08-04,2.02,2.05,2.02,2.03,166515.0,2.03,GOOG-H
2000-08-07,2.05,2.05,2.02,2.03,23856.0,2.03,GOOG-H
2000-08-08,2.05,2.07,2.04,2.07,99567.0,2.07,GOOG-H
2000-08-09,2.07,2.07,2.03,2.05,12817.0,2.05,GOOG-H
2000-08-10,2.03,2.04,2.02,2.02,49309.0,2.02,GOOG-H
2000-08-11,2.04,2.04,2.04,2.04,6000.0,2.04,GOOG-H
2000-08-14,2.04,2.07,2.02,2.07,38670.0,2.07,GOOG-H
2000-08-15,2.06,2.07,2.06,2.07,10770.0,2.07,GOOG-H
2000-08-16,2.05,2.05,2.01,2.01,83676.0,2.01,GOOG-H
2000-08-17,2.01,2.03,2.01,2.01,9760.0,2.01,GOOG-H
2000-08-18,2.01,2.04,2.01,2.04,27356.0,2.04,GOOG-H
2000-08-21,2.04,2.04,2.03,2.03,3500.0,2.03,GOOG-H
2000-08-22,2.04,2.04,2.01,2.01,14080.0,2.01,GOOG-H
2000-08-23,2.03,2.06,2.03,2.03,22398.0,2.03,GOOG-H
2000-08-24,2.03,2.03,2.01,2.01,54002.0,2.01,GOOG-H
2000-08-25,2.02,2.02,2.01,2.02,14710.0,2.02,GOOG-H
2000-08-28,2.02,2.02,2.02,2.02,17750.0,2.02,GOOG-H
2000-08-29,2.02,2.07,2.02,2.07,85200.0,2.07,GOOG-H
2000-08-31,2.05,2.05,2.02,2.02,17700.0,2.02,GOOG-H
2000-09-01,2.03,2.05,2.03,2.03,7235.0,2.03,GOOG-H
2000-09-04,2.03,2.06,2.03,2.06,17087.0,2.06,GOOG-H
2000-09-05,2.06,2.06,2.03,2.03,21293.0,2.03,GOOG-H
2000-09-06,2.04,2.04,2.03,2.03,6875.0,2.03,GOOG-H
2000-09-07,2.03,2.07,2.03,2.07,45350.0,2.07,GOOG-H
2000-09-08,2.07,2.12,2.07,2.11,205056.0,2.11,GOOG-H
2000-09-11,2.08,2.08,1.99,1.99,11700.0,1.99,GOOG-H
2000-09-12,1.99,2.02,1.99,1.99,37500.0,1.99,GOOG-H
2000-09-13,1.99,2.0,1.98,1.99,142428.0,1.99,GOOG-H
2000-09-14,2.0,2.0,1.99,1.99,14525.0,1.99,GOOG-H
2000-09-15,2.0,2.01,2.0,2.01,49301.0,2.01,GOOG-H
2000-09-18,2.0,2.01,1.99,1.99,89799.0,1.99,GOOG-H
2000-09-19,1.99,1.99,1.99,1.99,42240.0,1.99,GOOG-H
2000-09-20,1.99,1.99,1.99,1.99,52500.0,1.99,GOOG-H
2000-09-21,1.99,1.99,1.99,1.99,1000.0,1.99,GOOG-H
2000-09-22,1.99,2.03,1.99,2.03,30692.0,2.03,GOOG-H
2000-09-25,2.03,2.03,2.03,2.03,5000.0,2.03,GOOG-H
2000-09-26,2.01,2.01,1.99,1.99,18000.0,1.99,GOOG-H
2000-09-27,1.99,1.99,1.95,1.99,39400.0,1.99,GOOG-H
2000-09-28,2.01,2.01,1.99,1.99,351287.0,1.99,GOOG-H
2000-09-29,1.99,2.01,1.99,2.01,36275.0,2.01,GOOG-H
2000-10-02,2.0,2.0,2.0,2.0,1170.0,2.0,GOOG-H
2000-10-03,1.99,1.99,1.99,1.99,3830.0,1.99,GOOG-H
2000-10-04,2.0,2.01,2.0,2.01,18070.0,2.01,GOOG-H
2000-10-05,2.01,2.01,2.01,2.01,5070.0,2.01,GOOG-H
2000-10-06,2.01,2.01,2.01,2.01,5000.0,2.01,GOOG-H
2000-10-09,2.0,2.03,2.0,2.03,42084.0,2.03,GOOG-H
2000-10-10,2.01,2.01,1.99,1.99,19387.0,1.99,GOOG-H
2000-10-11,1.99,2.01,1.99,2.01,48180.0,2.01,GOOG-H
2000-10-12,2.01,2.01,2.01,2.01,42275.0,2.01,GOOG-H
2000-10-13,2.01,2.03,2.01,2.03,55817.0,2.03,GOOG-H
2000-10-16,2.02,2.02,2.01,2.02,49350.0,2.02,GOOG-H
2000-10-17,2.03,2.03,2.01,2.02,10995.0,2.02,GOOG-H
2000-10-19,2.01,2.01,2.01,2.01,2000.0,2.01,GOOG-H
2000-10-20,2.01,2.01,2.01,2.01,3000.0,2.01,GOOG-H
2000-10-23,2.0,2.01,1.99,1.99,30183.0,1.99,GOOG-H
2000-10-24,1.99,1.99,1.99,1.99,3000.0,1.99,GOOG-H
2000-10-25,1.99,2.01,1.99,2.01,4046.0,2.01,GOOG-H
2000-10-26,2.01,2.01,1.99,1.99,163822.0,1.99,GOOG-H
