DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-11-11,2.75,2.77,2.61,2.65,9752802.0,2.65,GOOG-H
2014-11-12,2.66,2.7,2.65,2.66,1888995.0,2.66,GOOG-H
2014-11-13,2.68,2.7,2.67,2.69,959771.0,2.69,GOOG-H
2014-11-14,2.69,2.71,2.67,2.68,592324.0,2.68,GOOG-H
2014-11-17,2.69,2.69,2.66,2.66,834492.0,2.66,GOOG-H
2014-11-18,2.66,2.67,2.65,2.66,847913.0,2.66,GOOG-H
2014-11-19,2.65,2.67,2.61,2.63,847408.0,2.63,GOOG-H
2014-11-20,2.61,2.62,2.58,2.58,656973.0,2.58,GOOG-H
2014-11-21,2.6,2.6,2.51,2.55,677556.0,2.55,GOOG-H
2014-11-24,2.58,2.58,2.5,2.52,1178920.0,2.52,GOOG-H
2014-11-25,2.54,2.55,2.46,2.5,2573273.0,2.5,GOOG-H
2014-11-26,2.48,2.49,2.47,2.49,1442303.0,2.49,GOOG-H
2014-11-27,2.5,2.5,2.5,2.5,54956.0,2.5,GOOG-H
2014-11-28,2.49,2.49,2.47,2.47,1817239.0,2.47,GOOG-H
2014-12-01,2.46,2.46,2.45,2.45,50176.0,2.45,GOOG-H
2014-12-02,2.45,2.45,2.42,2.45,145259.0,2.45,GOOG-H
2014-12-03,2.45,2.48,2.45,2.48,20314.0,2.48,GOOG-H
2014-12-04,2.45,2.55,2.45,2.5,351418.0,2.5,GOOG-H
2014-12-05,2.52,2.58,2.45,2.45,150920.0,2.45,GOOG-H
2014-12-08,2.45,2.54,2.45,2.54,25141.0,2.54,GOOG-H
2014-12-09,2.53,2.53,2.45,2.5,1169030.0,2.5,GOOG-H
2014-12-10,2.51,2.55,2.5,2.55,36397.0,2.55,GOOG-H
2014-12-11,2.54,2.54,2.54,2.54,2766.0,2.54,GOOG-H
2014-12-12,2.48,2.48,2.48,2.48,785168.0,2.48,GOOG-H
2014-12-15,2.49,2.56,2.49,2.55,59148.0,2.55,GOOG-H
2014-12-16,2.48,2.48,2.44,2.48,664806.0,2.48,GOOG-H
2014-12-17,2.49,2.54,2.49,2.54,1682395.0,2.54,GOOG-H
2014-12-18,2.51,2.52,2.49,2.51,353092.0,2.51,GOOG-H
2014-12-19,2.53,2.57,2.49,2.5,116995.0,2.5,GOOG-H
2014-12-22,2.53,2.54,2.5,2.5,11974.0,2.5,GOOG-H
2014-12-23,2.5,2.5,2.49,2.49,14555.0,2.49,GOOG-H
2014-12-24,2.55,2.55,2.49,2.49,71300.0,2.49,GOOG-H
2014-12-29,2.5,2.52,2.5,2.5,35303.0,2.5,GOOG-H
2014-12-30,2.54,2.54,2.48,2.48,16921.0,2.48,GOOG-H
2014-12-31,2.54,2.54,2.53,2.54,2774.0,2.54,GOOG-H
2015-01-02,2.54,2.54,2.54,2.54,3548.0,2.54,GOOG-H
2015-01-05,2.51,2.54,2.51,2.54,33204.0,2.54,GOOG-H
2015-01-06,2.51,2.54,2.51,2.54,26890.0,2.54,GOOG-H
2015-01-07,2.54,2.55,2.49,2.53,371064.0,2.53,GOOG-H
2015-01-08,2.48,2.54,2.48,2.54,40744.0,2.54,GOOG-H
2015-01-09,2.52,2.55,2.5,2.54,634558.0,2.54,GOOG-H
2015-01-12,2.54,2.54,2.53,2.54,459199.0,2.54,GOOG-H
2015-01-13,2.5,2.51,2.49,2.5,22105.0,2.5,GOOG-H
2015-01-14,2.5,2.5,2.5,2.5,315.0,2.5,GOOG-H
2015-01-15,2.5,2.5,2.5,2.5,13055.0,2.5,GOOG-H
2015-01-16,2.48,2.55,2.48,2.55,86729.0,2.55,GOOG-H
2015-01-19,2.55,2.55,2.5,2.55,4962.0,2.55,GOOG-H
2015-01-20,2.55,2.58,2.48,2.55,336432.0,2.55,GOOG-H
2015-01-21,2.55,2.58,2.5,2.55,152200.0,2.55,GOOG-H
2015-01-22,2.57,2.6,2.56,2.58,403614.0,2.58,GOOG-H
2015-01-23,2.55,2.64,2.55,2.6,267092.0,2.6,GOOG-H
2015-01-27,2.6,2.64,2.58,2.6,31468.0,2.6,GOOG-H
2015-01-28,2.59,2.64,2.58,2.64,36940.0,2.64,GOOG-H
2015-01-29,2.61,2.65,2.61,2.65,35300.0,2.65,GOOG-H
2015-01-30,2.62,2.68,2.62,2.68,30198.0,2.68,GOOG-H
2015-02-02,2.67,2.67,2.64,2.65,308143.0,2.65,GOOG-H
2015-02-03,2.66,2.74,2.65,2.71,231141.0,2.71,GOOG-H
2015-02-04,2.71,2.77,2.71,2.74,238017.0,2.74,GOOG-H
2015-02-05,2.74,2.87,2.74,2.78,384897.0,2.78,GOOG-H
2015-02-06,2.79,2.89,2.77,2.87,163793.0,2.87,GOOG-H
2015-02-09,2.87,2.87,2.78,2.8,171660.0,2.8,GOOG-H
2015-02-10,2.8,2.85,2.8,2.85,184327.0,2.85,GOOG-H
2015-02-11,2.83,2.99,2.83,2.9,1711173.0,2.9,GOOG-H
2015-02-12,2.92,2.92,2.78,2.78,37162.0,2.78,GOOG-H
2015-02-13,2.8,2.9,2.69,2.74,75869.0,2.74,GOOG-H
2015-02-16,2.75,2.75,2.75,2.75,8243.0,2.75,GOOG-H
2015-02-17,2.86,2.9,2.84,2.9,123862.0,2.9,GOOG-H
2015-02-18,2.89,2.95,2.88,2.94,60014.0,2.94,GOOG-H
2015-02-19,2.9,2.96,2.9,2.92,156824.0,2.92,GOOG-H
2015-02-20,2.9,2.9,2.78,2.85,68597.0,2.85,GOOG-H
2015-02-23,2.85,2.85,2.79,2.85,43137.0,2.85,GOOG-H
2015-02-24,2.84,2.87,2.79,2.86,94856.0,2.86,GOOG-H
2015-02-25,2.92,3.04,2.88,2.98,69932.0,2.98,GOOG-H
2015-02-26,2.9,2.94,2.85,2.89,102256.0,2.89,GOOG-H
2015-02-27,2.9,3.01,2.9,2.98,3190044.0,2.98,GOOG-H
2015-03-02,2.97,2.97,2.85,2.85,428852.0,2.85,GOOG-H
2015-03-03,2.87,2.92,2.78,2.91,499631.0,2.91,GOOG-H
2015-03-04,2.91,2.91,2.83,2.9,39276.0,2.9,GOOG-H
2015-03-05,2.9,2.96,2.9,2.95,2745699.0,2.95,GOOG-H
2015-03-06,2.96,3.06,2.95,3.0,180576.0,3.0,GOOG-H
2015-03-09,2.98,2.98,2.92,2.96,37805.0,2.96,GOOG-H
2015-03-10,2.94,3.05,2.94,3.0,253695.0,3.0,GOOG-H
