DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2017-06-29,2.7,2.7,2.65,2.7,53203,2.7,GOOG-H
2017-06-30,2.68,2.95,2.68,2.95,21668,2.95,GOOG-H
2017-07-03,3.02,3.08,3.0,3.0,61756,3.0,GOOG-H
2017-07-04,3.0,3.02,2.99,3.0,64658,3.0,GOOG-H
2017-07-05,3.0,3.2,2.99,3.18,443935,3.18,GOOG-H
2017-07-06,3.2,3.2,3.13,3.15,308738,3.15,GOOG-H
2017-07-07,3.15,3.18,3.06,3.11,261677,3.11,GOOG-H
2017-07-10,3.15,3.15,2.85,2.93,431289,2.93,GOOG-H
2017-07-11,2.89,3.07,2.89,3.01,274609,3.01,GOOG-H
2017-07-12,3.0,3.05,3.0,3.03,153241,3.03,GOOG-H
2017-07-13,3.03,3.13,3.03,3.05,1064230,3.05,GOOG-H
2017-07-14,3.06,3.14,3.06,3.1,617484,3.1,GOOG-H
2017-07-17,3.1,3.1,3.06,3.09,283953,3.09,GOOG-H
2017-07-18,3.08,3.1,3.07,3.1,182952,3.1,GOOG-H
2017-07-19,3.11,3.11,3.09,3.1,338625,3.1,GOOG-H
2017-07-20,3.1,3.1,3.07,3.07,354679,3.07,GOOG-H
2017-07-21,3.07,3.1,3.07,3.1,164878,3.1,GOOG-H
2017-07-24,3.1,3.1,3.02,3.02,254877,3.02,GOOG-H
2017-07-25,3.04,3.1,3.02,3.06,151920,3.06,GOOG-H
2017-07-26,3.06,3.1,3.06,3.09,87030,3.09,GOOG-H
2017-07-27,3.09,3.1,3.05,3.09,115770,3.09,GOOG-H
2017-07-28,3.09,3.1,3.05,3.08,218704,3.08,GOOG-H
2017-07-31,3.08,3.1,3.05,3.1,172067,3.1,GOOG-H
2017-08-01,3.1,3.1,3.05,3.08,134267,3.08,GOOG-H
2017-08-02,3.08,3.08,3.03,3.05,100719,3.05,GOOG-H
2017-08-03,3.05,3.07,3.01,3.05,67434,3.05,GOOG-H
2017-08-04,3.07,3.08,3.02,3.07,80827,3.07,GOOG-H
2017-08-07,3.07,3.07,3.03,3.07,185869,3.07,GOOG-H
2017-08-08,3.07,3.07,3.03,3.05,266708,3.05,GOOG-H
2017-08-09,3.06,3.08,3.03,3.05,124166,3.05,GOOG-H
2017-08-10,3.05,3.07,3.01,3.04,201082,3.04,GOOG-H
2017-08-11,3.01,3.01,2.96,2.97,176465,2.97,GOOG-H
2017-08-14,2.96,3.04,2.95,3.04,232646,3.04,GOOG-H
2017-08-15,3.04,3.05,2.95,3.0,93835,3.0,GOOG-H
2017-08-16,3.0,3.01,2.94,3.01,104383,3.01,GOOG-H
2017-08-17,3.02,3.04,2.98,3.0,358010,3.0,GOOG-H
2017-08-18,3.0,3.05,2.94,3.05,202072,3.05,GOOG-H
2017-08-21,3.06,3.1,3.06,3.09,1255210,3.09,GOOG-H
2017-08-22,3.09,3.13,3.07,3.09,1163605,3.09,GOOG-H
2017-08-23,3.09,3.11,3.08,3.09,457114,3.09,GOOG-H
2017-08-24,3.09,3.24,3.05,3.24,2201751,3.24,GOOG-H
2017-08-25,3.32,3.64,3.31,3.6,1787174,3.6,GOOG-H
2017-08-28,3.62,3.73,3.53,3.54,772445,3.54,GOOG-H
2017-08-29,3.56,3.59,3.47,3.53,798835,3.53,GOOG-H
2017-08-30,3.58,3.73,3.57,3.66,1929362,3.66,GOOG-H
2017-08-31,3.7,3.89,3.66,3.77,1433269,3.77,GOOG-H
2017-09-01,3.84,3.9,3.82,3.86,1212541,3.86,GOOG-H
2017-09-04,3.89,3.89,3.8,3.85,381518,3.85,GOOG-H
2017-09-05,3.84,3.85,3.77,3.84,502613,3.84,GOOG-H
