DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-10,1.18,1.18,1.18,1.18,160.0,1.18,GOOG-H
2000-01-11,1.18,1.18,1.16,1.16,414.0,1.16,GOOG-H
2000-01-12,1.17,1.17,1.17,1.17,79.0,1.17,GOOG-H
2000-01-17,1.17,1.18,1.17,1.17,340.0,1.17,GOOG-H
2000-01-18,1.17,1.17,1.14,1.14,80.0,1.14,GOOG-H
2000-01-21,1.18,1.25,1.16,1.25,958.0,1.25,GOOG-H
2000-02-01,1.22,1.22,1.22,1.22,60.0,1.22,GOOG-H
2000-02-02,1.21,1.21,1.21,1.21,56.0,1.21,GOOG-H
2000-02-07,1.16,1.16,1.16,1.16,100.0,1.16,GOOG-H
2000-02-08,1.16,1.16,1.16,1.16,453.0,1.16,GOOG-H
2000-02-11,1.16,1.16,1.16,1.16,1000.0,1.16,GOOG-H
2000-02-15,1.16,1.16,1.14,1.16,2222.0,1.16,GOOG-H
2000-02-16,1.16,1.16,1.16,1.16,1800.0,1.16,GOOG-H
2000-02-17,1.15,1.15,1.15,1.15,800.0,1.15,GOOG-H
2000-02-21,1.15,1.15,1.15,1.15,1091.0,1.15,GOOG-H
2000-02-23,1.15,1.15,1.15,1.15,16.0,1.15,GOOG-H
2000-02-28,1.14,1.14,1.14,1.14,800.0,1.14,GOOG-H
2000-02-29,1.09,1.11,1.09,1.11,1600.0,1.11,GOOG-H
2000-03-01,1.12,1.13,1.12,1.13,130.0,1.13,GOOG-H
2000-03-02,1.13,1.13,1.11,1.11,1103.0,1.11,GOOG-H
2000-03-03,1.11,1.11,1.11,1.11,1000.0,1.11,GOOG-H
2000-03-06,1.11,1.11,1.11,1.11,1719.0,1.11,GOOG-H
2000-03-07,1.1,1.1,1.1,1.1,218.0,1.1,GOOG-H
2000-03-08,1.1,1.1,1.1,1.1,800.0,1.1,GOOG-H
2000-03-09,1.1,1.1,1.1,1.1,2200.0,1.1,GOOG-H
2000-03-10,1.09,1.11,1.09,1.09,458.0,1.09,GOOG-H
2000-03-13,1.1,1.1,1.1,1.1,400.0,1.1,GOOG-H
2000-03-14,1.11,1.11,1.11,1.11,24.0,1.11,GOOG-H
2000-03-15,1.11,1.11,1.11,1.11,400.0,1.11,GOOG-H
2000-03-16,1.1,1.1,1.1,1.1,2336.0,1.1,GOOG-H
2000-03-17,1.09,1.15,1.09,1.15,118.0,1.15,GOOG-H
2000-03-20,1.15,1.15,1.15,1.15,165.0,1.15,GOOG-H
2000-03-22,1.11,1.11,1.11,1.11,65.0,1.11,GOOG-H
2000-03-23,1.11,1.11,1.11,1.11,260.0,1.11,GOOG-H
2000-03-28,1.11,1.11,1.1,1.1,857.0,1.1,GOOG-H
2000-03-29,1.15,1.15,1.15,1.15,600.0,1.15,GOOG-H
2000-04-03,1.13,1.13,1.13,1.13,200.0,1.13,GOOG-H
2000-04-04,1.1,1.1,1.1,1.1,200.0,1.1,GOOG-H
2000-04-11,1.1,1.1,1.1,1.1,800.0,1.1,GOOG-H
2000-04-17,1.06,1.06,1.06,1.06,400.0,1.06,GOOG-H
2000-04-18,1.06,1.06,1.06,1.06,100.0,1.06,GOOG-H
2000-04-19,1.06,1.06,1.06,1.06,165.0,1.06,GOOG-H
2000-04-27,1.06,1.06,1.06,1.06,200.0,1.06,GOOG-H
2000-04-28,1.06,1.06,1.06,1.06,200.0,1.06,GOOG-H
2000-05-08,1.05,1.05,1.0,1.0,1400.0,1.0,GOOG-H
2000-05-09,1.0,1.0,1.0,1.0,15708.0,1.0,GOOG-H
