DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,0.38,0.38,0.37,0.37,61586,0.37,GOOG-H
2000-01-05,0.38,0.38,0.38,0.38,20000,0.38,GOOG-H
2000-01-06,0.38,0.38,0.37,0.38,60400,0.38,GOOG-H
2000-01-07,0.38,0.38,0.38,0.38,20000,0.38,GOOG-H
2000-01-10,0.38,0.38,0.37,0.37,17500,0.37,GOOG-H
2000-01-11,0.38,0.4,0.38,0.39,69481,0.39,GOOG-H
2000-01-12,0.38,0.38,0.38,0.38,1203356,0.38,GOOG-H
2000-01-14,0.39,0.39,0.39,0.39,36162,0.39,GOOG-H
2000-01-17,0.4,0.4,0.39,0.4,13200,0.4,GOOG-H
2000-01-18,0.39,0.4,0.39,0.39,83800,0.39,GOOG-H
2000-01-19,0.39,0.39,0.35,0.35,133574,0.35,GOOG-H
2000-01-20,0.35,0.35,0.35,0.35,13000,0.35,GOOG-H
2000-01-21,0.35,0.35,0.35,0.35,46000,0.35,GOOG-H
2000-01-24,0.34,0.34,0.34,0.34,301570,0.34,GOOG-H
2000-01-25,0.32,0.34,0.32,0.34,56737,0.34,GOOG-H
2000-01-27,0.33,0.34,0.33,0.33,16944,0.33,GOOG-H
2000-01-28,0.33,0.33,0.33,0.33,6600,0.33,GOOG-H
2000-01-31,0.33,0.33,0.28,0.29,69635,0.29,GOOG-H
2000-02-01,0.3,0.3,0.3,0.3,20359,0.3,GOOG-H
2000-02-02,0.31,0.35,0.31,0.31,50353,0.31,GOOG-H
2000-02-03,0.32,0.32,0.31,0.31,89500,0.31,GOOG-H
2000-02-04,0.31,0.32,0.31,0.32,15240,0.32,GOOG-H
2000-02-07,0.33,0.37,0.33,0.37,91509,0.37,GOOG-H
2000-02-10,0.34,0.34,0.33,0.33,16000,0.33,GOOG-H
2000-02-11,0.35,0.35,0.34,0.35,22700,0.35,GOOG-H
2000-02-14,0.35,0.35,0.33,0.33,7000,0.33,GOOG-H
2000-02-15,0.35,0.38,0.35,0.38,89857,0.38,GOOG-H
2000-02-16,0.38,0.4,0.38,0.39,82821,0.39,GOOG-H
2000-02-17,0.4,0.43,0.4,0.42,119332,0.42,GOOG-H
2000-02-18,0.42,0.43,0.4,0.41,114381,0.41,GOOG-H
2000-02-21,0.41,0.41,0.35,0.39,65686,0.39,GOOG-H
2000-02-22,0.39,0.42,0.39,0.42,250808,0.42,GOOG-H
2000-02-23,0.4,0.43,0.35,0.35,48883,0.35,GOOG-H
2000-02-24,0.37,0.38,0.37,0.38,18982,0.38,GOOG-H
2000-02-25,0.4,0.4,0.38,0.38,7000,0.38,GOOG-H
2000-02-28,0.38,0.4,0.38,0.38,31857,0.38,GOOG-H
2000-02-29,0.38,0.38,0.33,0.33,57143,0.33,GOOG-H
2000-03-01,0.35,0.36,0.35,0.36,24700,0.36,GOOG-H
2000-03-02,0.4,0.4,0.4,0.4,1870,0.4,GOOG-H
2000-03-03,0.36,0.36,0.36,0.36,47410,0.36,GOOG-H
2000-03-06,0.36,0.41,0.35,0.41,77834,0.41,GOOG-H
2000-03-07,0.39,0.39,0.35,0.35,8000,0.35,GOOG-H
2000-03-08,0.36,0.36,0.34,0.34,79037,0.34,GOOG-H
2000-03-09,0.35,0.36,0.34,0.34,7555,0.34,GOOG-H
2000-03-10,0.34,0.34,0.34,0.34,11949,0.34,GOOG-H
2000-03-13,0.34,0.34,0.34,0.34,15972,0.34,GOOG-H
2000-03-14,0.35,0.35,0.35,0.35,57500,0.35,GOOG-H
2000-03-15,0.36,0.36,0.35,0.35,12919,0.35,GOOG-H
2000-03-16,0.38,0.38,0.38,0.38,2000,0.38,GOOG-H
2000-03-17,0.35,0.35,0.35,0.35,20000,0.35,GOOG-H
2000-03-20,0.35,0.35,0.35,0.35,6132,0.35,GOOG-H
2000-03-21,0.35,0.35,0.35,0.35,8132,0.35,GOOG-H
2000-03-22,0.36,0.36,0.35,0.35,35317,0.35,GOOG-H
2000-03-24,0.35,0.35,0.32,0.32,89918,0.32,GOOG-H
2000-03-27,0.32,0.32,0.32,0.32,9172,0.32,GOOG-H
2000-03-28,0.32,0.32,0.31,0.31,427114,0.31,GOOG-H
2000-03-29,0.33,0.33,0.32,0.32,35800,0.32,GOOG-H
2000-03-30,0.32,0.32,0.3,0.3,88857,0.3,GOOG-H
2000-03-31,0.32,0.32,0.3,0.3,13800,0.3,GOOG-H
2000-04-03,0.31,0.32,0.3,0.3,63972,0.3,GOOG-H
2000-04-04,0.3,0.3,0.3,0.3,44332,0.3,GOOG-H
2000-04-05,0.28,0.28,0.28,0.28,35014,0.28,GOOG-H
2000-04-06,0.28,0.28,0.26,0.28,112527,0.28,GOOG-H
2000-04-07,0.28,0.3,0.27,0.28,73400,0.28,GOOG-H
2000-04-10,0.32,0.32,0.28,0.28,6121,0.28,GOOG-H
2000-04-11,0.29,0.29,0.28,0.28,8110,0.28,GOOG-H
2000-04-12,0.3,0.3,0.29,0.29,22000,0.29,GOOG-H
2000-04-13,0.29,0.29,0.29,0.29,26200,0.29,GOOG-H
2000-04-14,0.29,0.29,0.29,0.29,2165,0.29,GOOG-H
2000-04-17,0.29,0.29,0.28,0.29,24447,0.29,GOOG-H
2000-04-18,0.3,0.3,0.29,0.29,25553,0.29,GOOG-H
2000-04-19,0.29,0.29,0.29,0.29,20000,0.29,GOOG-H
2000-04-26,0.29,0.29,0.27,0.27,40500,0.27,GOOG-H
2000-04-27,0.27,0.27,0.27,0.27,2144,0.27,GOOG-H
2000-05-01,0.28,0.28,0.28,0.28,16074,0.28,GOOG-H
2000-05-02,0.28,0.28,0.27,0.27,48300,0.27,GOOG-H
2000-05-03,0.27,0.28,0.27,0.27,9026,0.27,GOOG-H
2000-05-04,0.27,0.27,0.27,0.27,3000,0.27,GOOG-H
2000-05-08,0.28,0.28,0.28,0.28,5000,0.28,GOOG-H
2000-05-09,0.28,0.28,0.26,0.27,50976,0.27,GOOG-H
2000-05-10,0.26,0.26,0.26,0.26,14700,0.26,GOOG-H
2000-05-11,0.26,0.26,0.26,0.26,25560,0.26,GOOG-H
2000-05-12,0.26,0.26,0.26,0.26,60655,0.26,GOOG-H
2000-05-15,0.26,0.26,0.26,0.26,1525,0.26,GOOG-H
2000-05-16,0.27,0.27,0.27,0.27,5000,0.27,GOOG-H
2000-05-17,0.27,0.27,0.24,0.24,14175,0.24,GOOG-H
2000-05-18,0.25,0.25,0.22,0.22,40997,0.22,GOOG-H
2000-05-19,0.22,0.23,0.22,0.22,74240,0.22,GOOG-H
2000-05-22,0.22,0.22,0.21,0.21,22200,0.21,GOOG-H
2000-05-23,0.21,0.21,0.21,0.21,3000,0.21,GOOG-H
2000-05-24,0.19,0.19,0.19,0.19,33392,0.19,GOOG-H
2000-05-25,0.19,0.19,0.19,0.19,152000,0.19,GOOG-H
2000-05-26,0.19,0.19,0.19,0.19,374811,0.19,GOOG-H
2000-05-29,0.21,0.21,0.21,0.21,53764,0.21,GOOG-H
2000-05-30,0.23,0.26,0.23,0.24,51199,0.24,GOOG-H
2000-05-31,0.26,0.27,0.26,0.27,23497,0.27,GOOG-H
2000-06-01,0.28,0.28,0.27,0.27,80003,0.27,GOOG-H
2000-06-02,0.26,0.26,0.24,0.24,38065,0.24,GOOG-H
2000-06-05,0.26,0.26,0.26,0.26,2000,0.26,GOOG-H
2000-06-06,0.25,0.25,0.24,0.24,16000,0.24,GOOG-H
2000-06-07,0.25,0.26,0.23,0.23,94171,0.23,GOOG-H
