DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,11.56,11.7,11.55,11.62,232131.0,11.62,GOOG-H
2000-01-05,11.28,11.28,11.04,11.18,310623.0,11.18,GOOG-H
2000-01-06,11.48,11.57,11.38,11.48,238345.0,11.48,GOOG-H
2000-01-07,11.48,11.65,11.48,11.54,256667.0,11.54,GOOG-H
2000-01-10,11.6,11.86,11.59,11.77,346746.0,11.77,GOOG-H
2000-01-11,11.82,11.97,11.82,11.82,316638.0,11.82,GOOG-H
2000-01-12,11.77,11.96,11.71,11.95,163953.0,11.95,GOOG-H
2000-01-13,11.88,11.93,11.77,11.93,184552.0,11.93,GOOG-H
2000-01-14,11.92,12.06,11.87,12.06,200003.0,12.06,GOOG-H
2000-01-17,12.16,12.55,12.15,12.53,337540.0,12.53,GOOG-H
2000-01-18,12.6,13.09,12.6,12.75,470727.0,12.75,GOOG-H
2000-01-19,12.75,12.75,12.45,12.57,210904.0,12.57,GOOG-H
2000-01-20,12.56,12.75,12.56,12.75,186200.0,12.75,GOOG-H
2000-01-21,12.75,12.75,12.57,12.59,69723.0,12.59,GOOG-H
2000-01-24,12.56,12.64,12.51,12.56,159783.0,12.56,GOOG-H
2000-01-25,12.5,12.56,12.27,12.44,118572.0,12.44,GOOG-H
2000-01-27,12.49,12.6,12.44,12.56,97660.0,12.56,GOOG-H
2000-01-28,12.56,12.68,12.56,12.68,93578.0,12.68,GOOG-H
2000-01-31,12.44,12.56,12.41,12.46,81003.0,12.46,GOOG-H
2000-02-01,12.69,12.75,12.46,12.6,164727.0,12.6,GOOG-H
2000-02-02,12.7,12.8,12.62,12.7,177269.0,12.7,GOOG-H
2000-02-03,12.76,12.8,12.56,12.66,364546.0,12.66,GOOG-H
2000-02-04,12.7,12.75,12.6,12.74,168001.0,12.74,GOOG-H
2000-02-07,12.67,12.77,12.65,12.76,147972.0,12.76,GOOG-H
2000-02-08,12.65,13.02,12.65,12.95,168006.0,12.95,GOOG-H
2000-02-09,12.95,13.22,12.95,13.05,218391.0,13.05,GOOG-H
2000-02-10,13.0,13.12,12.81,12.95,119877.0,12.95,GOOG-H
2000-02-11,12.95,13.37,12.95,13.31,237634.0,13.31,GOOG-H
2000-02-14,13.24,13.68,13.05,13.59,458327.0,13.59,GOOG-H
2000-02-15,13.65,13.93,13.63,13.63,353035.0,13.63,GOOG-H
2000-02-16,13.74,13.93,13.73,13.93,276009.0,13.93,GOOG-H
2000-02-17,13.74,13.93,13.73,13.93,204172.0,13.93,GOOG-H
2000-02-18,13.88,14.08,13.88,13.93,253190.0,13.93,GOOG-H
2000-02-21,13.63,13.93,13.44,13.88,311113.0,13.88,GOOG-H
2000-02-22,13.88,14.05,13.73,14.03,203823.0,14.03,GOOG-H
2000-02-23,14.03,14.22,13.93,14.16,404722.0,14.16,GOOG-H
2000-02-24,14.13,14.37,13.98,14.37,397032.0,14.37,GOOG-H
2000-02-25,14.42,14.47,14.25,14.42,382344.0,14.42,GOOG-H
2000-02-28,14.38,14.63,14.32,14.57,327737.0,14.57,GOOG-H
2000-02-29,14.65,14.91,14.62,14.9,457868.0,14.9,GOOG-H
2000-03-01,14.93,15.4,14.93,15.2,329839.0,15.2,GOOG-H
2000-03-02,15.29,15.29,14.27,14.62,384508.0,14.62,GOOG-H
2000-03-03,14.35,14.71,14.35,14.71,247380.0,14.71,GOOG-H
2000-03-06,14.71,14.81,14.57,14.62,251207.0,14.62,GOOG-H
2000-03-07,14.62,14.81,14.62,14.73,212356.0,14.73,GOOG-H
2000-03-08,14.69,14.82,14.5,14.6,766326.0,14.6,GOOG-H
2000-03-09,14.67,14.67,14.08,14.22,374346.0,14.22,GOOG-H
2000-03-10,14.22,14.66,14.22,14.63,323729.0,14.63,GOOG-H
2000-03-13,14.61,14.71,14.59,14.71,163705.0,14.71,GOOG-H
2000-03-14,14.66,14.81,14.66,14.72,580094.0,14.72,GOOG-H
2000-03-15,14.67,14.7,14.32,14.32,96809.0,14.32,GOOG-H
2000-03-16,14.52,14.82,14.52,14.72,211061.0,14.72,GOOG-H
2000-03-17,14.86,14.96,14.72,14.88,201557.0,14.88,GOOG-H
2000-03-20,14.76,14.84,14.66,14.8,101731.0,14.8,GOOG-H
2000-03-21,14.22,14.32,13.98,14.17,271937.0,14.17,GOOG-H
2000-03-22,14.17,14.41,13.98,14.37,147332.0,14.37,GOOG-H
2000-03-23,14.37,14.38,14.01,14.01,234824.0,14.01,GOOG-H
2000-03-24,14.03,14.22,13.93,14.17,155280.0,14.17,GOOG-H
2000-03-27,14.03,14.13,13.73,14.01,94431.0,14.01,GOOG-H
2000-03-28,13.86,13.88,13.54,13.78,303180.0,13.78,GOOG-H
2000-03-29,13.54,13.68,13.24,13.24,258128.0,13.24,GOOG-H
2000-03-30,13.23,13.57,13.23,13.57,373749.0,13.57,GOOG-H
2000-03-31,13.34,13.54,13.34,13.54,198593.0,13.54,GOOG-H
2000-04-03,13.57,13.68,13.54,13.67,378440.0,13.67,GOOG-H
2000-04-04,13.63,13.73,13.63,13.7,337013.0,13.7,GOOG-H
2000-04-05,13.68,13.68,12.48,13.34,767368.0,13.34,GOOG-H
2000-04-06,13.39,13.39,12.66,13.08,134791.0,13.08,GOOG-H
2000-04-07,13.24,13.24,12.65,12.65,136041.0,12.65,GOOG-H
