DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,4.51,4.69,4.49,4.66,2177813.0,4.66,GOOG-H
2000-01-05,4.52,4.58,4.5,4.52,3345896.0,4.52,GOOG-H
2000-01-06,4.54,4.55,4.46,4.48,4629153.0,4.48,GOOG-H
2000-01-07,4.49,4.69,4.49,4.65,5044907.0,4.65,GOOG-H
2000-01-10,4.71,4.86,4.71,4.83,7327290.0,4.83,GOOG-H
2000-01-11,4.81,4.88,4.81,4.84,7054071.0,4.84,GOOG-H
2000-01-12,4.72,4.78,4.62,4.67,3555673.0,4.67,GOOG-H
2000-01-13,4.62,4.65,4.55,4.64,4784089.0,4.64,GOOG-H
2000-01-14,4.62,4.68,4.62,4.66,4124834.0,4.66,GOOG-H
2000-01-17,4.65,4.65,4.53,4.56,3329647.0,4.56,GOOG-H
2000-01-18,4.53,4.56,4.48,4.51,2861994.0,4.51,GOOG-H
2000-01-19,4.49,4.53,4.47,4.47,2175291.0,4.47,GOOG-H
2000-01-20,4.43,4.62,4.39,4.59,6658917.0,4.59,GOOG-H
2000-01-21,4.56,4.56,4.44,4.45,3202996.0,4.45,GOOG-H
2000-01-24,4.4,4.45,4.38,4.45,2395057.0,4.45,GOOG-H
2000-01-25,4.36,4.43,4.29,4.43,5112537.0,4.43,GOOG-H
2000-01-27,4.36,4.36,4.25,4.25,4758452.0,4.25,GOOG-H
2000-01-28,4.24,4.24,4.16,4.17,7648071.0,4.17,GOOG-H
2000-01-31,4.09,4.33,4.09,4.33,3882042.0,4.33,GOOG-H
2000-02-01,4.31,4.34,4.21,4.28,2013744.0,4.28,GOOG-H
2000-02-02,4.32,4.4,4.3,4.37,2868067.0,4.37,GOOG-H
2000-02-03,4.34,4.37,4.08,4.19,5636868.0,4.19,GOOG-H
2000-02-04,4.19,4.24,4.15,4.15,4452163.0,4.15,GOOG-H
2000-02-07,4.21,4.28,4.2,4.23,3133527.0,4.23,GOOG-H
2000-02-08,4.21,4.32,4.16,4.19,2849211.0,4.19,GOOG-H
2000-02-09,4.12,4.19,3.96,4.01,5936556.0,4.01,GOOG-H
2000-02-10,3.93,3.94,3.84,3.86,10215043.0,3.86,GOOG-H
2000-02-11,3.88,3.96,3.84,3.87,5095271.0,3.87,GOOG-H
2000-02-14,3.86,3.91,3.73,3.76,9044997.0,3.76,GOOG-H
2000-02-15,3.77,4.01,3.69,3.96,11071829.0,3.96,GOOG-H
2000-02-16,4.03,4.06,3.9,3.92,4151755.0,3.92,GOOG-H
2000-02-17,3.95,3.96,3.78,3.94,3083987.0,3.94,GOOG-H
2000-02-18,3.94,3.98,3.87,3.91,2194660.0,3.91,GOOG-H
2000-02-21,3.8,3.96,3.8,3.96,1207579.0,3.96,GOOG-H
2000-02-22,3.96,4.02,3.85,3.85,1290800.0,3.85,GOOG-H
2000-02-23,3.83,3.83,3.64,3.65,5141800.0,3.65,GOOG-H
2000-02-24,3.69,3.69,3.51,3.51,9092791.0,3.51,GOOG-H
2000-02-25,3.58,3.69,3.42,3.56,8705179.0,3.56,GOOG-H
2000-02-28,3.56,3.6,3.45,3.48,3100907.0,3.48,GOOG-H
2000-02-29,3.41,3.41,3.24,3.32,8088146.0,3.32,GOOG-H
2000-03-01,3.35,3.46,3.33,3.4,2353062.0,3.4,GOOG-H
2000-03-02,3.48,3.61,3.48,3.52,4133623.0,3.52,GOOG-H
2000-03-03,3.54,3.58,3.42,3.46,6370718.0,3.46,GOOG-H
2000-03-06,3.58,3.58,3.31,3.39,2647012.0,3.39,GOOG-H
2000-03-07,3.37,3.44,3.35,3.41,2453424.0,3.41,GOOG-H
2000-03-08,3.42,3.45,3.32,3.36,1614419.0,3.36,GOOG-H
2000-03-09,3.42,3.48,3.37,3.39,4808453.0,3.39,GOOG-H
