DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-08-05,1.28,1.31,1.19,1.28,8891741,1.28,GOOG-H
2014-08-06,1.3,1.38,1.3,1.34,2806800,1.34,GOOG-H
2014-08-07,1.34,1.43,1.34,1.4,3058100,1.4,GOOG-H
2014-08-08,1.41,1.44,1.38,1.38,754474,1.38,GOOG-H
2014-08-11,1.41,1.44,1.38,1.38,560451,1.38,GOOG-H
2014-08-12,1.39,1.39,1.33,1.34,533552,1.34,GOOG-H
2014-08-13,1.35,1.35,1.3,1.32,345065,1.32,GOOG-H
2014-08-14,1.32,1.36,1.31,1.36,395582,1.36,GOOG-H
2014-08-15,1.36,1.37,1.36,1.36,335437,1.36,GOOG-H
2014-08-18,1.37,1.4,1.37,1.38,431416,1.38,GOOG-H
2014-08-19,1.4,1.41,1.39,1.39,679681,1.39,GOOG-H
2014-08-20,1.39,1.39,1.38,1.39,331457,1.39,GOOG-H
2014-08-21,1.39,1.39,1.36,1.37,496494,1.37,GOOG-H
2014-08-22,1.37,1.37,1.34,1.35,322798,1.35,GOOG-H
2014-08-25,1.36,1.37,1.35,1.37,231358,1.37,GOOG-H
2014-08-26,1.37,1.38,1.36,1.37,663711,1.37,GOOG-H
2014-08-27,1.37,1.38,1.36,1.36,300494,1.36,GOOG-H
2014-08-28,1.36,1.37,1.32,1.32,428381,1.32,GOOG-H
2014-08-29,1.36,1.37,1.32,1.34,241364,1.34,GOOG-H
2014-09-01,1.36,1.36,1.34,1.35,98440,1.35,GOOG-H
2014-09-02,1.35,1.35,1.31,1.32,289514,1.32,GOOG-H
2014-09-03,1.32,1.33,1.32,1.32,221828,1.32,GOOG-H
2014-09-04,1.32,1.32,1.28,1.28,232601,1.28,GOOG-H
2014-09-05,1.3,1.32,1.3,1.31,187751,1.31,GOOG-H
2014-09-08,1.3,1.31,1.28,1.28,392416,1.28,GOOG-H
2014-09-09,1.3,1.32,1.3,1.3,175373,1.3,GOOG-H
2014-09-10,1.29,1.3,1.28,1.29,552125,1.29,GOOG-H
2014-09-11,1.29,1.3,1.28,1.29,1257288,1.29,GOOG-H
2014-09-12,1.28,1.3,1.28,1.3,213644,1.3,GOOG-H
2014-09-15,1.31,1.32,1.29,1.29,266065,1.29,GOOG-H
2014-09-16,1.3,1.3,1.28,1.29,272679,1.29,GOOG-H
2014-09-17,1.3,1.31,1.29,1.3,130405,1.3,GOOG-H
2014-09-18,1.3,1.32,1.29,1.32,491750,1.32,GOOG-H
2014-09-19,1.33,1.36,1.31,1.32,146890,1.32,GOOG-H
2014-09-22,1.33,1.35,1.32,1.33,390963,1.33,GOOG-H
2014-09-23,1.34,1.38,1.3,1.37,522546,1.37,GOOG-H
2014-09-24,1.45,1.46,1.39,1.4,914923,1.4,GOOG-H
2014-09-25,1.41,1.45,1.37,1.38,596323,1.38,GOOG-H
2014-09-26,1.39,1.39,1.37,1.37,138032,1.37,GOOG-H
2014-09-29,1.37,1.37,1.36,1.37,144312,1.37,GOOG-H
2014-09-30,1.37,1.39,1.36,1.36,217681,1.36,GOOG-H
2014-10-01,1.39,1.41,1.37,1.4,254938,1.4,GOOG-H
2014-10-02,1.41,1.42,1.38,1.38,470940,1.38,GOOG-H
