DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-04-24,1.94,1.96,1.92,1.94,29269856.0,1.94,GOOG-H
2014-04-28,1.94,1.95,1.93,1.94,2878719.0,1.94,GOOG-H
2014-04-29,1.93,1.94,1.92,1.94,8089222.0,1.94,GOOG-H
2014-04-30,1.94,1.95,1.92,1.95,848619.0,1.95,GOOG-H
2014-05-01,1.96,1.96,1.94,1.94,648507.0,1.94,GOOG-H
2014-05-02,1.94,1.95,1.94,1.95,751201.0,1.95,GOOG-H
2014-05-05,1.97,2.0,1.97,1.98,367227.0,1.98,GOOG-H
2014-05-06,1.99,1.99,1.96,1.96,356376.0,1.96,GOOG-H
2014-05-07,1.96,1.98,1.95,1.98,385781.0,1.98,GOOG-H
2014-05-08,1.98,1.98,1.97,1.98,223630.0,1.98,GOOG-H
2014-05-09,1.97,1.97,1.96,1.97,268566.0,1.97,GOOG-H
2014-05-12,1.96,1.97,1.96,1.96,225381.0,1.96,GOOG-H
2014-05-13,1.97,1.97,1.94,1.94,491596.0,1.94,GOOG-H
2014-05-14,1.94,1.95,1.94,1.95,1628636.0,1.95,GOOG-H
2014-05-15,1.94,1.95,1.94,1.94,833564.0,1.94,GOOG-H
2014-05-16,1.96,1.96,1.93,1.94,91958.0,1.94,GOOG-H
2014-05-19,1.94,1.94,1.9,1.92,195023.0,1.92,GOOG-H
2014-05-20,1.9,1.9,1.86,1.86,513694.0,1.86,GOOG-H
2014-05-21,1.85,1.85,1.8,1.81,575781.0,1.81,GOOG-H
2014-05-22,1.85,1.86,1.83,1.84,287055.0,1.84,GOOG-H
2014-05-23,1.83,1.87,1.83,1.87,1158658.0,1.87,GOOG-H
2014-05-26,1.87,1.87,1.84,1.84,159714.0,1.84,GOOG-H
2014-05-27,1.85,1.86,1.83,1.83,421758.0,1.83,GOOG-H
2014-05-28,1.83,1.85,1.83,1.85,481917.0,1.85,GOOG-H
2014-05-29,1.83,1.84,1.8,1.84,148291.0,1.84,GOOG-H
2014-05-30,1.84,1.85,1.84,1.85,979049.0,1.85,GOOG-H
2014-06-02,1.84,1.84,1.81,1.81,77761.0,1.81,GOOG-H
2014-06-03,1.82,1.86,1.82,1.84,232343.0,1.84,GOOG-H
2014-06-04,1.84,1.85,1.84,1.84,83940.0,1.84,GOOG-H
2014-06-05,1.84,1.86,1.84,1.85,207119.0,1.85,GOOG-H
2014-06-06,1.85,1.89,1.85,1.87,292519.0,1.87,GOOG-H
2014-06-10,1.89,1.92,1.89,1.92,572554.0,1.92,GOOG-H
2014-06-11,1.9,1.91,1.89,1.9,456027.0,1.9,GOOG-H
2014-06-12,1.9,1.92,1.9,1.91,148512.0,1.91,GOOG-H
2014-06-13,1.9,1.91,1.9,1.91,63917.0,1.91,GOOG-H
2014-06-16,1.92,1.92,1.91,1.91,23886.0,1.91,GOOG-H
2014-06-17,1.9,1.91,1.9,1.9,814517.0,1.9,GOOG-H
2014-06-18,1.89,1.92,1.89,1.91,209687.0,1.91,GOOG-H
2014-06-19,1.92,1.94,1.91,1.91,178577.0,1.91,GOOG-H
2014-06-20,1.91,1.93,1.91,1.92,62810.0,1.92,GOOG-H
2014-06-23,1.92,1.94,1.92,1.94,166460.0,1.94,GOOG-H
2014-06-24,1.94,1.95,1.92,1.94,299200.0,1.94,GOOG-H
2014-06-25,1.95,1.96,1.94,1.95,643453.0,1.95,GOOG-H
2014-06-26,1.94,1.99,1.94,1.97,129385.0,1.97,GOOG-H
2014-06-27,1.98,2.06,1.97,1.98,209322.0,1.98,GOOG-H
2014-06-30,1.99,2.02,1.97,2.01,86611.0,2.01,GOOG-H
2014-07-01,2.01,2.01,1.96,1.99,116710.0,1.99,GOOG-H
2014-07-02,2.0,2.07,2.0,2.03,152772.0,2.03,GOOG-H
2014-07-03,2.03,2.06,2.02,2.06,140320.0,2.06,GOOG-H
2014-07-04,2.04,2.07,2.03,2.04,282740.0,2.04,GOOG-H
2014-07-07,2.04,2.05,2.04,2.04,58444.0,2.04,GOOG-H
2014-07-08,2.05,2.07,2.04,2.06,95570.0,2.06,GOOG-H
2014-07-09,2.05,2.06,2.01,2.06,328231.0,2.06,GOOG-H
2014-07-10,2.06,2.06,2.04,2.04,357732.0,2.04,GOOG-H
2014-07-11,2.0,2.04,2.0,2.04,49739.0,2.04,GOOG-H
2014-07-14,2.04,2.04,1.98,1.98,58042.0,1.98,GOOG-H
2014-07-15,1.98,2.06,1.95,2.06,71550.0,2.06,GOOG-H
2014-07-16,2.05,2.06,2.01,2.01,49896.0,2.01,GOOG-H
2014-07-17,2.03,2.03,1.99,1.99,140070.0,1.99,GOOG-H
2014-07-18,1.97,2.02,1.97,2.02,181514.0,2.02,GOOG-H
2014-07-21,2.02,2.02,1.99,2.0,244422.0,2.0,GOOG-H
2014-07-22,1.99,2.05,1.99,2.05,758261.0,2.05,GOOG-H
2014-07-23,2.05,2.05,2.0,2.0,78242.0,2.0,GOOG-H
