DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,5.08,5.13,4.95,4.98,30104.0,4.98,GOOG-H
2000-01-05,4.95,5.01,4.95,5.01,46334.0,5.01,GOOG-H
2000-01-06,4.97,5.03,4.94,4.94,37213.0,4.94,GOOG-H
2000-01-07,4.98,5.03,4.93,5.03,34546.0,5.03,GOOG-H
2000-01-10,5.13,5.13,5.03,5.04,19456.0,5.04,GOOG-H
2000-01-11,5.07,5.08,5.03,5.04,30093.0,5.04,GOOG-H
2000-01-12,5.08,5.08,5.03,5.08,20844.0,5.08,GOOG-H
2000-01-13,5.08,5.08,4.99,4.99,16690.0,4.99,GOOG-H
2000-01-14,5.03,5.03,4.94,4.95,10512.0,4.95,GOOG-H
2000-01-17,5.04,5.04,4.92,4.93,49878.0,4.93,GOOG-H
2000-01-18,4.93,4.98,4.91,4.98,12717.0,4.98,GOOG-H
2000-01-19,4.93,4.98,4.93,4.98,20742.0,4.98,GOOG-H
2000-01-20,4.93,4.99,4.93,4.97,21072.0,4.97,GOOG-H
2000-01-21,4.97,4.99,4.94,4.95,30799.0,4.95,GOOG-H
2000-01-24,5.03,5.03,4.93,4.93,56594.0,4.93,GOOG-H
2000-01-25,4.88,4.91,4.81,4.83,70954.0,4.83,GOOG-H
2000-01-27,4.83,4.98,4.81,4.86,21003.0,4.86,GOOG-H
2000-01-28,4.92,4.98,4.9,4.98,26484.0,4.98,GOOG-H
2000-01-31,4.93,4.98,4.9,4.9,79116.0,4.9,GOOG-H
2000-02-01,4.94,4.97,4.86,4.93,17848.0,4.93,GOOG-H
2000-02-02,4.88,4.93,4.84,4.87,20400.0,4.87,GOOG-H
2000-02-03,4.93,4.93,4.87,4.91,18954.0,4.91,GOOG-H
2000-02-04,4.86,4.98,4.86,4.86,47935.0,4.86,GOOG-H
2000-02-07,4.93,4.98,4.88,4.98,26736.0,4.98,GOOG-H
2000-02-08,4.98,5.01,4.88,4.88,32750.0,4.88,GOOG-H
2000-02-09,5.0,5.0,4.93,4.93,30954.0,4.93,GOOG-H
2000-02-10,4.93,4.97,4.85,4.85,26597.0,4.85,GOOG-H
2000-02-11,4.86,4.93,4.86,4.86,21699.0,4.86,GOOG-H
2000-02-14,4.93,4.97,4.91,4.97,37443.0,4.97,GOOG-H
2000-02-15,4.97,4.98,4.93,4.97,53046.0,4.97,GOOG-H
2000-02-16,4.95,5.0,4.88,4.88,34392.0,4.88,GOOG-H
2000-02-17,4.95,5.0,4.93,4.93,46672.0,4.93,GOOG-H
