DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-08-19,1.9,1.9,1.78,1.84,1117535.0,1.84,GOOG-H
2011-08-22,1.84,1.84,1.75,1.76,848467.0,1.76,GOOG-H
2011-08-23,1.78,1.8,1.76,1.76,356405.0,1.76,GOOG-H
2011-08-24,1.79,1.8,1.77,1.77,182028.0,1.77,GOOG-H
2011-08-25,1.77,1.77,1.74,1.74,1237925.0,1.74,GOOG-H
2011-08-26,1.75,1.77,1.75,1.77,78340.0,1.77,GOOG-H
2011-08-29,1.77,1.77,1.75,1.76,60485.0,1.76,GOOG-H
2011-08-30,1.76,1.8,1.74,1.8,108245.0,1.8,GOOG-H
2011-08-31,1.8,1.8,1.78,1.8,110018.0,1.8,GOOG-H
2011-09-01,1.84,1.84,1.8,1.8,143493.0,1.8,GOOG-H
2011-09-02,1.8,1.83,1.8,1.82,97467.0,1.82,GOOG-H
2011-09-05,1.8,1.82,1.8,1.81,151317.0,1.81,GOOG-H
2011-09-06,1.81,1.81,1.8,1.8,138020.0,1.8,GOOG-H
2011-09-07,1.85,1.9,1.82,1.88,306303.0,1.88,GOOG-H
2011-09-08,1.9,1.91,1.88,1.89,358096.0,1.89,GOOG-H
2011-09-09,1.88,1.89,1.87,1.89,96356.0,1.89,GOOG-H
2011-09-12,1.89,1.89,1.86,1.86,86155.0,1.86,GOOG-H
2011-09-13,1.87,1.88,1.85,1.88,166000.0,1.88,GOOG-H
2011-09-14,1.88,1.88,1.83,1.83,150710.0,1.83,GOOG-H
2011-09-15,1.85,1.85,1.83,1.83,40790.0,1.83,GOOG-H
2011-09-16,1.85,1.85,1.83,1.83,27524.0,1.83,GOOG-H
2011-09-19,1.83,1.85,1.83,1.84,18350.0,1.84,GOOG-H
2011-09-20,1.83,1.85,1.83,1.83,12420.0,1.83,GOOG-H
2011-09-21,1.83,1.83,1.82,1.82,73440.0,1.82,GOOG-H
2011-09-22,1.82,1.83,1.8,1.83,57080.0,1.83,GOOG-H
2011-09-23,1.81,1.82,1.8,1.8,206933.0,1.8,GOOG-H
2011-09-26,1.8,1.82,1.8,1.82,67517.0,1.82,GOOG-H
2011-09-27,1.8,1.82,1.8,1.82,7254.0,1.82,GOOG-H
2011-09-28,1.82,1.82,1.8,1.8,56528.0,1.8,GOOG-H
2011-09-29,1.79,1.8,1.77,1.77,109364.0,1.77,GOOG-H
2011-09-30,1.79,1.81,1.77,1.77,64913.0,1.77,GOOG-H
2011-10-04,1.77,1.77,1.75,1.77,9639.0,1.77,GOOG-H
2011-10-05,1.76,1.76,1.7,1.7,46510.0,1.7,GOOG-H
2011-10-06,1.7,1.73,1.7,1.71,22179.0,1.71,GOOG-H
2011-10-07,1.73,1.73,1.7,1.72,74930.0,1.72,GOOG-H
2011-10-10,1.72,1.73,1.67,1.68,77350.0,1.68,GOOG-H
2011-10-11,1.7,1.7,1.68,1.68,65507.0,1.68,GOOG-H
2011-10-12,1.69,1.7,1.67,1.69,21325.0,1.69,GOOG-H
2011-10-13,1.67,1.69,1.67,1.69,64722.0,1.69,GOOG-H
2011-10-14,1.69,1.71,1.69,1.71,84973.0,1.71,GOOG-H
2011-10-17,1.72,1.73,1.7,1.7,61120.0,1.7,GOOG-H
2011-10-18,1.7,1.7,1.69,1.69,88750.0,1.69,GOOG-H
2011-10-19,1.7,1.72,1.68,1.7,494809.0,1.7,GOOG-H
2011-10-20,1.71,1.73,1.7,1.7,30500.0,1.7,GOOG-H
2011-10-21,1.7,1.7,1.68,1.68,77700.0,1.68,GOOG-H
2011-10-24,1.7,1.7,1.68,1.68,7500.0,1.68,GOOG-H
2011-10-25,1.68,1.68,1.68,1.68,31604.0,1.68,GOOG-H
2011-10-26,1.68,1.69,1.68,1.68,40550.0,1.68,GOOG-H
2011-10-27,1.68,1.69,1.68,1.69,2890.0,1.69,GOOG-H
2011-10-28,1.7,1.7,1.69,1.69,8874.0,1.69,GOOG-H
2011-10-31,1.7,1.71,1.7,1.71,75000.0,1.71,GOOG-H
2011-11-01,1.69,1.7,1.69,1.69,9066.0,1.69,GOOG-H
2011-11-02,1.7,1.7,1.7,1.7,13587.0,1.7,GOOG-H
2011-11-03,1.7,1.7,1.69,1.7,71350.0,1.7,GOOG-H
2011-11-04,1.69,1.69,1.68,1.68,17250.0,1.68,GOOG-H
2011-11-07,1.7,1.7,1.6,1.7,86987.0,1.7,GOOG-H
2011-11-08,1.7,1.7,1.7,1.7,5000.0,1.7,GOOG-H
2011-11-10,1.68,1.7,1.67,1.69,82819.0,1.69,GOOG-H
2011-11-11,1.69,1.71,1.68,1.71,141268.0,1.71,GOOG-H
2011-11-14,1.71,1.71,1.7,1.71,71295.0,1.71,GOOG-H
2011-11-15,1.7,1.73,1.7,1.71,207015.0,1.71,GOOG-H
2011-11-16,1.73,1.73,1.72,1.72,14170.0,1.72,GOOG-H
2011-11-17,1.71,1.71,1.71,1.71,3450.0,1.71,GOOG-H
2011-11-18,1.72,1.72,1.7,1.72,8142.0,1.72,GOOG-H
2011-11-21,1.7,1.71,1.7,1.71,50344.0,1.71,GOOG-H
2011-11-22,1.68,1.68,1.68,1.68,9500.0,1.68,GOOG-H
2011-11-23,1.7,1.7,1.68,1.68,12360.0,1.68,GOOG-H
2011-11-24,1.69,1.69,1.67,1.68,58213.0,1.68,GOOG-H
