DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,3.46,3.59,3.46,3.59,3961350.0,3.59,GOOG-H
2000-01-05,3.5,3.52,3.46,3.5,3629448.0,3.5,GOOG-H
2000-01-06,3.51,3.57,3.51,3.52,3025419.0,3.52,GOOG-H
2000-01-07,3.53,3.72,3.53,3.7,6584197.0,3.7,GOOG-H
2000-01-10,3.71,3.81,3.66,3.73,5009007.0,3.73,GOOG-H
2000-01-11,3.69,3.7,3.6,3.62,5082838.0,3.62,GOOG-H
2000-01-12,3.55,3.59,3.52,3.55,2603110.0,3.55,GOOG-H
2000-01-13,3.46,3.59,3.45,3.53,4642820.0,3.53,GOOG-H
2000-01-14,3.53,3.57,3.47,3.55,3298509.0,3.55,GOOG-H
2000-01-17,3.55,3.55,3.48,3.52,2134630.0,3.52,GOOG-H
2000-01-18,3.46,3.5,3.46,3.46,2567806.0,3.46,GOOG-H
2000-01-19,3.46,3.46,3.38,3.39,2014454.0,3.39,GOOG-H
2000-01-20,3.47,3.51,3.45,3.48,6534597.0,3.48,GOOG-H
2000-01-21,3.45,3.45,3.37,3.39,2243843.0,3.39,GOOG-H
2000-01-24,3.38,3.41,3.35,3.36,1978287.0,3.36,GOOG-H
2000-01-25,3.29,3.37,3.29,3.37,3177987.0,3.37,GOOG-H
2000-01-27,3.34,3.36,3.3,3.33,4433236.0,3.33,GOOG-H
2000-01-28,3.31,3.34,3.27,3.29,6623431.0,3.29,GOOG-H
2000-01-31,3.24,3.26,3.2,3.25,3572005.0,3.25,GOOG-H
2000-02-01,3.26,3.26,3.2,3.2,2869382.0,3.2,GOOG-H
2000-02-02,3.2,3.31,3.2,3.24,3858483.0,3.24,GOOG-H
2000-02-03,3.24,3.28,3.15,3.2,4468485.0,3.2,GOOG-H
2000-02-04,3.2,3.25,3.17,3.17,3357287.0,3.17,GOOG-H
2000-02-07,3.15,3.28,3.15,3.26,2827976.0,3.26,GOOG-H
2000-02-08,3.24,3.3,3.24,3.29,2212790.0,3.29,GOOG-H
2000-02-09,3.29,3.29,3.17,3.18,2948080.0,3.18,GOOG-H
2000-02-10,3.13,3.13,3.03,3.05,9189981.0,3.05,GOOG-H
2000-02-11,3.06,3.08,3.03,3.04,4667880.0,3.04,GOOG-H
2000-02-14,3.01,3.03,2.96,2.97,5052670.0,2.97,GOOG-H
2000-02-15,2.98,3.09,2.98,3.08,3195763.0,3.08,GOOG-H
2000-02-16,3.14,3.17,2.94,2.96,4899596.0,2.96,GOOG-H
2000-02-17,3.0,3.01,2.93,2.95,6601241.0,2.95,GOOG-H
2000-02-18,2.91,2.92,2.83,2.88,5123225.0,2.88,GOOG-H
2000-02-21,2.84,2.97,2.84,2.95,2272811.0,2.95,GOOG-H
2000-02-22,2.97,2.98,2.87,2.91,3389152.0,2.91,GOOG-H
2000-02-23,2.92,2.94,2.83,2.83,3105384.0,2.83,GOOG-H
2000-02-24,2.84,2.92,2.84,2.92,3277733.0,2.92,GOOG-H
2000-02-25,2.94,2.96,2.86,2.9,5726265.0,2.9,GOOG-H
2000-02-28,2.9,2.9,2.76,2.79,3163203.0,2.79,GOOG-H
2000-02-29,2.82,2.82,2.74,2.79,4092668.0,2.79,GOOG-H
2000-03-01,2.79,2.86,2.78,2.81,4413847.0,2.81,GOOG-H
2000-03-02,2.81,2.88,2.81,2.84,4892445.0,2.84,GOOG-H
2000-03-03,2.9,2.9,2.83,2.83,4304689.0,2.83,GOOG-H
2000-03-06,2.9,2.9,2.73,2.73,2540728.0,2.73,GOOG-H
2000-03-07,2.72,2.86,2.7,2.86,4418486.0,2.86,GOOG-H
2000-03-08,2.86,2.88,2.77,2.78,4461870.0,2.78,GOOG-H
2000-03-09,2.8,2.95,2.79,2.94,2871658.0,2.94,GOOG-H
2000-03-10,2.96,3.02,2.96,2.98,3292550.0,2.98,GOOG-H
2000-03-13,2.96,3.01,2.95,3.01,1901704.0,3.01,GOOG-H
2000-03-14,2.98,3.12,2.98,3.1,5145610.0,3.1,GOOG-H
2000-03-15,3.09,3.09,3.0,3.06,5652324.0,3.06,GOOG-H
2000-03-16,3.09,3.17,3.09,3.15,2893627.0,3.15,GOOG-H
2000-03-17,3.2,3.24,3.1,3.12,3915001.0,3.12,GOOG-H
2000-03-20,3.1,3.12,3.03,3.11,2793647.0,3.11,GOOG-H
2000-03-21,3.08,3.11,3.05,3.07,1807293.0,3.07,GOOG-H
2000-03-22,3.07,3.1,3.04,3.1,3098836.0,3.1,GOOG-H
2000-03-23,3.06,3.08,3.04,3.07,2378262.0,3.07,GOOG-H
2000-03-24,3.06,3.06,3.0,3.03,3040811.0,3.03,GOOG-H
2000-03-27,3.02,3.04,2.99,3.01,3313750.0,3.01,GOOG-H
2000-03-28,3.02,3.03,3.01,3.02,4907735.0,3.02,GOOG-H
2000-03-29,3.02,3.06,3.0,3.06,3173390.0,3.06,GOOG-H
2000-03-30,3.06,3.12,3.06,3.08,3915982.0,3.08,GOOG-H
2000-03-31,3.05,3.13,3.04,3.09,22022904.0,3.09,GOOG-H
2000-04-03,3.11,3.2,3.11,3.19,3828596.0,3.19,GOOG-H
2000-04-04,3.2,3.26,3.2,3.23,3636103.0,3.23,GOOG-H
2000-04-05,3.22,3.26,3.18,3.24,4056308.0,3.24,GOOG-H
2000-04-06,3.26,3.29,3.25,3.26,2643187.0,3.26,GOOG-H
2000-04-07,3.26,3.28,3.19,3.26,2675963.0,3.26,GOOG-H
2000-04-10,3.2,3.23,3.14,3.14,4124509.0,3.14,GOOG-H
2000-04-11,3.11,3.13,3.09,3.09,2115908.0,3.09,GOOG-H
2000-04-12,3.09,3.14,3.07,3.11,2484899.0,3.11,GOOG-H
2000-04-13,3.09,3.11,3.03,3.08,2577662.0,3.08,GOOG-H
2000-04-14,3.05,3.05,3.02,3.04,2016827.0,3.04,GOOG-H
2000-04-17,2.92,3.04,2.92,3.0,2780230.0,3.0,GOOG-H
2000-04-18,3.01,3.07,3.0,3.05,2290792.0,3.05,GOOG-H
2000-04-19,3.12,3.12,3.01,3.12,2248615.0,3.12,GOOG-H
2000-04-20,3.08,3.11,3.06,3.09,1554951.0,3.09,GOOG-H
2000-04-26,3.15,3.21,3.14,3.21,3718991.0,3.21,GOOG-H
2000-04-27,3.19,3.2,3.16,3.19,2473958.0,3.19,GOOG-H
2000-04-28,3.17,3.19,3.14,3.19,5928081.0,3.19,GOOG-H
2000-05-01,3.15,3.17,3.11,3.13,1448336.0,3.13,GOOG-H
2000-05-02,3.16,3.25,3.16,3.25,2427016.0,3.25,GOOG-H
2000-05-03,3.29,3.29,3.14,3.17,4294953.0,3.17,GOOG-H
2000-05-04,3.13,3.13,3.01,3.05,4525834.0,3.05,GOOG-H
2000-05-05,3.06,3.07,2.94,3.03,1879535.0,3.03,GOOG-H
2000-05-08,3.1,3.11,3.05,3.08,1745940.0,3.08,GOOG-H
2000-05-09,3.09,3.1,2.96,2.96,1862414.0,2.96,GOOG-H
2000-05-10,2.96,2.96,2.85,2.88,3176519.0,2.88,GOOG-H
2000-05-11,2.86,2.93,2.84,2.89,3217723.0,2.89,GOOG-H
2000-05-12,2.92,2.93,2.85,2.92,1741761.0,2.92,GOOG-H
2000-05-15,2.93,3.0,2.93,2.96,2701477.0,2.96,GOOG-H
2000-05-16,2.98,3.09,2.98,3.07,3135983.0,3.07,GOOG-H
