DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,5.18,5.25,5.18,5.25,10600.0,5.25,GOOG-H
2000-01-05,5.2,5.2,5.2,5.2,2240.0,5.2,GOOG-H
2000-01-06,5.2,5.2,5.2,5.2,1274.0,5.2,GOOG-H
2000-01-07,5.2,5.25,5.2,5.25,3490.0,5.25,GOOG-H
2000-01-10,5.2,5.25,5.2,5.23,5130.0,5.23,GOOG-H
2000-01-11,5.2,5.25,5.2,5.2,8626.0,5.2,GOOG-H
2000-01-12,5.13,5.13,5.06,5.06,4900.0,5.06,GOOG-H
2000-01-13,5.15,5.15,5.15,5.15,2200.0,5.15,GOOG-H
2000-01-14,5.15,5.15,5.15,5.15,100.0,5.15,GOOG-H
2000-01-17,5.1,5.12,5.08,5.1,2200.0,5.1,GOOG-H
2000-01-18,5.08,5.2,5.05,5.2,19944.0,5.2,GOOG-H
2000-01-19,5.25,5.25,5.2,5.2,32000.0,5.2,GOOG-H
2000-01-21,5.23,5.23,5.18,5.18,2246.0,5.18,GOOG-H
2000-01-24,5.16,5.18,5.16,5.18,754.0,5.18,GOOG-H
2000-01-25,5.16,5.18,5.16,5.18,2500.0,5.18,GOOG-H
2000-01-27,5.18,5.18,5.18,5.18,875.0,5.18,GOOG-H
2000-01-28,5.1,5.2,5.1,5.15,7045.0,5.15,GOOG-H
2000-01-31,5.1,5.2,5.1,5.2,7550.0,5.2,GOOG-H
2000-02-01,5.2,5.2,5.1,5.1,3810.0,5.1,GOOG-H
2000-02-02,5.1,5.2,5.1,5.2,26266.0,5.2,GOOG-H
2000-02-03,5.15,5.15,5.15,5.15,8214.0,5.15,GOOG-H
2000-02-04,5.18,5.2,5.15,5.15,12000.0,5.15,GOOG-H
2000-02-07,5.21,5.21,5.15,5.2,9610.0,5.2,GOOG-H
2000-02-08,5.15,5.2,5.15,5.2,2280.0,5.2,GOOG-H
2000-02-09,5.15,5.15,5.15,5.15,2750.0,5.15,GOOG-H
2000-02-10,5.15,5.21,5.15,5.21,7155.0,5.21,GOOG-H
2000-02-11,5.27,5.59,5.27,5.59,15864.0,5.59,GOOG-H
2000-02-14,5.8,5.85,5.66,5.75,15175.0,5.75,GOOG-H
2000-02-15,5.9,5.9,5.75,5.75,21000.0,5.75,GOOG-H
2000-02-16,5.65,5.65,5.2,5.5,5976.0,5.5,GOOG-H
2000-02-17,5.5,5.5,5.4,5.45,10372.0,5.45,GOOG-H
2000-02-18,5.5,5.75,5.5,5.6,10936.0,5.6,GOOG-H
2000-02-21,5.6,5.9,5.6,5.9,8850.0,5.9,GOOG-H
2000-02-22,5.9,5.9,5.75,5.75,11093.0,5.75,GOOG-H
2000-02-23,5.75,5.75,5.5,5.75,4207.0,5.75,GOOG-H
2000-02-24,5.7,5.75,5.7,5.75,3791.0,5.75,GOOG-H
2000-02-25,5.75,5.78,5.73,5.75,1673.0,5.75,GOOG-H
2000-02-28,5.83,5.83,5.71,5.71,4000.0,5.71,GOOG-H
2000-02-29,5.71,5.72,5.71,5.72,9600.0,5.72,GOOG-H
2000-03-01,5.77,5.77,5.75,5.75,7630.0,5.75,GOOG-H
2000-03-02,5.79,5.79,5.79,5.79,1800.0,5.79,GOOG-H
2000-03-03,5.75,5.8,5.75,5.8,7290.0,5.8,GOOG-H
2000-03-06,5.75,5.79,5.72,5.76,6792.0,5.76,GOOG-H
2000-03-07,5.66,5.66,5.55,5.55,2000.0,5.55,GOOG-H
2000-03-08,5.64,5.64,5.57,5.57,2169.0,5.57,GOOG-H
