DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,3.95,3.95,3.95,3.95,1000.0,3.95,GOOG-H
2000-01-05,3.95,3.95,3.95,3.95,32.0,3.95,GOOG-H
2000-01-06,3.95,3.95,3.95,3.95,181.0,3.95,GOOG-H
2000-01-07,3.95,3.95,3.95,3.95,1787.0,3.95,GOOG-H
2000-01-10,4.0,4.0,4.0,4.0,1250.0,4.0,GOOG-H
2000-01-12,3.96,3.96,3.96,3.96,260.0,3.96,GOOG-H
2000-01-13,3.95,3.95,3.95,3.95,10000.0,3.95,GOOG-H
2000-01-17,3.95,3.95,3.95,3.95,487.0,3.95,GOOG-H
2000-01-18,3.95,3.95,3.95,3.95,653.0,3.95,GOOG-H
2000-01-19,3.95,3.95,3.95,3.95,5579.0,3.95,GOOG-H
2000-01-20,4.0,4.05,4.0,4.05,52549.0,4.05,GOOG-H
2000-01-21,4.0,4.0,4.0,4.0,18862.0,4.0,GOOG-H
2000-01-24,4.05,4.05,4.05,4.05,200.0,4.05,GOOG-H
2000-01-25,4.0,4.0,4.0,4.0,2000.0,4.0,GOOG-H
2000-01-27,4.0,4.04,4.0,4.04,3500.0,4.04,GOOG-H
2000-01-28,4.02,4.02,4.0,4.0,2055.0,4.0,GOOG-H
2000-02-01,4.0,4.04,4.0,4.04,7651.0,4.04,GOOG-H
2000-02-04,4.01,4.01,4.0,4.0,10000.0,4.0,GOOG-H
2000-02-07,4.0,4.0,4.0,4.0,3100.0,4.0,GOOG-H
2000-02-08,4.0,4.0,4.0,4.0,50472.0,4.0,GOOG-H
2000-02-09,4.0,4.0,4.0,4.0,3739.0,4.0,GOOG-H
2000-02-14,3.95,4.0,3.95,4.0,334171.0,4.0,GOOG-H
2000-02-15,4.0,4.05,4.0,4.05,16760.0,4.05,GOOG-H
2000-02-16,4.05,4.1,4.0,4.0,6962.0,4.0,GOOG-H
2000-02-17,4.0,4.0,4.0,4.0,8000.0,4.0,GOOG-H
2000-02-18,3.99,4.0,3.99,4.0,2700.0,4.0,GOOG-H
2000-02-22,4.0,4.0,4.0,4.0,300.0,4.0,GOOG-H
2000-02-23,4.0,4.0,4.0,4.0,250.0,4.0,GOOG-H
2000-02-24,4.0,4.0,4.0,4.0,275408.0,4.0,GOOG-H
2000-02-28,4.05,4.05,4.05,4.05,533.0,4.05,GOOG-H
2000-02-29,4.05,4.1,4.05,4.1,2300.0,4.1,GOOG-H
2000-03-01,4.1,4.1,4.1,4.1,18441.0,4.1,GOOG-H
2000-03-02,4.1,4.1,4.05,4.05,9042.0,4.05,GOOG-H
2000-03-06,4.05,4.05,4.0,4.05,607.0,4.05,GOOG-H
2000-03-07,4.1,4.1,4.1,4.1,26.0,4.1,GOOG-H
2000-03-08,4.11,4.11,4.11,4.11,200.0,4.11,GOOG-H
2000-03-09,4.12,4.12,4.1,4.1,18994.0,4.1,GOOG-H
2000-03-10,4.1,4.1,4.1,4.1,1200.0,4.1,GOOG-H
2000-03-13,4.1,4.1,4.1,4.1,100.0,4.1,GOOG-H
2000-03-15,4.1,4.1,4.1,4.1,696.0,4.1,GOOG-H
2000-03-16,4.1,4.1,4.1,4.1,539.0,4.1,GOOG-H
2000-03-21,4.09,4.09,4.09,4.09,338.0,4.09,GOOG-H
2000-03-22,4.05,4.05,4.02,4.02,928.0,4.02,GOOG-H
2000-03-23,4.02,4.02,4.02,4.02,2847.0,4.02,GOOG-H
2000-03-24,4.02,4.02,3.9,3.9,35364.0,3.9,GOOG-H
2000-03-27,3.95,4.02,3.95,4.02,3493.0,4.02,GOOG-H
2000-03-28,4.02,4.1,4.02,4.1,50403.0,4.1,GOOG-H
2000-03-29,4.08,4.1,4.08,4.1,147.0,4.1,GOOG-H
2000-03-30,4.05,4.1,4.05,4.1,7500.0,4.1,GOOG-H
2000-04-03,4.1,4.1,4.1,4.1,354.0,4.1,GOOG-H
2000-04-04,4.1,4.1,4.04,4.1,21550.0,4.1,GOOG-H
2000-04-05,4.04,4.04,4.04,4.04,100.0,4.04,GOOG-H
2000-04-06,4.1,4.1,4.1,4.1,30282.0,4.1,GOOG-H
2000-04-07,4.9,4.9,4.9,4.9,200.0,4.9,GOOG-H
2000-04-10,4.8,4.8,4.8,4.8,100.0,4.8,GOOG-H
2000-04-11,4.9,4.9,4.8,4.8,405.0,4.8,GOOG-H
2000-04-12,4.6,4.6,4.5,4.5,1520.0,4.5,GOOG-H
2000-04-13,4.8,4.8,4.5,4.5,3364.0,4.5,GOOG-H
2000-04-14,4.35,4.35,4.35,4.35,762.0,4.35,GOOG-H
2000-04-17,4.02,4.2,4.0,4.2,33728.0,4.2,GOOG-H
2000-04-18,4.2,4.2,4.2,4.2,23272.0,4.2,GOOG-H
2000-04-19,4.25,4.25,4.2,4.2,2206.0,4.2,GOOG-H
2000-04-28,4.3,4.3,4.3,4.3,600.0,4.3,GOOG-H
2000-05-03,4.3,4.3,4.3,4.3,250.0,4.3,GOOG-H
2000-05-04,4.25,4.25,4.25,4.25,200.0,4.25,GOOG-H
2000-05-08,4.28,4.3,4.28,4.3,7448.0,4.3,GOOG-H
2000-05-10,4.3,4.3,4.3,4.3,50.0,4.3,GOOG-H
2000-05-17,4.4,4.4,4.4,4.4,88.0,4.4,GOOG-H
2000-05-18,4.25,4.25,4.25,4.25,5.0,4.25,GOOG-H
2000-05-25,4.3,4.3,4.3,4.3,300.0,4.3,GOOG-H
2000-05-29,4.25,4.25,4.25,4.25,1447.0,4.25,GOOG-H
2000-05-30,4.25,4.25,4.25,4.25,278.0,4.25,GOOG-H
