DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,4.76,4.78,4.71,4.71,122826.0,4.71,GOOG-H
2000-01-05,4.68,4.71,4.67,4.69,65512.0,4.69,GOOG-H
2000-01-06,4.72,4.77,4.67,4.72,141857.0,4.72,GOOG-H
2000-01-07,4.72,4.72,4.68,4.68,58993.0,4.68,GOOG-H
2000-01-10,4.71,4.77,4.7,4.74,74239.0,4.74,GOOG-H
2000-01-11,4.74,4.77,4.74,4.77,296610.0,4.77,GOOG-H
2000-01-12,4.72,4.75,4.72,4.74,45800.0,4.74,GOOG-H
2000-01-13,4.72,4.72,4.67,4.7,49046.0,4.7,GOOG-H
2000-01-14,4.68,4.72,4.67,4.71,45086.0,4.71,GOOG-H
2000-01-17,4.7,4.72,4.6,4.6,59632.0,4.6,GOOG-H
2000-01-18,4.62,4.65,4.6,4.65,88180.0,4.65,GOOG-H
2000-01-19,4.65,4.65,4.61,4.61,53638.0,4.61,GOOG-H
2000-01-20,4.62,4.71,4.62,4.71,67338.0,4.71,GOOG-H
2000-01-21,4.72,4.72,4.67,4.71,94255.0,4.71,GOOG-H
2000-01-24,4.7,4.7,4.67,4.67,106670.0,4.67,GOOG-H
2000-01-25,4.67,4.69,4.65,4.69,74106.0,4.69,GOOG-H
2000-01-27,4.67,4.69,4.67,4.69,38835.0,4.69,GOOG-H
2000-01-28,4.69,4.69,4.67,4.67,67613.0,4.67,GOOG-H
2000-01-31,4.67,4.67,4.65,4.65,46140.0,4.65,GOOG-H
2000-02-01,4.67,4.67,4.63,4.65,204965.0,4.65,GOOG-H
2000-02-02,4.64,4.65,4.63,4.63,162994.0,4.63,GOOG-H
2000-02-03,4.64,4.65,4.61,4.62,135489.0,4.62,GOOG-H
2000-02-04,4.62,4.71,4.6,4.69,457625.0,4.69,GOOG-H
2000-02-07,4.69,4.72,4.69,4.71,76389.0,4.71,GOOG-H
2000-02-08,4.71,4.77,4.71,4.77,98301.0,4.77,GOOG-H
2000-02-09,4.78,4.86,4.77,4.82,132075.0,4.82,GOOG-H
2000-02-10,4.82,4.84,4.78,4.84,115770.0,4.84,GOOG-H
2000-02-11,4.84,4.84,4.81,4.81,41723.0,4.81,GOOG-H
2000-02-14,4.79,4.84,4.77,4.83,55773.0,4.83,GOOG-H
2000-02-15,4.83,4.84,4.81,4.84,75816.0,4.84,GOOG-H
2000-02-16,4.81,4.87,4.81,4.81,139383.0,4.81,GOOG-H
2000-02-17,4.81,4.86,4.81,4.81,68793.0,4.81,GOOG-H
2000-02-18,4.81,4.86,4.81,4.85,70141.0,4.85,GOOG-H
2000-02-21,4.81,4.82,4.77,4.82,107804.0,4.82,GOOG-H
2000-02-22,4.81,4.85,4.81,4.81,106692.0,4.81,GOOG-H
2000-02-23,4.81,4.87,4.81,4.86,128633.0,4.86,GOOG-H
2000-02-24,4.84,4.86,4.82,4.84,73721.0,4.84,GOOG-H
2000-02-25,4.85,4.85,4.78,4.81,108773.0,4.81,GOOG-H
2000-02-28,4.74,4.84,4.74,4.82,40189.0,4.82,GOOG-H
2000-02-29,4.91,4.91,4.81,4.82,107730.0,4.82,GOOG-H
2000-03-01,4.83,4.86,4.82,4.82,37625.0,4.82,GOOG-H
2000-03-02,4.82,4.84,4.82,4.82,125257.0,4.82,GOOG-H
2000-03-03,4.82,4.83,4.81,4.82,87225.0,4.82,GOOG-H
2000-03-06,4.82,4.83,4.81,4.82,98134.0,4.82,GOOG-H
2000-03-07,4.81,4.82,4.79,4.81,42474.0,4.81,GOOG-H
2000-03-08,4.81,4.83,4.81,4.83,39890.0,4.83,GOOG-H
2000-03-09,4.81,4.83,4.81,4.83,38830.0,4.83,GOOG-H
2000-03-10,4.81,4.84,4.81,4.81,49226.0,4.81,GOOG-H
2000-03-13,4.81,4.88,4.81,4.86,85334.0,4.86,GOOG-H
