DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-07-15,14.41,14.96,14.22,14.91,51418264.0,14.91,GOOG-H
2002-07-16,15.06,15.11,14.61,14.61,16730661.0,14.61,GOOG-H
2002-07-17,14.41,14.51,14.07,14.07,18540198.0,14.07,GOOG-H
2002-07-18,14.17,14.31,14.17,14.26,13465721.0,14.26,GOOG-H
2002-07-19,14.22,14.26,14.12,14.17,10233753.0,14.17,GOOG-H
2002-07-22,14.02,14.07,13.97,14.02,10710981.0,14.02,GOOG-H
2002-07-23,14.07,14.17,13.92,13.92,6964704.0,13.92,GOOG-H
2002-07-24,13.92,14.02,13.72,13.97,15276690.0,13.97,GOOG-H
2002-07-25,13.97,14.02,13.82,13.87,5107265.0,13.87,GOOG-H
2002-07-26,13.92,13.92,13.42,13.72,4478544.0,13.72,GOOG-H
2002-07-29,13.72,13.72,13.37,13.42,8919115.0,13.42,GOOG-H
2002-07-30,13.57,13.77,13.42,13.57,15684620.0,13.57,GOOG-H
2002-07-31,13.62,13.72,13.57,13.62,14092846.0,13.62,GOOG-H
2002-08-01,13.62,13.62,13.32,13.32,12667575.0,13.32,GOOG-H
2002-08-02,13.07,13.17,12.97,13.17,5410635.0,13.17,GOOG-H
2002-08-05,13.02,13.02,12.82,12.87,5734532.0,12.87,GOOG-H
2002-08-06,12.48,12.72,12.28,12.48,12018650.0,12.48,GOOG-H
2002-08-07,12.67,12.77,12.53,12.77,14476047.0,12.77,GOOG-H
2002-08-08,12.87,13.22,12.87,13.07,7076908.0,13.07,GOOG-H
2002-08-09,13.22,13.47,13.12,13.17,4552486.0,13.17,GOOG-H
2002-08-12,13.32,13.32,12.92,13.12,1709833.0,13.12,GOOG-H
2002-08-13,12.92,13.12,12.77,12.97,1462950.0,12.97,GOOG-H
2002-08-14,12.77,12.82,12.67,12.72,2102316.0,12.72,GOOG-H
2002-08-15,12.72,12.92,12.57,12.62,9729541.0,12.62,GOOG-H
2002-08-16,12.62,12.72,12.48,12.62,8502631.0,12.62,GOOG-H
2002-08-19,12.57,12.72,12.53,12.57,3943342.0,12.57,GOOG-H
2002-08-20,12.62,12.92,12.62,12.82,4386212.0,12.82,GOOG-H
2002-08-21,12.87,13.27,12.82,13.17,2821205.0,13.17,GOOG-H
2002-08-22,13.42,13.67,13.32,13.57,4007248.0,13.57,GOOG-H
2002-08-23,13.67,13.92,13.67,13.92,3473375.0,13.92,GOOG-H
2002-08-26,13.82,13.82,13.67,13.67,2288233.0,13.67,GOOG-H
2002-08-27,13.67,13.87,13.52,13.57,2506368.0,13.57,GOOG-H
2002-08-28,13.57,13.97,13.57,13.92,3872755.0,13.92,GOOG-H
2002-08-29,13.87,13.87,13.62,13.77,3467018.0,13.77,GOOG-H
2002-08-30,13.82,14.02,13.77,13.87,2207829.0,13.87,GOOG-H
2002-09-02,13.92,14.41,13.92,14.36,8034865.0,14.36,GOOG-H
2002-09-03,14.41,14.51,14.31,14.41,6471391.0,14.41,GOOG-H
2002-09-04,13.97,14.22,13.92,13.97,2398682.0,13.97,GOOG-H
2002-09-05,14.17,14.26,14.07,14.26,2636567.0,14.26,GOOG-H
2002-09-06,14.22,14.26,14.07,14.22,4916667.0,14.22,GOOG-H
2002-09-09,14.36,14.41,14.02,14.26,2802526.0,14.26,GOOG-H
2002-09-10,14.36,14.36,14.07,14.12,3294612.0,14.12,GOOG-H
2002-09-11,14.17,14.31,14.12,14.12,4113310.0,14.12,GOOG-H
2002-09-12,14.12,14.17,14.02,14.07,4775053.0,14.07,GOOG-H
2002-09-13,13.97,13.97,13.72,13.82,3102922.0,13.82,GOOG-H
2002-09-16,13.82,13.82,13.67,13.67,2708283.0,13.67,GOOG-H
2002-09-17,13.72,13.92,13.72,13.82,4102815.0,13.82,GOOG-H
2002-09-18,13.82,13.97,13.67,13.92,3722728.0,13.92,GOOG-H
