DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-09-29,1.97,1.99,1.96,1.97,614159.0,1.97,GOOG-H
2005-09-30,1.97,1.99,1.96,1.99,530267.0,1.99,GOOG-H
2005-10-03,2.0,2.02,1.97,2.01,164685.0,2.01,GOOG-H
2005-10-04,2.01,2.01,1.97,1.97,242915.0,1.97,GOOG-H
2005-10-05,1.96,1.97,1.9,1.9,253945.0,1.9,GOOG-H
2005-10-06,1.92,1.94,1.9,1.91,246937.0,1.91,GOOG-H
2005-10-07,1.92,1.94,1.92,1.92,267702.0,1.92,GOOG-H
2005-10-10,1.93,1.95,1.9,1.95,330811.0,1.95,GOOG-H
2005-10-11,1.93,1.93,1.86,1.88,324904.0,1.88,GOOG-H
2005-10-12,1.88,1.91,1.88,1.89,356645.0,1.89,GOOG-H
2005-10-13,1.88,1.92,1.88,1.91,94757.0,1.91,GOOG-H
2005-10-14,1.91,1.95,1.89,1.95,152722.0,1.95,GOOG-H
2005-10-17,1.96,1.99,1.94,1.99,225456.0,1.99,GOOG-H
2005-10-18,1.97,2.01,1.97,2.01,344468.0,2.01,GOOG-H
2005-10-19,1.97,1.99,1.96,1.99,351792.0,1.99,GOOG-H
2005-10-20,1.98,1.99,1.95,1.98,189538.0,1.98,GOOG-H
2005-10-21,1.95,1.95,1.89,1.9,214654.0,1.9,GOOG-H
2005-10-24,1.89,1.9,1.87,1.88,227321.0,1.88,GOOG-H
2005-10-25,1.9,1.97,1.9,1.97,281239.0,1.97,GOOG-H
2005-10-26,1.97,1.99,1.95,1.98,380853.0,1.98,GOOG-H
2005-10-27,1.98,1.98,1.91,1.92,165243.0,1.92,GOOG-H
2005-10-28,1.91,1.94,1.91,1.91,142645.0,1.91,GOOG-H
2005-10-31,1.93,1.97,1.92,1.97,121634.0,1.97,GOOG-H
2005-11-01,1.97,1.97,1.9,1.92,76322.0,1.92,GOOG-H
2005-11-02,1.93,1.95,1.9,1.9,264813.0,1.9,GOOG-H
2005-11-03,1.94,1.96,1.93,1.94,287447.0,1.94,GOOG-H
2005-11-04,1.96,1.97,1.94,1.94,727247.0,1.94,GOOG-H
2005-11-07,1.94,1.96,1.93,1.95,508791.0,1.95,GOOG-H
2005-11-09,1.91,1.95,1.91,1.93,107961.0,1.93,GOOG-H
2005-11-10,1.95,1.97,1.92,1.97,416165.0,1.97,GOOG-H
2005-11-11,1.95,1.96,1.92,1.95,4646108.0,1.95,GOOG-H
2005-11-14,1.95,1.96,1.93,1.95,167232.0,1.95,GOOG-H
2005-11-15,1.95,2.02,1.94,2.0,629318.0,2.0,GOOG-H
2005-11-16,1.97,2.04,1.97,2.04,648044.0,2.04,GOOG-H
2005-11-17,2.02,2.04,1.98,2.04,510041.0,2.04,GOOG-H
2005-11-18,2.03,2.04,2.0,2.04,866566.0,2.04,GOOG-H
2005-11-21,2.03,2.03,1.97,1.97,105897.0,1.97,GOOG-H
2005-11-22,1.97,1.97,1.94,1.94,471468.0,1.94,GOOG-H
2005-11-23,1.93,1.97,1.93,1.93,471682.0,1.93,GOOG-H
2005-11-24,1.96,2.03,1.94,2.03,661098.0,2.03,GOOG-H
2005-11-25,1.99,2.01,1.99,1.99,121773.0,1.99,GOOG-H
2005-11-28,2.01,2.02,1.99,2.01,140449.0,2.01,GOOG-H
2005-11-29,1.99,2.0,1.97,1.99,262088.0,1.99,GOOG-H
2005-11-30,1.99,1.99,1.97,1.97,392583.0,1.97,GOOG-H
2005-12-01,1.95,1.97,1.95,1.95,112870.0,1.95,GOOG-H
2005-12-02,2.01,2.01,1.97,2.01,261527.0,2.01,GOOG-H
2005-12-05,1.99,2.01,1.93,1.96,250599.0,1.96,GOOG-H
2005-12-06,1.94,1.95,1.94,1.94,84167.0,1.94,GOOG-H
2005-12-07,1.96,1.97,1.94,1.95,180998.0,1.95,GOOG-H
2005-12-08,1.94,1.94,1.9,1.9,301120.0,1.9,GOOG-H
2005-12-09,1.9,1.96,1.85,1.92,364042.0,1.92,GOOG-H
2005-12-12,1.94,1.96,1.93,1.94,454914.0,1.94,GOOG-H
2005-12-13,1.93,1.94,1.9,1.9,157065.0,1.9,GOOG-H
2005-12-14,1.91,1.93,1.91,1.93,166241.0,1.93,GOOG-H
2005-12-15,1.95,1.95,1.9,1.9,910172.0,1.9,GOOG-H
2005-12-16,1.9,1.92,1.89,1.92,202596.0,1.92,GOOG-H
2005-12-20,1.91,1.92,1.89,1.89,234240.0,1.89,GOOG-H
2005-12-28,1.85,1.85,1.83,1.84,380165.0,1.84,GOOG-H
2005-12-29,1.84,1.85,1.82,1.85,339511.0,1.85,GOOG-H
2005-12-30,1.85,1.87,1.83,1.85,272352.0,1.85,GOOG-H
2006-01-04,1.83,1.83,1.82,1.83,282603.0,1.83,GOOG-H
2006-01-05,1.83,1.87,1.82,1.85,895402.0,1.85,GOOG-H
2006-01-06,1.85,1.87,1.85,1.86,572507.0,1.86,GOOG-H
2006-01-09,1.87,1.87,1.86,1.87,262962.0,1.87,GOOG-H
2006-01-10,1.86,1.87,1.85,1.85,225810.0,1.85,GOOG-H
2006-01-11,1.86,1.87,1.86,1.87,162956.0,1.87,GOOG-H
2006-01-12,1.85,1.86,1.85,1.85,1387680.0,1.85,GOOG-H
2006-01-13,1.85,1.85,1.84,1.85,1446273.0,1.85,GOOG-H
2006-01-16,1.85,1.87,1.84,1.87,239307.0,1.87,GOOG-H
2006-01-17,1.86,1.87,1.85,1.87,53557.0,1.87,GOOG-H
2006-01-18,1.85,1.85,1.83,1.84,246433.0,1.84,GOOG-H
2006-01-19,1.84,1.87,1.83,1.84,264922.0,1.84,GOOG-H
2006-01-20,1.84,1.85,1.84,1.84,145435.0,1.84,GOOG-H
2006-01-23,1.83,1.85,1.82,1.82,244265.0,1.82,GOOG-H
2006-01-24,1.83,1.84,1.81,1.83,265207.0,1.83,GOOG-H
2006-01-25,1.83,1.83,1.82,1.83,121325.0,1.83,GOOG-H
2006-01-27,1.82,1.83,1.81,1.81,105390.0,1.81,GOOG-H
2006-01-30,1.81,1.83,1.8,1.8,355950.0,1.8,GOOG-H
2006-01-31,1.8,1.83,1.8,1.82,113324.0,1.82,GOOG-H
2006-02-01,1.83,1.85,1.82,1.85,252089.0,1.85,GOOG-H
2006-02-02,1.85,1.85,1.81,1.82,861343.0,1.82,GOOG-H
2006-02-03,1.82,1.82,1.8,1.82,248878.0,1.82,GOOG-H
2006-02-06,1.81,1.82,1.81,1.82,139113.0,1.82,GOOG-H
2006-02-07,1.82,1.82,1.81,1.81,137599.0,1.81,GOOG-H
2006-02-08,1.81,1.82,1.81,1.82,580362.0,1.82,GOOG-H
2006-02-09,1.82,1.85,1.81,1.85,598922.0,1.85,GOOG-H
2006-02-10,1.84,1.84,1.81,1.83,171438.0,1.83,GOOG-H
2006-02-13,1.83,1.84,1.81,1.81,269765.0,1.81,GOOG-H
2006-02-14,1.82,1.84,1.82,1.84,168887.0,1.84,GOOG-H
2006-02-15,1.84,1.85,1.83,1.83,132850.0,1.83,GOOG-H
2006-02-16,1.83,1.85,1.83,1.85,266427.0,1.85,GOOG-H
2006-02-17,1.85,1.85,1.83,1.83,103452.0,1.83,GOOG-H
2006-02-20,1.85,1.85,1.83,1.85,161522.0,1.85,GOOG-H
2006-02-21,1.84,1.86,1.83,1.86,220460.0,1.86,GOOG-H
2006-02-22,1.84,1.85,1.83,1.83,223758.0,1.83,GOOG-H
2006-02-24,1.84,1.86,1.84,1.85,442926.0,1.85,GOOG-H
2006-02-27,1.85,1.86,1.84,1.86,387652.0,1.86,GOOG-H
2006-02-28,1.86,1.87,1.84,1.86,306318.0,1.86,GOOG-H
2006-03-01,1.85,1.86,1.83,1.84,1037083.0,1.84,GOOG-H
2006-03-02,1.84,1.88,1.84,1.88,361224.0,1.88,GOOG-H
2006-03-03,1.87,1.87,1.83,1.83,208751.0,1.83,GOOG-H
2006-03-06,1.84,1.86,1.84,1.86,178687.0,1.86,GOOG-H
2006-03-07,1.85,1.85,1.83,1.84,272260.0,1.84,GOOG-H
2006-03-08,1.84,1.86,1.84,1.84,368438.0,1.84,GOOG-H
2006-03-09,1.84,1.86,1.84,1.86,176629.0,1.86,GOOG-H
2006-03-10,1.87,1.87,1.85,1.86,75367.0,1.86,GOOG-H
2006-03-13,1.86,1.87,1.85,1.87,138364.0,1.87,GOOG-H
2006-03-14,1.86,1.87,1.86,1.86,825305.0,1.86,GOOG-H
2006-03-15,1.86,1.87,1.86,1.86,183575.0,1.86,GOOG-H
2006-03-16,1.89,1.89,1.88,1.89,883790.0,1.89,GOOG-H
2006-03-17,1.89,1.89,1.88,1.88,157561.0,1.88,GOOG-H
2006-03-20,1.88,1.89,1.88,1.89,124715.0,1.89,GOOG-H
2006-03-21,1.9,1.9,1.89,1.9,233284.0,1.9,GOOG-H
2006-03-22,1.9,1.94,1.89,1.92,195363.0,1.92,GOOG-H
2006-03-23,1.92,1.94,1.88,1.9,311685.0,1.9,GOOG-H
2006-03-24,1.92,1.93,1.9,1.9,95937.0,1.9,GOOG-H
2006-03-27,1.9,1.94,1.87,1.94,122620.0,1.94,GOOG-H
2006-03-28,1.93,1.94,1.88,1.94,191555.0,1.94,GOOG-H
2006-03-29,1.94,1.94,1.9,1.9,191328.0,1.9,GOOG-H
2006-03-30,1.9,1.92,1.88,1.9,170875.0,1.9,GOOG-H
2006-03-31,1.88,1.9,1.87,1.9,300904.0,1.9,GOOG-H
2006-04-03,1.89,1.89,1.87,1.89,779676.0,1.89,GOOG-H
2006-04-04,1.89,1.89,1.87,1.87,544083.0,1.87,GOOG-H
2006-04-05,1.87,1.88,1.85,1.87,213717.0,1.87,GOOG-H
2006-04-06,1.87,1.87,1.87,1.87,521176.0,1.87,GOOG-H
2006-04-07,1.87,1.89,1.86,1.89,676104.0,1.89,GOOG-H
2006-04-10,1.87,1.89,1.87,1.87,396310.0,1.87,GOOG-H
2006-04-11,1.87,1.87,1.87,1.87,58106.0,1.87,GOOG-H
2006-04-12,1.89,1.89,1.85,1.85,218971.0,1.85,GOOG-H
2006-04-13,1.87,1.87,1.83,1.83,147557.0,1.83,GOOG-H
2006-04-18,1.84,1.87,1.83,1.87,170130.0,1.87,GOOG-H
2006-04-19,1.86,1.87,1.83,1.86,288709.0,1.86,GOOG-H
2006-04-20,1.85,1.86,1.83,1.83,343693.0,1.83,GOOG-H
2006-04-24,1.85,1.85,1.84,1.84,75912.0,1.84,GOOG-H
2006-04-26,1.83,1.87,1.83,1.87,151681.0,1.87,GOOG-H
2006-04-27,1.87,1.87,1.83,1.87,222802.0,1.87,GOOG-H
2006-04-28,1.84,1.86,1.83,1.86,250756.0,1.86,GOOG-H
2006-05-01,1.86,1.87,1.83,1.85,124756.0,1.85,GOOG-H
2006-05-02,1.85,1.85,1.83,1.83,284514.0,1.83,GOOG-H
2006-05-03,1.83,1.83,1.8,1.81,331180.0,1.81,GOOG-H
2006-05-04,1.81,1.84,1.8,1.8,498543.0,1.8,GOOG-H
2006-05-05,1.8,1.83,1.8,1.83,91219.0,1.83,GOOG-H
2006-05-08,1.84,1.87,1.82,1.87,124998.0,1.87,GOOG-H
2006-05-09,1.87,1.87,1.83,1.87,136803.0,1.87,GOOG-H
2006-05-10,1.88,1.88,1.85,1.85,92192.0,1.85,GOOG-H
2006-05-11,1.86,1.9,1.83,1.89,264110.0,1.89,GOOG-H
2006-05-12,1.86,1.89,1.86,1.86,74296.0,1.86,GOOG-H
2006-05-15,1.84,1.89,1.84,1.87,171840.0,1.87,GOOG-H
2006-05-16,1.85,1.9,1.85,1.9,188079.0,1.9,GOOG-H
2006-05-17,1.89,1.92,1.88,1.9,300743.0,1.9,GOOG-H
2006-05-22,1.9,1.9,1.85,1.85,416725.0,1.85,GOOG-H
2006-05-23,1.87,1.91,1.85,1.91,273328.0,1.91,GOOG-H
2006-05-24,1.9,1.9,1.85,1.88,564481.0,1.88,GOOG-H
2006-05-25,1.87,1.87,1.81,1.81,132921.0,1.81,GOOG-H
2006-05-26,1.82,1.84,1.81,1.84,416964.0,1.84,GOOG-H
2006-05-30,1.83,1.87,1.83,1.85,239875.0,1.85,GOOG-H
2006-05-31,1.83,1.87,1.81,1.86,325772.0,1.86,GOOG-H
2006-06-02,1.86,1.86,1.85,1.86,224610.0,1.86,GOOG-H
2006-06-05,1.86,1.89,1.85,1.88,1336782.0,1.88,GOOG-H
2006-06-06,1.86,1.88,1.83,1.87,821729.0,1.87,GOOG-H
2006-06-07,1.87,1.88,1.86,1.86,120744.0,1.86,GOOG-H
2006-06-08,1.86,1.87,1.84,1.84,1881061.0,1.84,GOOG-H
2006-06-09,1.86,1.88,1.83,1.87,340364.0,1.87,GOOG-H
2006-06-13,1.88,1.88,1.86,1.87,509832.0,1.87,GOOG-H
2006-06-14,1.87,1.87,1.84,1.86,272117.0,1.86,GOOG-H
2006-06-15,1.89,1.89,1.86,1.88,1511539.0,1.88,GOOG-H
2006-06-16,1.87,1.9,1.85,1.89,924755.0,1.89,GOOG-H
2006-06-19,1.89,1.91,1.86,1.87,88968.0,1.87,GOOG-H
2006-06-20,1.87,1.88,1.85,1.86,294101.0,1.86,GOOG-H
2006-06-21,1.87,1.89,1.86,1.89,115616.0,1.89,GOOG-H
2006-06-22,1.87,1.89,1.87,1.87,206953.0,1.87,GOOG-H
2006-06-23,1.86,1.88,1.86,1.87,404620.0,1.87,GOOG-H
2006-06-26,1.84,1.85,1.82,1.85,210290.0,1.85,GOOG-H
2006-06-27,1.85,1.86,1.84,1.85,811980.0,1.85,GOOG-H
2006-06-28,1.86,1.88,1.85,1.88,335573.0,1.88,GOOG-H
2006-06-29,1.88,1.89,1.85,1.88,626826.0,1.88,GOOG-H
2006-06-30,1.89,1.9,1.87,1.9,409998.0,1.9,GOOG-H
2006-07-03,1.9,1.91,1.86,1.88,184439.0,1.88,GOOG-H
2006-07-04,1.88,1.9,1.86,1.9,303820.0,1.9,GOOG-H
2006-07-05,1.89,1.9,1.86,1.87,150765.0,1.87,GOOG-H
2006-07-06,1.89,1.9,1.86,1.9,235792.0,1.9,GOOG-H
