DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2001-01-02,2.39,2.43,2.39,2.4,228614.0,2.4,GOOG-H
2001-01-03,2.4,2.4,2.33,2.35,339795.0,2.35,GOOG-H
2001-01-04,2.39,2.39,2.36,2.38,432360.0,2.38,GOOG-H
2001-01-05,2.38,2.47,2.38,2.46,597341.0,2.46,GOOG-H
2001-01-08,2.44,2.46,2.43,2.44,269489.0,2.44,GOOG-H
2001-01-09,2.44,2.46,2.39,2.41,380619.0,2.41,GOOG-H
2001-01-10,2.43,2.43,2.41,2.42,328277.0,2.42,GOOG-H
2001-01-11,2.41,2.44,2.35,2.36,357668.0,2.36,GOOG-H
2001-01-12,2.4,2.4,2.35,2.35,321454.0,2.35,GOOG-H
2001-01-15,2.35,2.36,2.33,2.36,167207.0,2.36,GOOG-H
2001-01-16,2.41,2.46,2.41,2.43,818700.0,2.43,GOOG-H
2001-01-17,2.44,2.61,2.44,2.61,2565440.0,2.61,GOOG-H
2001-01-18,2.61,2.61,2.56,2.59,1007391.0,2.59,GOOG-H
2001-01-19,2.6,2.61,2.58,2.6,669165.0,2.6,GOOG-H
2001-01-22,2.6,2.6,2.58,2.59,575394.0,2.59,GOOG-H
2001-01-23,2.58,2.58,2.54,2.55,722010.0,2.55,GOOG-H
2001-01-24,2.55,2.56,2.55,2.56,971056.0,2.56,GOOG-H
2001-01-25,2.55,2.57,2.54,2.55,236510.0,2.55,GOOG-H
2001-01-29,2.56,2.62,2.55,2.61,1179299.0,2.61,GOOG-H
2001-01-30,2.64,2.78,2.64,2.77,1251479.0,2.77,GOOG-H
2001-01-31,2.78,2.83,2.78,2.78,818119.0,2.78,GOOG-H
2001-02-01,2.78,2.83,2.78,2.81,442916.0,2.81,GOOG-H
2001-02-02,2.81,2.82,2.79,2.8,369693.0,2.8,GOOG-H
2001-02-05,2.8,2.8,2.74,2.74,357512.0,2.74,GOOG-H
2001-02-06,2.76,2.8,2.76,2.78,292400.0,2.78,GOOG-H
2001-02-07,2.78,2.78,2.72,2.73,628268.0,2.73,GOOG-H
2001-02-08,2.73,2.75,2.72,2.74,278977.0,2.74,GOOG-H
2001-02-09,2.73,2.75,2.72,2.75,558237.0,2.75,GOOG-H
2001-02-12,2.74,2.76,2.73,2.76,203793.0,2.76,GOOG-H
2001-02-13,2.73,2.74,2.73,2.74,290055.0,2.74,GOOG-H
2001-02-14,2.73,2.75,2.72,2.73,300749.0,2.73,GOOG-H
2001-02-15,2.72,2.72,2.7,2.7,429442.0,2.7,GOOG-H
2001-02-16,2.7,2.73,2.67,2.72,726414.0,2.72,GOOG-H
2001-02-19,2.7,2.78,2.7,2.77,577272.0,2.77,GOOG-H
2001-02-20,2.75,2.77,2.74,2.75,542819.0,2.75,GOOG-H
2001-02-21,2.74,2.79,2.74,2.78,842733.0,2.78,GOOG-H
2001-02-22,2.72,2.75,2.63,2.69,448341.0,2.69,GOOG-H
2001-02-23,2.6,2.61,2.49,2.49,2787846.0,2.49,GOOG-H
2001-02-26,2.49,2.49,2.45,2.49,720032.0,2.49,GOOG-H
2001-02-27,2.5,2.56,2.49,2.55,625061.0,2.55,GOOG-H
2001-02-28,2.55,2.56,2.53,2.53,478705.0,2.53,GOOG-H
2001-03-01,2.53,2.61,2.53,2.61,610664.0,2.61,GOOG-H
2001-03-02,2.61,2.62,2.58,2.6,458326.0,2.6,GOOG-H
2001-03-05,2.6,2.6,2.56,2.59,186732.0,2.59,GOOG-H
2001-03-06,2.59,2.61,2.58,2.6,112440.0,2.6,GOOG-H
2001-03-07,2.61,2.63,2.59,2.63,283251.0,2.63,GOOG-H
2001-03-08,2.63,2.65,2.63,2.63,346867.0,2.63,GOOG-H
2001-03-09,2.62,2.62,2.58,2.61,459319.0,2.61,GOOG-H
2001-03-12,2.61,2.61,2.57,2.6,332497.0,2.6,GOOG-H
2001-03-13,2.54,2.6,2.54,2.58,177425.0,2.58,GOOG-H
2001-03-14,2.58,2.62,2.58,2.61,414150.0,2.61,GOOG-H
2001-03-15,2.61,2.61,2.56,2.57,441186.0,2.57,GOOG-H
