DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2009-09-10,3.92,3.99,3.85,3.99,16733609.0,3.99,GOOG-H
2009-09-11,4.0,4.05,3.89,3.94,1998064.0,3.94,GOOG-H
2009-09-14,3.96,3.96,3.7,3.78,1968255.0,3.78,GOOG-H
2009-09-15,3.78,3.8,3.56,3.63,1610118.0,3.63,GOOG-H
2009-09-16,3.63,3.73,3.62,3.68,1089401.0,3.68,GOOG-H
2009-09-17,3.7,3.71,3.64,3.7,2109103.0,3.7,GOOG-H
2009-09-18,3.69,3.83,3.69,3.81,1192906.0,3.81,GOOG-H
2009-09-21,3.85,3.85,3.78,3.8,1897823.0,3.8,GOOG-H
2009-09-22,3.81,3.84,3.77,3.8,841037.0,3.8,GOOG-H
2009-09-23,3.81,3.81,3.77,3.78,1030186.0,3.78,GOOG-H
2009-09-24,3.73,3.75,3.7,3.72,2301094.0,3.72,GOOG-H
2009-09-25,3.74,3.8,3.71,3.72,1790661.0,3.72,GOOG-H
2009-09-28,3.71,3.75,3.71,3.72,1046061.0,3.72,GOOG-H
2009-09-29,3.72,3.72,3.62,3.67,672222.0,3.67,GOOG-H
2009-09-30,3.69,3.78,3.69,3.75,528135.0,3.75,GOOG-H
2009-10-01,3.7,3.79,3.7,3.77,218383.0,3.77,GOOG-H
2009-10-02,3.71,3.76,3.71,3.73,236933.0,3.73,GOOG-H
2009-10-05,3.76,3.77,3.71,3.72,85294.0,3.72,GOOG-H
2009-10-06,3.72,3.8,3.72,3.8,150181.0,3.8,GOOG-H
2009-10-07,3.79,3.84,3.74,3.84,226811.0,3.84,GOOG-H
2009-10-08,3.81,3.9,3.78,3.86,467937.0,3.86,GOOG-H
2009-10-09,3.85,3.9,3.85,3.89,701041.0,3.89,GOOG-H
2009-10-12,3.88,3.92,3.87,3.9,823641.0,3.9,GOOG-H
2009-10-13,3.89,3.9,3.79,3.83,292449.0,3.83,GOOG-H
2009-10-14,3.85,3.9,3.84,3.9,769133.0,3.9,GOOG-H
2009-10-15,3.9,3.9,3.81,3.86,767329.0,3.86,GOOG-H
2009-10-16,3.88,3.9,3.87,3.9,734834.0,3.9,GOOG-H
2009-10-19,3.9,3.92,3.85,3.9,562556.0,3.9,GOOG-H
2009-10-20,3.91,4.03,3.9,4.03,588250.0,4.03,GOOG-H
2009-10-21,4.03,4.03,3.96,3.96,562248.0,3.96,GOOG-H
