DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,26.09,26.09,25.75,25.82,1012586.0,25.82,GOOG-H
2000-01-05,25.39,25.42,25.15,25.25,2179475.0,25.25,GOOG-H
2000-01-06,25.39,25.39,24.7,24.75,1497418.0,24.75,GOOG-H
2000-01-07,24.94,25.15,24.77,25.0,1406421.0,25.0,GOOG-H
2000-01-10,25.39,25.65,25.34,25.59,1388935.0,25.59,GOOG-H
2000-01-11,25.56,25.58,25.12,25.18,2094137.0,25.18,GOOG-H
2000-01-12,25.09,25.49,25.05,25.34,1765495.0,25.34,GOOG-H
2000-01-13,25.34,25.54,25.04,25.15,1933586.0,25.15,GOOG-H
2000-01-14,25.24,25.54,25.18,25.48,1236621.0,25.48,GOOG-H
2000-01-17,25.59,25.84,25.47,25.78,1491387.0,25.78,GOOG-H
2000-01-18,25.74,25.79,25.49,25.71,3123148.0,25.71,GOOG-H
2000-01-19,25.49,25.49,25.2,25.2,1160574.0,25.2,GOOG-H
2000-01-20,25.24,25.53,25.19,25.49,2137458.0,25.49,GOOG-H
2000-01-21,25.29,25.44,25.29,25.42,959618.0,25.42,GOOG-H
2000-01-24,25.43,25.78,25.43,25.49,1153046.0,25.49,GOOG-H
2000-01-25,25.18,25.39,25.15,25.34,1384692.0,25.34,GOOG-H
2000-01-27,25.29,25.84,25.29,25.76,1642766.0,25.76,GOOG-H
2000-01-28,25.77,26.44,25.77,26.15,6858972.0,26.15,GOOG-H
2000-01-31,25.79,26.09,25.69,25.99,669288.0,25.99,GOOG-H
2000-02-01,25.99,26.04,25.49,25.56,967740.0,25.56,GOOG-H
2000-02-02,25.55,25.79,25.39,25.55,1076932.0,25.55,GOOG-H
2000-02-03,25.49,25.49,24.99,25.1,2343854.0,25.1,GOOG-H
2000-02-04,25.1,25.79,25.1,25.45,1084880.0,25.45,GOOG-H
2000-02-07,25.39,25.85,25.34,25.56,1026359.0,25.56,GOOG-H
2000-02-08,25.56,25.66,25.34,25.44,994818.0,25.44,GOOG-H
2000-02-09,25.49,25.84,25.26,25.69,1782840.0,25.69,GOOG-H
2000-02-10,25.59,26.14,25.59,26.04,3782741.0,26.04,GOOG-H
2000-02-11,25.89,26.67,25.89,26.4,1753440.0,26.4,GOOG-H
2000-02-14,26.09,26.7,26.09,26.5,1991405.0,26.5,GOOG-H
2000-02-15,26.61,27.04,26.61,27.04,3180361.0,27.04,GOOG-H
2000-02-16,27.04,27.39,26.69,26.77,2263673.0,26.77,GOOG-H
2000-02-17,25.88,26.38,25.88,25.99,4515934.0,25.99,GOOG-H
2000-02-18,25.99,26.19,25.79,26.06,1309266.0,26.06,GOOG-H
