DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,4.14,4.14,3.94,3.98,1094204.0,3.98,GOOG-H
2000-01-05,3.96,3.96,3.85,3.95,1765760.0,3.95,GOOG-H
2000-01-06,4.0,4.0,3.87,3.9,2284707.0,3.9,GOOG-H
2000-01-07,3.95,3.95,3.91,3.95,2008865.0,3.95,GOOG-H
2000-01-10,4.05,4.1,3.98,4.01,788549.0,4.01,GOOG-H
2000-01-11,4.01,4.01,3.84,3.84,941586.0,3.84,GOOG-H
2000-01-12,3.9,4.0,3.82,3.83,1280644.0,3.83,GOOG-H
2000-01-13,3.81,3.87,3.69,3.73,1221493.0,3.73,GOOG-H
2000-01-14,3.8,3.8,3.65,3.8,2545317.0,3.8,GOOG-H
2000-01-17,3.87,3.87,3.76,3.8,1958658.0,3.8,GOOG-H
2000-01-18,3.87,3.89,3.77,3.77,610655.0,3.77,GOOG-H
2000-01-19,3.8,3.8,3.68,3.7,950707.0,3.7,GOOG-H
2000-01-20,3.8,3.85,3.74,3.79,1183454.0,3.79,GOOG-H
2000-01-21,3.84,3.84,3.75,3.79,641725.0,3.79,GOOG-H
2000-01-24,3.81,3.88,3.78,3.8,515511.0,3.8,GOOG-H
2000-01-25,3.8,3.8,3.7,3.72,860322.0,3.72,GOOG-H
2000-01-27,3.74,3.74,3.5,3.64,2370302.0,3.64,GOOG-H
2000-01-28,3.6,3.82,3.6,3.81,1808771.0,3.81,GOOG-H
2000-01-31,3.79,3.79,3.66,3.73,2007428.0,3.73,GOOG-H
2000-02-01,3.79,3.79,3.62,3.66,869193.0,3.66,GOOG-H
2000-02-02,3.66,3.7,3.6,3.65,1680365.0,3.65,GOOG-H
2000-02-03,3.65,3.71,3.6,3.67,860788.0,3.67,GOOG-H
2000-02-04,3.73,3.73,3.55,3.56,483388.0,3.56,GOOG-H
2000-02-07,3.6,3.62,3.5,3.5,511924.0,3.5,GOOG-H
2000-02-08,3.5,3.53,3.45,3.5,759904.0,3.5,GOOG-H
2000-02-09,3.5,3.68,3.5,3.53,556402.0,3.53,GOOG-H
2000-02-10,3.46,3.58,3.45,3.53,2886123.0,3.53,GOOG-H
2000-02-11,3.49,3.49,3.35,3.36,854202.0,3.36,GOOG-H
2000-02-14,3.35,3.35,3.21,3.21,920494.0,3.21,GOOG-H
2000-02-15,3.27,3.37,3.27,3.36,1696709.0,3.36,GOOG-H
2000-02-16,3.4,3.58,3.38,3.51,957180.0,3.51,GOOG-H
2000-02-17,3.5,3.63,3.5,3.62,1189302.0,3.62,GOOG-H
2000-02-18,3.6,3.63,3.4,3.42,745893.0,3.42,GOOG-H
2000-02-21,3.42,3.55,3.42,3.55,304099.0,3.55,GOOG-H
2000-02-22,3.55,3.56,3.43,3.43,450804.0,3.43,GOOG-H
2000-02-23,3.5,3.51,3.31,3.33,777670.0,3.33,GOOG-H
2000-02-24,3.43,3.48,3.25,3.26,853989.0,3.26,GOOG-H
2000-02-25,3.25,3.39,3.25,3.34,336091.0,3.34,GOOG-H
2000-02-28,3.27,3.29,3.23,3.28,380213.0,3.28,GOOG-H
2000-02-29,3.3,3.35,3.21,3.23,534902.0,3.23,GOOG-H
2000-03-01,3.32,3.32,3.23,3.3,384055.0,3.3,GOOG-H
2000-03-02,3.31,3.33,3.25,3.25,218546.0,3.25,GOOG-H
2000-03-03,3.25,3.29,3.1,3.2,748660.0,3.2,GOOG-H
2000-03-06,3.2,3.27,3.15,3.25,366680.0,3.25,GOOG-H
2000-03-07,3.19,3.33,3.19,3.32,611781.0,3.32,GOOG-H
2000-03-08,3.23,3.3,3.21,3.26,833295.0,3.26,GOOG-H
2000-03-09,3.25,3.38,3.23,3.37,389141.0,3.37,GOOG-H
2000-03-10,3.35,3.4,3.32,3.39,612709.0,3.39,GOOG-H
2000-03-13,3.4,3.43,3.34,3.4,249482.0,3.4,GOOG-H
2000-03-14,3.42,3.57,3.42,3.57,524481.0,3.57,GOOG-H
2000-03-15,3.54,3.55,3.45,3.45,289167.0,3.45,GOOG-H
2000-03-16,3.55,3.77,3.55,3.77,750893.0,3.77,GOOG-H
2000-03-17,3.85,3.98,3.78,3.89,1608929.0,3.89,GOOG-H
2000-03-20,3.9,3.9,3.75,3.81,1360128.0,3.81,GOOG-H
2000-03-21,3.81,3.81,3.58,3.58,568792.0,3.58,GOOG-H
2000-03-22,3.58,3.72,3.48,3.54,709125.0,3.54,GOOG-H
2000-03-23,3.6,3.7,3.58,3.65,472406.0,3.65,GOOG-H
2000-03-24,3.8,3.8,3.61,3.7,479052.0,3.7,GOOG-H
2000-03-27,3.65,3.72,3.63,3.72,701302.0,3.72,GOOG-H
2000-03-28,3.63,3.91,3.63,3.91,1129439.0,3.91,GOOG-H
2000-03-29,3.94,3.95,3.8,3.88,1017335.0,3.88,GOOG-H
2000-03-30,3.9,3.97,3.9,3.96,811515.0,3.96,GOOG-H
2000-03-31,3.95,4.1,3.78,4.1,3472380.0,4.1,GOOG-H
2000-04-03,4.11,4.15,4.01,4.15,1061394.0,4.15,GOOG-H
2000-04-04,4.2,4.35,4.19,4.34,1561080.0,4.34,GOOG-H
2000-04-05,4.35,4.48,4.35,4.46,1249227.0,4.46,GOOG-H
2000-04-06,4.39,4.46,4.28,4.46,741696.0,4.46,GOOG-H
2000-04-07,4.47,4.55,4.38,4.47,1959255.0,4.47,GOOG-H
2000-04-10,4.43,4.47,4.35,4.44,639647.0,4.44,GOOG-H
2000-04-11,4.4,4.46,4.39,4.44,1409932.0,4.44,GOOG-H
2000-04-12,4.44,4.49,4.4,4.48,1102586.0,4.48,GOOG-H
2000-04-13,4.46,4.48,4.39,4.46,1265314.0,4.46,GOOG-H
2000-04-14,4.4,4.5,4.37,4.46,959396.0,4.46,GOOG-H
2000-04-17,4.21,4.29,4.15,4.27,920525.0,4.27,GOOG-H
2000-04-18,4.3,4.3,4.11,4.21,488527.0,4.21,GOOG-H
2000-04-19,4.21,4.28,4.19,4.24,975188.0,4.24,GOOG-H
2000-04-20,4.1,4.15,3.8,3.81,992752.0,3.81,GOOG-H
2000-04-26,3.84,3.9,3.61,3.65,1847353.0,3.65,GOOG-H
2000-04-27,3.61,3.81,3.47,3.77,1081693.0,3.77,GOOG-H
2000-04-28,3.85,4.14,3.85,4.09,5375184.0,4.09,GOOG-H
2000-05-01,4.0,4.0,3.9,3.93,470625.0,3.93,GOOG-H
2000-05-02,3.92,4.18,3.91,4.18,721089.0,4.18,GOOG-H
2000-05-03,4.1,4.1,3.95,4.01,314726.0,4.01,GOOG-H
2000-05-04,3.98,4.14,3.96,4.14,369260.0,4.14,GOOG-H
2000-05-05,4.1,4.19,4.05,4.19,205443.0,4.19,GOOG-H
