DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-09-04,0.5,0.55,0.5,0.52,366893.0,0.52,GOOG-H
2000-09-05,0.5,0.52,0.5,0.52,56000.0,0.52,GOOG-H
2000-09-06,0.5,0.5,0.5,0.5,3000.0,0.5,GOOG-H
2000-09-07,0.5,0.5,0.47,0.48,55000.0,0.48,GOOG-H
2000-09-08,0.48,0.48,0.45,0.45,20400.0,0.45,GOOG-H
2000-09-11,0.43,0.47,0.41,0.47,71800.0,0.47,GOOG-H
2000-09-12,0.48,0.48,0.48,0.48,12000.0,0.48,GOOG-H
2000-09-13,0.46,0.47,0.46,0.47,44500.0,0.47,GOOG-H
2000-09-14,0.47,0.47,0.44,0.44,18000.0,0.44,GOOG-H
2000-09-15,0.48,0.48,0.45,0.48,14000.0,0.48,GOOG-H
2000-09-18,0.45,0.45,0.45,0.45,15000.0,0.45,GOOG-H
2000-09-19,0.45,0.45,0.44,0.44,23100.0,0.44,GOOG-H
2000-09-20,0.44,0.47,0.44,0.47,10000.0,0.47,GOOG-H
2000-09-22,0.43,0.43,0.43,0.43,8900.0,0.43,GOOG-H
2000-09-29,0.47,0.48,0.47,0.48,10000.0,0.48,GOOG-H
2000-10-02,0.46,0.46,0.46,0.46,5000.0,0.46,GOOG-H
2000-10-04,0.48,0.48,0.48,0.48,50000.0,0.48,GOOG-H
2000-10-17,0.47,0.47,0.47,0.47,22600.0,0.47,GOOG-H
2000-10-23,0.45,0.45,0.45,0.45,15300.0,0.45,GOOG-H
2000-10-24,0.42,0.42,0.42,0.42,4000.0,0.42,GOOG-H
2000-10-25,0.42,0.42,0.42,0.42,20000.0,0.42,GOOG-H
2000-10-27,0.43,0.43,0.42,0.42,48000.0,0.42,GOOG-H
2000-10-30,0.42,0.42,0.42,0.42,4000.0,0.42,GOOG-H
2000-10-31,0.44,0.44,0.44,0.44,30000.0,0.44,GOOG-H
2000-11-03,0.44,0.44,0.44,0.44,9000.0,0.44,GOOG-H
2000-11-09,0.43,0.45,0.43,0.45,15000.0,0.45,GOOG-H
2000-11-16,0.42,0.42,0.4,0.4,34000.0,0.4,GOOG-H
2000-11-17,0.4,0.4,0.4,0.4,300000.0,0.4,GOOG-H
2000-11-21,0.42,0.45,0.42,0.45,510000.0,0.45,GOOG-H
2000-11-28,0.45,0.45,0.43,0.43,10000.0,0.43,GOOG-H
2000-11-29,0.45,0.45,0.45,0.45,32500.0,0.45,GOOG-H
2000-11-30,0.44,0.46,0.44,0.46,66500.0,0.46,GOOG-H
2000-12-01,0.43,0.43,0.43,0.43,44800.0,0.43,GOOG-H
2000-12-04,0.44,0.48,0.43,0.48,336200.0,0.48,GOOG-H
2000-12-05,0.46,0.46,0.45,0.45,18000.0,0.45,GOOG-H
2000-12-06,0.47,0.47,0.46,0.46,32000.0,0.46,GOOG-H
2000-12-07,0.45,0.48,0.45,0.48,27300.0,0.48,GOOG-H
2000-12-08,0.48,0.49,0.47,0.47,108802.0,0.47,GOOG-H
2000-12-11,0.5,0.5,0.49,0.49,27698.0,0.49,GOOG-H
2000-12-12,0.48,0.48,0.48,0.48,179802.0,0.48,GOOG-H
2000-12-13,0.48,0.48,0.48,0.48,73500.0,0.48,GOOG-H
2000-12-14,0.48,0.49,0.48,0.49,20000.0,0.49,GOOG-H
2000-12-15,0.49,0.5,0.49,0.49,118000.0,0.49,GOOG-H
2000-12-18,0.49,0.49,0.48,0.48,26200.0,0.48,GOOG-H
2000-12-19,0.48,0.48,0.48,0.48,15000.0,0.48,GOOG-H
2000-12-20,0.48,0.48,0.47,0.47,18500.0,0.47,GOOG-H
2000-12-29,0.48,0.48,0.48,0.48,55000.0,0.48,GOOG-H
2001-01-02,0.48,0.49,0.48,0.49,34000.0,0.49,GOOG-H
2001-01-03,0.48,0.48,0.48,0.48,23000.0,0.48,GOOG-H
2001-01-04,0.49,0.49,0.47,0.47,20000.0,0.47,GOOG-H
2001-01-08,0.49,0.49,0.48,0.49,75220.0,0.49,GOOG-H
2001-01-09,0.48,0.49,0.48,0.49,20500.0,0.49,GOOG-H
2001-01-10,0.48,0.49,0.48,0.49,30000.0,0.49,GOOG-H
2001-01-11,0.49,0.49,0.49,0.49,42600.0,0.49,GOOG-H
2001-01-12,0.48,0.49,0.48,0.49,51678.0,0.49,GOOG-H
2001-01-16,0.5,0.53,0.5,0.53,10400.0,0.53,GOOG-H
2001-01-17,0.52,0.52,0.51,0.52,22773.0,0.52,GOOG-H
2001-01-18,0.51,0.55,0.51,0.55,65200.0,0.55,GOOG-H
2001-01-19,0.55,0.65,0.55,0.63,453114.0,0.63,GOOG-H
2001-01-22,0.64,0.64,0.58,0.58,128413.0,0.58,GOOG-H
2001-01-23,0.58,0.58,0.56,0.57,57050.0,0.57,GOOG-H
2001-01-24,0.56,0.57,0.55,0.57,37500.0,0.57,GOOG-H
2001-01-25,0.57,0.57,0.57,0.57,42500.0,0.57,GOOG-H
2001-01-29,0.6,0.6,0.57,0.57,4475.0,0.57,GOOG-H
2001-01-30,0.57,0.57,0.57,0.57,3900.0,0.57,GOOG-H
2001-01-31,0.57,0.57,0.57,0.57,23000.0,0.57,GOOG-H
2001-02-01,0.56,0.56,0.56,0.56,5000.0,0.56,GOOG-H
2001-02-02,0.55,0.55,0.53,0.53,19650.0,0.53,GOOG-H
2001-02-05,0.53,0.53,0.51,0.51,34350.0,0.51,GOOG-H
2001-02-06,0.51,0.53,0.51,0.53,21400.0,0.53,GOOG-H
2001-02-07,0.53,0.56,0.53,0.56,66500.0,0.56,GOOG-H
2001-02-08,0.55,0.56,0.55,0.55,88375.0,0.55,GOOG-H
2001-02-09,0.57,0.57,0.57,0.57,5000.0,0.57,GOOG-H
2001-02-12,0.55,0.55,0.52,0.52,18185.0,0.52,GOOG-H
2001-02-13,0.57,0.57,0.57,0.57,12000.0,0.57,GOOG-H
2001-02-14,0.55,0.56,0.55,0.56,25000.0,0.56,GOOG-H
2001-02-15,0.56,0.56,0.53,0.53,23750.0,0.53,GOOG-H
2001-02-16,0.56,0.56,0.53,0.53,24300.0,0.53,GOOG-H
2001-02-19,0.52,0.56,0.52,0.56,19800.0,0.56,GOOG-H
2001-02-20,0.53,0.55,0.52,0.52,36000.0,0.52,GOOG-H
2001-02-21,0.52,0.53,0.52,0.53,35930.0,0.53,GOOG-H
2001-02-22,0.55,0.55,0.54,0.54,12100.0,0.54,GOOG-H
2001-02-23,0.54,0.57,0.54,0.57,154300.0,0.57,GOOG-H
2001-02-26,0.56,0.56,0.55,0.56,47315.0,0.56,GOOG-H
2001-02-27,0.56,0.58,0.56,0.58,53985.0,0.58,GOOG-H
2001-02-28,0.56,0.56,0.55,0.55,20000.0,0.55,GOOG-H
2001-03-01,0.55,0.55,0.55,0.55,4000.0,0.55,GOOG-H
2001-03-02,0.55,0.58,0.55,0.56,16000.0,0.56,GOOG-H
2001-03-05,0.56,0.56,0.55,0.55,1887.0,0.55,GOOG-H
2001-03-06,0.58,0.58,0.56,0.58,254765.0,0.58,GOOG-H
2001-03-07,0.58,0.6,0.58,0.59,83400.0,0.59,GOOG-H
2001-03-08,0.59,0.59,0.58,0.59,85600.0,0.59,GOOG-H
2001-03-09,0.59,0.59,0.59,0.59,27700.0,0.59,GOOG-H
2001-03-12,0.58,0.58,0.57,0.57,14500.0,0.57,GOOG-H
2001-03-13,0.57,0.59,0.56,0.59,45000.0,0.59,GOOG-H
2001-03-14,0.57,0.57,0.56,0.57,43020.0,0.57,GOOG-H
2001-03-15,0.57,0.57,0.56,0.57,27000.0,0.57,GOOG-H
2001-03-16,0.56,0.56,0.56,0.56,10000.0,0.56,GOOG-H
2001-03-19,0.56,0.56,0.55,0.55,12800.0,0.55,GOOG-H
2001-03-20,0.56,0.56,0.55,0.55,20087.0,0.55,GOOG-H
2001-03-21,0.56,0.56,0.54,0.54,20000.0,0.54,GOOG-H
2001-03-23,0.56,0.57,0.55,0.57,50810.0,0.57,GOOG-H
2001-03-26,0.56,0.56,0.55,0.55,33800.0,0.55,GOOG-H
2001-03-27,0.55,0.55,0.55,0.55,2900.0,0.55,GOOG-H
2001-03-28,0.55,0.55,0.54,0.54,2800.0,0.54,GOOG-H
2001-03-29,0.55,0.56,0.55,0.55,20963.0,0.55,GOOG-H
2001-03-30,0.55,0.56,0.55,0.55,21000.0,0.55,GOOG-H
2001-04-02,0.54,0.55,0.53,0.55,26000.0,0.55,GOOG-H
2001-04-03,0.55,0.55,0.55,0.55,20000.0,0.55,GOOG-H
2001-04-05,0.55,0.55,0.55,0.55,11000.0,0.55,GOOG-H
2001-04-06,0.54,0.54,0.54,0.54,6510.0,0.54,GOOG-H
2001-04-09,0.54,0.54,0.51,0.51,20000.0,0.51,GOOG-H
2001-04-10,0.51,0.51,0.51,0.51,10000.0,0.51,GOOG-H
2001-04-12,0.52,0.52,0.52,0.52,9000.0,0.52,GOOG-H
2001-04-17,0.52,0.52,0.52,0.52,2000.0,0.52,GOOG-H
2001-04-19,0.52,0.52,0.52,0.52,5469.0,0.52,GOOG-H
2001-04-20,0.54,0.55,0.51,0.51,16000.0,0.51,GOOG-H
2001-04-23,0.51,0.51,0.51,0.51,8000.0,0.51,GOOG-H
2001-04-24,0.51,0.51,0.51,0.51,10000.0,0.51,GOOG-H
2001-04-27,0.52,0.52,0.49,0.49,55000.0,0.49,GOOG-H
2001-04-30,0.49,0.54,0.49,0.54,15540.0,0.54,GOOG-H
2001-05-03,0.51,0.51,0.51,0.51,29680.0,0.51,GOOG-H
2001-05-04,0.5,0.52,0.5,0.52,30000.0,0.52,GOOG-H
2001-05-07,0.5,0.54,0.49,0.54,315322.0,0.54,GOOG-H
2001-05-10,0.53,0.53,0.53,0.53,5000.0,0.53,GOOG-H
2001-05-11,0.5,0.5,0.5,0.5,10000.0,0.5,GOOG-H
2001-05-14,0.5,0.5,0.5,0.5,10000.0,0.5,GOOG-H
2001-05-16,0.5,0.51,0.5,0.5,40650.0,0.5,GOOG-H
2001-05-17,0.5,0.5,0.5,0.5,10000.0,0.5,GOOG-H
2001-05-18,0.5,0.5,0.49,0.5,23179.0,0.5,GOOG-H
2001-05-22,0.5,0.5,0.48,0.48,20250.0,0.48,GOOG-H
2001-05-23,0.5,0.5,0.5,0.5,55571.0,0.5,GOOG-H
2001-05-24,0.5,0.5,0.48,0.48,10000.0,0.48,GOOG-H
2001-05-25,0.48,0.51,0.47,0.51,48678.0,0.51,GOOG-H
2001-05-31,0.49,0.5,0.48,0.48,78000.0,0.48,GOOG-H
2001-06-01,0.48,0.48,0.48,0.48,23250.0,0.48,GOOG-H
2001-06-04,0.5,0.51,0.5,0.51,64429.0,0.51,GOOG-H
2001-06-05,0.49,0.51,0.49,0.51,33000.0,0.51,GOOG-H
2001-06-06,0.51,0.51,0.48,0.5,11000.0,0.5,GOOG-H
2001-06-07,0.5,0.5,0.5,0.5,34500.0,0.5,GOOG-H
