DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2015-07-24,2.24,2.27,2.16,2.16,23179807.0,2.16,GOOG-H
2015-07-27,2.19,2.19,2.16,2.16,2417254.0,2.16,GOOG-H
2015-07-28,2.15,2.16,2.01,2.04,2379886.0,2.04,GOOG-H
2015-07-29,2.09,2.14,2.08,2.1,2444929.0,2.1,GOOG-H
2015-07-30,2.12,2.14,2.09,2.11,1938293.0,2.11,GOOG-H
2015-07-31,2.12,2.14,2.1,2.1,2460822.0,2.1,GOOG-H
2015-08-03,2.12,2.13,2.07,2.09,779588.0,2.09,GOOG-H
2015-08-04,2.1,2.12,2.05,2.07,2424223.0,2.07,GOOG-H
2015-08-05,2.08,2.08,2.05,2.07,1878992.0,2.07,GOOG-H
2015-08-06,2.06,2.08,2.06,2.06,568754.0,2.06,GOOG-H
2015-08-07,2.06,2.07,2.03,2.04,1399666.0,2.04,GOOG-H
2015-08-10,2.04,2.05,2.04,2.05,610064.0,2.05,GOOG-H
2015-08-11,2.06,2.08,2.04,2.05,430472.0,2.05,GOOG-H
2015-08-12,2.04,2.05,2.03,2.03,575811.0,2.03,GOOG-H
2015-08-13,2.07,2.07,2.02,2.05,447511.0,2.05,GOOG-H
2015-08-14,2.03,2.05,2.02,2.02,264387.0,2.02,GOOG-H
2015-08-17,2.03,2.08,2.02,2.05,166837.0,2.05,GOOG-H
2015-08-18,2.05,2.07,2.02,2.06,152054.0,2.06,GOOG-H
2015-08-19,2.07,2.07,2.04,2.06,963335.0,2.06,GOOG-H
2015-08-20,2.06,2.06,2.02,2.06,297640.0,2.06,GOOG-H
2015-08-21,2.02,2.1,1.96,2.1,2966519.0,2.1,GOOG-H
2015-08-24,2.07,2.07,1.97,2.0,1228969.0,2.0,GOOG-H
2015-08-25,1.98,1.98,1.89,1.96,452334.0,1.96,GOOG-H
2015-08-26,1.96,1.96,1.91,1.93,418500.0,1.93,GOOG-H
2015-08-27,1.93,1.98,1.92,1.97,3469213.0,1.97,GOOG-H
2015-08-28,2.0,2.0,1.96,1.98,394356.0,1.98,GOOG-H
2015-08-31,1.98,1.98,1.93,1.94,280591.0,1.94,GOOG-H
2015-09-01,1.94,1.94,1.91,1.92,152485.0,1.92,GOOG-H
2015-09-02,1.91,1.95,1.9,1.93,226496.0,1.93,GOOG-H
2015-09-03,1.94,1.94,1.86,1.87,1114761.0,1.87,GOOG-H
2015-09-04,1.87,1.87,1.77,1.84,534153.0,1.84,GOOG-H
2015-09-07,1.9,1.94,1.84,1.94,734541.0,1.94,GOOG-H
2015-09-08,1.94,1.99,1.93,1.95,2288343.0,1.95,GOOG-H
2015-09-09,1.99,1.99,1.95,1.98,1839213.0,1.98,GOOG-H
2015-09-10,1.98,2.1,1.97,2.08,1139490.0,2.08,GOOG-H
2015-09-11,2.13,2.17,2.1,2.1,1578671.0,2.1,GOOG-H
2015-09-14,2.15,2.17,2.13,2.17,632371.0,2.17,GOOG-H
2015-09-15,2.16,2.18,2.13,2.15,2712756.0,2.15,GOOG-H
2015-09-16,2.15,2.18,2.13,2.14,1063164.0,2.14,GOOG-H
2015-09-17,2.15,2.17,2.14,2.14,1100087.0,2.14,GOOG-H
2015-09-18,2.13,2.25,2.13,2.2,1559012.0,2.2,GOOG-H
2015-09-21,2.18,2.21,2.15,2.19,256929.0,2.19,GOOG-H
2015-09-22,2.19,2.22,2.16,2.18,329609.0,2.18,GOOG-H
2015-09-23,2.17,2.2,2.11,2.11,525691.0,2.11,GOOG-H
2015-09-24,2.11,2.24,2.11,2.23,632465.0,2.23,GOOG-H
2015-09-25,2.24,2.3,2.23,2.28,1785007.0,2.28,GOOG-H
2015-09-28,2.29,2.34,2.26,2.29,395668.0,2.29,GOOG-H
2015-09-29,2.26,2.27,2.18,2.18,263791.0,2.18,GOOG-H
2015-09-30,2.22,2.29,2.21,2.29,762196.0,2.29,GOOG-H
2015-10-01,2.3,2.3,2.25,2.29,359323.0,2.29,GOOG-H
2015-10-02,2.29,2.3,2.23,2.26,75131.0,2.26,GOOG-H
2015-10-05,2.27,2.29,2.24,2.29,150162.0,2.29,GOOG-H
2015-10-06,2.28,2.28,2.22,2.22,237466.0,2.22,GOOG-H
2015-10-07,2.27,2.29,2.23,2.26,517747.0,2.26,GOOG-H
2015-10-08,2.27,2.29,2.13,2.19,1125044.0,2.19,GOOG-H
2015-10-09,2.2,2.28,2.2,2.24,297235.0,2.24,GOOG-H
2015-10-12,2.25,2.28,2.24,2.26,872892.0,2.26,GOOG-H
2015-10-13,2.27,2.27,2.23,2.23,233685.0,2.23,GOOG-H
