DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-06-10,3.03,3.03,2.96,2.98,5447290.0,2.98,GOOG-H
2005-06-14,2.99,3.07,2.99,3.03,577160.0,3.03,GOOG-H
2005-06-15,3.01,3.01,2.99,2.99,7310000.0,2.99,GOOG-H
2005-06-16,2.99,2.99,2.94,2.94,642233.0,2.94,GOOG-H
2005-06-17,2.92,2.94,2.92,2.94,683767.0,2.94,GOOG-H
2005-06-20,2.96,2.96,2.94,2.94,106947.0,2.94,GOOG-H
2005-06-21,2.96,2.96,2.94,2.94,681933.0,2.94,GOOG-H
2005-06-22,2.92,2.92,2.92,2.92,148300.0,2.92,GOOG-H
2005-06-23,2.88,2.92,2.84,2.84,221700.0,2.84,GOOG-H
2005-06-24,2.84,2.9,2.84,2.84,819054.0,2.84,GOOG-H
2005-06-27,2.82,2.84,2.72,2.76,135000.0,2.76,GOOG-H
2005-06-28,2.84,2.84,2.84,2.84,60000.0,2.84,GOOG-H
2005-06-29,2.86,2.9,2.82,2.9,135830.0,2.9,GOOG-H
2005-06-30,2.9,2.9,2.88,2.9,323170.0,2.9,GOOG-H
2005-07-01,2.9,2.92,2.88,2.92,256700.0,2.92,GOOG-H
2005-07-04,2.92,2.94,2.92,2.92,582000.0,2.92,GOOG-H
2005-07-05,2.92,2.92,2.88,2.9,421300.0,2.9,GOOG-H
2005-07-06,2.88,2.92,2.88,2.92,817783.0,2.92,GOOG-H
2005-07-07,2.92,2.92,2.9,2.9,980217.0,2.9,GOOG-H
2005-07-08,2.88,2.9,2.84,2.88,468918.0,2.88,GOOG-H
2005-07-11,2.88,2.9,2.88,2.9,59800.0,2.9,GOOG-H
2005-07-12,2.9,2.9,2.88,2.9,325950.0,2.9,GOOG-H
2005-07-13,2.88,2.88,2.86,2.86,53339.0,2.86,GOOG-H
2005-07-14,2.88,2.88,2.88,2.88,191560.0,2.88,GOOG-H
2005-07-15,2.88,2.88,2.86,2.86,365000.0,2.86,GOOG-H
2005-07-18,2.86,2.88,2.86,2.88,36200.0,2.88,GOOG-H
2005-07-19,2.88,2.88,2.86,2.88,476881.0,2.88,GOOG-H
2005-07-20,2.88,2.88,2.84,2.86,249000.0,2.86,GOOG-H
2005-07-21,2.86,2.86,2.84,2.84,419000.0,2.84,GOOG-H
2005-07-22,2.84,2.84,2.82,2.84,216500.0,2.84,GOOG-H
2005-07-25,2.82,2.84,2.82,2.84,148414.0,2.84,GOOG-H
2005-07-26,2.84,2.84,2.82,2.82,40000.0,2.82,GOOG-H
2005-07-27,2.84,2.88,2.82,2.84,1095370.0,2.84,GOOG-H
2005-07-28,2.88,2.92,2.88,2.9,324656.0,2.9,GOOG-H
2005-07-29,2.9,2.96,2.9,2.96,894963.0,2.96,GOOG-H
2005-08-01,2.96,2.96,2.96,2.96,89000.0,2.96,GOOG-H
2005-08-02,2.96,2.96,2.94,2.96,669899.0,2.96,GOOG-H
2005-08-03,2.98,2.99,2.96,2.96,4219787.0,2.96,GOOG-H
2005-08-04,2.98,2.98,2.96,2.96,452000.0,2.96,GOOG-H
2005-08-05,2.98,2.98,2.96,2.98,106000.0,2.98,GOOG-H
2005-08-08,2.96,2.96,2.94,2.94,163300.0,2.94,GOOG-H
2005-08-09,2.96,2.96,2.94,2.96,63375.0,2.96,GOOG-H
2005-08-10,2.96,2.96,2.96,2.96,353780.0,2.96,GOOG-H
2005-08-11,2.96,2.96,2.96,2.96,150337.0,2.96,GOOG-H
2005-08-12,2.96,2.96,2.96,2.96,165000.0,2.96,GOOG-H
2005-08-15,2.96,2.98,2.96,2.96,586508.0,2.96,GOOG-H
2005-08-16,2.96,2.96,2.94,2.94,689747.0,2.94,GOOG-H
2005-08-17,2.96,2.96,2.96,2.96,124000.0,2.96,GOOG-H
2005-08-18,2.98,2.98,2.98,2.98,286000.0,2.98,GOOG-H
