DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,5.76,5.78,5.62,5.66,177408.0,5.66,GOOG-H
2000-01-05,5.63,5.66,5.48,5.62,158124.0,5.62,GOOG-H
2000-01-06,5.67,5.7,5.6,5.61,130888.0,5.61,GOOG-H
2000-01-07,5.6,5.8,5.6,5.8,74766.0,5.8,GOOG-H
2000-01-10,5.79,5.8,5.67,5.67,64844.0,5.67,GOOG-H
2000-01-11,5.79,5.79,5.67,5.67,374810.0,5.67,GOOG-H
2000-01-12,5.67,5.7,5.65,5.65,179539.0,5.65,GOOG-H
2000-01-13,5.65,5.65,5.5,5.5,540135.0,5.5,GOOG-H
2000-01-14,5.55,5.55,5.5,5.52,488050.0,5.52,GOOG-H
2000-01-17,5.55,5.6,5.5,5.51,415739.0,5.51,GOOG-H
2000-01-18,5.5,5.5,5.38,5.4,611127.0,5.4,GOOG-H
2000-01-19,5.38,5.4,5.32,5.34,386713.0,5.34,GOOG-H
2000-01-20,5.32,5.34,5.31,5.33,1069659.0,5.33,GOOG-H
2000-01-21,5.35,5.4,5.34,5.37,697497.0,5.37,GOOG-H
2000-01-24,5.4,5.49,5.38,5.42,886119.0,5.42,GOOG-H
2000-01-25,5.45,5.65,5.44,5.65,253174.0,5.65,GOOG-H
2000-01-27,5.55,5.57,5.45,5.45,164977.0,5.45,GOOG-H
2000-01-28,5.46,5.5,5.45,5.45,173010.0,5.45,GOOG-H
2000-01-31,5.53,5.55,5.48,5.48,125083.0,5.48,GOOG-H
2000-02-01,5.46,5.48,5.41,5.41,457023.0,5.41,GOOG-H
2000-02-02,5.41,5.43,5.26,5.31,584694.0,5.31,GOOG-H
2000-02-03,5.31,5.35,5.26,5.29,385882.0,5.29,GOOG-H
2000-02-04,5.31,5.31,5.25,5.26,190006.0,5.26,GOOG-H
2000-02-07,5.32,5.32,5.24,5.31,1237181.0,5.31,GOOG-H
2000-02-08,5.3,5.31,5.21,5.26,263474.0,5.26,GOOG-H
2000-02-09,5.26,5.54,5.26,5.36,1011437.0,5.36,GOOG-H
2000-02-10,5.5,5.5,5.35,5.35,101357.0,5.35,GOOG-H
2000-02-11,5.32,5.35,5.26,5.31,394714.0,5.31,GOOG-H
