DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2011-11-21,2.27,2.43,2.27,2.3,706266.0,2.3,GOOG-H
2011-11-22,2.31,2.35,2.23,2.26,1374071.0,2.26,GOOG-H
2011-11-23,2.32,2.52,2.32,2.44,1703389.0,2.44,GOOG-H
2011-11-24,2.52,2.56,2.49,2.52,6057524.0,2.52,GOOG-H
2011-11-25,2.53,2.54,2.49,2.53,770615.0,2.53,GOOG-H
2011-11-28,2.56,2.58,2.51,2.53,336420.0,2.53,GOOG-H
2011-11-29,2.56,2.56,2.51,2.53,1154171.0,2.53,GOOG-H
2011-11-30,2.47,2.51,2.43,2.5,1162057.0,2.5,GOOG-H
2011-12-01,2.52,2.52,2.42,2.43,553137.0,2.43,GOOG-H
2011-12-02,2.41,2.41,2.28,2.34,2082337.0,2.34,GOOG-H
2011-12-05,2.3,2.31,2.25,2.25,1546262.0,2.25,GOOG-H
2011-12-06,2.19,2.32,2.18,2.3,3488976.0,2.3,GOOG-H
2011-12-07,2.31,2.32,2.28,2.29,1923915.0,2.29,GOOG-H
2011-12-08,2.26,2.32,2.25,2.28,1895558.0,2.28,GOOG-H
2011-12-09,2.25,2.3,2.25,2.28,2521623.0,2.28,GOOG-H
2011-12-12,2.32,2.36,2.32,2.33,1916466.0,2.33,GOOG-H
2011-12-13,2.32,2.33,2.31,2.31,1112458.0,2.31,GOOG-H
2011-12-14,2.29,2.29,2.24,2.24,1937138.0,2.24,GOOG-H
2011-12-15,2.22,2.25,2.2,2.24,1758234.0,2.24,GOOG-H
2011-12-16,2.26,2.33,2.26,2.3,7076525.0,2.3,GOOG-H
2011-12-19,2.31,2.31,2.27,2.27,808923.0,2.27,GOOG-H
2011-12-20,2.27,2.3,2.26,2.28,1413395.0,2.28,GOOG-H
2011-12-21,2.29,2.35,2.27,2.31,817011.0,2.31,GOOG-H
2011-12-22,2.32,2.4,2.32,2.34,357899.0,2.34,GOOG-H
2011-12-23,2.38,2.39,2.36,2.37,576284.0,2.37,GOOG-H
2011-12-28,2.3,2.37,2.29,2.34,786298.0,2.34,GOOG-H
2011-12-29,2.33,2.36,2.33,2.34,190622.0,2.34,GOOG-H
2011-12-30,2.34,2.4,2.34,2.38,281753.0,2.38,GOOG-H
2012-01-03,2.33,2.37,2.33,2.37,25944.0,2.37,GOOG-H
2012-01-04,2.36,2.36,2.32,2.33,314587.0,2.33,GOOG-H
2012-01-05,2.32,2.35,2.27,2.31,272860.0,2.31,GOOG-H
2012-01-06,2.31,2.35,2.3,2.34,495065.0,2.34,GOOG-H
2012-01-09,2.35,2.38,2.35,2.37,356235.0,2.37,GOOG-H
2012-01-10,2.42,2.46,2.41,2.44,201204.0,2.44,GOOG-H
2012-01-11,2.48,2.48,2.44,2.44,49869.0,2.44,GOOG-H
2012-01-12,2.42,2.45,2.4,2.44,663408.0,2.44,GOOG-H
2012-01-13,2.45,2.48,2.4,2.43,60946.0,2.43,GOOG-H
2012-01-16,2.45,2.45,2.42,2.42,453282.0,2.42,GOOG-H
2012-01-17,2.41,2.43,2.4,2.42,622392.0,2.42,GOOG-H
2012-01-18,2.46,2.46,2.44,2.45,145854.0,2.45,GOOG-H
2012-01-19,2.45,2.46,2.42,2.43,64736.0,2.43,GOOG-H
2012-01-20,2.43,2.45,2.38,2.38,547405.0,2.38,GOOG-H
2012-01-23,2.38,2.4,2.38,2.38,3180.0,2.38,GOOG-H
2012-01-24,2.42,2.45,2.41,2.44,385026.0,2.44,GOOG-H
2012-01-25,2.45,2.48,2.42,2.48,57227.0,2.48,GOOG-H
2012-01-27,2.51,2.54,2.51,2.52,214788.0,2.52,GOOG-H
2012-01-30,2.54,2.57,2.54,2.55,189360.0,2.55,GOOG-H
2012-01-31,2.55,2.57,2.52,2.54,112679.0,2.54,GOOG-H
