DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,20.53,20.6,19.0,19.45,69976.0,19.45,GOOG-H
2000-01-05,18.5,19.1,18.5,18.96,108475.0,18.96,GOOG-H
2000-01-06,19.0,19.55,19.0,19.4,68627.0,19.4,GOOG-H
2000-01-07,19.4,19.4,18.75,18.8,25622.0,18.8,GOOG-H
2000-01-10,19.0,19.65,19.0,19.45,61372.0,19.45,GOOG-H
2000-01-11,19.8,19.86,19.6,19.7,30652.0,19.7,GOOG-H
2000-01-12,19.7,19.7,19.6,19.6,52143.0,19.6,GOOG-H
2000-01-13,19.75,19.75,19.0,19.05,20398.0,19.05,GOOG-H
2000-01-14,19.05,19.5,19.05,19.45,55304.0,19.45,GOOG-H
2000-01-17,19.5,19.6,19.3,19.4,36287.0,19.4,GOOG-H
2000-01-18,19.56,19.56,19.3,19.41,83334.0,19.41,GOOG-H
2000-01-19,19.5,19.5,19.35,19.4,42063.0,19.4,GOOG-H
2000-01-20,19.55,19.76,19.55,19.7,97337.0,19.7,GOOG-H
2000-01-21,19.7,19.71,19.6,19.7,30613.0,19.7,GOOG-H
2000-01-24,19.8,19.95,19.6,19.75,188506.0,19.75,GOOG-H
2000-01-25,19.95,19.95,19.5,19.75,62479.0,19.75,GOOG-H
2000-01-27,19.94,20.7,19.9,20.3,62456.0,20.3,GOOG-H
2000-01-28,20.5,20.9,20.5,20.85,136070.0,20.85,GOOG-H
2000-01-31,21.0,21.0,20.5,20.54,83531.0,20.54,GOOG-H
2000-02-01,20.55,20.58,20.0,20.2,65660.0,20.2,GOOG-H
2000-02-02,20.11,20.75,20.11,20.5,150830.0,20.5,GOOG-H
2000-02-03,20.66,21.5,20.66,21.5,94668.0,21.5,GOOG-H
2000-02-04,21.61,22.6,21.6,22.55,41815.0,22.55,GOOG-H
2000-02-07,22.8,23.0,22.4,22.5,84098.0,22.5,GOOG-H
2000-02-08,22.4,22.5,22.0,22.25,97768.0,22.25,GOOG-H
2000-02-09,22.26,22.4,22.0,22.3,30008.0,22.3,GOOG-H
2000-02-10,22.3,22.85,22.22,22.85,22671.0,22.85,GOOG-H
2000-02-11,22.95,23.8,22.95,23.33,178772.0,23.33,GOOG-H
2000-02-14,23.28,23.8,22.86,23.3,203626.0,23.3,GOOG-H
2000-02-15,23.6,23.9,23.2,23.2,205859.0,23.2,GOOG-H
2000-02-16,23.4,23.4,23.0,23.32,347709.0,23.32,GOOG-H
2000-02-17,23.4,23.4,23.15,23.25,62929.0,23.25,GOOG-H
2000-02-18,23.17,23.25,23.0,23.03,40242.0,23.03,GOOG-H
2000-02-21,22.83,23.0,22.6,23.0,30106.0,23.0,GOOG-H
2000-02-22,22.76,23.0,22.76,22.77,29262.0,22.77,GOOG-H
2000-02-23,22.77,22.78,22.53,22.68,99757.0,22.68,GOOG-H
2000-02-24,22.55,22.6,21.89,21.95,183310.0,21.95,GOOG-H
2000-02-25,21.64,21.8,21.5,21.75,131018.0,21.75,GOOG-H
2000-02-28,21.64,21.66,21.0,21.5,127125.0,21.5,GOOG-H
2000-02-29,21.36,22.72,21.36,21.96,142753.0,21.96,GOOG-H
2000-03-01,22.0,22.0,21.5,21.85,32035.0,21.85,GOOG-H
2000-03-02,21.86,21.9,21.5,21.7,429716.0,21.7,GOOG-H
2000-03-03,21.67,21.67,20.8,20.8,197382.0,20.8,GOOG-H
2000-03-06,20.8,21.25,20.8,21.17,242694.0,21.17,GOOG-H
2000-03-07,21.11,21.11,20.53,20.84,138871.0,20.84,GOOG-H
2000-03-08,20.8,20.8,20.53,20.75,139103.0,20.75,GOOG-H
2000-03-09,20.75,20.99,20.7,20.95,779765.0,20.95,GOOG-H
2000-03-10,21.0,22.5,20.93,22.5,82783.0,22.5,GOOG-H
2000-03-13,22.75,22.8,21.45,21.78,34983.0,21.78,GOOG-H
2000-03-14,21.77,21.77,21.0,21.15,33522.0,21.15,GOOG-H
2000-03-15,21.0,21.36,21.0,21.2,48948.0,21.2,GOOG-H
2000-03-16,21.2,21.8,21.0,21.5,121049.0,21.5,GOOG-H
2000-03-17,22.0,22.02,21.51,21.65,34627.0,21.65,GOOG-H
2000-03-20,21.65,21.65,21.22,21.53,20431.0,21.53,GOOG-H
2000-03-21,21.22,21.5,21.02,21.1,27037.0,21.1,GOOG-H
2000-03-22,21.1,21.4,21.0,21.0,532254.0,21.0,GOOG-H
2000-03-23,21.0,21.4,21.0,21.2,94181.0,21.2,GOOG-H
2000-03-24,21.5,21.5,21.1,21.4,396542.0,21.4,GOOG-H
2000-03-27,21.4,22.0,21.4,22.0,266208.0,22.0,GOOG-H
2000-03-28,22.05,23.06,22.05,23.06,94709.0,23.06,GOOG-H
2000-03-29,23.1,23.75,23.1,23.65,132799.0,23.65,GOOG-H
2000-03-30,23.78,23.85,22.5,23.24,117747.0,23.24,GOOG-H
2000-03-31,23.04,23.04,22.6,22.93,128728.0,22.93,GOOG-H
2000-04-03,23.18,23.18,21.9,23.0,71075.0,23.0,GOOG-H
2000-04-04,23.24,23.24,22.8,22.99,61228.0,22.99,GOOG-H
2000-04-05,22.9,22.9,22.48,22.5,171706.0,22.5,GOOG-H
2000-04-06,21.9,22.1,21.7,22.09,138130.0,22.09,GOOG-H
2000-04-07,21.68,22.32,21.68,22.0,38351.0,22.0,GOOG-H
2000-04-10,22.0,22.3,21.95,21.95,202321.0,21.95,GOOG-H
2000-04-11,21.56,22.01,21.56,22.01,14387.0,22.01,GOOG-H
2000-04-12,22.0,22.25,21.92,22.0,124524.0,22.0,GOOG-H
2000-04-13,22.0,22.1,21.8,22.0,29559.0,22.0,GOOG-H
2000-04-14,21.75,22.2,21.75,22.0,44332.0,22.0,GOOG-H
2000-04-17,21.16,22.05,20.6,22.05,86513.0,22.05,GOOG-H
2000-04-18,23.15,23.15,21.5,22.0,303182.0,22.0,GOOG-H
2000-04-19,22.06,22.1,21.6,22.03,65208.0,22.03,GOOG-H
2000-04-20,22.02,22.02,21.2,21.7,5222.0,21.7,GOOG-H
2000-04-26,21.99,21.99,21.5,21.64,85399.0,21.64,GOOG-H
2000-04-27,21.7,21.7,21.15,21.49,69768.0,21.49,GOOG-H
2000-04-28,21.5,22.4,21.5,22.25,181319.0,22.25,GOOG-H
2000-05-01,22.25,22.3,22.0,22.3,21556.0,22.3,GOOG-H
2000-05-02,22.3,22.95,22.3,22.95,21125.0,22.95,GOOG-H
2000-05-03,22.85,23.68,22.83,23.68,130390.0,23.68,GOOG-H
2000-05-04,23.55,24.1,23.55,24.1,104855.0,24.1,GOOG-H
2000-05-05,24.5,24.5,23.9,24.15,50208.0,24.15,GOOG-H
2000-05-08,24.11,24.41,24.11,24.2,74610.0,24.2,GOOG-H
2000-05-09,23.95,24.2,23.95,24.1,62071.0,24.1,GOOG-H
2000-05-10,24.09,24.2,23.91,24.2,103066.0,24.2,GOOG-H
2000-05-11,23.99,24.06,23.99,24.0,30584.0,24.0,GOOG-H
2000-05-12,24.08,24.2,24.0,24.2,11173.0,24.2,GOOG-H
2000-05-15,24.2,24.2,24.0,24.0,18348.0,24.0,GOOG-H
2000-05-16,24.0,24.31,24.0,24.31,58269.0,24.31,GOOG-H
2000-05-17,24.4,25.05,24.4,25.05,68169.0,25.05,GOOG-H
2000-05-18,26.3,28.2,26.3,27.5,787457.0,27.5,GOOG-H
2000-05-19,27.5,27.5,26.1,26.55,340278.0,26.55,GOOG-H
2000-05-22,26.5,26.5,26.0,26.3,30871.0,26.3,GOOG-H
2000-05-23,26.0,26.2,25.39,25.55,42028.0,25.55,GOOG-H
2000-05-24,25.5,26.55,25.2,26.5,113884.0,26.5,GOOG-H
2000-05-25,26.43,26.72,26.0,26.0,41310.0,26.0,GOOG-H
2000-05-26,26.0,26.0,25.3,25.3,118634.0,25.3,GOOG-H
2000-05-29,25.5,26.0,25.5,25.66,212911.0,25.66,GOOG-H
2000-05-30,25.68,25.75,25.2,25.25,190435.0,25.25,GOOG-H
2000-05-31,25.5,25.5,25.0,25.1,966559.0,25.1,GOOG-H
2000-06-01,24.8,25.1,24.8,25.0,217021.0,25.0,GOOG-H
2000-06-02,25.0,25.2,24.9,24.99,119638.0,24.99,GOOG-H
2000-06-05,25.2,25.2,24.4,24.43,72027.0,24.43,GOOG-H
2000-06-06,24.05,24.05,23.6,23.79,226446.0,23.79,GOOG-H
2000-06-07,23.8,23.81,23.51,23.52,122488.0,23.52,GOOG-H
2000-06-08,23.61,23.75,23.1,23.3,105572.0,23.3,GOOG-H
2000-06-09,23.56,24.9,23.55,24.7,173602.0,24.7,GOOG-H
2000-06-13,24.7,25.5,24.7,24.7,70633.0,24.7,GOOG-H
2000-06-14,24.7,25.0,24.7,25.0,752577.0,25.0,GOOG-H
2000-06-15,25.2,25.2,24.7,25.0,118264.0,25.0,GOOG-H
2000-06-16,25.0,25.0,24.7,24.7,57198.0,24.7,GOOG-H
2000-06-19,24.65,24.95,24.62,24.8,52366.0,24.8,GOOG-H
2000-06-20,24.95,25.1,24.95,25.0,71635.0,25.0,GOOG-H
2000-06-21,25.3,26.05,25.05,26.0,58920.0,26.0,GOOG-H
2000-06-22,26.01,26.2,25.6,25.66,55821.0,25.66,GOOG-H
