DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,7.59,7.7,7.55,7.6,517445.0,7.6,GOOG-H
2000-01-05,7.25,7.3,7.12,7.2,694920.0,7.2,GOOG-H
2000-01-06,7.3,7.35,7.15,7.15,526947.0,7.15,GOOG-H
2000-01-07,7.09,7.09,6.51,6.51,807142.0,6.51,GOOG-H
2000-01-10,7.01,7.34,6.98,7.23,738293.0,7.23,GOOG-H
2000-01-11,7.35,7.44,7.35,7.4,830416.0,7.4,GOOG-H
2000-01-12,7.28,7.36,7.17,7.25,354210.0,7.25,GOOG-H
2000-01-13,7.15,7.15,6.75,7.01,398689.0,7.01,GOOG-H
2000-01-14,6.99,7.19,6.95,7.04,564925.0,7.04,GOOG-H
2000-01-17,7.12,7.25,6.98,6.98,372286.0,6.98,GOOG-H
2000-01-18,6.98,7.05,6.8,6.83,718987.0,6.83,GOOG-H
2000-01-19,6.94,6.94,6.58,6.63,847778.0,6.63,GOOG-H
2000-01-20,6.6,7.0,6.6,7.0,701634.0,7.0,GOOG-H
2000-01-21,6.96,7.07,6.95,7.07,313615.0,7.07,GOOG-H
2000-01-24,7.12,7.2,7.02,7.02,366249.0,7.02,GOOG-H
2000-01-25,6.75,6.99,6.7,6.85,1220323.0,6.85,GOOG-H
2000-01-26,6.85,6.85,6.85,6.85,50000.0,6.85,GOOG-H
2000-01-27,6.85,6.85,6.63,6.66,1208268.0,6.66,GOOG-H
2000-01-28,6.65,6.87,6.57,6.87,1342239.0,6.87,GOOG-H
2000-01-31,6.9,6.96,6.7,6.85,586086.0,6.85,GOOG-H
2000-02-01,7.0,7.0,6.79,6.85,583441.0,6.85,GOOG-H
2000-02-02,7.1,7.1,6.9,7.02,2178705.0,7.02,GOOG-H
2000-02-03,7.17,7.19,6.95,7.01,1666559.0,7.01,GOOG-H
2000-02-04,7.05,7.05,6.8,6.9,720831.0,6.9,GOOG-H
2000-02-07,6.89,6.89,6.7,6.85,380312.0,6.85,GOOG-H
2000-02-08,6.8,6.82,6.56,6.57,622823.0,6.57,GOOG-H
2000-02-09,6.61,6.78,6.61,6.68,627960.0,6.68,GOOG-H
2000-02-10,6.68,6.72,6.6,6.72,604425.0,6.72,GOOG-H
2000-02-11,6.74,6.88,6.7,6.86,449589.0,6.86,GOOG-H
2000-02-14,6.75,7.05,6.68,7.04,1279161.0,7.04,GOOG-H
2000-02-15,7.08,7.1,6.75,6.8,684534.0,6.8,GOOG-H
2000-02-16,6.85,6.87,6.68,6.8,1018961.0,6.8,GOOG-H
2000-02-17,6.85,6.99,6.8,6.9,401966.0,6.9,GOOG-H
2000-02-18,6.9,7.07,6.81,6.87,602603.0,6.87,GOOG-H
2000-02-21,6.71,6.8,6.61,6.8,381299.0,6.8,GOOG-H
2000-02-22,6.74,6.8,6.66,6.75,310236.0,6.75,GOOG-H
2000-02-23,6.74,6.79,6.5,6.55,421573.0,6.55,GOOG-H
2000-02-24,6.54,6.89,6.52,6.82,568765.0,6.82,GOOG-H
2000-02-25,6.8,6.94,6.79,6.9,596071.0,6.9,GOOG-H
2000-02-28,6.8,6.85,6.65,6.65,430814.0,6.65,GOOG-H
2000-02-29,6.58,6.9,6.57,6.85,464965.0,6.85,GOOG-H
2000-03-01,6.89,7.03,6.78,6.96,367545.0,6.96,GOOG-H
2000-03-02,6.97,7.14,6.97,7.1,784129.0,7.1,GOOG-H
2000-03-03,7.0,7.14,7.0,7.1,578994.0,7.1,GOOG-H
2000-03-06,7.15,7.5,7.01,7.5,744971.0,7.5,GOOG-H
2000-03-07,7.46,7.68,7.35,7.62,902688.0,7.62,GOOG-H
2000-03-08,7.5,7.5,7.1,7.2,528930.0,7.2,GOOG-H
2000-03-09,7.18,7.22,6.93,7.1,1002731.0,7.1,GOOG-H
2000-03-10,7.15,7.3,7.15,7.28,804136.0,7.28,GOOG-H
2000-03-13,7.3,7.39,7.25,7.39,715651.0,7.39,GOOG-H
2000-03-14,7.35,7.56,7.33,7.56,1215644.0,7.56,GOOG-H
2000-03-15,7.4,7.74,7.4,7.72,1451256.0,7.72,GOOG-H
2000-03-16,7.7,7.74,7.55,7.68,877911.0,7.68,GOOG-H
2000-03-17,7.8,7.97,7.75,7.97,1573305.0,7.97,GOOG-H
2000-03-20,7.99,8.2,7.8,8.1,943226.0,8.1,GOOG-H
2000-03-21,8.2,8.2,7.85,8.08,1090986.0,8.08,GOOG-H
2000-03-22,8.16,8.19,8.0,8.14,1267712.0,8.14,GOOG-H
2000-03-23,8.16,9.15,8.12,8.8,1730739.0,8.8,GOOG-H
2000-03-24,8.9,8.94,8.61,8.71,684763.0,8.71,GOOG-H
2000-03-27,8.49,8.49,7.72,8.33,1069640.0,8.33,GOOG-H
2000-03-28,8.3,8.46,8.12,8.15,651720.0,8.15,GOOG-H
2000-03-29,8.12,8.2,7.9,7.9,582571.0,7.9,GOOG-H
2000-03-30,7.9,7.92,7.62,7.83,654823.0,7.83,GOOG-H
2000-03-31,7.65,7.81,7.25,7.81,761510.0,7.81,GOOG-H
2000-04-03,8.0,8.0,7.84,7.95,729523.0,7.95,GOOG-H
2000-04-04,7.6,7.6,6.99,7.05,854413.0,7.05,GOOG-H
2000-04-05,6.87,7.05,6.42,7.05,964847.0,7.05,GOOG-H
2000-04-06,7.21,7.45,7.2,7.4,427976.0,7.4,GOOG-H
2000-04-07,7.6,7.75,7.5,7.65,572583.0,7.65,GOOG-H
2000-04-10,7.72,7.75,7.6,7.75,537314.0,7.75,GOOG-H
2000-04-11,7.42,7.45,7.24,7.45,271685.0,7.45,GOOG-H
2000-04-12,7.25,7.25,7.05,7.1,358249.0,7.1,GOOG-H
2000-04-13,6.79,6.79,6.25,6.55,1017806.0,6.55,GOOG-H
2000-04-14,6.39,6.69,6.35,6.6,706971.0,6.6,GOOG-H
2000-04-17,5.5,6.1,5.2,6.05,1924369.0,6.05,GOOG-H
2000-04-18,6.5,6.5,6.05,6.19,877209.0,6.19,GOOG-H
2000-04-19,6.45,6.45,6.02,6.33,836392.0,6.33,GOOG-H
2000-04-20,6.3,6.49,6.2,6.49,284495.0,6.49,GOOG-H
2000-04-26,6.55,6.75,6.55,6.67,904092.0,6.67,GOOG-H
2000-04-27,6.63,6.63,6.53,6.61,1117534.0,6.61,GOOG-H
2000-04-28,6.63,7.0,6.63,6.99,654441.0,6.99,GOOG-H
2000-05-01,7.0,7.05,6.79,6.9,770153.0,6.9,GOOG-H
2000-05-02,6.94,6.94,6.7,6.7,942015.0,6.7,GOOG-H
2000-05-03,6.6,6.7,6.44,6.45,638818.0,6.45,GOOG-H
2000-05-04,6.36,6.36,6.02,6.3,348407.0,6.3,GOOG-H
2000-05-05,6.27,6.37,6.2,6.35,455822.0,6.35,GOOG-H
2000-05-08,6.41,6.5,6.28,6.4,393820.0,6.4,GOOG-H
2000-05-09,6.3,6.36,6.14,6.14,362329.0,6.14,GOOG-H
2000-05-10,6.02,6.1,5.75,5.98,942571.0,5.98,GOOG-H
2000-05-11,5.74,5.9,5.55,5.9,3106324.0,5.9,GOOG-H
2000-05-12,5.99,6.0,5.85,5.85,1917065.0,5.85,GOOG-H
2000-05-15,5.85,5.85,5.75,5.81,3111251.0,5.81,GOOG-H
2000-05-16,5.9,6.2,5.9,6.2,365821.0,6.2,GOOG-H
2000-05-17,6.25,6.52,6.25,6.43,1105334.0,6.43,GOOG-H
2000-05-18,6.6,7.01,6.56,6.95,6169368.0,6.95,GOOG-H
2000-05-19,7.2,7.35,7.0,7.0,2441800.0,7.0,GOOG-H
2000-05-22,6.57,6.72,6.55,6.58,21149796.0,6.58,GOOG-H
2000-05-23,6.58,6.58,6.4,6.4,966474.0,6.4,GOOG-H
2000-05-24,6.25,6.3,6.17,6.24,853046.0,6.24,GOOG-H
2000-05-25,6.26,6.35,6.2,6.35,408622.0,6.35,GOOG-H
2000-05-26,6.35,6.7,6.26,6.69,340552.0,6.69,GOOG-H
2000-05-29,6.76,6.87,6.7,6.8,1207323.0,6.8,GOOG-H
2000-05-30,6.79,6.89,6.65,6.73,1171804.0,6.73,GOOG-H
2000-05-31,6.82,6.88,6.7,6.84,7343653.0,6.84,GOOG-H
2000-06-01,6.8,6.94,6.71,6.89,1170124.0,6.89,GOOG-H
2000-06-02,6.88,6.95,6.84,6.84,1145280.0,6.84,GOOG-H
2000-06-05,6.94,6.96,6.8,6.82,362097.0,6.82,GOOG-H
2000-06-06,6.79,6.91,6.75,6.91,776651.0,6.91,GOOG-H
2000-06-07,6.85,6.9,6.81,6.81,506947.0,6.81,GOOG-H
2000-06-08,6.95,7.14,6.9,7.05,1329686.0,7.05,GOOG-H
2000-06-09,7.09,7.44,7.09,7.41,1141107.0,7.41,GOOG-H
2000-06-13,7.32,7.46,7.32,7.4,617627.0,7.4,GOOG-H
2000-06-14,7.45,7.75,7.45,7.75,836968.0,7.75,GOOG-H
2000-06-15,7.72,7.8,7.65,7.73,760750.0,7.73,GOOG-H
2000-06-16,7.8,8.12,7.75,7.91,723103.0,7.91,GOOG-H
2000-06-19,7.82,7.85,7.55,7.8,924075.0,7.8,GOOG-H
2000-06-20,7.7,7.7,7.65,7.65,943210.0,7.65,GOOG-H
2000-06-21,7.55,7.94,7.5,7.9,848449.0,7.9,GOOG-H
2000-06-22,7.8,7.9,7.69,7.75,550956.0,7.75,GOOG-H
2000-06-23,7.74,7.8,7.6,7.8,347101.0,7.8,GOOG-H
2000-06-26,7.7,7.95,7.7,7.8,480289.0,7.8,GOOG-H
2000-06-27,7.85,7.91,7.8,7.9,642075.0,7.9,GOOG-H
2000-06-28,7.9,7.9,7.77,7.87,458768.0,7.87,GOOG-H
2000-06-29,7.9,8.45,7.9,8.35,949078.0,8.35,GOOG-H
2000-06-30,8.32,8.7,8.3,8.59,1485843.0,8.59,GOOG-H
2000-07-03,8.45,8.69,8.26,8.45,762008.0,8.45,GOOG-H
2000-07-04,8.4,8.61,8.34,8.6,473378.0,8.6,GOOG-H
2000-07-05,8.65,8.69,8.46,8.52,477803.0,8.52,GOOG-H
