DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-09-29,9.95,10.0,9.9,9.95,2146340.0,9.95,GOOG-H
2005-09-30,9.93,9.93,9.8,9.88,4195407.0,9.88,GOOG-H
2005-10-03,9.85,9.9,9.8,9.82,546433.0,9.82,GOOG-H
2005-10-04,9.9,9.98,9.82,9.9,2830980.0,9.9,GOOG-H
2005-10-05,9.85,9.88,9.78,9.8,7980550.0,9.8,GOOG-H
2005-10-06,9.8,9.88,9.78,9.78,2080256.0,9.78,GOOG-H
2005-10-07,9.78,9.85,9.78,9.85,4258242.0,9.85,GOOG-H
2005-10-10,9.85,9.9,9.82,9.9,1074004.0,9.9,GOOG-H
2005-10-11,9.85,9.88,9.82,9.82,2619364.0,9.82,GOOG-H
2005-10-12,9.82,9.85,9.78,9.82,1763314.0,9.82,GOOG-H
2005-10-13,9.8,9.82,9.73,9.78,11336982.0,9.78,GOOG-H
2005-10-14,9.78,9.8,9.7,9.8,2092684.0,9.8,GOOG-H
2005-10-17,9.8,9.8,9.7,9.7,9192379.0,9.7,GOOG-H
2005-10-18,9.73,9.78,9.6,9.65,1061847.0,9.65,GOOG-H
2005-10-19,9.65,9.75,9.57,9.6,3958133.0,9.6,GOOG-H
2005-10-20,9.6,9.63,9.55,9.57,2504544.0,9.57,GOOG-H
2005-10-21,9.5,9.6,9.43,9.5,3069746.0,9.5,GOOG-H
2005-10-24,9.45,9.53,9.43,9.5,1306891.0,9.5,GOOG-H
2005-10-25,9.6,9.6,9.5,9.53,2070233.0,9.53,GOOG-H
2005-10-26,9.53,9.55,9.5,9.55,5546710.0,9.55,GOOG-H
2005-10-27,9.55,9.55,9.45,9.5,1687559.0,9.5,GOOG-H
2005-10-28,9.45,9.53,9.43,9.48,1681474.0,9.48,GOOG-H
2005-10-31,9.5,9.6,9.5,9.6,1689755.0,9.6,GOOG-H
2005-11-01,9.57,9.65,9.57,9.57,3237238.0,9.57,GOOG-H
2005-11-02,9.57,9.6,9.45,9.55,3997859.0,9.55,GOOG-H
2005-11-03,9.6,9.78,9.6,9.73,7670678.0,9.73,GOOG-H
2005-11-04,9.73,9.75,9.65,9.7,2873937.0,9.7,GOOG-H
2005-11-07,9.65,9.68,9.6,9.65,3776184.0,9.65,GOOG-H
2005-11-09,9.6,9.6,9.55,9.55,3243664.0,9.55,GOOG-H
2005-11-10,9.55,9.57,9.53,9.55,3912249.0,9.55,GOOG-H
2005-11-11,9.53,9.55,9.5,9.5,24184884.0,9.5,GOOG-H
2005-11-14,9.55,9.57,9.5,9.55,3088662.0,9.55,GOOG-H
2005-11-15,9.53,9.65,9.5,9.57,6813778.0,9.57,GOOG-H
2005-11-16,9.65,9.8,9.6,9.75,8878329.0,9.75,GOOG-H
2005-11-17,9.75,9.88,9.7,9.85,4703586.0,9.85,GOOG-H
2005-11-18,9.8,9.9,9.8,9.9,4541844.0,9.9,GOOG-H
2005-11-21,9.93,9.93,9.88,9.9,1887215.0,9.9,GOOG-H
2005-11-22,9.93,9.93,9.88,9.9,4684759.0,9.9,GOOG-H
2005-11-23,10.0,10.2,10.0,10.15,10981860.0,10.15,GOOG-H
2005-11-24,10.15,10.3,10.1,10.2,18993008.0,10.2,GOOG-H
2005-11-25,10.15,10.2,10.15,10.2,772879.0,10.2,GOOG-H
2005-11-28,10.15,10.2,10.1,10.15,4292671.0,10.15,GOOG-H
2005-11-29,10.15,10.25,10.15,10.15,7634724.0,10.15,GOOG-H
2005-11-30,10.2,10.25,10.2,10.2,15375265.0,10.2,GOOG-H
2005-12-01,10.1,10.15,9.95,9.98,2525401.0,9.98,GOOG-H
2005-12-02,10.0,10.1,10.0,10.05,2687315.0,10.05,GOOG-H
2005-12-05,10.0,10.15,10.0,10.05,1491582.0,10.05,GOOG-H
2005-12-06,10.0,10.1,9.98,10.0,6663218.0,10.0,GOOG-H
2005-12-07,10.0,10.05,9.95,10.05,2700806.0,10.05,GOOG-H
2005-12-08,10.05,10.15,10.0,10.05,3871342.0,10.05,GOOG-H
2005-12-09,10.0,10.2,10.0,10.15,2395153.0,10.15,GOOG-H
2005-12-12,10.1,10.15,10.05,10.1,1119232.0,10.1,GOOG-H
2005-12-13,10.05,10.1,10.0,10.05,3228646.0,10.05,GOOG-H
2005-12-14,10.05,10.2,10.0,10.15,5839040.0,10.15,GOOG-H
2005-12-15,10.2,10.2,10.15,10.2,8775283.0,10.2,GOOG-H
2005-12-16,10.15,10.25,10.15,10.2,2150666.0,10.2,GOOG-H
2005-12-20,10.1,10.15,10.05,10.15,1107608.0,10.15,GOOG-H
2005-12-28,9.93,10.0,9.88,9.95,2218295.0,9.95,GOOG-H
2005-12-29,10.0,10.0,9.93,9.95,1748566.0,9.95,GOOG-H
2005-12-30,9.85,9.98,9.85,9.9,4670772.0,9.9,GOOG-H
2006-01-04,9.85,10.05,9.82,10.0,2571112.0,10.0,GOOG-H
2006-01-05,10.0,10.1,9.95,10.0,1210360.0,10.0,GOOG-H
2006-01-06,9.98,10.05,9.9,10.0,1984546.0,10.0,GOOG-H
2006-01-09,10.0,10.0,9.95,10.0,3046791.0,10.0,GOOG-H
2006-01-10,9.98,10.0,9.85,9.93,1060025.0,9.93,GOOG-H
2006-01-11,9.93,10.0,9.93,10.0,3470937.0,10.0,GOOG-H
2006-01-12,9.95,9.98,9.9,9.95,1187058.0,9.95,GOOG-H
