DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,7.33,7.33,7.07,7.19,84765.0,7.19,GOOG-H
2000-01-05,7.0,7.18,7.0,7.16,141647.0,7.16,GOOG-H
2000-01-06,7.23,7.27,7.0,7.0,116178.0,7.0,GOOG-H
2000-01-07,7.01,7.02,6.8,6.85,161321.0,6.85,GOOG-H
2000-01-10,7.0,7.33,7.0,7.33,182175.0,7.33,GOOG-H
2000-01-11,7.33,7.33,7.23,7.32,290301.0,7.32,GOOG-H
2000-01-12,7.17,7.4,7.17,7.4,107240.0,7.4,GOOG-H
2000-01-13,7.37,7.47,7.3,7.37,188634.0,7.37,GOOG-H
2000-01-14,7.33,7.5,7.33,7.49,183734.0,7.49,GOOG-H
2000-01-17,7.48,7.72,7.47,7.57,457636.0,7.57,GOOG-H
2000-01-18,7.57,7.57,7.43,7.55,171503.0,7.55,GOOG-H
2000-01-19,7.53,7.57,7.42,7.57,121860.0,7.57,GOOG-H
2000-01-20,7.53,7.73,7.53,7.72,646813.0,7.72,GOOG-H
2000-01-21,7.58,7.68,7.58,7.58,135772.0,7.58,GOOG-H
2000-01-24,7.53,7.59,7.52,7.53,71102.0,7.53,GOOG-H
2000-01-25,7.53,7.53,7.47,7.52,346370.0,7.52,GOOG-H
2000-01-27,7.53,7.8,7.53,7.73,309969.0,7.73,GOOG-H
2000-01-28,7.72,7.72,7.67,7.67,93477.0,7.67,GOOG-H
2000-01-31,7.66,7.73,7.55,7.7,259524.0,7.7,GOOG-H
2000-02-01,7.7,7.77,7.7,7.73,175850.0,7.73,GOOG-H
2000-02-02,7.78,7.78,7.63,7.75,72787.0,7.75,GOOG-H
2000-02-03,7.67,7.8,7.67,7.76,123328.0,7.76,GOOG-H
2000-02-04,7.76,7.85,7.73,7.77,158254.0,7.77,GOOG-H
2000-02-07,7.73,7.82,7.73,7.78,120167.0,7.78,GOOG-H
2000-02-08,7.74,7.75,7.53,7.57,165089.0,7.57,GOOG-H
2000-02-09,7.53,7.67,7.53,7.62,155186.0,7.62,GOOG-H
2000-02-10,7.62,7.68,7.58,7.67,799329.0,7.67,GOOG-H
2000-02-11,7.67,7.67,7.38,7.43,335324.0,7.43,GOOG-H
2000-02-14,7.41,7.41,7.36,7.38,156625.0,7.38,GOOG-H
2000-02-15,7.35,7.37,7.3,7.37,476962.0,7.37,GOOG-H
2000-02-16,7.43,7.43,7.19,7.25,206313.0,7.25,GOOG-H
2000-02-17,7.17,7.17,7.0,7.03,254721.0,7.03,GOOG-H
2000-02-18,7.03,7.03,6.83,6.9,224227.0,6.9,GOOG-H
2000-02-21,6.67,6.95,6.67,6.92,106899.0,6.92,GOOG-H
2000-02-22,6.91,6.92,6.87,6.9,194123.0,6.9,GOOG-H
2000-02-23,6.9,7.1,6.88,6.9,76322.0,6.9,GOOG-H
2000-02-24,6.9,7.12,6.9,7.05,327793.0,7.05,GOOG-H
2000-02-25,7.1,7.1,6.97,7.02,97138.0,7.02,GOOG-H
2000-02-28,6.9,7.08,6.9,7.07,191239.0,7.07,GOOG-H
