DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,-0.69,-0.7,-0.69,-0.69,982211.0,-0.69,GOOG-H
2000-01-05,-0.69,-0.7,-0.68,-0.69,1012247.0,-0.69,GOOG-H
2000-01-06,-0.69,-0.7,-0.69,-0.7,1486052.0,-0.7,GOOG-H
2000-01-07,-0.7,-0.71,-0.7,-0.71,547694.0,-0.71,GOOG-H
2000-01-10,-0.71,-0.72,-0.71,-0.72,1687790.0,-0.72,GOOG-H
2000-01-11,-0.73,-0.74,-0.72,-0.74,2754710.0,-0.74,GOOG-H
2000-01-12,-0.74,-0.74,-0.73,-0.73,3651782.0,-0.73,GOOG-H
2000-01-13,-0.73,-0.74,-0.73,-0.74,6156911.0,-0.74,GOOG-H
2000-01-14,-0.74,-0.77,-0.74,-0.76,4398004.0,-0.76,GOOG-H
2000-01-17,-0.75,-0.77,-0.75,-0.75,3138943.0,-0.75,GOOG-H
2000-01-18,-0.75,-0.75,-0.73,-0.73,1606513.0,-0.73,GOOG-H
2000-01-19,-0.73,-0.73,-0.72,-0.73,1581166.0,-0.73,GOOG-H
2000-01-20,-0.71,-0.73,-0.71,-0.72,1047434.0,-0.72,GOOG-H
2000-01-21,-0.71,-0.72,-0.71,-0.71,897878.0,-0.71,GOOG-H
2000-01-24,-0.71,-0.72,-0.71,-0.71,916987.0,-0.71,GOOG-H
2000-01-25,-0.71,-0.71,-0.7,-0.71,886173.0,-0.71,GOOG-H
2000-01-27,-0.71,-0.71,-0.7,-0.71,2132769.0,-0.71,GOOG-H
2000-01-28,-0.71,-0.71,-0.7,-0.7,1905797.0,-0.7,GOOG-H
2000-01-31,-0.69,-0.71,-0.69,-0.71,2331564.0,-0.71,GOOG-H
2000-02-01,-0.7,-0.7,-0.68,-0.68,817420.0,-0.68,GOOG-H
2000-02-02,-0.68,-0.69,-0.67,-0.67,1383790.0,-0.67,GOOG-H
2000-02-03,-0.67,-0.67,-0.64,-0.64,2973854.0,-0.64,GOOG-H
2000-02-04,-0.64,-0.66,-0.64,-0.65,2850260.0,-0.65,GOOG-H
2000-02-07,-0.65,-0.66,-0.64,-0.66,3304478.0,-0.66,GOOG-H
2000-02-08,-0.66,-0.67,-0.65,-0.65,2463417.0,-0.65,GOOG-H
2000-02-09,-0.65,-0.66,-0.65,-0.66,4477231.0,-0.66,GOOG-H
2000-02-10,-0.66,-0.67,-0.66,-0.67,6190729.0,-0.67,GOOG-H
2000-02-11,-0.67,-0.67,-0.67,-0.67,2211759.0,-0.67,GOOG-H
2000-02-14,-0.67,-0.67,-0.66,-0.67,5452820.0,-0.67,GOOG-H
2000-02-15,-0.66,-0.67,-0.66,-0.67,4173463.0,-0.67,GOOG-H
2000-02-16,-0.68,-0.68,-0.67,-0.68,10101016.0,-0.68,GOOG-H
2000-02-17,-0.68,-0.69,-0.68,-0.68,3359423.0,-0.68,GOOG-H
2000-02-18,-0.68,-0.69,-0.67,-0.67,1208501.0,-0.67,GOOG-H
2000-02-21,-0.66,-0.69,-0.66,-0.69,1192188.0,-0.69,GOOG-H
2000-02-22,-0.69,-0.72,-0.69,-0.69,1977406.0,-0.69,GOOG-H
2000-02-23,-0.7,-0.72,-0.7,-0.7,2100073.0,-0.7,GOOG-H
2000-02-24,-0.7,-0.7,-0.68,-0.69,1608911.0,-0.69,GOOG-H
2000-02-25,-0.69,-0.7,-0.68,-0.69,2961455.0,-0.69,GOOG-H
2000-02-28,-0.69,-0.69,-0.67,-0.67,1256306.0,-0.67,GOOG-H
2000-02-29,-0.67,-0.68,-0.66,-0.67,1625104.0,-0.67,GOOG-H
2000-03-01,-0.67,-0.68,-0.66,-0.67,1318849.0,-0.67,GOOG-H
2000-03-02,-0.67,-0.68,-0.66,-0.67,1583085.0,-0.67,GOOG-H
2000-03-03,-0.67,-0.67,-0.66,-0.66,2523349.0,-0.66,GOOG-H
2000-03-06,-0.66,-0.67,-0.65,-0.65,1350384.0,-0.65,GOOG-H
2000-03-07,-0.65,-0.66,-0.65,-0.65,1816993.0,-0.65,GOOG-H
2000-03-08,-0.65,-0.65,-0.65,-0.65,1164239.0,-0.65,GOOG-H
2000-03-09,-0.65,-0.66,-0.65,-0.65,1333262.0,-0.65,GOOG-H
2000-03-10,-0.65,-0.66,-0.65,-0.65,623142.0,-0.65,GOOG-H
2000-03-13,-0.65,-0.67,-0.65,-0.67,820052.0,-0.67,GOOG-H
2000-03-14,-0.66,-0.67,-0.65,-0.65,1482217.0,-0.65,GOOG-H
2000-03-15,-0.65,-0.66,-0.65,-0.66,1897769.0,-0.66,GOOG-H
2000-03-16,-0.66,-0.69,-0.66,-0.69,3492671.0,-0.69,GOOG-H
2000-03-17,-0.7,-0.71,-0.69,-0.69,5383479.0,-0.69,GOOG-H
2000-03-20,-0.7,-0.71,-0.7,-0.71,2082040.0,-0.71,GOOG-H
2000-03-21,-0.7,-0.71,-0.68,-0.68,3061425.0,-0.68,GOOG-H
2000-03-22,-0.69,-0.69,-0.67,-0.68,2590415.0,-0.68,GOOG-H
2000-03-23,-0.68,-0.68,-0.67,-0.68,3109589.0,-0.68,GOOG-H
2000-03-24,-0.68,-0.68,-0.67,-0.67,1960127.0,-0.67,GOOG-H
2000-03-27,-0.67,-0.68,-0.67,-0.68,5576646.0,-0.68,GOOG-H
2000-03-28,-0.68,-0.68,-0.66,-0.66,2140598.0,-0.66,GOOG-H
2000-03-29,-0.67,-0.67,-0.66,-0.66,1905950.0,-0.66,GOOG-H
2000-03-30,-0.66,-0.66,-0.65,-0.66,6232875.0,-0.66,GOOG-H
2000-03-31,-0.66,-0.67,-0.65,-0.65,5405889.0,-0.65,GOOG-H
