DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2016-02-04,3.92,4.09,3.86,4.0,65633933.0,4.0,GOOG-H
2016-02-05,4.0,4.21,3.99,4.16,16897086.0,4.16,GOOG-H
2016-02-08,4.08,4.16,3.98,4.04,11950842.0,4.04,GOOG-H
2016-02-09,3.96,4.03,3.91,4.0,16509753.0,4.0,GOOG-H
2016-02-10,3.9,3.99,3.73,3.91,11369260.0,3.91,GOOG-H
2016-02-11,3.8,3.86,3.8,3.8,18686000.0,3.8,GOOG-H
2016-02-12,3.6,3.73,3.5,3.68,16952410.0,3.68,GOOG-H
2016-02-15,3.71,3.81,3.66,3.68,8322510.0,3.68,GOOG-H
2016-02-16,3.66,3.8,3.65,3.76,8198160.0,3.76,GOOG-H
2016-02-17,3.71,3.75,3.7,3.74,10264559.0,3.74,GOOG-H
2016-02-18,3.7,3.74,3.7,3.72,14720077.0,3.72,GOOG-H
2016-02-19,3.7,3.72,3.69,3.71,8585781.0,3.71,GOOG-H
2016-02-22,3.6,3.66,3.56,3.61,11851670.0,3.61,GOOG-H
2016-02-23,3.53,3.64,3.53,3.61,6545219.0,3.61,GOOG-H
2016-02-24,3.55,3.61,3.55,3.58,4844733.0,3.58,GOOG-H
2016-02-25,3.58,3.65,3.58,3.64,5574531.0,3.64,GOOG-H
2016-02-26,3.61,3.66,3.61,3.64,8575731.0,3.64,GOOG-H
2016-02-29,3.68,3.69,3.62,3.63,5453943.0,3.63,GOOG-H
2016-03-01,3.6,3.67,3.6,3.66,3942980.0,3.66,GOOG-H
2016-03-02,3.65,3.77,3.65,3.76,5338826.0,3.76,GOOG-H
2016-03-03,3.8,3.84,3.76,3.82,8064958.0,3.82,GOOG-H
2016-03-04,3.8,3.98,3.8,3.92,4966095.0,3.92,GOOG-H
2016-03-07,3.9,4.02,3.89,4.0,9591896.0,4.0,GOOG-H
2016-03-08,3.95,3.98,3.81,3.84,9203922.0,3.84,GOOG-H
