DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2017-11-16,3.8,3.98,3.69,3.69,8998338,3.69,GOOG-H
2017-11-17,3.78,3.79,3.67,3.68,3032252,3.68,GOOG-H
2017-11-20,3.7,3.7,3.53,3.54,1724906,3.54,GOOG-H
2017-11-21,3.56,3.6,3.38,3.42,2114133,3.42,GOOG-H
2017-11-22,3.44,3.62,3.41,3.57,4290768,3.57,GOOG-H
2017-11-23,3.5,3.57,3.47,3.5,2158341,3.5,GOOG-H
2017-11-24,3.53,3.55,3.47,3.52,1241434,3.52,GOOG-H
2017-11-27,3.52,3.52,3.44,3.44,1047062,3.44,GOOG-H
2017-11-28,3.45,3.49,3.4,3.45,3514066,3.45,GOOG-H
2017-11-29,3.46,3.48,3.38,3.41,2410354,3.41,GOOG-H
2017-11-30,3.41,3.48,3.34,3.48,1993662,3.48,GOOG-H
2017-12-01,3.47,3.49,3.41,3.47,723133,3.47,GOOG-H
2017-12-04,3.48,3.48,3.41,3.43,559949,3.43,GOOG-H
2017-12-05,3.47,3.48,3.4,3.41,15133080,3.41,GOOG-H
2017-12-06,3.4,3.46,3.39,3.39,1419541,3.39,GOOG-H
2017-12-07,3.39,3.41,3.36,3.38,1867750,3.38,GOOG-H
2017-12-08,3.38,3.53,3.37,3.53,1588984,3.53,GOOG-H
2017-12-11,3.55,3.61,3.52,3.55,2507608,3.55,GOOG-H
2017-12-12,3.54,3.55,3.49,3.49,1545211,3.49,GOOG-H
2017-12-13,3.5,3.5,3.45,3.49,3168490,3.49,GOOG-H
2017-12-14,3.49,3.55,3.45,3.52,1057405,3.52,GOOG-H
2017-12-15,3.55,3.63,3.45,3.55,2009291,3.55,GOOG-H
2017-12-18,3.6,3.7,3.57,3.58,1177543,3.58,GOOG-H
2017-12-19,3.62,3.64,3.55,3.56,1016141,3.56,GOOG-H
2017-12-20,3.58,3.58,3.49,3.51,1286387,3.51,GOOG-H
2017-12-21,3.47,3.54,3.45,3.49,940174,3.49,GOOG-H
2017-12-22,3.48,3.53,3.46,3.46,720941,3.46,GOOG-H
2017-12-27,3.47,3.5,3.39,3.39,600654,3.39,GOOG-H
2017-12-28,3.39,3.44,3.37,3.42,477432,3.42,GOOG-H
2017-12-29,3.43,3.49,3.4,3.43,568516,3.43,GOOG-H
2018-01-02,3.44,3.49,3.43,3.47,323175,3.47,GOOG-H
2018-01-03,3.44,3.49,3.43,3.44,308637,3.44,GOOG-H
2018-01-04,3.48,3.49,3.44,3.46,994774,3.46,GOOG-H
2018-01-05,3.46,3.49,3.43,3.45,572750,3.45,GOOG-H
2018-01-08,3.46,3.48,3.44,3.46,852323,3.46,GOOG-H
2018-01-09,3.44,3.47,3.39,3.41,1103868,3.41,GOOG-H
2018-01-10,3.4,3.41,3.33,3.35,1405587,3.35,GOOG-H
2018-01-11,3.34,3.35,3.26,3.27,1072714,3.27,GOOG-H
2018-01-12,3.27,3.28,3.19,3.22,2536377,3.22,GOOG-H
2018-01-15,3.26,3.31,3.22,3.28,717152,3.28,GOOG-H
2018-01-16,3.26,3.33,3.26,3.32,1039678,3.32,GOOG-H
2018-01-17,3.3,3.33,3.27,3.31,1300217,3.31,GOOG-H
2018-01-18,3.31,3.35,3.3,3.3,704222,3.3,GOOG-H
2018-01-19,3.29,3.33,3.28,3.32,1275396,3.32,GOOG-H
2018-01-22,3.17,3.19,2.73,2.75,12844962,2.75,GOOG-H
2018-01-23,2.95,3.06,2.91,3.0,11221980,3.0,GOOG-H
2018-01-24,3.06,3.13,3.04,3.11,3759408,3.11,GOOG-H
2018-01-25,3.13,3.18,3.11,3.15,2243765,3.15,GOOG-H
2018-01-29,3.16,3.17,3.14,3.17,1044788,3.17,GOOG-H
2018-01-30,3.17,3.21,3.16,3.19,1088028,3.19,GOOG-H
2018-01-31,3.18,3.19,3.12,3.16,624792,3.16,GOOG-H
2018-02-01,3.17,3.21,3.16,3.2,747858,3.2,GOOG-H
2018-02-02,3.18,3.2,3.15,3.18,483429,3.18,GOOG-H
2018-02-05,3.12,3.15,3.09,3.11,948937,3.11,GOOG-H
2018-02-06,3.06,3.07,3.0,3.01,1122353,3.01,GOOG-H
2018-02-07,3.08,3.09,3.01,3.03,4628882,3.03,GOOG-H
2018-02-08,3.03,3.06,3.01,3.02,1150375,3.02,GOOG-H
2018-02-09,3.0,3.01,2.95,2.98,866044,2.98,GOOG-H
2018-02-12,2.98,3.0,2.95,2.95,755452,2.95,GOOG-H
2018-02-13,2.98,2.98,2.9,2.9,954681,2.9,GOOG-H
