DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2010-07-12,2.5,2.78,2.5,2.54,48934204.0,2.54,GOOG-H
2010-07-13,2.59,2.64,2.58,2.62,31314368.0,2.62,GOOG-H
2010-07-14,2.59,2.6,2.53,2.55,11912210.0,2.55,GOOG-H
2010-07-15,2.53,2.56,2.51,2.52,9523777.0,2.52,GOOG-H
2010-07-16,2.52,2.57,2.52,2.56,4211569.0,2.56,GOOG-H
2010-07-19,2.51,2.6,2.5,2.57,3987225.0,2.57,GOOG-H
2010-07-20,2.53,2.59,2.53,2.59,6637255.0,2.59,GOOG-H
2010-07-21,2.56,2.56,2.51,2.52,11316425.0,2.52,GOOG-H
2010-07-22,2.5,2.5,2.44,2.45,11891740.0,2.45,GOOG-H
2010-07-23,2.41,2.45,2.41,2.43,14045528.0,2.43,GOOG-H
2010-07-26,2.43,2.47,2.42,2.44,5760116.0,2.44,GOOG-H
2010-07-27,2.45,2.47,2.43,2.43,6119656.0,2.43,GOOG-H
2010-07-28,2.41,2.5,2.41,2.48,2746274.0,2.48,GOOG-H
2010-07-29,2.5,2.54,2.49,2.5,5667601.0,2.5,GOOG-H
2010-07-30,2.46,2.5,2.46,2.48,2313579.0,2.48,GOOG-H
2010-08-02,2.48,2.51,2.48,2.51,1681846.0,2.51,GOOG-H
2010-08-03,2.5,2.53,2.49,2.53,2543703.0,2.53,GOOG-H
2010-08-04,2.5,2.59,2.5,2.52,11895140.0,2.52,GOOG-H
2010-08-05,2.52,2.64,2.5,2.6,4833533.0,2.6,GOOG-H
2010-08-06,2.57,2.66,2.56,2.63,3709668.0,2.63,GOOG-H
2010-08-09,2.6,2.7,2.6,2.68,1697142.0,2.68,GOOG-H
2010-08-10,2.62,2.66,2.57,2.57,4764536.0,2.57,GOOG-H
2010-08-11,2.54,2.61,2.54,2.59,2455168.0,2.59,GOOG-H
2010-08-12,2.56,2.59,2.53,2.57,1491186.0,2.57,GOOG-H
2010-08-13,2.56,2.58,2.52,2.57,2061235.0,2.57,GOOG-H
2010-08-16,2.51,2.6,2.51,2.57,1634233.0,2.57,GOOG-H
2010-08-17,2.57,2.63,2.57,2.62,5612122.0,2.62,GOOG-H
2010-08-18,2.6,2.62,2.51,2.56,2744079.0,2.56,GOOG-H
2010-08-19,2.57,2.6,2.55,2.56,2931958.0,2.56,GOOG-H
2010-08-20,2.52,2.54,2.5,2.5,3282865.0,2.5,GOOG-H
2010-08-23,2.5,2.59,2.5,2.58,3168716.0,2.58,GOOG-H
2010-08-24,2.56,2.58,2.53,2.54,1083820.0,2.54,GOOG-H
2010-08-25,2.52,2.57,2.5,2.54,2339843.0,2.54,GOOG-H
2010-08-26,2.53,2.55,2.51,2.55,1391764.0,2.55,GOOG-H
2010-08-27,2.51,2.6,2.51,2.6,908986.0,2.6,GOOG-H
2010-08-30,2.62,2.69,2.57,2.69,1351023.0,2.69,GOOG-H
2010-08-31,2.64,2.68,2.6,2.6,2077662.0,2.6,GOOG-H
2010-09-01,2.58,2.65,2.56,2.61,1311932.0,2.61,GOOG-H
2010-09-02,2.59,2.67,2.59,2.64,1165501.0,2.64,GOOG-H
2010-09-03,2.64,2.65,2.61,2.62,801044.0,2.62,GOOG-H
2010-09-06,2.67,2.83,2.65,2.74,1315512.0,2.74,GOOG-H
2010-09-07,2.72,2.72,2.66,2.69,825318.0,2.69,GOOG-H
2010-09-08,2.63,2.68,2.61,2.66,1056914.0,2.66,GOOG-H
2010-09-09,2.66,2.72,2.66,2.69,1557015.0,2.69,GOOG-H
2010-09-10,2.68,2.73,2.67,2.67,1687461.0,2.67,GOOG-H
2010-09-13,2.74,2.75,2.66,2.7,2224014.0,2.7,GOOG-H
2010-09-14,2.67,2.73,2.66,2.68,1232348.0,2.68,GOOG-H
2010-09-15,2.66,2.72,2.66,2.69,1449709.0,2.69,GOOG-H
2010-09-16,2.7,2.7,2.66,2.67,1401710.0,2.67,GOOG-H
2010-09-17,2.65,2.69,2.65,2.68,698477.0,2.68,GOOG-H
2010-09-20,2.67,2.69,2.65,2.67,413983.0,2.67,GOOG-H
2010-09-21,2.7,2.7,2.64,2.65,685650.0,2.65,GOOG-H
2010-09-22,2.65,2.67,2.64,2.65,587274.0,2.65,GOOG-H
2010-09-23,2.62,2.67,2.62,2.65,372355.0,2.65,GOOG-H
2010-09-24,2.61,2.67,2.6,2.65,599714.0,2.65,GOOG-H
2010-09-27,2.72,2.73,2.66,2.73,1380026.0,2.73,GOOG-H
2010-09-28,2.69,2.77,2.68,2.74,1092589.0,2.74,GOOG-H
2010-09-29,2.74,2.82,2.73,2.78,1019889.0,2.78,GOOG-H
2010-09-30,2.78,2.78,2.73,2.73,1849591.0,2.73,GOOG-H
2010-10-01,2.77,2.77,2.66,2.69,678181.0,2.69,GOOG-H
2010-10-04,2.69,2.72,2.65,2.65,549840.0,2.65,GOOG-H
2010-10-05,2.63,2.68,2.6,2.67,890737.0,2.67,GOOG-H
2010-10-06,2.67,2.69,2.63,2.69,1645228.0,2.69,GOOG-H
2010-10-07,2.66,2.79,2.65,2.72,2043123.0,2.72,GOOG-H
2010-10-08,2.72,2.8,2.7,2.76,1186647.0,2.76,GOOG-H
2010-10-11,2.8,2.8,2.69,2.7,846079.0,2.7,GOOG-H
2010-10-12,2.66,2.68,2.61,2.65,1992178.0,2.65,GOOG-H
2010-10-13,2.65,2.68,2.61,2.65,928421.0,2.65,GOOG-H
2010-10-14,2.68,2.71,2.67,2.69,1430691.0,2.69,GOOG-H
2010-10-15,2.68,2.69,2.64,2.66,1007687.0,2.66,GOOG-H
2010-10-18,2.65,2.71,2.63,2.65,1017651.0,2.65,GOOG-H
2010-10-19,2.66,2.7,2.65,2.69,915343.0,2.69,GOOG-H
2010-10-20,2.69,2.7,2.64,2.69,434714.0,2.69,GOOG-H
2010-10-21,2.7,2.73,2.67,2.72,1554016.0,2.72,GOOG-H
2010-10-22,2.71,2.77,2.69,2.69,2177737.0,2.69,GOOG-H
2010-10-25,2.69,2.76,2.69,2.75,991854.0,2.75,GOOG-H
2010-10-26,2.74,2.75,2.71,2.75,1018810.0,2.75,GOOG-H
2010-10-27,2.72,2.76,2.72,2.75,891295.0,2.75,GOOG-H
2010-10-28,2.73,2.73,2.68,2.7,1672188.0,2.7,GOOG-H
2010-10-29,2.73,2.73,2.68,2.7,1132795.0,2.7,GOOG-H
2010-11-01,2.69,2.72,2.65,2.69,1554280.0,2.69,GOOG-H
2010-11-02,2.66,2.7,2.66,2.68,658125.0,2.68,GOOG-H
2010-11-03,2.67,2.69,2.66,2.68,697569.0,2.68,GOOG-H
2010-11-04,2.68,2.69,2.66,2.68,630341.0,2.68,GOOG-H
2010-11-05,2.67,2.7,2.65,2.7,1408480.0,2.7,GOOG-H
2010-11-08,2.71,2.77,2.69,2.7,1879755.0,2.7,GOOG-H
2010-11-09,2.74,2.74,2.68,2.69,728956.0,2.69,GOOG-H
2010-11-10,2.69,2.71,2.68,2.69,657893.0,2.69,GOOG-H
2010-11-11,2.7,2.75,2.69,2.74,1147127.0,2.74,GOOG-H
2010-11-12,2.74,2.75,2.7,2.72,1034060.0,2.72,GOOG-H
2010-11-15,2.69,2.71,2.65,2.69,737455.0,2.69,GOOG-H
2010-11-16,2.72,2.76,2.69,2.76,2050651.0,2.76,GOOG-H
2010-11-17,2.7,2.72,2.69,2.7,1680601.0,2.7,GOOG-H
2010-11-18,2.69,2.77,2.69,2.73,2102426.0,2.73,GOOG-H
2010-11-19,2.75,2.75,2.7,2.7,1775056.0,2.7,GOOG-H
2010-11-22,2.75,2.76,2.71,2.76,750866.0,2.76,GOOG-H
2010-11-23,2.71,2.76,2.71,2.76,2130667.0,2.76,GOOG-H
2010-11-24,2.7,2.71,2.66,2.7,1167086.0,2.7,GOOG-H
2010-11-25,2.7,2.73,2.68,2.68,523469.0,2.68,GOOG-H
2010-11-26,2.67,2.72,2.65,2.72,1134746.0,2.72,GOOG-H
2010-11-29,2.71,2.74,2.68,2.72,823692.0,2.72,GOOG-H
2010-11-30,2.68,2.72,2.66,2.66,1356228.0,2.66,GOOG-H
2010-12-01,2.66,2.72,2.66,2.7,805706.0,2.7,GOOG-H
2010-12-02,2.7,2.73,2.68,2.7,892499.0,2.7,GOOG-H
2010-12-03,2.7,2.71,2.67,2.68,501681.0,2.68,GOOG-H
2010-12-06,2.67,2.71,2.66,2.68,771909.0,2.68,GOOG-H
2010-12-07,2.67,2.7,2.67,2.69,831198.0,2.69,GOOG-H
2010-12-08,2.67,2.7,2.67,2.69,579185.0,2.69,GOOG-H
2010-12-09,2.69,2.7,2.67,2.69,1408158.0,2.69,GOOG-H
2010-12-10,2.69,2.72,2.69,2.71,7025832.0,2.71,GOOG-H
2010-12-13,2.7,2.75,2.7,2.75,1300855.0,2.75,GOOG-H
2010-12-14,2.71,2.76,2.71,2.75,693736.0,2.75,GOOG-H
2010-12-15,2.75,2.79,2.74,2.75,1636541.0,2.75,GOOG-H
2010-12-16,2.74,2.78,2.74,2.76,1870037.0,2.76,GOOG-H
2010-12-17,2.78,2.8,2.75,2.79,1370455.0,2.79,GOOG-H
2010-12-20,2.71,2.81,2.71,2.73,1046655.0,2.73,GOOG-H
2010-12-21,2.73,2.79,2.73,2.74,530066.0,2.74,GOOG-H
2010-12-22,2.74,2.77,2.73,2.76,439732.0,2.76,GOOG-H
2010-12-23,2.76,2.82,2.76,2.79,471006.0,2.79,GOOG-H
2010-12-24,2.79,2.8,2.76,2.77,135919.0,2.77,GOOG-H
2010-12-29,2.77,2.8,2.77,2.77,332715.0,2.77,GOOG-H
2010-12-30,2.79,2.79,2.75,2.76,331856.0,2.76,GOOG-H
2010-12-31,2.75,2.78,2.74,2.75,244230.0,2.75,GOOG-H
2011-01-04,2.73,2.77,2.73,2.75,384829.0,2.75,GOOG-H
2011-01-05,2.72,2.75,2.72,2.72,622418.0,2.72,GOOG-H
2011-01-06,2.73,2.76,2.73,2.75,328619.0,2.75,GOOG-H
2011-01-07,2.75,2.77,2.71,2.72,1029912.0,2.72,GOOG-H
2011-01-10,2.72,2.78,2.71,2.77,567274.0,2.77,GOOG-H
2011-01-11,2.73,2.78,2.72,2.74,859342.0,2.74,GOOG-H
2011-01-12,2.72,2.77,2.7,2.76,782231.0,2.76,GOOG-H
2011-01-13,2.77,2.84,2.77,2.84,1938788.0,2.84,GOOG-H
2011-01-14,2.8,2.83,2.75,2.76,2721641.0,2.76,GOOG-H
2011-01-17,2.76,2.79,2.75,2.75,1335539.0,2.75,GOOG-H
2011-01-18,2.74,2.78,2.74,2.75,579727.0,2.75,GOOG-H
2011-01-19,2.75,2.8,2.75,2.79,1145371.0,2.79,GOOG-H
2011-01-20,2.78,2.78,2.71,2.72,918090.0,2.72,GOOG-H
2011-01-21,2.75,2.8,2.73,2.77,1087941.0,2.77,GOOG-H
2011-01-24,2.77,2.81,2.76,2.78,849319.0,2.78,GOOG-H
2011-01-25,2.76,2.8,2.76,2.76,699823.0,2.76,GOOG-H
2011-01-27,2.79,2.79,2.73,2.74,855029.0,2.74,GOOG-H
2011-01-28,2.74,2.75,2.72,2.73,912285.0,2.73,GOOG-H
2011-01-31,2.71,2.72,2.68,2.69,764776.0,2.69,GOOG-H
2011-02-01,2.68,2.71,2.67,2.68,1047952.0,2.68,GOOG-H
2011-02-02,2.7,2.73,2.67,2.73,1862175.0,2.73,GOOG-H
2011-02-03,2.7,2.71,2.68,2.7,1451918.0,2.7,GOOG-H
2011-02-04,2.69,2.71,2.68,2.71,1250676.0,2.71,GOOG-H
2011-02-07,2.69,2.72,2.68,2.69,605592.0,2.69,GOOG-H
2011-02-08,2.68,2.74,2.68,2.74,1276593.0,2.74,GOOG-H
2011-02-09,2.74,2.79,2.73,2.79,2864783.0,2.79,GOOG-H
2011-02-10,2.75,2.78,2.75,2.77,1041064.0,2.77,GOOG-H
2011-02-11,2.77,2.79,2.76,2.77,559560.0,2.77,GOOG-H
2011-02-14,2.79,2.79,2.77,2.79,477102.0,2.79,GOOG-H
2011-02-15,2.77,2.78,2.77,2.77,957167.0,2.77,GOOG-H
2011-02-16,2.77,2.79,2.77,2.78,537858.0,2.78,GOOG-H
2011-02-17,2.8,2.8,2.77,2.78,1754535.0,2.78,GOOG-H
2011-02-18,2.77,2.8,2.77,2.79,1103297.0,2.79,GOOG-H
2011-02-21,2.79,2.8,2.78,2.8,441372.0,2.8,GOOG-H
2011-02-22,2.85,2.85,2.78,2.78,574527.0,2.78,GOOG-H
2011-02-23,2.77,2.82,2.77,2.79,508731.0,2.79,GOOG-H
