DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2005-05-16,2.24,2.29,2.19,2.22,5566801.0,2.22,GOOG-H
2005-05-17,2.24,2.26,2.11,2.11,1520697.0,2.11,GOOG-H
2005-05-18,2.15,2.16,2.13,2.15,534914.0,2.15,GOOG-H
2005-05-19,2.16,2.17,2.12,2.12,636715.0,2.12,GOOG-H
2005-05-20,2.12,2.13,2.02,2.05,289611.0,2.05,GOOG-H
2005-05-23,2.08,2.12,2.08,2.1,249940.0,2.1,GOOG-H
2005-05-24,2.12,2.12,2.09,2.09,78202.0,2.09,GOOG-H
2005-05-25,2.09,2.12,2.09,2.12,279846.0,2.12,GOOG-H
2005-05-26,2.15,2.15,2.12,2.12,82375.0,2.12,GOOG-H
2005-05-27,2.13,2.15,2.11,2.11,893210.0,2.11,GOOG-H
2005-05-30,2.11,2.17,2.11,2.13,179445.0,2.13,GOOG-H
2005-05-31,2.13,2.18,2.13,2.18,211373.0,2.18,GOOG-H
2005-06-01,2.15,2.18,2.15,2.18,56735.0,2.18,GOOG-H
2005-06-02,2.17,2.18,2.15,2.15,62502.0,2.15,GOOG-H
2005-06-03,2.16,2.16,2.13,2.13,2032771.0,2.13,GOOG-H
2005-06-06,2.16,2.16,2.15,2.15,35810.0,2.15,GOOG-H
2005-06-07,2.15,2.15,2.13,2.13,192805.0,2.13,GOOG-H
2005-06-08,2.15,2.15,2.13,2.13,15528.0,2.13,GOOG-H
2005-06-09,2.15,2.16,2.15,2.16,333235.0,2.16,GOOG-H
2005-06-10,2.16,2.19,2.16,2.18,325085.0,2.18,GOOG-H
2005-06-14,2.18,2.22,2.18,2.19,343626.0,2.19,GOOG-H
2005-06-15,2.19,2.22,2.19,2.19,381362.0,2.19,GOOG-H
2005-06-16,2.2,2.21,2.2,2.2,205454.0,2.2,GOOG-H
2005-06-17,2.21,2.21,2.2,2.2,179188.0,2.2,GOOG-H
2005-06-20,2.2,2.22,2.2,2.22,131695.0,2.22,GOOG-H
2005-06-21,2.29,2.34,2.27,2.33,554072.0,2.33,GOOG-H
2005-06-22,2.34,2.39,2.34,2.36,433989.0,2.36,GOOG-H
2005-06-23,2.36,2.36,2.32,2.32,57618.0,2.32,GOOG-H
2005-06-24,2.32,2.36,2.31,2.36,261353.0,2.36,GOOG-H
2005-06-27,2.35,2.35,2.33,2.33,26000.0,2.33,GOOG-H
2005-06-28,2.32,2.34,2.29,2.34,75437.0,2.34,GOOG-H
2005-06-29,2.36,2.36,2.32,2.34,27333.0,2.34,GOOG-H
2005-06-30,2.31,2.31,2.3,2.31,19785.0,2.31,GOOG-H
2005-07-01,2.3,2.31,2.29,2.31,60428.0,2.31,GOOG-H
2005-07-04,2.3,2.34,2.3,2.34,103894.0,2.34,GOOG-H
2005-07-05,2.36,2.38,2.34,2.38,212814.0,2.38,GOOG-H
2005-07-06,2.39,2.51,2.39,2.46,631368.0,2.46,GOOG-H
2005-07-07,2.45,2.51,2.45,2.51,120905.0,2.51,GOOG-H
2005-07-08,2.5,2.5,2.46,2.49,72500.0,2.49,GOOG-H
2005-07-11,2.5,2.54,2.5,2.53,275237.0,2.53,GOOG-H
2005-07-12,2.56,2.58,2.54,2.57,690160.0,2.57,GOOG-H
2005-07-13,2.58,2.59,2.56,2.56,446838.0,2.56,GOOG-H
2005-07-14,2.57,2.57,2.54,2.54,139462.0,2.54,GOOG-H
2005-07-15,2.54,2.55,2.51,2.51,147505.0,2.51,GOOG-H
2005-07-18,2.55,2.59,2.53,2.56,127037.0,2.56,GOOG-H
2005-07-19,2.59,2.62,2.59,2.59,131786.0,2.59,GOOG-H
2005-07-20,2.59,2.68,2.59,2.65,159084.0,2.65,GOOG-H
2005-07-21,2.63,2.78,2.63,2.73,169218.0,2.73,GOOG-H
2005-07-22,2.73,2.78,2.71,2.77,301056.0,2.77,GOOG-H
2005-07-25,2.76,2.76,2.73,2.73,88122.0,2.73,GOOG-H
2005-07-26,2.73,2.75,2.73,2.74,72835.0,2.74,GOOG-H
2005-07-27,2.73,2.77,2.73,2.73,60996.0,2.73,GOOG-H
2005-07-28,2.75,2.81,2.75,2.8,78444.0,2.8,GOOG-H
2005-07-29,2.79,2.79,2.77,2.79,30358.0,2.79,GOOG-H
2005-08-01,2.8,2.83,2.78,2.78,102900.0,2.78,GOOG-H
2005-08-02,2.81,2.83,2.78,2.83,70398.0,2.83,GOOG-H
2005-08-03,2.86,2.86,2.82,2.83,20275.0,2.83,GOOG-H
2005-08-04,2.84,2.93,2.83,2.88,996513.0,2.88,GOOG-H
2005-08-05,2.88,2.99,2.87,2.99,99318.0,2.99,GOOG-H
2005-08-08,3.01,3.03,2.91,2.93,102896.0,2.93,GOOG-H
2005-08-09,2.93,2.93,2.83,2.83,58118.0,2.83,GOOG-H
2005-08-10,2.81,2.81,2.74,2.77,78024.0,2.77,GOOG-H
2005-08-11,2.76,2.93,2.76,2.83,124240.0,2.83,GOOG-H
2005-08-12,2.83,2.86,2.83,2.83,81145.0,2.83,GOOG-H
2005-08-15,2.87,2.87,2.84,2.86,8773.0,2.86,GOOG-H
2005-08-16,2.87,2.87,2.83,2.85,230049.0,2.85,GOOG-H
2005-08-17,2.83,2.83,2.76,2.78,45509.0,2.78,GOOG-H
2005-08-18,2.81,2.81,2.79,2.8,15771.0,2.8,GOOG-H
2005-08-19,2.79,2.82,2.78,2.79,39711.0,2.79,GOOG-H
2005-08-22,2.83,3.07,2.83,3.02,1030819.0,3.02,GOOG-H
2005-08-23,3.02,3.02,2.93,3.01,562290.0,3.01,GOOG-H
2005-08-24,3.01,3.01,2.93,2.95,18460.0,2.95,GOOG-H
2005-08-25,2.95,2.98,2.93,2.93,54500.0,2.93,GOOG-H
2005-08-26,2.98,2.98,2.93,2.95,275730.0,2.95,GOOG-H
2005-08-29,2.99,3.02,2.93,2.93,233097.0,2.93,GOOG-H
2005-08-30,2.93,2.99,2.93,2.99,84469.0,2.99,GOOG-H
2005-08-31,2.99,2.99,2.95,2.98,9000.0,2.98,GOOG-H
2005-09-01,2.98,2.99,2.97,2.97,11675.0,2.97,GOOG-H
2005-09-02,2.98,3.02,2.96,2.96,12806.0,2.96,GOOG-H
2005-09-05,2.98,2.98,2.95,2.95,27343.0,2.95,GOOG-H
2005-09-06,2.95,2.95,2.91,2.93,15597.0,2.93,GOOG-H
2005-09-07,2.92,2.93,2.91,2.91,38728.0,2.91,GOOG-H
2005-09-08,2.91,2.91,2.78,2.78,88195.0,2.78,GOOG-H
2005-09-09,2.86,2.86,2.82,2.83,39944.0,2.83,GOOG-H
2005-09-12,2.86,2.87,2.86,2.87,13070.0,2.87,GOOG-H
2005-09-13,2.87,2.88,2.86,2.88,15180.0,2.88,GOOG-H
2005-09-14,2.88,2.96,2.88,2.96,50805.0,2.96,GOOG-H
2005-09-15,2.96,2.96,2.96,2.96,2240.0,2.96,GOOG-H
2005-09-16,2.96,2.98,2.96,2.98,94012.0,2.98,GOOG-H
2005-09-19,2.98,3.03,2.98,3.03,87701.0,3.03,GOOG-H
2005-09-20,3.04,3.05,2.99,3.05,18680.0,3.05,GOOG-H
2005-09-21,3.02,3.07,3.02,3.07,25655.0,3.07,GOOG-H
2005-09-22,3.07,3.08,3.03,3.08,40994.0,3.08,GOOG-H
2005-09-23,3.11,3.11,3.07,3.1,322487.0,3.1,GOOG-H
2005-09-26,3.11,3.11,3.07,3.07,11371.0,3.07,GOOG-H
2005-09-27,3.07,3.07,3.02,3.02,125357.0,3.02,GOOG-H
2005-09-28,3.02,3.04,3.02,3.03,17805.0,3.03,GOOG-H
2005-09-29,3.02,3.02,3.02,3.02,25105.0,3.02,GOOG-H
2005-09-30,3.02,3.03,3.02,3.02,3600.0,3.02,GOOG-H
2005-10-03,3.02,3.02,2.95,2.95,19584.0,2.95,GOOG-H
2005-10-04,2.95,2.99,2.94,2.99,22569.0,2.99,GOOG-H
2005-10-05,2.93,2.93,2.88,2.91,90325.0,2.91,GOOG-H
2005-10-06,2.91,2.98,2.9,2.98,46491.0,2.98,GOOG-H
2005-10-07,2.93,2.95,2.93,2.94,39090.0,2.94,GOOG-H
2005-10-10,2.93,2.95,2.93,2.93,223630.0,2.93,GOOG-H
2005-10-11,2.95,2.98,2.93,2.93,240650.0,2.93,GOOG-H
2005-10-12,2.95,2.95,2.93,2.95,556700.0,2.95,GOOG-H
2005-10-13,2.92,2.92,2.86,2.91,19895.0,2.91,GOOG-H
2005-10-14,2.88,2.95,2.88,2.88,33200.0,2.88,GOOG-H
2005-10-17,2.95,2.95,2.88,2.93,3758.0,2.93,GOOG-H
2005-10-18,2.93,2.93,2.93,2.93,212182.0,2.93,GOOG-H
2005-10-19,2.95,2.97,2.95,2.95,14751.0,2.95,GOOG-H
2005-10-20,2.95,2.98,2.95,2.98,29010.0,2.98,GOOG-H
2005-10-21,2.98,2.98,2.88,2.9,31735.0,2.9,GOOG-H
2005-10-24,2.9,2.99,2.9,2.93,12072.0,2.93,GOOG-H
2005-10-25,2.95,2.95,2.85,2.88,13900.0,2.88,GOOG-H
2005-10-26,2.88,2.88,2.83,2.85,29000.0,2.85,GOOG-H
2005-10-27,2.85,2.85,2.85,2.85,16600.0,2.85,GOOG-H
2005-10-28,2.87,2.9,2.87,2.89,21830.0,2.89,GOOG-H
2005-10-31,2.9,2.91,2.88,2.88,15158.0,2.88,GOOG-H
2005-11-01,2.88,2.88,2.88,2.88,5000.0,2.88,GOOG-H
