DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2015-04-22,2.7,2.82,2.65,2.78,22956653.0,2.78,GOOG-H
2015-04-23,2.78,2.89,2.76,2.8,2631354.0,2.8,GOOG-H
2015-04-24,2.8,2.82,2.77,2.82,936486.0,2.82,GOOG-H
2015-04-27,2.8,2.83,2.79,2.8,393555.0,2.8,GOOG-H
2015-04-28,2.8,2.8,2.75,2.76,1039040.0,2.76,GOOG-H
2015-04-29,2.76,2.77,2.72,2.75,1381473.0,2.75,GOOG-H
2015-04-30,2.74,2.75,2.72,2.74,408742.0,2.74,GOOG-H
2015-05-01,2.74,2.75,2.7,2.73,370347.0,2.73,GOOG-H
2015-05-04,2.73,2.73,2.7,2.73,930289.0,2.73,GOOG-H
2015-05-06,2.72,2.75,2.72,2.73,378174.0,2.73,GOOG-H
2015-05-07,2.7,2.75,2.66,2.7,676362.0,2.7,GOOG-H
2015-05-08,2.74,2.74,2.7,2.71,163173.0,2.71,GOOG-H
2015-05-11,2.68,2.69,2.6,2.66,504791.0,2.66,GOOG-H
2015-05-12,2.65,2.72,2.64,2.7,387623.0,2.7,GOOG-H
2015-05-13,2.67,2.69,2.67,2.68,75417.0,2.68,GOOG-H
2015-05-14,2.67,2.7,2.64,2.7,1228969.0,2.7,GOOG-H
2015-05-15,2.7,2.74,2.7,2.72,238821.0,2.72,GOOG-H
2015-05-18,2.74,2.8,2.73,2.8,461421.0,2.8,GOOG-H
2015-05-19,2.8,2.9,2.76,2.9,350019.0,2.9,GOOG-H
2015-05-20,2.9,2.93,2.85,2.89,1160515.0,2.89,GOOG-H
2015-05-21,2.87,3.12,2.87,3.01,501418.0,3.01,GOOG-H
2015-05-22,2.96,3.09,2.96,3.04,172881.0,3.04,GOOG-H
2015-05-25,3.07,3.2,3.06,3.17,302778.0,3.17,GOOG-H
2015-05-26,3.16,3.28,3.12,3.19,1724534.0,3.19,GOOG-H
2015-05-27,3.15,3.15,3.12,3.14,218343.0,3.14,GOOG-H
2015-05-28,3.14,3.14,3.05,3.12,235193.0,3.12,GOOG-H
2015-05-29,3.1,3.12,3.05,3.05,207806.0,3.05,GOOG-H
2015-06-01,3.19,3.19,3.06,3.14,126320.0,3.14,GOOG-H
2015-06-02,3.11,3.13,3.08,3.08,145214.0,3.08,GOOG-H
2015-06-03,3.08,3.1,3.05,3.09,274254.0,3.09,GOOG-H
2015-06-04,3.08,3.1,3.02,3.1,306773.0,3.1,GOOG-H
2015-06-05,3.1,3.1,3.06,3.1,106759.0,3.1,GOOG-H
2015-06-09,3.11,3.2,3.1,3.15,226376.0,3.15,GOOG-H
2015-06-10,3.15,3.15,3.07,3.11,312249.0,3.11,GOOG-H
2015-06-11,3.11,3.25,3.11,3.16,521199.0,3.16,GOOG-H
2015-06-12,3.17,3.2,3.16,3.19,446005.0,3.19,GOOG-H
2015-06-15,3.23,3.23,3.15,3.18,178927.0,3.18,GOOG-H
2015-06-16,3.18,3.18,3.13,3.16,42722.0,3.16,GOOG-H
2015-06-17,3.16,3.16,3.11,3.11,24698.0,3.11,GOOG-H
2015-06-18,3.1,3.1,3.03,3.05,202840.0,3.05,GOOG-H
2015-06-19,3.04,3.04,3.0,3.01,126835.0,3.01,GOOG-H
2015-06-22,3.01,3.01,2.97,2.97,240554.0,2.97,GOOG-H
2015-06-23,2.95,2.95,2.84,2.89,1353854.0,2.89,GOOG-H
2015-06-24,2.9,2.9,2.85,2.9,458643.0,2.9,GOOG-H
2015-06-25,2.89,2.89,2.84,2.85,548561.0,2.85,GOOG-H
2015-06-26,2.86,2.86,2.84,2.85,138555.0,2.85,GOOG-H
2015-06-29,2.85,2.86,2.81,2.86,204397.0,2.86,GOOG-H
2015-06-30,2.83,2.86,2.83,2.86,520832.0,2.86,GOOG-H
2015-07-01,2.91,2.91,2.86,2.88,250734.0,2.88,GOOG-H
2015-07-02,2.92,2.99,2.89,2.9,271684.0,2.9,GOOG-H
2015-07-03,2.9,2.98,2.9,2.97,161246.0,2.97,GOOG-H
2015-07-06,2.94,2.96,2.92,2.96,25886.0,2.96,GOOG-H
2015-07-07,2.99,3.0,2.97,3.0,104952.0,3.0,GOOG-H
2015-07-08,2.97,3.0,2.93,2.95,98483.0,2.95,GOOG-H
2015-07-09,2.93,3.05,2.92,2.95,42719.0,2.95,GOOG-H
2015-07-10,2.95,2.96,2.93,2.96,157215.0,2.96,GOOG-H
2015-07-13,2.97,2.99,2.94,2.96,39561.0,2.96,GOOG-H
2015-07-14,3.01,3.05,2.95,3.0,104417.0,3.0,GOOG-H
2015-07-15,3.0,3.03,2.96,3.01,94669.0,3.01,GOOG-H
2015-07-16,3.03,3.05,2.97,3.0,86738.0,3.0,GOOG-H
2015-07-17,3.0,3.15,2.97,3.09,155359.0,3.09,GOOG-H
2015-07-20,3.1,3.12,3.03,3.08,253027.0,3.08,GOOG-H
2015-07-21,3.07,3.1,3.03,3.08,166064.0,3.08,GOOG-H
2015-07-22,3.07,3.19,3.07,3.19,112316.0,3.19,GOOG-H
2015-07-23,3.19,3.19,3.08,3.13,98981.0,3.13,GOOG-H
2015-07-24,3.15,3.16,3.14,3.15,145875.0,3.15,GOOG-H
2015-07-27,3.14,3.17,3.1,3.13,148855.0,3.13,GOOG-H
2015-07-28,3.11,3.15,3.11,3.15,46207.0,3.15,GOOG-H
2015-07-29,3.15,3.16,3.07,3.15,499567.0,3.15,GOOG-H
2015-07-30,3.15,3.16,3.14,3.15,128389.0,3.15,GOOG-H
2015-07-31,3.15,3.16,3.13,3.13,272139.0,3.13,GOOG-H
2015-08-03,3.16,3.16,3.14,3.15,64644.0,3.15,GOOG-H
2015-08-04,3.15,3.17,3.14,3.15,429913.0,3.15,GOOG-H
2015-08-05,3.15,3.17,3.14,3.15,269718.0,3.15,GOOG-H
2015-08-06,3.15,3.17,3.14,3.15,681780.0,3.15,GOOG-H
2015-08-07,3.15,3.16,3.07,3.14,104894.0,3.14,GOOG-H
2015-08-10,3.15,3.15,3.05,3.14,33483.0,3.14,GOOG-H
2015-08-11,3.14,3.14,3.06,3.12,683039.0,3.12,GOOG-H
2015-08-12,3.12,3.14,3.05,3.1,535280.0,3.1,GOOG-H
2015-08-13,3.14,3.14,3.05,3.14,48044.0,3.14,GOOG-H
2015-08-14,3.13,3.17,3.11,3.15,142029.0,3.15,GOOG-H
2015-08-17,3.15,3.24,3.13,3.15,297686.0,3.15,GOOG-H
2015-08-18,3.19,3.21,3.14,3.17,250415.0,3.17,GOOG-H
2015-08-19,3.2,3.23,3.12,3.2,186843.0,3.2,GOOG-H
2015-08-20,3.2,3.22,3.16,3.19,604618.0,3.19,GOOG-H
2015-08-21,3.19,3.19,3.08,3.1,190973.0,3.1,GOOG-H
2015-08-24,3.0,3.1,2.97,3.0,479888.0,3.0,GOOG-H
2015-08-25,2.9,3.09,2.86,3.09,930062.0,3.09,GOOG-H
2015-08-26,3.1,3.17,2.98,2.98,76470.0,2.98,GOOG-H
2015-08-27,3.1,3.1,3.03,3.08,168770.0,3.08,GOOG-H
2015-08-28,3.09,3.09,3.03,3.06,66767.0,3.06,GOOG-H
2015-08-31,3.06,3.15,2.91,3.15,115252.0,3.15,GOOG-H
2015-09-01,3.12,3.15,3.05,3.11,115722.0,3.11,GOOG-H
2015-09-02,3.08,3.17,3.05,3.15,243422.0,3.15,GOOG-H
2015-09-03,3.05,3.17,3.0,3.15,103013.0,3.15,GOOG-H
2015-09-04,3.13,3.13,2.98,3.05,288587.0,3.05,GOOG-H
2015-09-07,3.05,3.1,3.0,3.06,28919.0,3.06,GOOG-H
2015-09-08,3.06,3.1,3.02,3.07,30404.0,3.07,GOOG-H
2015-09-09,3.1,3.14,3.06,3.14,135647.0,3.14,GOOG-H
2015-09-10,3.11,3.11,2.98,3.09,182062.0,3.09,GOOG-H
2015-09-11,3.05,3.09,2.98,3.05,130679.0,3.05,GOOG-H
2015-09-14,3.06,3.1,3.05,3.07,182223.0,3.07,GOOG-H
2015-09-15,3.04,3.1,3.03,3.06,197905.0,3.06,GOOG-H
2015-09-16,3.06,3.08,3.02,3.06,343187.0,3.06,GOOG-H
2015-09-17,3.07,3.07,2.99,3.07,112173.0,3.07,GOOG-H
2015-09-18,2.99,3.05,2.93,3.02,2021698.0,3.02,GOOG-H
2015-09-21,3.05,3.05,2.97,2.98,80886.0,2.98,GOOG-H
2015-09-22,2.98,3.0,2.96,3.0,59064.0,3.0,GOOG-H
2015-09-23,2.99,3.02,2.98,3.0,80473.0,3.0,GOOG-H
2015-09-24,3.0,3.03,2.97,2.98,331666.0,2.98,GOOG-H
2015-09-25,2.98,2.99,2.89,2.99,151956.0,2.99,GOOG-H
2015-09-28,2.99,3.0,2.92,2.97,240762.0,2.97,GOOG-H
2015-09-29,2.97,2.97,2.89,2.94,47742.0,2.94,GOOG-H
