DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-12-05,4.71,4.72,4.46,4.48,16960688.0,4.48,GOOG-H
2014-12-08,4.35,4.65,4.3,4.65,2719099.0,4.65,GOOG-H
2014-12-09,4.65,4.69,4.5,4.52,1747324.0,4.52,GOOG-H
2014-12-10,4.51,4.51,4.3,4.4,1679702.0,4.4,GOOG-H
2014-12-11,4.43,4.45,4.31,4.4,1511972.0,4.4,GOOG-H
2014-12-12,4.41,4.42,4.33,4.36,279170.0,4.36,GOOG-H
2014-12-15,4.33,4.41,4.3,4.37,442535.0,4.37,GOOG-H
2014-12-16,4.35,4.37,4.3,4.3,451640.0,4.3,GOOG-H
2014-12-17,4.32,4.32,4.17,4.21,1055095.0,4.21,GOOG-H
2014-12-18,4.19,4.43,4.19,4.43,975863.0,4.43,GOOG-H
2014-12-19,4.42,4.55,4.39,4.55,543448.0,4.55,GOOG-H
2014-12-22,4.54,4.55,4.45,4.54,421782.0,4.54,GOOG-H
2014-12-23,4.53,4.54,4.52,4.52,267428.0,4.52,GOOG-H
2014-12-24,4.54,4.55,4.49,4.51,244862.0,4.51,GOOG-H
2014-12-29,4.54,4.54,4.52,4.54,60148.0,4.54,GOOG-H
2014-12-30,4.53,4.53,4.5,4.5,55245.0,4.5,GOOG-H
2014-12-31,4.51,4.53,4.47,4.48,288674.0,4.48,GOOG-H
2015-01-02,4.48,4.53,4.45,4.47,33681.0,4.47,GOOG-H
2015-01-05,4.46,4.47,4.4,4.46,127005.0,4.46,GOOG-H
2015-01-06,4.46,4.48,4.41,4.48,115173.0,4.48,GOOG-H
2015-01-07,4.48,4.53,4.41,4.53,91066.0,4.53,GOOG-H
2015-01-08,4.45,4.64,4.45,4.64,195440.0,4.64,GOOG-H
2015-01-09,4.58,4.64,4.58,4.64,139325.0,4.64,GOOG-H
2015-01-12,4.62,4.63,4.59,4.63,341833.0,4.63,GOOG-H
2015-01-13,4.63,4.64,4.58,4.63,197259.0,4.63,GOOG-H
2015-01-14,4.63,4.63,4.61,4.61,377951.0,4.61,GOOG-H
2015-01-15,4.61,4.63,4.56,4.59,547195.0,4.59,GOOG-H
2015-01-16,4.58,4.59,4.54,4.56,476152.0,4.56,GOOG-H
2015-01-19,4.62,4.63,4.51,4.54,559049.0,4.54,GOOG-H
2015-01-20,4.54,4.54,4.44,4.46,1091605.0,4.46,GOOG-H
2015-01-21,4.47,4.52,4.4,4.45,1091993.0,4.45,GOOG-H
2015-01-22,4.49,4.49,4.21,4.26,1351299.0,4.26,GOOG-H
2015-01-23,4.26,4.3,4.02,4.26,789044.0,4.26,GOOG-H
2015-01-27,4.26,4.35,4.2,4.24,437662.0,4.24,GOOG-H
2015-01-28,4.57,4.63,4.49,4.59,2799803.0,4.59,GOOG-H
2015-01-29,4.59,4.87,4.54,4.81,1312433.0,4.81,GOOG-H
2015-01-30,4.81,4.81,4.71,4.73,695856.0,4.73,GOOG-H
2015-02-02,4.72,4.73,4.63,4.63,310725.0,4.63,GOOG-H
2015-02-03,4.72,4.78,4.63,4.69,387018.0,4.69,GOOG-H
2015-02-04,4.71,4.78,4.69,4.74,1501544.0,4.74,GOOG-H
2015-02-05,4.77,4.84,4.75,4.81,1143275.0,4.81,GOOG-H
2015-02-06,4.82,4.84,4.76,4.81,1089688.0,4.81,GOOG-H
