DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2002-08-20,2.23,2.23,2.12,2.12,13692.0,2.12,GOOG-H
2002-08-21,2.23,2.23,2.12,2.12,29096.0,2.12,GOOG-H
2002-08-23,2.23,2.34,2.23,2.34,46211.0,2.34,GOOG-H
2002-08-26,2.34,2.34,2.34,2.34,3423.0,2.34,GOOG-H
2002-08-27,2.29,2.46,2.29,2.34,314926.0,2.34,GOOG-H
2002-08-28,2.46,2.46,2.34,2.34,581928.0,2.34,GOOG-H
2002-08-29,2.46,2.46,2.46,2.46,102693.0,2.46,GOOG-H
2002-08-30,2.46,2.57,2.46,2.57,188271.0,2.57,GOOG-H
2002-09-03,2.51,2.51,2.51,2.51,17115.0,2.51,GOOG-H
2002-09-04,2.51,2.51,2.51,2.51,9584.0,2.51,GOOG-H
2002-09-05,2.46,2.46,2.46,2.46,95847.0,2.46,GOOG-H
2002-09-06,2.46,2.57,2.46,2.46,85851.0,2.46,GOOG-H
2002-09-11,2.68,2.68,2.68,2.68,3902.0,2.68,GOOG-H
2002-09-13,2.68,2.68,2.68,2.68,6366.0,2.68,GOOG-H
2002-09-16,2.79,2.79,2.74,2.74,17115.0,2.74,GOOG-H
2002-09-17,2.79,2.85,2.79,2.85,27384.0,2.85,GOOG-H
2002-09-18,2.9,2.96,2.9,2.96,29438.0,2.96,GOOG-H
2002-09-19,2.96,2.96,2.57,2.9,54687.0,2.9,GOOG-H
2002-09-20,2.9,2.9,2.9,2.9,109539.0,2.9,GOOG-H
2002-09-27,2.57,2.57,2.57,2.57,10269.0,2.57,GOOG-H
2002-10-01,2.57,2.79,2.57,2.68,57207.0,2.68,GOOG-H
2002-10-08,2.62,2.62,2.51,2.51,15883.0,2.51,GOOG-H
2002-10-09,2.51,2.51,2.46,2.46,222502.0,2.46,GOOG-H
2002-10-10,2.34,2.34,2.29,2.29,21017.0,2.29,GOOG-H
2002-10-14,2.46,2.57,2.46,2.57,82154.0,2.57,GOOG-H
2002-10-15,2.4,2.4,2.34,2.34,89000.0,2.34,GOOG-H
2002-10-16,2.34,2.34,2.34,2.34,301.0,2.34,GOOG-H
2002-10-17,2.4,2.51,2.4,2.51,67059.0,2.51,GOOG-H
2002-10-18,2.4,2.4,2.4,2.4,89849.0,2.4,GOOG-H
2002-10-21,2.4,2.4,2.4,2.4,553.0,2.4,GOOG-H
2002-10-24,2.46,2.46,2.46,2.46,13458.0,2.46,GOOG-H
2002-10-25,2.46,2.57,2.46,2.57,23277.0,2.57,GOOG-H
2002-10-29,2.4,2.4,2.34,2.34,17972.0,2.34,GOOG-H
2002-10-30,2.23,2.23,2.23,2.23,3765.0,2.23,GOOG-H
2002-10-31,2.23,2.34,2.23,2.23,29609.0,2.23,GOOG-H
2002-11-01,2.34,2.34,2.34,2.34,10269.0,2.34,GOOG-H
2002-11-05,2.29,2.29,2.29,2.29,6846.0,2.29,GOOG-H
2002-11-06,2.23,2.23,2.23,2.23,17115.0,2.23,GOOG-H
2002-11-07,2.29,2.34,2.29,2.29,45418.0,2.29,GOOG-H
2002-11-08,2.46,2.46,2.46,2.46,95847.0,2.46,GOOG-H
2002-11-12,2.51,2.51,2.51,2.51,2053.0,2.51,GOOG-H
2002-11-13,2.51,2.51,2.51,2.51,4792.0,2.51,GOOG-H
2002-11-18,2.51,2.51,2.51,2.51,2841.0,2.51,GOOG-H
2002-11-19,2.46,2.46,2.46,2.46,6846.0,2.46,GOOG-H
2002-11-20,2.34,2.34,2.34,2.34,23961.0,2.34,GOOG-H
2002-11-22,2.23,2.23,2.23,2.23,17115.0,2.23,GOOG-H
2002-11-26,2.23,2.23,2.23,2.23,6846.0,2.23,GOOG-H
2002-11-27,2.12,2.12,2.12,2.12,6846.0,2.12,GOOG-H
2002-11-28,2.18,2.23,2.18,2.23,10851.0,2.23,GOOG-H
2002-12-05,2.23,2.23,2.18,2.18,68462.0,2.18,GOOG-H
2002-12-06,2.46,2.46,2.46,2.46,6846.0,2.46,GOOG-H
2002-12-09,2.51,2.51,2.51,2.51,6846.0,2.51,GOOG-H
2002-12-17,2.51,2.68,2.51,2.68,54769.0,2.68,GOOG-H
2002-12-19,2.79,2.79,2.68,2.79,20538.0,2.79,GOOG-H
2002-12-20,2.68,2.68,2.68,2.68,6846.0,2.68,GOOG-H
2002-12-27,2.9,2.9,2.9,2.9,26700.0,2.9,GOOG-H
2003-01-03,3.01,3.01,3.01,3.01,17115.0,3.01,GOOG-H
2003-01-06,3.13,3.35,3.13,3.35,143770.0,3.35,GOOG-H
2003-01-07,3.35,3.46,3.35,3.46,400503.0,3.46,GOOG-H
2003-01-08,3.35,3.35,3.35,3.35,17115.0,3.35,GOOG-H
2003-01-10,3.35,3.68,3.35,3.68,413908.0,3.68,GOOG-H
2003-01-13,3.68,3.68,3.68,3.68,44500.0,3.68,GOOG-H
2003-01-14,3.41,3.41,3.35,3.35,70721.0,3.35,GOOG-H
2003-01-17,3.68,3.68,3.68,3.68,23961.0,3.68,GOOG-H
2003-01-20,3.68,3.68,3.68,3.68,10953.0,3.68,GOOG-H
2003-01-21,3.46,3.46,3.46,3.46,5476.0,3.46,GOOG-H
2003-01-24,3.01,3.57,3.01,3.35,90044.0,3.35,GOOG-H
2003-01-28,3.68,3.91,3.68,3.74,199964.0,3.74,GOOG-H
2003-01-29,3.74,3.74,3.68,3.68,6106.0,3.68,GOOG-H
2003-01-30,3.68,3.68,3.68,3.68,2281.0,3.68,GOOG-H
2003-01-31,3.8,3.91,3.8,3.91,143255.0,3.91,GOOG-H
2003-02-03,3.91,3.91,3.91,3.91,1711.0,3.91,GOOG-H
2003-02-05,3.91,3.91,3.91,3.91,3423.0,3.91,GOOG-H
2003-02-07,3.57,3.91,3.57,3.91,7927.0,3.91,GOOG-H
2003-02-10,3.91,3.91,3.91,3.91,87343.0,3.91,GOOG-H
2003-02-11,3.91,3.91,3.8,3.8,6090.0,3.8,GOOG-H
2003-02-13,3.57,3.57,3.57,3.57,14377.0,3.57,GOOG-H
2003-02-14,3.35,3.35,3.35,3.35,8574.0,3.35,GOOG-H
2003-02-17,3.35,3.35,3.35,3.35,6503.0,3.35,GOOG-H
2003-02-18,3.35,3.35,3.24,3.24,22575.0,3.24,GOOG-H
2003-02-19,3.24,3.24,3.24,3.24,18508.0,3.24,GOOG-H
2003-02-20,3.35,3.35,3.35,3.35,15061.0,3.35,GOOG-H
2003-02-21,3.29,3.57,3.24,3.46,157480.0,3.46,GOOG-H
2003-02-24,3.57,3.57,3.57,3.57,27764.0,3.57,GOOG-H
2003-02-26,3.68,3.91,3.68,3.91,18789.0,3.91,GOOG-H
2003-02-27,3.91,4.02,3.91,3.91,60284.0,3.91,GOOG-H
2003-02-28,3.91,4.02,3.91,4.02,20538.0,4.02,GOOG-H
2003-03-03,4.02,4.47,4.02,4.47,74851.0,4.47,GOOG-H
2003-03-04,4.47,5.02,4.47,4.91,65039.0,4.91,GOOG-H
2003-03-05,4.8,4.8,4.47,4.47,22592.0,4.47,GOOG-H
2003-03-06,4.63,4.91,4.58,4.69,20812.0,4.69,GOOG-H
2003-03-07,4.69,5.02,4.69,5.02,91054.0,5.02,GOOG-H
2003-03-10,4.91,5.02,4.91,5.02,7873.0,5.02,GOOG-H
2003-03-11,4.91,4.91,4.8,4.8,39228.0,4.8,GOOG-H
2003-03-12,4.8,4.91,4.8,4.91,17047.0,4.91,GOOG-H
2003-03-13,4.86,4.86,4.58,4.58,15427.0,4.58,GOOG-H
2003-03-14,4.58,4.58,4.24,4.24,9636.0,4.24,GOOG-H
2003-03-19,4.41,4.47,4.41,4.47,855.0,4.47,GOOG-H
2003-03-20,4.41,4.41,4.41,4.41,4107.0,4.41,GOOG-H
2003-03-21,4.35,4.41,4.35,4.41,8215.0,4.41,GOOG-H
2003-03-24,4.24,4.24,4.24,4.24,2053.0,4.24,GOOG-H
2003-03-25,3.91,3.91,3.8,3.8,21907.0,3.8,GOOG-H
2003-03-26,3.8,3.8,3.8,3.8,6846.0,3.8,GOOG-H
2003-03-27,3.8,3.8,3.8,3.8,2875.0,3.8,GOOG-H
2003-04-01,4.24,4.24,4.24,4.24,3423.0,4.24,GOOG-H
2003-04-02,4.13,4.13,4.13,4.13,6846.0,4.13,GOOG-H
2003-04-03,4.02,4.02,3.57,3.57,75308.0,3.57,GOOG-H
2003-04-07,4.35,4.35,4.35,4.35,11980.0,4.35,GOOG-H
2003-04-08,3.8,3.8,3.57,3.68,5476.0,3.68,GOOG-H
2003-04-10,4.3,4.35,4.3,4.35,36353.0,4.35,GOOG-H
2003-04-11,4.58,4.58,4.58,4.58,890.0,4.58,GOOG-H
2003-04-15,4.47,4.47,4.47,4.47,890.0,4.47,GOOG-H
2003-04-24,4.41,4.41,4.13,4.13,7476.0,4.13,GOOG-H
2003-04-30,3.91,3.91,3.91,3.91,34231.0,3.91,GOOG-H
2003-05-01,3.96,3.96,3.91,3.91,41077.0,3.91,GOOG-H
2003-05-02,3.91,3.91,3.8,3.8,23331.0,3.8,GOOG-H
2003-05-05,3.91,3.91,3.57,3.57,74770.0,3.57,GOOG-H
2003-05-06,3.57,3.57,3.57,3.57,20880.0,3.57,GOOG-H
2003-05-07,3.91,4.58,3.91,4.47,308366.0,4.47,GOOG-H
2003-05-08,4.47,4.47,4.47,4.47,28069.0,4.47,GOOG-H
2003-05-09,4.35,4.41,4.35,4.35,38338.0,4.35,GOOG-H
2003-05-12,4.24,4.24,4.24,4.24,20082.0,4.24,GOOG-H
2003-05-13,4.47,4.47,4.47,4.47,34231.0,4.47,GOOG-H
2003-05-20,4.35,4.69,4.35,4.69,188837.0,4.69,GOOG-H
2003-05-21,4.69,4.69,4.47,4.69,50779.0,4.69,GOOG-H
2003-05-22,4.69,4.69,4.69,4.69,34231.0,4.69,GOOG-H
2003-05-23,4.69,4.69,4.58,4.58,67024.0,4.58,GOOG-H
2003-05-26,4.47,4.47,4.47,4.47,7869.0,4.47,GOOG-H
2003-05-27,4.58,4.58,4.58,4.58,3491.0,4.58,GOOG-H
2003-05-28,4.58,4.58,4.47,4.47,41077.0,4.47,GOOG-H
2003-06-02,4.47,4.58,4.35,4.58,703310.0,4.58,GOOG-H
2003-06-03,4.58,4.74,4.58,4.58,367299.0,4.58,GOOG-H
2003-06-04,4.69,5.02,4.69,5.02,34320.0,5.02,GOOG-H
2003-06-05,4.97,5.02,4.69,4.91,562245.0,4.91,GOOG-H
2003-06-06,4.91,4.91,4.91,4.91,137506.0,4.91,GOOG-H
2003-06-10,4.91,4.91,4.8,4.8,107074.0,4.8,GOOG-H
