DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,1.05,1.05,1.05,1.05,5000.0,1.05,GOOG-H
2000-01-05,1.05,1.05,1.05,1.05,33838.0,1.05,GOOG-H
2000-01-06,0.91,0.91,0.91,0.91,340.0,0.91,GOOG-H
2000-01-07,0.91,0.91,0.91,0.91,100000.0,0.91,GOOG-H
2000-01-10,1.0,1.01,1.0,1.01,175547.0,1.01,GOOG-H
2000-01-11,1.0,1.01,1.0,1.01,341950.0,1.01,GOOG-H
2000-01-12,1.01,1.01,1.01,1.01,39393.0,1.01,GOOG-H
2000-01-14,0.91,0.92,0.89,0.9,973481.0,0.9,GOOG-H
2000-01-17,0.89,0.91,0.89,0.91,79416.0,0.91,GOOG-H
2000-01-18,0.91,0.93,0.91,0.91,257740.0,0.91,GOOG-H
2000-01-19,0.9,0.9,0.9,0.9,678203.0,0.9,GOOG-H
2000-01-20,0.9,0.9,0.9,0.9,261314.0,0.9,GOOG-H
2000-01-21,0.86,0.89,0.86,0.89,11554.0,0.89,GOOG-H
2000-01-28,0.84,0.84,0.84,0.84,408.0,0.84,GOOG-H
2000-01-31,0.84,0.86,0.84,0.86,17500.0,0.86,GOOG-H
2000-02-01,0.84,0.84,0.84,0.84,10750.0,0.84,GOOG-H
2000-02-04,0.82,0.83,0.82,0.83,3500.0,0.83,GOOG-H
2000-02-08,0.82,0.82,0.82,0.82,2202.0,0.82,GOOG-H
2000-02-10,0.86,0.86,0.86,0.86,500.0,0.86,GOOG-H
2000-02-11,0.85,0.89,0.85,0.85,17890.0,0.85,GOOG-H
2000-02-14,0.86,0.86,0.86,0.86,1000.0,0.86,GOOG-H
2000-02-15,0.86,0.88,0.86,0.88,33202.0,0.88,GOOG-H
2000-02-16,0.93,0.96,0.93,0.93,524457.0,0.93,GOOG-H
2000-02-17,0.92,0.92,0.91,0.92,15147.0,0.92,GOOG-H
2000-02-18,0.91,0.91,0.88,0.88,22177.0,0.88,GOOG-H
2000-02-21,0.86,0.86,0.86,0.86,1700.0,0.86,GOOG-H
2000-02-22,0.86,0.87,0.86,0.86,23685.0,0.86,GOOG-H
2000-02-24,0.86,0.86,0.86,0.86,11202.0,0.86,GOOG-H
2000-02-25,0.95,0.95,0.89,0.89,64431.0,0.89,GOOG-H
2000-02-29,0.87,0.87,0.87,0.87,44676.0,0.87,GOOG-H
2000-03-01,0.87,0.87,0.87,0.87,23762.0,0.87,GOOG-H
2000-03-02,0.87,0.87,0.86,0.87,163840.0,0.87,GOOG-H
2000-03-03,0.87,0.87,0.87,0.87,142725.0,0.87,GOOG-H
2000-03-06,0.87,0.87,0.87,0.87,128300.0,0.87,GOOG-H
2000-03-08,0.77,0.83,0.77,0.83,210.0,0.83,GOOG-H
2000-03-09,0.81,0.81,0.8,0.8,146127.0,0.8,GOOG-H
2000-03-10,0.79,0.79,0.77,0.77,32977.0,0.77,GOOG-H
2000-03-13,0.77,0.77,0.77,0.77,95403.0,0.77,GOOG-H
2000-03-14,0.77,0.77,0.73,0.73,122861.0,0.73,GOOG-H
2000-03-15,0.73,0.73,0.73,0.73,170667.0,0.73,GOOG-H
2000-03-16,0.7,0.73,0.7,0.73,105401.0,0.73,GOOG-H
2000-03-17,0.73,0.73,0.73,0.73,147711.0,0.73,GOOG-H
2000-03-20,0.77,0.77,0.77,0.77,21000.0,0.77,GOOG-H
2000-03-21,0.77,0.82,0.77,0.78,264797.0,0.78,GOOG-H
2000-03-22,0.79,0.85,0.79,0.85,84126.0,0.85,GOOG-H
2000-03-23,0.85,0.85,0.85,0.85,142421.0,0.85,GOOG-H
2000-03-24,0.81,0.82,0.81,0.81,24670.0,0.81,GOOG-H
2000-03-27,0.81,0.81,0.81,0.81,4000.0,0.81,GOOG-H
2000-03-28,0.77,0.77,0.77,0.77,141281.0,0.77,GOOG-H
2000-03-29,0.79,0.81,0.79,0.81,185778.0,0.81,GOOG-H
2000-03-30,0.82,0.82,0.81,0.82,113386.0,0.82,GOOG-H
2000-03-31,0.81,0.85,0.77,0.84,390917.0,0.84,GOOG-H
2000-04-03,0.89,0.96,0.89,0.96,44275.0,0.96,GOOG-H
2000-04-04,0.96,0.96,0.96,0.96,105000.0,0.96,GOOG-H
2000-04-05,0.93,0.93,0.91,0.91,8697.0,0.91,GOOG-H
2000-04-06,0.92,0.93,0.92,0.93,5722.0,0.93,GOOG-H
2000-04-10,0.89,0.89,0.89,0.89,4836.0,0.89,GOOG-H
2000-04-11,0.85,0.88,0.85,0.88,6589.0,0.88,GOOG-H
2000-04-12,0.88,0.88,0.86,0.86,25280.0,0.86,GOOG-H
2000-04-14,0.79,0.79,0.79,0.79,1832.0,0.79,GOOG-H
2000-04-17,0.79,0.79,0.79,0.79,4168.0,0.79,GOOG-H
2000-04-18,0.81,0.81,0.78,0.78,17589.0,0.78,GOOG-H
2000-04-19,0.78,0.78,0.78,0.78,178969.0,0.78,GOOG-H
2000-04-20,0.79,0.79,0.79,0.79,1000.0,0.79,GOOG-H
2000-04-26,0.78,0.8,0.78,0.8,12492.0,0.8,GOOG-H
2000-04-27,0.8,0.8,0.77,0.79,6568.0,0.79,GOOG-H
2000-04-28,0.77,0.81,0.77,0.81,2050.0,0.81,GOOG-H
2000-05-02,0.77,0.77,0.77,0.77,179.0,0.77,GOOG-H
2000-05-03,0.78,0.78,0.77,0.77,3641.0,0.77,GOOG-H
2000-05-04,0.77,0.77,0.77,0.77,500.0,0.77,GOOG-H
2000-05-05,0.77,0.77,0.77,0.77,1827.0,0.77,GOOG-H
2000-05-09,0.77,0.77,0.77,0.77,3460.0,0.77,GOOG-H
2000-05-10,0.74,0.75,0.74,0.75,6805.0,0.75,GOOG-H
2000-05-11,0.74,0.74,0.74,0.74,309.0,0.74,GOOG-H
2000-05-12,0.79,0.79,0.79,0.79,2500.0,0.79,GOOG-H
2000-05-15,0.81,0.81,0.81,0.81,4600.0,0.81,GOOG-H
2000-05-17,0.78,0.78,0.78,0.78,229.0,0.78,GOOG-H
2000-05-19,0.77,0.77,0.74,0.77,5567.0,0.77,GOOG-H
2000-05-22,0.77,0.77,0.72,0.72,19390.0,0.72,GOOG-H
2000-05-23,0.77,0.77,0.77,0.77,5625.0,0.77,GOOG-H
2000-05-24,0.78,0.78,0.72,0.72,1800.0,0.72,GOOG-H
2000-05-26,0.77,0.77,0.77,0.77,612.0,0.77,GOOG-H
2000-05-29,0.8,0.82,0.8,0.82,4136.0,0.82,GOOG-H
2000-05-30,0.83,0.83,0.83,0.83,2806.0,0.83,GOOG-H
2000-05-31,0.84,0.85,0.84,0.85,13589.0,0.85,GOOG-H
2000-06-01,0.85,0.85,0.83,0.83,12354.0,0.83,GOOG-H
2000-06-02,0.79,0.79,0.79,0.79,769.0,0.79,GOOG-H
2000-06-06,0.81,0.81,0.81,0.81,2190.0,0.81,GOOG-H
2000-06-07,0.84,0.84,0.84,0.84,1000.0,0.84,GOOG-H
2000-06-08,0.84,0.84,0.84,0.84,1800.0,0.84,GOOG-H
2000-06-09,0.86,0.86,0.84,0.84,17587.0,0.84,GOOG-H
2000-06-13,0.82,0.82,0.79,0.79,5674.0,0.79,GOOG-H
2000-06-16,0.81,0.81,0.77,0.77,85123.0,0.77,GOOG-H
2000-06-22,0.78,0.78,0.78,0.78,4537.0,0.78,GOOG-H
2000-06-23,0.78,0.78,0.78,0.78,1225.0,0.78,GOOG-H
2000-06-26,0.79,0.81,0.79,0.81,7496.0,0.81,GOOG-H
2000-06-27,0.8,0.8,0.79,0.79,6314.0,0.79,GOOG-H
2000-06-28,0.8,0.81,0.8,0.81,143645.0,0.81,GOOG-H
2000-06-29,0.81,0.82,0.81,0.82,5399.0,0.82,GOOG-H
2000-06-30,0.83,0.83,0.83,0.83,13119.0,0.83,GOOG-H
2000-07-04,0.86,0.86,0.86,0.86,8500.0,0.86,GOOG-H
2000-07-05,0.86,0.86,0.86,0.86,8000.0,0.86,GOOG-H
2000-07-06,0.86,0.86,0.86,0.86,119918.0,0.86,GOOG-H
2000-07-07,0.86,0.86,0.86,0.86,96844.0,0.86,GOOG-H
2000-07-10,0.91,0.91,0.86,0.86,5450.0,0.86,GOOG-H
2000-07-12,0.91,0.91,0.91,0.91,1202.0,0.91,GOOG-H
2000-07-14,0.91,0.91,0.91,0.91,2949.0,0.91,GOOG-H
2000-07-17,0.91,0.91,0.91,0.91,7895.0,0.91,GOOG-H
2000-07-20,0.91,0.92,0.91,0.91,26639.0,0.91,GOOG-H
2000-07-21,0.92,0.93,0.92,0.93,17560.0,0.93,GOOG-H
2000-07-24,0.93,0.93,0.93,0.93,2725.0,0.93,GOOG-H
2000-07-25,0.91,0.91,0.91,0.91,291398.0,0.91,GOOG-H
2000-07-27,0.91,0.91,0.89,0.89,112005.0,0.89,GOOG-H
2000-07-28,0.89,0.89,0.89,0.89,10671.0,0.89,GOOG-H
2000-07-31,0.89,0.89,0.89,0.89,1196.0,0.89,GOOG-H
2000-08-01,0.89,0.89,0.89,0.89,1597.0,0.89,GOOG-H
2000-08-04,0.81,0.81,0.81,0.81,121.0,0.81,GOOG-H
2000-08-08,0.8,0.8,0.77,0.79,2452.0,0.79,GOOG-H
2000-08-09,0.82,0.82,0.82,0.82,250.0,0.82,GOOG-H
2000-08-11,0.84,0.84,0.84,0.84,10.0,0.84,GOOG-H
2000-08-14,0.85,0.86,0.85,0.86,17740.0,0.86,GOOG-H
2000-08-15,0.83,0.83,0.83,0.83,10600.0,0.83,GOOG-H
2000-08-16,0.81,0.81,0.81,0.81,20000.0,0.81,GOOG-H
2000-08-17,0.8,0.81,0.8,0.81,11692.0,0.81,GOOG-H
2000-08-18,0.8,0.8,0.79,0.79,3908.0,0.79,GOOG-H
2000-08-21,0.79,0.81,0.79,0.81,11650.0,0.81,GOOG-H
2000-08-22,0.81,0.81,0.81,0.81,5000.0,0.81,GOOG-H
2000-08-23,0.77,0.77,0.77,0.77,27.0,0.77,GOOG-H
2000-08-24,0.78,0.78,0.78,0.78,1017.0,0.78,GOOG-H
2000-08-28,0.81,0.84,0.81,0.84,5288.0,0.84,GOOG-H
2000-08-29,0.79,0.79,0.79,0.79,286.0,0.79,GOOG-H
2000-09-01,0.81,0.81,0.81,0.81,11500.0,0.81,GOOG-H
2000-09-05,0.83,0.83,0.83,0.83,30781.0,0.83,GOOG-H
2000-09-06,0.83,0.83,0.83,0.83,2303.0,0.83,GOOG-H
2000-09-07,0.81,0.81,0.81,0.81,303.0,0.81,GOOG-H
2000-09-08,0.83,0.84,0.83,0.84,15000.0,0.84,GOOG-H
2000-09-11,0.86,0.86,0.86,0.86,8400.0,0.86,GOOG-H
2000-09-13,0.81,0.81,0.81,0.81,1885.0,0.81,GOOG-H
2000-09-19,0.85,0.85,0.85,0.85,459.0,0.85,GOOG-H
2000-09-21,0.9,0.9,0.9,0.9,5536.0,0.9,GOOG-H
2000-09-22,0.89,0.9,0.89,0.9,3292.0,0.9,GOOG-H
2000-09-25,0.85,0.85,0.85,0.85,1000.0,0.85,GOOG-H
2000-09-26,0.85,0.86,0.85,0.86,333584.0,0.86,GOOG-H
2000-10-03,0.85,0.85,0.85,0.85,775.0,0.85,GOOG-H
2000-10-05,0.81,0.81,0.79,0.79,30000.0,0.79,GOOG-H
2000-10-09,0.78,0.78,0.78,0.78,370.0,0.78,GOOG-H
2000-10-10,0.78,0.78,0.78,0.78,2630.0,0.78,GOOG-H
2000-10-12,0.69,0.69,0.65,0.65,10878.0,0.65,GOOG-H
2000-10-13,0.65,0.65,0.65,0.65,598.0,0.65,GOOG-H
2000-10-16,0.68,0.72,0.68,0.69,6360.0,0.69,GOOG-H
2000-10-17,0.69,0.69,0.68,0.68,23513.0,0.68,GOOG-H
2000-10-18,0.68,0.68,0.68,0.68,1914.0,0.68,GOOG-H
2000-10-20,0.68,0.68,0.68,0.68,5394.0,0.68,GOOG-H
2000-10-23,0.67,0.72,0.67,0.67,35606.0,0.67,GOOG-H
2000-10-24,0.69,0.69,0.65,0.65,20500.0,0.65,GOOG-H
2000-10-30,0.68,0.68,0.68,0.68,2500.0,0.68,GOOG-H
2000-11-02,0.65,0.65,0.65,0.65,1536.0,0.65,GOOG-H
2000-11-06,0.65,0.65,0.65,0.65,3235.0,0.65,GOOG-H
2000-11-10,0.72,0.74,0.72,0.74,20000.0,0.74,GOOG-H
2000-11-13,1.48,1.48,1.48,1.48,2000.0,1.48,GOOG-H
2000-11-14,1.44,1.44,1.44,1.44,12.0,1.44,GOOG-H
2000-11-16,1.48,1.48,1.48,1.48,30000.0,1.48,GOOG-H
2000-11-17,1.44,1.44,1.44,1.44,1638.0,1.44,GOOG-H
2000-11-20,1.46,1.46,1.46,1.46,412.0,1.46,GOOG-H
2000-11-21,1.32,1.32,1.32,1.32,2308.0,1.32,GOOG-H
2000-11-22,1.34,1.34,1.34,1.34,3885.0,1.34,GOOG-H
2000-11-23,1.32,1.32,1.32,1.32,304.0,1.32,GOOG-H
2000-11-24,1.32,1.34,1.32,1.34,5813.0,1.34,GOOG-H
2000-11-28,1.37,1.37,1.37,1.37,1875.0,1.37,GOOG-H
2000-11-29,1.37,1.37,1.34,1.34,1250.0,1.34,GOOG-H
2000-11-30,1.34,1.34,1.3,1.3,6429.0,1.3,GOOG-H
2000-12-01,1.3,1.32,1.3,1.31,13773.0,1.31,GOOG-H
2000-12-05,1.34,1.34,1.34,1.34,10815.0,1.34,GOOG-H
2000-12-07,1.34,1.34,1.34,1.34,286.0,1.34,GOOG-H
2000-12-08,1.37,1.37,1.37,1.37,6650.0,1.37,GOOG-H
2000-12-11,1.44,1.44,1.44,1.44,8436.0,1.44,GOOG-H
2000-12-13,1.39,1.39,1.39,1.39,250.0,1.39,GOOG-H
2000-12-14,1.35,1.4,1.35,1.4,1251.0,1.4,GOOG-H
2000-12-19,1.44,1.44,1.44,1.44,301.0,1.44,GOOG-H
2000-12-20,1.43,1.44,1.43,1.44,4150.0,1.44,GOOG-H
2000-12-22,1.63,1.63,1.44,1.44,5450.0,1.44,GOOG-H
2000-12-29,1.44,1.44,1.44,1.44,8000.0,1.44,GOOG-H
2001-01-02,1.44,1.44,1.44,1.44,250.0,1.44,GOOG-H
2001-01-04,1.53,1.53,1.53,1.53,1800.0,1.53,GOOG-H
2001-01-08,1.54,1.54,1.54,1.54,1000.0,1.54,GOOG-H
2001-01-09,1.48,1.55,1.48,1.55,6600.0,1.55,GOOG-H
2001-01-10,1.48,1.48,1.48,1.48,1034.0,1.48,GOOG-H
2001-01-11,1.58,1.63,1.58,1.63,4029.0,1.63,GOOG-H
2001-01-15,1.67,1.67,1.67,1.67,9850.0,1.67,GOOG-H
2001-01-16,1.67,1.67,1.67,1.67,2827.0,1.67,GOOG-H
2001-01-18,1.72,1.72,1.72,1.72,500.0,1.72,GOOG-H
2001-01-22,1.72,1.72,1.72,1.72,26230.0,1.72,GOOG-H
2001-01-23,1.74,1.74,1.74,1.74,5769.0,1.74,GOOG-H
2001-01-25,1.72,1.72,1.72,1.72,341.0,1.72,GOOG-H
2001-01-29,1.7,1.7,1.7,1.7,7000.0,1.7,GOOG-H
2001-01-30,1.58,1.58,1.58,1.58,8475.0,1.58,GOOG-H
2001-01-31,1.58,1.58,1.48,1.48,1384.0,1.48,GOOG-H
2001-02-02,1.48,1.48,1.48,1.48,250.0,1.48,GOOG-H
2001-02-06,1.46,1.46,1.46,1.46,357.0,1.46,GOOG-H
2001-02-07,1.48,1.48,1.48,1.48,357.0,1.48,GOOG-H
2001-02-08,1.49,1.49,1.49,1.49,357.0,1.49,GOOG-H
2001-02-13,1.66,1.66,1.66,1.66,318.0,1.66,GOOG-H
2001-02-16,1.7,1.7,1.7,1.7,5500.0,1.7,GOOG-H
2001-02-19,1.67,1.72,1.67,1.72,22670.0,1.72,GOOG-H
2001-02-20,1.75,1.82,1.75,1.82,40558.0,1.82,GOOG-H
2001-02-21,1.87,1.87,1.78,1.78,2130.0,1.78,GOOG-H
2001-02-22,1.77,1.77,1.77,1.77,1500.0,1.77,GOOG-H
2001-02-23,1.76,1.78,1.76,1.78,10518.0,1.78,GOOG-H
2001-02-26,1.78,1.78,1.75,1.75,18068.0,1.75,GOOG-H
2001-02-27,1.75,1.75,1.7,1.7,5627.0,1.7,GOOG-H
2001-02-28,1.58,1.58,1.58,1.58,239.0,1.58,GOOG-H
2001-03-01,1.6,1.63,1.6,1.6,4258.0,1.6,GOOG-H
2001-03-02,1.63,1.63,1.53,1.53,2707.0,1.53,GOOG-H
2001-03-05,1.54,1.54,1.54,1.54,1000.0,1.54,GOOG-H
2001-03-06,1.61,1.61,1.61,1.61,1082.0,1.61,GOOG-H
2001-03-07,1.66,1.72,1.66,1.72,6147.0,1.72,GOOG-H
2001-03-08,1.66,1.66,1.65,1.65,500.0,1.65,GOOG-H
2001-03-09,1.72,1.72,1.67,1.67,8000.0,1.67,GOOG-H
2001-03-13,1.62,1.62,1.62,1.62,15000.0,1.62,GOOG-H
2001-03-15,1.63,1.63,1.63,1.63,1400.0,1.63,GOOG-H
2001-03-16,1.64,1.64,1.64,1.64,647.0,1.64,GOOG-H
2001-03-29,1.67,1.67,1.67,1.67,250.0,1.67,GOOG-H
2001-04-03,1.77,1.78,1.77,1.78,6112.0,1.78,GOOG-H
2001-04-06,1.82,1.82,1.8,1.8,2369.0,1.8,GOOG-H
2001-04-09,1.8,1.8,1.8,1.8,1420.0,1.8,GOOG-H
2001-04-10,1.82,1.82,1.82,1.82,1300.0,1.82,GOOG-H
2001-04-11,1.8,1.8,1.8,1.8,2091.0,1.8,GOOG-H
2001-04-18,1.72,1.72,1.68,1.68,7250.0,1.68,GOOG-H
2001-04-19,1.69,1.72,1.69,1.72,4040.0,1.72,GOOG-H
