DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2000-01-04,1.85,1.85,1.78,1.79,652692.0,1.79,GOOG-H
2000-01-05,1.77,1.77,1.72,1.72,1286545.0,1.72,GOOG-H
2000-01-06,1.76,1.76,1.7,1.7,965599.0,1.7,GOOG-H
2000-01-07,1.7,1.71,1.64,1.69,1029055.0,1.69,GOOG-H
2000-01-10,1.73,1.8,1.73,1.78,655176.0,1.78,GOOG-H
2000-01-11,1.88,1.92,1.85,1.87,6520959.0,1.87,GOOG-H
2000-01-12,1.85,1.95,1.85,1.9,8111278.0,1.9,GOOG-H
2000-01-13,1.89,1.9,1.82,1.83,1877616.0,1.83,GOOG-H
2000-01-14,1.85,1.87,1.82,1.84,911940.0,1.84,GOOG-H
2000-01-17,1.86,1.87,1.8,1.81,819661.0,1.81,GOOG-H
2000-01-18,1.86,1.89,1.86,1.88,4575073.0,1.88,GOOG-H
2000-01-19,1.89,1.93,1.85,1.89,5205899.0,1.89,GOOG-H
2000-01-20,1.9,1.91,1.84,1.86,853412.0,1.86,GOOG-H
2000-01-21,1.85,1.86,1.84,1.85,388067.0,1.85,GOOG-H
2000-01-24,1.85,1.88,1.85,1.88,798336.0,1.88,GOOG-H
2000-01-25,1.87,1.87,1.84,1.87,1292110.0,1.87,GOOG-H
2000-01-27,1.86,1.86,1.82,1.84,1337437.0,1.84,GOOG-H
2000-01-28,1.89,1.91,1.88,1.9,6291248.0,1.9,GOOG-H
2000-01-31,1.89,1.9,1.87,1.9,3937651.0,1.9,GOOG-H
2000-02-01,1.9,1.91,1.89,1.9,4921974.0,1.9,GOOG-H
2000-02-02,1.89,1.9,1.86,1.87,1765226.0,1.87,GOOG-H
2000-02-03,1.88,1.97,1.88,1.95,5018716.0,1.95,GOOG-H
2000-02-04,1.99,2.14,1.99,2.11,13461646.0,2.11,GOOG-H
2000-02-07,2.15,2.15,2.11,2.13,5907859.0,2.13,GOOG-H
2000-02-08,2.13,2.13,2.06,2.08,4310009.0,2.08,GOOG-H
2000-02-09,2.08,2.14,2.07,2.14,3200223.0,2.14,GOOG-H
2000-02-10,2.15,2.25,2.13,2.19,5230656.0,2.19,GOOG-H
2000-02-11,2.17,2.2,2.15,2.17,2983084.0,2.17,GOOG-H
2000-02-14,2.17,2.17,2.11,2.12,3312512.0,2.12,GOOG-H
2000-02-15,2.12,2.13,2.11,2.12,817109.0,2.12,GOOG-H
