DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2007-12-05,0.99,0.99,0.89,0.94,254000.0,0.94,GOOG-H
2007-12-06,0.94,0.94,0.92,0.92,115921.0,0.92,GOOG-H
2007-12-07,0.91,0.91,0.85,0.85,426300.0,0.85,GOOG-H
2007-12-10,0.86,0.93,0.85,0.91,112877.0,0.91,GOOG-H
2007-12-11,0.9,0.9,0.89,0.89,43500.0,0.89,GOOG-H
2007-12-12,0.86,0.86,0.81,0.86,31000.0,0.86,GOOG-H
2007-12-13,0.85,0.85,0.8,0.8,40073.0,0.8,GOOG-H
2007-12-14,0.82,0.82,0.79,0.79,75500.0,0.79,GOOG-H
2007-12-17,0.79,0.79,0.75,0.75,42432.0,0.75,GOOG-H
2007-12-18,0.75,0.75,0.75,0.75,7038.0,0.75,GOOG-H
2007-12-19,0.8,0.8,0.75,0.75,122200.0,0.75,GOOG-H
2007-12-20,0.76,0.76,0.75,0.75,14700.0,0.75,GOOG-H
2007-12-21,0.75,0.75,0.7,0.7,48350.0,0.7,GOOG-H
2007-12-28,0.77,0.77,0.77,0.77,1000.0,0.77,GOOG-H
2007-12-31,0.75,0.75,0.73,0.73,12736.0,0.73,GOOG-H
2008-01-03,0.73,0.73,0.7,0.7,37479.0,0.7,GOOG-H
2008-01-04,0.71,0.71,0.7,0.7,28764.0,0.7,GOOG-H
2008-01-07,0.7,0.7,0.7,0.7,23316.0,0.7,GOOG-H
2008-01-08,0.69,0.69,0.68,0.68,87231.0,0.68,GOOG-H
2008-01-09,0.65,0.65,0.65,0.65,10000.0,0.65,GOOG-H
2008-01-10,0.65,0.69,0.63,0.69,29000.0,0.69,GOOG-H
2008-01-11,0.68,0.68,0.68,0.68,769.0,0.68,GOOG-H
2008-01-14,0.68,0.68,0.63,0.63,222731.0,0.63,GOOG-H
2008-01-15,0.63,0.63,0.63,0.63,21600.0,0.63,GOOG-H
2008-01-16,0.63,0.63,0.6,0.6,204683.0,0.6,GOOG-H
2008-01-17,0.55,0.55,0.55,0.55,10000.0,0.55,GOOG-H
2008-01-18,0.56,0.56,0.55,0.55,17500.0,0.55,GOOG-H
2008-01-21,0.55,0.6,0.52,0.55,18700.0,0.55,GOOG-H
2008-01-22,0.55,0.55,0.45,0.45,202500.0,0.45,GOOG-H
2008-01-23,0.54,0.54,0.49,0.5,27380.0,0.5,GOOG-H
2008-01-24,0.48,0.49,0.45,0.45,45400.0,0.45,GOOG-H
2008-01-25,0.45,0.45,0.45,0.45,35000.0,0.45,GOOG-H
