DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJ CLOSE,SOURCE
2014-05-20,3.4,3.55,3.39,3.51,100350624.0,3.51,GOOG-H
2014-05-21,3.51,3.55,3.44,3.45,22117384.0,3.45,GOOG-H
2014-05-22,3.42,3.45,3.42,3.44,8699621.0,3.44,GOOG-H
2014-05-23,3.42,3.51,3.41,3.51,2909045.0,3.51,GOOG-H
2014-05-26,3.51,3.66,3.51,3.59,3717353.0,3.59,GOOG-H
2014-05-27,3.62,3.62,3.57,3.57,3074717.0,3.57,GOOG-H
2014-05-28,3.59,3.61,3.55,3.61,1134436.0,3.61,GOOG-H
2014-05-29,3.61,3.69,3.61,3.69,4301000.0,3.69,GOOG-H
2014-05-30,3.69,3.72,3.68,3.69,3374090.0,3.69,GOOG-H
2014-06-02,3.72,3.73,3.65,3.67,2099250.0,3.67,GOOG-H
2014-06-03,3.67,3.67,3.51,3.57,4443685.0,3.57,GOOG-H
2014-06-04,3.57,3.6,3.54,3.55,1566685.0,3.55,GOOG-H
2014-06-05,3.58,3.61,3.57,3.59,888618.0,3.59,GOOG-H
2014-06-06,3.58,3.61,3.58,3.6,1196387.0,3.6,GOOG-H
2014-06-10,3.6,3.65,3.58,3.58,1081086.0,3.58,GOOG-H
2014-06-11,3.58,3.6,3.57,3.59,484100.0,3.59,GOOG-H
2014-06-12,3.59,3.61,3.58,3.61,283826.0,3.61,GOOG-H
2014-06-13,3.59,3.62,3.58,3.6,362057.0,3.6,GOOG-H
2014-06-16,3.59,3.65,3.53,3.53,742468.0,3.53,GOOG-H
2014-06-17,3.53,3.55,3.51,3.53,1610323.0,3.53,GOOG-H
2014-06-18,3.52,3.55,3.51,3.51,4466073.0,3.51,GOOG-H
2014-06-19,3.51,3.52,3.41,3.51,499423.0,3.51,GOOG-H
2014-06-20,3.52,3.6,3.52,3.59,243393.0,3.59,GOOG-H
2014-06-23,3.57,3.6,3.57,3.58,573629.0,3.58,GOOG-H
2014-06-24,3.57,3.64,3.57,3.6,936832.0,3.6,GOOG-H
2014-06-25,3.62,3.73,3.62,3.69,1229047.0,3.69,GOOG-H
2014-06-26,3.69,3.73,3.69,3.73,183687.0,3.73,GOOG-H
2014-06-27,3.73,3.81,3.72,3.81,1888086.0,3.81,GOOG-H
2014-06-30,3.81,3.86,3.81,3.83,724648.0,3.83,GOOG-H
2014-07-01,3.81,3.82,3.74,3.74,159691.0,3.74,GOOG-H
2014-07-02,3.74,3.8,3.74,3.8,335216.0,3.8,GOOG-H
2014-07-03,3.81,3.89,3.81,3.89,1053296.0,3.89,GOOG-H
2014-07-04,3.88,3.89,3.8,3.86,237780.0,3.86,GOOG-H
2014-07-07,3.86,3.89,3.83,3.86,376496.0,3.86,GOOG-H
2014-07-08,3.88,3.9,3.85,3.86,721535.0,3.86,GOOG-H
2014-07-09,3.86,3.86,3.68,3.68,982105.0,3.68,GOOG-H
2014-07-10,3.75,3.78,3.71,3.73,159710.0,3.73,GOOG-H
2014-07-11,3.76,3.76,3.45,3.66,1336600.0,3.66,GOOG-H
2014-07-14,3.73,3.75,3.67,3.74,239369.0,3.74,GOOG-H
2014-07-15,3.75,3.8,3.72,3.8,201569.0,3.8,GOOG-H
2014-07-16,3.82,3.86,3.78,3.8,352867.0,3.8,GOOG-H
2014-07-17,3.86,3.86,3.78,3.83,175826.0,3.83,GOOG-H
2014-07-18,3.8,3.81,3.75,3.8,144322.0,3.8,GOOG-H
2014-07-21,3.83,3.85,3.76,3.82,186294.0,3.82,GOOG-H
2014-07-22,3.85,3.85,3.79,3.81,403321.0,3.81,GOOG-H
2014-07-23,3.82,3.87,3.81,3.82,1700622.0,3.82,GOOG-H
2014-07-24,3.86,3.9,3.83,3.85,1572654.0,3.85,GOOG-H
2014-07-25,3.86,3.88,3.83,3.85,209478.0,3.85,GOOG-H
2014-07-28,3.86,3.86,3.76,3.8,245209.0,3.8,GOOG-H
2014-07-29,3.85,3.87,3.79,3.82,966446.0,3.82,GOOG-H
2014-07-30,3.93,4.21,3.92,4.2,3451652.0,4.2,GOOG-H
2014-07-31,4.13,4.16,3.94,4.03,4433705.0,4.03,GOOG-H
2014-08-01,3.95,4.09,3.95,4.01,1305613.0,4.01,GOOG-H
2014-08-04,4.01,4.08,3.96,3.96,3672605.0,3.96,GOOG-H
2014-08-05,4.03,4.06,3.95,3.96,1693148.0,3.96,GOOG-H
2014-08-06,3.94,4.03,3.88,3.9,985630.0,3.9,GOOG-H
